,PL49BE~1,
Wavenumbers [1/cm],Intensity,
1489.024,1694.0943,
1486.113,1701.6155,
1483.203,1621.3017,
1480.292,1613.6705,
1477.382,1585.8363,
1474.471,1593.7052,
1471.560,1602.479,
1468.650,1587.7264,
1465.739,1567.9557,
1462.829,1557.5441,
1459.918,1571.1472,
1457.008,1548.0784,
1454.097,1521.906,
1451.186,1530.4616,
1448.276,1527.0181,
1445.365,1518.0523,
1442.455,1517.3376,
1439.544,1555.3493,
1436.633,1550.0078,
1433.723,1529.3501,
1430.812,1586.6817,
1427.902,1580.5838,
1424.991,1557.8375,
1422.081,1543.3628,
1419.170,1532.6203,
1416.259,1502.7728,
1413.349,1485.5516,
1410.438,1487.0235,
1407.528,1515.5184,
1404.617,1526.0151,
1401.707,1479.6699,
1398.796,1470.8627,
1395.885,1487.5894,
1392.975,1491.0428,
1390.064,1536.299,
1387.154,1511.4697,
1384.243,1471.6789,
1381.332,1530.113,
1378.422,1554.5114,
1375.511,1562.0057,
1372.601,1584.2427,
1369.690,1677.8478,
1366.780,1638.4746,
1363.869,1661.1753,
1360.958,1739.166,
1358.048,1805.3505,
1355.137,1850.2037,
1352.227,1878.8179,
1349.316,1905.067,
1346.406,1938.1078,
1343.495,1947.9002,
1340.584,1931.6603,
1337.674,1964.5219,
1334.763,2026.3014,
1331.853,2030.9376,
1328.942,2096.9453,
1326.032,2063.5283,
1323.121,2120.0708,
1320.210,2175.0892,
1317.300,2196.4371,
1314.389,2229.9311,
1311.479,2277.785,
1308.568,2333.6562,
1305.657,2403.0157,
1302.747,2463.9725,
1299.836,2561.9875,
1296.926,2621.4151,
1294.015,2692.203,
1291.105,2695.125,
1288.194,2757.427,
1285.283,2769.545,
1282.373,2814.3201,
1279.462,2860.3403,
1276.552,2923.511,
1273.641,2976.6066,
1270.731,2993.825,
1267.820,3035.1006,
1264.909,3018.4113,
1261.999,3063.2928,
1259.088,3040.4898,
1256.178,2994.5893,
1253.267,2900.4319,
1250.356,2836.1988,
1247.446,2823.4055,
1244.535,2774.5984,
1241.625,2682.7733,
1238.714,2602.7729,
1235.804,2546.5377,
1232.893,2520.5148,
1229.982,2450.4572,
1227.072,2371.6951,
1224.161,2295.5227,
1221.251,2265.0013,
1218.340,2273.3769,
1215.430,2256.3509,
1212.519,2218.4674,
1209.608,2190.3919,
1206.698,2202.1256,
1203.787,2254.9893,
1200.877,2165.6354,
1197.966,2222.2824,
1195.055,2295.0914,
1192.145,2378.5026,
1189.234,2432.6182,
1186.324,2456.7621,
1183.413,2455.1758,
1180.503,2461.9878,
1177.592,2488.1552,
1174.681,2461.4503,
1171.771,2435.342,
1168.860,2401.4046,
1165.950,2360.2294,
1163.039,2340.649,
1160.129,2343.7931,
1157.218,2329.4148,
1154.307,2301.8176,
1151.397,2298.9454,
1148.486,2314.6812,
1145.576,2279.4356,
1142.665,2309.6247,
1139.754,2299.9206,
1136.844,2299.9262,
1133.933,2292.9139,
1131.023,2303.6484,
1128.112,2304.6275,
1125.202,2288.1008,
1122.291,2336.3784,
1119.380,2345.3935,
1116.470,2372.7519,
1113.559,2388.497,
1110.649,2398.6735,
1107.738,2414.4488,
1104.828,2388.0921,
1101.917,2326.3613,
1099.006,2311.1866,
1096.096,2349.2325,
1093.185,2350.9885,
1090.275,2306.6151,
1087.364,2350.3287,
1084.453,2370.6253,
1081.543,2367.5632,
1078.632,2373.4527,
1075.722,2387.3817,
1072.811,2398.6763,
1069.901,2420.5078,
1066.990,2447.1833,
1064.079,2462.6522,
1061.169,2466.0204,
1058.258,2478.2531,
1055.348,2497.3008,
1052.437,2495.5333,
1049.527,2472.6956,
1046.616,2487.4657,
1043.705,2506.0818,
1040.795,2502.1859,
1037.884,2502.6881,
1034.974,2494.3454,
1032.063,2478.994,
1029.153,2503.6057,
1026.242,2499.2809,
1023.331,2528.2898,
1020.421,2566.8888,
1017.510,2602.9758,
1014.600,2650.9989,
1011.689,2685.9982,
1008.778,2669.1513,
1005.868,2675.4339,
1002.957,2709.8481,
1000.047,2791.565,
997.136,2881.7942,
994.226,2904.1561,
991.315,2878.7339,
988.404,2864.5605,
985.494,2784.2209,
982.583,2788.5037,
979.673,2799.3681,
976.762,2781.4022,
973.852,2783.8054,
970.941,2798.7155,
968.030,2786.2349,
965.120,2815.168,
962.209,2825.3985,
959.299,2859.7045,
956.388,2861.9257,
953.477,2864.6338,
950.567,2882.1707,
947.656,2883.8995,
944.746,2874.5544,
941.835,2911.3764,
938.925,2881.3,
936.014,2856.0667,
933.103,2847.5941,
930.193,2833.1347,
927.282,2800.3459,
924.372,2785.9706,
921.461,2762.7694,
918.551,2742.3445,
915.640,2722.0765,
912.729,2686.4616,
909.819,2635.4628,
906.908,2675.8992,
903.998,2614.4959,
901.087,2645.863,
898.176,2672.1706,
895.266,2682.234,
892.355,2717.5904,
889.445,2778.8569,
886.534,2800.8317,
883.624,2816.5631,
880.713,2807.3247,
877.802,2779.2293,
874.892,2738.4173,
871.981,2671.6257,
869.071,2608.1343,
866.160,2633.0029,
863.250,2719.3682,
860.339,2803.8875,
857.428,2835.9597,
854.518,2812.0067,
851.607,2738.7846,
848.697,2692.422,
845.786,2670.3784,
842.875,2716.9068,
839.965,2811.8919,
837.054,2797.3669,
834.144,2818.9145,
831.233,2839.1238,
828.323,2859.9839,
825.412,2869.5834,
822.501,2854.9759,
819.591,2815.3087,
816.680,2805.3109,
813.770,2785.5829,
810.859,2771.9663,
807.949,2768.6762,
805.038,2765.9436,
802.127,2731.3722,
799.217,2713.2172,
796.306,2675.7734,
793.396,2652.293,
790.485,2645.4912,
787.574,2615.0244,
784.664,2665.0512,
781.753,2631.853,
778.843,2662.0936,
775.932,2718.8286,
773.022,2730.6753,
770.111,2753.5675,
767.200,2745.2279,
764.290,2710.3417,
761.379,2708,
758.469,2737.1953,
755.558,2724.6905,
752.648,2676.6289,
749.737,2672.3473,
746.826,2678.8548,
743.916,2687.5926,
741.005,2693.1642,
738.095,2640.3922,
735.184,2576.2052,
732.274,2505.7942,
729.363,2496.748,
726.452,2578.0351,
723.542,2660.5932,
720.631,2665.125,
717.721,2647.3668,
714.810,2647.0681,
711.899,2670.1943,
708.989,2679.0705,
706.078,2681.5289,
703.168,2678.4817,
700.257,2681.901,
697.347,2678.8218,
694.436,2637.754,
691.525,2624.0893,
688.615,2614.8359,
685.704,2629.2561,
682.794,2664.3589,
679.883,2700.0797,
676.973,2676.84,
674.062,2667.0203,
671.151,2704.013,
668.241,2737.2564,
665.330,2679.9737,
662.420,2676.7788,
659.509,2698.9825,
656.598,2736.359,
653.688,2762.834,
650.777,2742.9108,
647.867,2677.6119,
644.956,2661.2675,
642.046,2649.3454,
639.135,2638.946,
636.224,2657.3597,
633.314,2704.2021,
630.403,2719.0811,
627.493,2717.6683,
624.582,2717.5987,
621.672,2742.1505,
618.761,2762.8834,
615.850,2755.9013,
612.940,2773.1308,
610.029,2823.5739,
607.119,2802.2539,
604.208,2775.2745,
601.297,2773.1013,
598.387,2786.571,
595.476,2798.4166,
592.566,2780.314,
589.655,2779.0687,
586.745,2774.9174,
583.834,2761.7571,
580.923,2739.2909,
578.013,2766.7566,
575.102,2782.7288,
572.192,2815.2068,
569.281,2861.2814,
566.371,2856.5857,
563.460,2863.8852,
560.549,2844.7102,
557.639,2822.1993,
554.728,2825.7163,
551.818,2835.08,
548.907,2820.0614,
545.996,2841.0057,
543.086,2877.5362,
540.175,2814.4659,
537.265,2797.8123,
534.354,2804.6639,
531.444,2833.9591,
528.533,2879.2421,
525.622,2866.8269,
522.712,2882.3276,
519.801,2886.4874,
516.891,2888.367,
513.980,2958.8279,
511.070,2953.8554,
508.159,3001.6573,
505.248,3041.5996,
502.338,2991.7683,
499.427,3082.0726,
496.517,3121.3977,
493.606,3142.8833,
490.695,3161.1621,
487.785,3154.234,
484.874,3108.5356,
481.964,3089.5236,
479.053,3103.3762,
476.143,3129.4869,
473.232,3124.6504,
470.321,3117.7458,
467.411,3107.5533,
464.500,3090.8923,
461.590,3081.7034,
458.679,3120.9474,
455.769,3161.7413,
452.858,3177.5566,
449.947,3191.3074,
447.037,3176.5289,
444.126,3188.7856,
441.216,3233.8874,
438.305,3261.3169,
435.395,3245.4559,
432.484,3268.0484,
429.573,3301.1673,
426.663,3245.6771,
423.752,3167.896,
420.842,3048.898,
417.931,2946.8488,
415.020,2952.9156,
412.110,3180.6567,
409.199,3314.0027,
406.289,3359.2376,
403.378,3338.2198,
400.468,3366.1916,
397.557,3353.5307,
394.646,3367.3319,
391.736,3458.0485,
388.825,3393.1847,
385.915,3367.2065,
383.004,3379.6853,
380.094,3427.0847,
377.183,3445.8966,
374.272,3457.0956,
371.362,3479.7846,
368.451,3521.2132,
365.541,3506.2025,
362.630,3537.6306,
359.719,3579.5556,
356.809,3606.3158,
353.898,3559.8904,
350.988,3546.5825,
348.077,3551.6428,
345.167,3565.0872,
342.256,3564.3401,
339.345,3567.845,
336.435,3555.5798,
333.524,3517.004,
330.614,3576.6165,
327.703,3591.0178,
324.793,3573.4621,
321.882,3534.3071,
318.971,3609.3948,
316.061,3629.2652,
313.150,3637.444,
310.240,3683.4552,
307.329,3720.8568,
304.418,3741.5083,
301.508,3731.7957,
298.597,3666.639,
295.687,3713.2725,
292.776,3751.8751,
289.866,3799.9277,
286.955,3936.592,
284.044,3948.535,
281.134,3951.901,
278.223,3970.6218,
275.313,4008.2014,
272.402,4065.5018,
269.492,4087.5003,
266.581,4056.1806,
263.670,4028.979,
260.760,4085.9005,
257.849,4146.6648,
254.939,4151.0681,
252.028,4162.7065,
249.117,4173.0638,
246.207,4189.7849,
243.296,4227.1188,
240.386,4201.7404,
237.475,4180.3622,
234.565,4169.7446,
231.654,4160.98,
228.743,4150.4945,
225.833,4131.6242,
222.922,4102.9891,
220.012,4100.0749,
217.101,4099.6157,
214.191,4109.7417,
211.280,4141.75,
208.369,4199.2957,
205.459,4189.394,
202.548,4124.8492,
199.638,4071.1512,
196.727,4144.8287,
193.816,4217.6608,
190.906,4243.2678,
187.995,4275.8489,
185.085,4278.6136,
182.174,4275.1974,
179.264,4297.6031,
176.353,4387.2709,
173.442,4410.0208,
170.532,4366.6452,
167.621,4388.2745,
164.711,4284.8069,
161.800,4131.3195,
158.890,3970.8202,
155.979,3722.7911,
153.068,3413.5505,
150.158,3051.7224,
147.247,2649.6692,
144.337,2180.3726,
141.426,1716.4094,
138.516,1292.0098,
135.605,926.78231,
132.694,634.02783,
129.784,411.08727,
126.873,272.35208,
123.963,182.09636,
121.052,122.94356,
118.141,92.245778,
115.231,81.466445,
112.320,69.075917,
109.410,56.488737,
106.499,47.942874,
103.589,43.883982,
100.678,37.779053,
97.767,26.404052,
94.857,33.05489,
91.946,31.69078,
89.036,25.350796,
86.125,26.769206,
83.215,19.692115,
80.304,14.801029,
77.393,19.758218,
74.483,23.400675,
71.572,19.689718,
68.662,10.609872,
65.751,15.55503,
62.840,17.606702,
59.930,18.125,
57.019,18.125,
54.109,18.125,
51.198,17.521781,
48.288,16.136325,
45.377,17.543081,
42.466,16.888342,
39.556,15.240119,
36.645,15.942309,
33.735,18.721242,
30.824,18.253469,
27.914,9.1381912,
25.003,8.7476375,
22.092,12.999855,
19.182,21.903017,
16.271,45.685682,
13.361,149.95304,
10.450,332.8883,
7.539,639.44875,
4.629,829.61854,
1.718,818.09142,
-1.192,443.02766,
-4.103,252.32267,
-7.013,112.08947,
-9.924,2.125,
