,PLEB9E~1,
Wavenumbers [1/cm],Intensity,
1788.813,575.40309,
1785.903,588.51742,
1782.992,593.83008,
1780.082,584.83282,
1777.171,605.00107,
1774.261,603.8899,
1771.350,607.66401,
1768.439,607.42279,
1765.529,599.18524,
1762.618,616.16874,
1759.708,609.46738,
1756.797,623.06061,
1753.887,611.17784,
1750.976,594.9483,
1748.065,630.79416,
1745.155,607.92934,
1742.244,624.71461,
1739.334,628.88236,
1736.423,609.69534,
1733.512,612.27644,
1730.602,616.49603,
1727.691,667.6656,
1724.781,625.57991,
1721.870,623.68103,
1718.960,612.19982,
1716.049,629.97437,
1713.138,634.855,
1710.228,647.18416,
1707.317,671.99886,
1704.407,666.01603,
1701.496,686.87715,
1698.586,693.61992,
1695.675,663.12162,
1692.764,673.30738,
1689.854,700.78742,
1686.943,709.73019,
1684.033,713.90066,
1681.122,695.32286,
1678.211,728.67641,
1675.301,712.05242,
1672.390,766.91925,
1669.480,740.28077,
1666.569,774.45408,
1663.659,732.45731,
1660.748,761.02193,
1657.837,812.73756,
1654.927,800.67199,
1652.016,788.19065,
1649.106,837.17509,
1646.195,883.92807,
1643.285,881.52409,
1640.374,904,
1637.463,904.36029,
1634.553,924.17733,
1631.642,936.86863,
1628.732,1016.0711,
1625.821,1028.0301,
1622.911,1073.7408,
1620.000,1193.4756,
1617.089,1277.3284,
1614.179,1325.6464,
1611.268,1405.9514,
1608.358,1489.0669,
1605.447,1518.4573,
1602.536,1618.78,
1599.626,1597.4821,
1596.715,1601.3532,
1593.805,1559.9664,
1590.894,1591.1075,
1587.984,1537.9718,
1585.073,1540.9114,
1582.162,1505.4301,
1579.252,1480.8157,
1576.341,1425.7319,
1573.431,1396.5533,
1570.520,1388.1781,
1567.610,1395.9413,
1564.699,1394.6498,
1561.788,1369.0566,
1558.878,1368.5587,
1555.967,1347.2341,
1553.057,1332.7242,
1550.146,1292.6692,
1547.235,1268,
1544.325,1211.4468,
1541.414,1218.7654,
1538.504,1223.9786,
1535.593,1141.2562,
1532.683,1127.8328,
1529.772,1142.4004,
1526.861,1112.0349,
1523.951,1113.9183,
1521.040,1097.204,
1518.130,1080.5219,
1515.219,1057.5605,
1512.309,1038.2748,
1509.398,1026.1331,
1506.487,1020.3303,
1503.577,1051.3871,
1500.666,1010.5377,
1497.756,994.50891,
1494.845,1036.2796,
1491.934,1018.8551,
1489.024,974.58044,
1486.113,1002.6709,
1483.203,1011.2172,
1480.292,981.45359,
1477.382,954.98555,
1474.471,939.25669,
1471.560,973.73464,
1468.650,972.96798,
1465.739,944.86383,
1462.829,936.5809,
1459.918,934.02758,
1457.008,916.29213,
1454.097,883.1272,
1451.186,871.22824,
1448.276,882.94134,
1445.365,877.60742,
1442.455,879.36008,
1439.544,862.21248,
1436.633,823.76762,
1433.723,856.85727,
1430.812,894.67528,
1427.902,854.66868,
1424.991,924.8031,
1422.081,850.8494,
1419.170,884.61084,
1416.259,837.53584,
1413.349,826.51048,
1410.438,842.39515,
1407.528,884.40579,
1404.617,867.01092,
1401.707,819.27244,
1398.796,805.19229,
1395.885,823.81507,
1392.975,835.97892,
1390.064,843.54148,
1387.154,870.24178,
1384.243,821.65696,
1381.332,866.67202,
1378.422,855.56525,
1375.511,847.13423,
1372.601,887.54909,
1369.690,931.28946,
1366.780,920.57523,
1363.869,958.13567,
1360.958,999.08822,
1358.048,1038.1057,
1355.137,1063.3596,
1352.227,1078.2353,
1349.316,1099.6649,
1346.406,1123.4283,
1343.495,1134.2526,
1340.584,1136.464,
1337.674,1163.2177,
1334.763,1214.9294,
1331.853,1213.075,
1328.942,1261.9205,
1326.032,1261.475,
1323.121,1346.6928,
1320.210,1378.9978,
1317.300,1391.8046,
1314.389,1397.9444,
1311.479,1444.0579,
1308.568,1514.2614,
1305.657,1561.0292,
1302.747,1652.3007,
1299.836,1688.2629,
1296.926,1683.0427,
1294.015,1683.9621,
1291.105,1735.952,
1288.194,1814.8869,
1285.283,1850.1841,
1282.373,1882.3124,
1279.462,1920.0584,
1276.552,1941.3228,
1273.641,1960.7027,
1270.731,2023.2836,
1267.820,2096.1589,
1264.909,2053.0552,
1261.999,2068.0666,
1259.088,2069.8908,
1256.178,1983.4979,
