,PLC9DE~1,
Raman shift [1/cm],Intensity,
1721.870,2941.5895,
1718.960,3000.5312,
1716.049,2976.977,
1713.138,3012.2698,
1710.228,3055.9275,
1707.317,3058.7213,
1704.407,3071.851,
1701.496,3056.9671,
1698.586,3102.4982,
1695.675,3139.1248,
1692.764,3203.8586,
1689.854,3167.1939,
1686.943,3262.0024,
1684.033,3290.7293,
1681.122,3309.0691,
1678.211,3357.9086,
1675.301,3410.2147,
1672.390,3566.3062,
1669.480,3544.4259,
1666.569,3675.0352,
1663.659,3728.9392,
1660.748,3884.879,
1657.837,3964.1306,
1654.927,4087.7264,
1652.016,4105.0236,
1649.106,4213.358,
1646.195,4295.1323,
1643.285,4409.6764,
1640.374,4511.6781,
1637.463,4670.2481,
1634.553,4884.5227,
1631.642,5096.5792,
1628.732,5299.4133,
1625.821,5641.5719,
1622.911,5940.6788,
1620.000,6164.5403,
1617.089,6486.8874,
1614.179,6870.433,
1611.268,7190.4409,
1608.358,7520.7361,
1605.447,7755.1196,
1602.536,7982.709,
1599.626,8031.4926,
1596.715,8065.2334,
1593.805,8230.2491,
1590.894,8185.9668,
1587.984,8132.3382,
1585.073,8019.8737,
1582.162,7957.126,
1579.252,7808.4455,
1576.341,7683.6506,
1573.431,7623.5658,
1570.520,7547.6386,
1567.610,7462.5505,
1564.699,7300.4442,
1561.788,7210.7556,
1558.878,7088.8639,
1555.967,6948.2033,
1553.057,6771.8763,
1550.146,6668.2623,
1547.235,6554.9228,
1544.325,6432.2563,
1541.414,6346.2505,
1538.504,6256.4257,
1535.593,6228.26,
1532.683,6217.461,
1529.772,6155.2441,
1526.861,6120.1331,
1523.951,6130.2474,
1521.040,6168.1156,
1518.130,6149.0712,
1515.219,6109.374,
1512.309,6150.0822,
1509.398,6168.2419,
1506.487,6179.2964,
1503.577,6175.2209,
1500.666,6229.9127,
1497.756,6206.8661,
1494.845,6162.0938,
1491.934,6107.627,
1489.024,6184.6264,
1486.113,6158.6313,
1483.203,6138.6116,
1480.292,6104.1316,
1477.382,5982.7955,
1474.471,5903.1932,
1471.560,5804.6491,
1468.650,5788.407,
1465.739,5869.0314,
1462.829,6017.2053,
1459.918,6219.2104,
1457.008,6305.5901,
1454.097,6285.9885,
1451.186,6181.6574,
1448.276,5961.7363,
1445.365,5769.6854,
1442.455,5602.9367,
1439.544,5481.3131,
1436.633,5367.4127,
1433.723,5300.8092,
1430.812,5166.9214,
1427.902,5208.6916,
1424.991,5095.9079,
1422.081,5084.1177,
1419.170,5018.5705,
1416.259,4924.1284,
1413.349,4884.7387,
1410.438,4873.4765,
1407.528,4843.6941,
1404.617,4897.069,
1401.707,4951.7343,
1398.796,4987.5847,
1395.885,5037.9106,
1392.975,5040.8325,
1390.064,4953.6367,
1387.154,4811.0089,
1384.243,4699.0236,
1381.332,4536.4576,
1378.422,4605.7411,
1375.511,4845.557,
1372.601,5137.8265,
1369.690,5228.3811,
1366.780,5351.844,
1363.869,5442.3991,
1360.958,5583.5537,
1358.048,5666.3275,
1355.137,5714.4931,
1352.227,5809.8002,
1349.316,5923.5361,
1346.406,5989.9544,
1343.495,6033.7932,
1340.584,6121.1595,
1337.674,6205.6647,
1334.763,6267.1866,
1331.853,6288.5129,
1328.942,6421.9051,
1326.032,6457.9499,
1323.121,6513.5015,
1320.210,6605.2922,
1317.300,6665.9843,
1314.389,6840.142,
1311.479,7083.7432,
1308.568,7291.2217,
1305.657,7490.733,
1302.747,7671.4474,
1299.836,7926.5717,
1296.926,8006.2544,
1294.015,8154.2655,
1291.105,8237.8627,
1288.194,8311.4757,
1285.283,8393.9633,
1282.373,8500.7419,
1279.462,8595.1388,
1276.552,8611.1466,
1273.641,8648.5285,
1270.731,8731.6168,
1267.820,8672.5196,
1264.909,8645.7705,
1261.999,8636.282,
1259.088,8496.7274,
1256.178,8371.8969,
1253.267,8218.883,
1250.356,8093.041,
1247.446,7947.9376,
1244.535,7750.4914,
1241.625,7533.5419,
1238.714,7353.2934,
1235.804,7215.7684,
1232.893,7068.6555,
1229.982,6923.6903,
1227.072,6726.3322,
1224.161,6614.8766,
1221.251,6542.7703,
1218.340,6357.2395,
1215.430,6219.5795,
1212.519,6126.5911,
1209.608,6035.9231,
1206.698,5988.3111,
1203.787,5979.375,
1200.877,5989.0704,
1197.966,6145.5241,
1195.055,6310.3727,
1192.145,6465.1034,
1189.234,6689.6857,
1186.324,6886.5662,
1183.413,7041.2431,
1180.503,7116.8495,
1177.592,7053.0107,
1174.681,6928.4675,
1171.771,6780.0479,
1168.860,6592.4991,
1165.950,6622.7524,
1163.039,6536.5986,
1160.129,6501.4533,
1157.218,6546.2761,
1154.307,6649.1101,
1151.397,6788.4341,
1148.486,6917.0552,
1145.576,7035.223,
1142.665,7054.7571,
1139.754,6920.499,
1136.844,6803.2377,
1133.933,6685.4371,
1131.023,6604.7702,
1128.112,6575.8754,
1125.202,6547.7036,
1122.291,6466.9828,
1119.380,6422.5222,
1116.470,6437.5252,
1113.559,6491.9559,
1110.649,6390.1576,
1107.738,6317.6586,
1104.828,6254.2821,
1101.917,6129.8522,
1099.006,5993.6951,
1096.096,5893.4186,
1093.185,5845.1284,
1090.275,5921.4928,
1087.364,5915.6746,
1084.453,5951.622,
1081.543,6040.9615,
1078.632,6113.3893,
1075.722,6133.9661,
1072.811,6177.795,
1069.901,6211.8522,
1066.990,6192.5501,
1064.079,6256.1069,
1061.169,6275.1198,
1058.258,6243.2007,
1055.348,6169.3994,
1052.437,6049.0759,
1049.527,5984.0589,
1046.616,5924.1097,
1043.705,5938.1857,
1040.795,5903.5107,
1037.884,5883.9152,
1034.974,5885.1405,
1032.063,5878.5136,
1029.153,5876.5415,
1026.242,5936.2235,
1023.331,5925.0425,
1020.421,6038.0938,
1017.510,6184.7424,
1014.600,6323.8145,
1011.689,6452.8505,
1008.778,6568.7581,
1005.868,6624.8113,
1002.957,6784.8372,
1000.047,6888.727,
997.136,6985.9175,
994.226,6995.8987,
991.315,6914.3627,
988.404,6808.5963,
985.494,6672.3062,
982.583,6535.2572,
979.673,6512.4484,
976.762,6463.2326,
973.852,6403.2964,
970.941,6377.4881,
968.030,6400.3867,
965.120,6434.511,
962.209,6466.9076,
959.299,6484.4152,
956.388,6486.5752,
953.477,6506.1595,
950.567,6544.172,
947.656,6569.3912,
944.746,6615.2672,
941.835,6567.9764,
938.925,6565.5877,
936.014,6571.3867,
933.103,6551.8955,
930.193,6511.9779,
927.282,6495.6382,
924.372,6371.334,
921.461,6300.145,
918.551,6176.9689,
915.640,6086.2271,
912.729,6025.4633,
909.819,5919.375,
906.908,5919.375,
903.998,5938.4637,
901.087,5993.659,
898.176,6037.6452,
895.266,6071.5145,
892.355,6125.0233,
889.445,6213.9857,
886.534,6251.1094,
883.624,6356.6085,
880.713,6413.5614,
877.802,6438.0076,
874.892,6466.2719,
871.981,6460.5859,
869.071,6427.1694,
866.160,6419.9951,
863.250,6404.6973,
860.339,6391.375,
857.428,6395.2012,
854.518,6410.6769,
851.607,6386.5469,
848.697,6411.9511,
845.786,6422.2612,
842.875,6428.8128,
839.965,6461.2832,
837.054,6529.8309,
834.144,6570.4397,
831.233,6552.3769,
828.323,6575.9733,
825.412,6613.053,
822.501,6613.8644,
819.591,6622.1284,
816.680,6610.3557,
813.770,6577.3029,
810.859,6500.7137,
807.949,6427.7213,
805.038,6417.8993,
802.127,6372.6273,
