,PL3C42~1,
Wavenumbers [1/cm],Intensity,
1782.992,832.33154,
1780.082,807.49216,
1777.171,863.83619,
1774.261,852.23455,
1771.350,831.70451,
1768.439,876.94925,
1765.529,881.86013,
1762.618,859.01687,
1759.708,868.20662,
1756.797,887.7197,
1753.887,876.7551,
1750.976,868.57591,
1748.065,904.8364,
1745.155,890.64862,
1742.244,888.05342,
1739.334,906.08588,
1736.423,889.30377,
1733.512,889.23173,
1730.602,923.1687,
1727.691,940.40894,
1724.781,908.67721,
1721.870,914.79057,
1718.960,946.45589,
1716.049,973.47437,
1713.138,937.3152,
1710.228,941.81386,
1707.317,948.80743,
1704.407,929.73526,
1701.496,947.55405,
1698.586,986.45938,
1695.675,1003.5356,
1692.764,981.77868,
1689.854,1007.2874,
1686.943,1026.8592,
1684.033,1003.1209,
1681.122,1031.0072,
1678.211,1078.0527,
1675.301,1041.6141,
1672.390,1133.4372,
1669.480,1112.508,
1666.569,1113.6016,
1663.659,1122.186,
1660.748,1163.9049,
1657.837,1184.7843,
1654.927,1197.3126,
1652.016,1190.5206,
1649.106,1232.1365,
1646.195,1258.3392,
1643.285,1292.6367,
1640.374,1298.6882,
1637.463,1308.3107,
1634.553,1352.3522,
1631.642,1343.7921,
1628.732,1461.7192,
1625.821,1498.5451,
1622.911,1567.1112,
1620.000,1652.4165,
1617.089,1796.5945,
1614.179,1910.2851,
1611.268,2002.0796,
1608.358,2074.1287,
1605.447,2202.901,
1602.536,2231.9334,
1599.626,2230.7402,
1596.715,2257.728,
1593.805,2216.6777,
1590.894,2194.7673,
1587.984,2158.7224,
1585.073,2170.5163,
1582.162,2127.5813,
1579.252,2101.3157,
1576.341,2064.6564,
1573.431,1996.1956,
1570.520,1989.4369,
1567.610,1976.8527,
1564.699,1951.9242,
1561.788,1968.4434,
1558.878,1946.4101,
1555.967,1924.8934,
1553.057,1843.6732,
1550.146,1806.26,
1547.235,1831.7518,
1544.325,1798.4298,
1541.414,1756.0994,
1538.504,1748.4172,
1535.593,1674.4105,
1532.683,1639.0079,
1529.772,1649.7068,
1526.861,1599.2814,
1523.951,1600.4635,
1521.040,1600.2229,
1518.130,1586.1086,
1515.219,1579.4614,
1512.309,1528.2703,
1509.398,1518.7073,
1506.487,1511.5786,
1503.577,1523.7366,
1500.666,1511.2615,
1497.756,1495.0256,
1494.845,1511.2588,
1491.934,1457.6386,
1489.024,1499.9883,
1486.113,1475.538,
1483.203,1429.9798,
1480.292,1444.8643,
