,PLFBFD~1,
Wavenumbers [1/cm],Intensity,
1797.545,682.04694,
1794.635,690.22199,
1791.724,687.26088,
1788.813,698.51909,
1785.903,679.18702,
1782.992,657.88351,
1780.082,609.33005,
1777.171,597.11696,
1774.261,568.58503,
1771.350,619.40652,
1768.439,693.97618,
1765.529,709.67319,
1762.618,723.25999,
1759.708,717.59238,
1756.797,745.70833,
1753.887,746.86698,
1750.976,729.30432,
1748.065,761.4614,
1745.155,746.63492,
1742.244,748.97551,
1739.334,755.33206,
1736.423,752.41846,
1733.512,757.21851,
1730.602,759.87302,
1727.691,769.33693,
1724.781,788.64311,
1721.870,761.7391,
1718.960,758.23616,
1716.049,785.97219,
1713.138,793.68999,
1710.228,760.18342,
1707.317,802.89186,
1704.407,806.42981,
1701.496,812.50583,
1698.586,824.21281,
1695.675,821.38217,
1692.764,845.73977,
1689.854,850.95177,
1686.943,829.86696,
1684.033,813.52238,
1681.122,863.25839,
1678.211,856.20114,
1675.301,894.00783,
1672.390,946.02631,
1669.480,913.30148,
1666.569,934.93456,
1663.659,920.59864,
1660.748,950.26262,
1657.837,1006.6816,
1654.927,942.82787,
1652.016,972.92687,
1649.106,1006.5939,
1646.195,1064.8613,
1643.285,1053.054,
1640.374,1008.233,
1637.463,1061.0618,
1634.553,1112.2432,
1631.642,1120.6679,
1628.732,1170.1428,
1625.821,1173.1878,
1622.911,1268.584,
1620.000,1338.2431,
1617.089,1384.2096,
1614.179,1457.0381,
1611.268,1514.0059,
1608.358,1555.2053,
1605.447,1663.6687,
1602.536,1741.8803,
1599.626,1702.9682,
1596.715,1661.0058,
1593.805,1661.5967,
1590.894,1665.6477,
1587.984,1657.4641,
1585.073,1648.4676,
1582.162,1607.8854,
1579.252,1555.9367,
1576.341,1585.3771,
1573.431,1558.3158,
1570.520,1528.2512,
1567.610,1525.8505,
1564.699,1542.3506,
1561.788,1510.8014,
1558.878,1467.8145,
1555.967,1424.0738,
1553.057,1430.4524,
1550.146,1406.2524,
1547.235,1413.822,
1544.325,1406.8484,
1541.414,1362.9827,
1538.504,1362.6219,
1535.593,1342.6326,
1532.683,1332.0668,
1529.772,1327.3131,
1526.861,1266.4691,
1523.951,1252.8704,
1521.040,1272.6238,
1518.130,1284.1328,
1515.219,1232.8049,
1512.309,1235.8863,
1509.398,1233.6288,
1506.487,1240.9359,
1503.577,1243.2469,
1500.666,1209.7965,
1497.756,1217.8711,
1494.845,1248.3635,
1491.934,1182.188,
1489.024,1201.4379,
1486.113,1191.9256,
1483.203,1181.3552,
1480.292,1177.5795,
1477.382,1160.96,
1474.471,1160.9619,
1471.560,1171.5587,
1468.650,1179.2246,
1465.739,1179.844,
1462.829,1154.6555,
1459.918,1133.1526,
1457.008,1130.6481,
1454.097,1112.7144,
1451.186,1113.8291,
1448.276,1126.4627,
1445.365,1107.1992,
1442.455,1147.4114,
1439.544,1137.8769,
1436.633,1063.554,
1433.723,1138.5079,
1430.812,1123.6714,
1427.902,1167.0201,
1424.991,1120.5797,
1422.081,1113.6201,
1419.170,1148.5515,
1416.259,1083.6495,
1413.349,1070.9012,
1410.438,1093.8182,
1407.528,1126.9434,
1404.617,1120.1626,
1401.707,1089.1669,
1398.796,1103.3907,
1395.885,1112.5618,
1392.975,1102.501,
1390.064,1137.7673,
1387.154,1107.741,
1384.243,1074.7126,
1381.332,1104.7064,
1378.422,1059.2597,
1375.511,1178.2309,
1372.601,1177.3603,
1369.690,1174.5533,
1366.780,1204.2223,
1363.869,1231.7399,
1360.958,1256.2906,
1358.048,1292.4173,
1355.137,1321.113,
1352.227,1347.0532,
1349.316,1371.7909,
1346.406,1399.561,
1343.495,1441.132,
1340.584,1441.3746,
1337.674,1471.197,
1334.763,1481.0071,
1331.853,1504.1879,
1328.942,1515.7986,
1326.032,1490.2095,
1323.121,1551.5528,
1320.210,1569.7976,
1317.300,1576.5687,
1314.389,1585.6945,
1311.479,1624.3869,
1308.568,1680.464,
1305.657,1707.2395,
1302.747,1757.59,
1299.836,1855.8449,
1296.926,1867.8259,
1294.015,1861.3906,
1291.105,1877.8553,
1288.194,1975.9742,
1285.283,1986.5209,
1282.373,2014.6639,
1279.462,2035.223,
1276.552,2050.0621,
1273.641,2094.9751,
1270.731,2143.5952,
1267.820,2139.4387,
1264.909,2113.3891,
1261.999,2137.8573,
1259.088,2157.924,
1256.178,2112.0199,
1253.267,2107.1938,
1250.356,2046.4949,
1247.446,2002.4568,
1244.535,1969.3304,
1241.625,1915.8473,
1238.714,1854.9342,
1235.804,1814.5377,
1232.893,1789.5133,
1229.982,1728.2051,
