,PLC057~1,
Raman shift [1/cm],Intensity,
1558.878,3983.7729,
1555.967,3905.5932,
1553.057,3829.3669,
1550.146,3758.1069,
1547.235,3676.815,
1544.325,3608.0207,
1541.414,3542.5406,
1538.504,3501.4732,
1535.593,3448.8943,
1532.683,3400.9626,
1529.772,3350.5133,
1526.861,3264.6295,
1523.951,3195.3985,
1521.040,3126.6338,
1518.130,3112.0169,
1515.219,3062.7642,
1512.309,3083.188,
1509.398,3061.2657,
1506.487,3044.1809,
1503.577,2984.7988,
1500.666,2997.7306,
1497.756,2931.659,
1494.845,2936.0839,
1491.934,2887.1659,
1489.024,2899.6784,
1486.113,2889.9256,
1483.203,2806.5254,
1480.292,2758.7905,
1477.382,2744.0425,
1474.471,2742.8924,
1471.560,2698.1337,
1468.650,2717.3385,
1465.739,2700.8195,
1462.829,2666.0109,
1459.918,2651.2576,
1457.008,2684.1716,
1454.097,2663.2039,
1451.186,2609.7691,
1448.276,2635.3492,
1445.365,2645.9812,
1442.455,2648.5177,
1439.544,2668.6454,
1436.633,2614.2511,
1433.723,2613.2406,
1430.812,2628.845,
1427.902,2549.0877,
1424.991,2505.4906,
1422.081,2513.2998,
1419.170,2477.8345,
1416.259,2498.047,
1413.349,2475.4258,
1410.438,2488.5179,
1407.528,2458.8568,
1404.617,2448.8676,
1401.707,2478.8526,
1398.796,2487.2684,
1395.885,2491.6606,
1392.975,2537.0842,
1390.064,2560.3494,
1387.154,2536.9486,
1384.243,2576.0875,
1381.332,2510.3022,
1378.422,2604.1343,
1375.511,2681.8871,
1372.601,2725.5172,
1369.690,2819.1334,
1366.780,2876.8949,
1363.869,2954.2344,
1360.958,2998.9315,
1358.048,3053.0301,
1355.137,3111.5119,
1352.227,3170.5239,
1349.316,3231.5106,
1346.406,3295.4596,
1343.495,3368.0971,
1340.584,3405.1598,
1337.674,3476.5955,
1334.763,3571.9839,
1331.853,3568.2749,
1328.942,3584.1354,
1326.032,3690.5244,
1323.121,3763.0287,
1320.210,3786.1183,
1317.300,3818.6366,
1314.389,3919.8071,
1311.479,4024.086,
1308.568,4096.0441,
1305.657,4186.254,
1302.747,4261.617,
1299.836,4310.9728,
1296.926,4431.1326,
1294.015,4581.9016,
1291.105,4708.7592,
1288.194,4772.2508,
1285.283,4862.8853,
1282.373,4988.4137,
1279.462,5107.9081,
1276.552,5159.7313,
1273.641,5189.6323,
1270.731,5226.7175,
1267.820,5196.6953,
1264.909,5211.7072,
1261.999,5193.7588,
1259.088,5183.7255,
1256.178,5064.0776,
1253.267,4952.0615,
1250.356,4821.1824,
1247.446,4664.7539,
1244.535,4504.8842,
1241.625,4358.1659,
1238.714,4246.0183,
1235.804,4163.9213,
1232.893,4043.7521,
1229.982,4030.936,
1227.072,3936.7835,
1224.161,3849.4366,
1221.251,3768.6082,
1218.340,3736.4078,
1215.430,3684.88,
1212.519,3610.4515,
1209.608,3591.9944,
1206.698,3630.9546,
1203.787,3613.3562,
1200.877,3646.6792,
1197.966,3639.486,
1195.055,3736.3953,
1192.145,3873.3399,
1189.234,3939.7255,
1186.324,4005.4026,
1183.413,4053.8661,
1180.503,4065.5093,
1177.592,4065.7612,
1174.681,4025.9606,
1171.771,3940.2087,
1168.860,3857.1514,
1165.950,3818.486,
1163.039,3792.2681,
1160.129,3749.3235,
1157.218,3730.4131,
1154.307,3720.913,
1151.397,3673.4886,
1148.486,3614.8224,
1145.576,3625.7691,
1142.665,3525.435,
1139.754,3527.7022,
1136.844,3514.7183,
1133.933,3475.2807,
1131.023,3437.49,
1128.112,3409.6981,
1125.202,3397.5791,
1122.291,3425.7544,
1119.380,3437.5667,
1116.470,3482.5757,
1113.559,3471.1135,
1110.649,3484.4607,
1107.738,3451.2596,
1104.828,3437.0105,
1101.917,3476.8176,
1099.006,3485.1356,
1096.096,3439.2001,
1093.185,3456.7601,
1090.275,3471.0733,
1087.364,3426.7825,
1084.453,3416.9367,
1081.543,3448.4743,
1078.632,3464.5892,
1075.722,3438.6295,
1072.811,3444.3804,
1069.901,3433.9012,
1066.990,3472.7332,
1064.079,3495.7353,
1061.169,3530.2924,
1058.258,3592.0857,
1055.348,3629.8392,
1052.437,3601.3244,
1049.527,3644.132,
1046.616,3670.1969,
1043.705,3686.228,
1040.795,3722.0502,
1037.884,3743.6652,
1034.974,3735.9523,
1032.063,3738.1089,
1029.153,3806.7868,
1026.242,3820.6261,
1023.331,3764.462,
1020.421,3797.0424,
1017.510,3834.0538,
1014.600,3872.232,
1011.689,3909.6861,
1008.778,3941.9438,
1005.868,4064.4687,
1002.957,4214.1703,
1000.047,4338.317,
997.136,4461.8746,
994.226,4568.9704,
991.315,4571.7142,
988.404,4445.6114,
985.494,4447.4153,
982.583,4415.7228,
979.673,4359.1781,
976.762,4337.1895,
973.852,4331.1469,
970.941,4320.7901,
968.030,4317.5934,
965.120,4371.1357,
962.209,4373.6934,
959.299,4376.958,
956.388,4332.7679,
953.477,4319.7315,
950.567,4366.2419,
947.656,4403.0055,
944.746,4379.2179,
941.835,4416.996,
938.925,4446.5246,
936.014,4416.6589,
933.103,4369.3569,
930.193,4351.3296,
927.282,4334.4752,
924.372,4304.0333,
921.461,4216.1754,
918.551,4162.3067,
915.640,4111.9794,
912.729,4059.3427,
909.819,4040.5715,
906.908,4059.1049,
903.998,4025.9243,
901.087,4065.4995,
898.176,4100.7601,
895.266,4138.9605,
892.355,4209.2503,
889.445,4241.9818,
886.534,4282.1988,
883.624,4310.31,
880.713,4309.9179,
877.802,4326.8742,
874.892,4373.0804,
871.981,4353.2114,
869.071,4272.1763,
866.160,4291.2431,
863.250,4323.9479,
860.339,4329.3858,
857.428,4306.2988,
854.518,4288.0548,
851.607,4216.4969,
848.697,4193.8077,
845.786,4172.5181,
842.875,4175.3015,
839.965,4211.1008,
837.054,4219.8366,
834.144,4194.1453,
831.233,4192.4581,
828.323,4202.0381,
825.412,4179.8605,
822.501,4117.0186,
819.591,4121.977,
816.680,4052.4133,
813.770,3996.9083,
810.859,3943.4406,
807.949,3911.9128,
805.038,3925.9303,
802.127,3916.0528,
799.217,3880.837,
796.306,3870.8277,
793.396,3865.1173,
790.485,3850.3346,
787.574,3835.3777,
784.664,3815.695,
781.753,3836.2804,
778.843,3881.9407,
775.932,3909.7177,
773.022,3893.2518,
770.111,3894.0694,
767.200,3942.849,
764.290,3947.7232,
761.379,3930.2783,
758.469,3917.2177,
755.558,3923.2529,
752.648,3860.5284,
749.737,3870.3198,
746.826,3854.618,
743.916,3798.274,
741.005,3728.8061,
738.095,3681.7173,
735.184,3583.1672,
732.274,3564.5314,
729.363,3646.3537,
726.452,3772.7862,
723.542,3759.8359,
720.631,3796.5874,
717.721,3833.3302,
714.810,3847.1762,
711.899,3827.2735,
708.989,3776.4372,
706.078,3756.8937,
703.168,3741.195,
700.257,3729.9993,
697.347,3712.1697,
694.436,3669.0377,
691.525,3665.8225,
688.615,3721.727,
685.704,3732.6769,
682.794,3714.593,
679.883,3749.6741,
676.973,3695.1808,
674.062,3663.7064,
671.151,3675.7948,
668.241,3710.89,
665.330,3726.1628,
662.420,3726.9615,
659.509,3741.7284,
656.598,3740.1718,
653.688,3734.2563,
650.777,3757.0449,
647.867,3725.1918,
644.956,3706.3611,
642.046,3707.0024,
639.135,3710.5791,
636.224,3682.2682,
633.314,3710.85,
630.403,3766.0131,
627.493,3789.5231,
624.582,3785.249,
621.672,3835.1446,
618.761,3850.044,
615.850,3862.3898,
612.940,3886.8848,
610.029,3921.7826,
607.119,3925.7308,
604.208,3913.3448,
601.297,3911.1161,
598.387,3923.8705,
595.476,3945.3767,
592.566,3916.2551,
589.655,3878.7305,
586.745,3887.5971,
583.834,3916.4158,
580.923,3895.9449,
578.013,3866.125,
575.102,3876.4798,
572.192,3903.3445,
569.281,3928.2498,
566.371,3934.5108,
563.460,3949.2344,
560.549,3968.7688,
557.639,3976.6795,
554.728,3959.125,
551.818,3959.125,
548.907,4001.1745,
545.996,4041.7326,
543.086,4060.273,
540.175,4047.0361,
537.265,4067.8534,
534.354,4106.7281,
531.444,4153.2872,
528.533,4199.5948,
525.622,4262.4465,
522.712,4291.2938,
519.801,4322.1284,
516.891,4363.1677,
513.980,4398.011,
511.070,4466.6293,
508.159,4514.1828,
505.248,4572.1772,
502.338,4681.2772,
499.427,4720.6406,
496.517,4793.3472,
493.606,4853.9117,
490.695,4878.2691,
487.785,4872.1108,
484.874,4894.3891,
481.964,4916.2611,
479.053,4920.8514,
476.143,4886.2931,
473.232,4834.4861,
470.321,4825.3431,
467.411,4818.65,
464.500,4767.4353,
461.590,4779.6871,
458.679,4786.9771,
455.769,4805.5631,
452.858,4848.5101,
449.947,4938.654,
447.037,4904.3368,
444.126,4868.2765,
441.216,4866.051,
438.305,4871.3845,
435.395,4900.3174,
432.484,4931.3783,
429.573,4939.9248,
426.663,4879.1136,
423.752,4908.2985,
420.842,4871.0628,
417.931,4835.6277,
415.020,4928.9057,
412.110,5019.187,
409.199,5090.7338,
406.289,5131.879,
403.378,5131.2095,
400.468,5156.1573,
397.557,5179.5495,
394.646,5201.936,
391.736,5220.7588,
388.825,5146.8441,
385.915,5115.0133,
383.004,5122.401,
380.094,5166.8104,
377.183,5239.0481,
374.272,5302.0047,
371.362,5370.501,
368.451,5448.0338,
365.541,5446.5327,
362.630,5467.9746,
359.719,5516.3137,
356.809,5586.3579,
353.898,5557.1548,
350.988,5552.9224,
348.077,5564.2564,
345.167,5583.179,
342.256,5564.5023,
339.345,5597.3881,
336.435,5617.8006,
333.524,5583.1485,
330.614,5583.8936,
327.703,5642.1398,
324.793,5703.0542,
321.882,5720.2187,
318.971,5758.8778,
316.061,5807.2836,
313.150,5854.7488,
310.240,5888.8861,
307.329,5956.5862,
304.418,6001.3631,
301.508,6018.3988,
298.597,6000.6288,
295.687,6044.5001,
292.776,6141.5421,
289.866,6292.898,
286.955,6510.0833,
284.044,6706.8398,
281.134,6842.7458,
278.223,6937.8247,
275.313,7127.1965,
272.402,7262.3931,
269.492,7399.5652,
266.581,7554.7974,
263.670,7662.1337,
260.760,7778.7959,
257.849,7915.3794,
254.939,8081.9707,
252.028,8084.125,
249.117,8078.6431,
246.207,8080.0803,
243.296,8110.8258,
240.386,8075.5985,
237.475,8030.537,
234.565,7979.0464,
231.654,7902.3561,
228.743,7866.5625,
225.833,7805.4759,
222.922,7699.5667,
220.012,7709.0379,
217.101,7633.1198,
214.191,7544.7867,
211.280,7523.6903,
208.369,7533.5628,
205.459,7531.9385,
202.548,7519.8715,
199.638,7512.615,
196.727,7565.2893,
193.816,7590.3749,
190.906,7557.0646,
187.995,7583.8535,
185.085,7633.7906,
182.174,7664.2379,
179.264,7609.3076,
176.353,7661.4359,
173.442,7731.4685,
170.532,7786.2041,
167.621,7692.4773,
164.711,7559.3836,
161.800,7394.0482,
158.890,7194.6837,
155.979,6714.0432,
153.068,6167.3783,
150.158,5550.7709,
147.247,4790.4594,
144.337,3950.8426,
141.426,3109.6356,
138.516,2302.416,
135.605,1646.0656,
132.694,1126.5311,
129.784,737.13299,
126.873,501.14014,
123.963,335.89655,
121.052,225.59502,
118.141,171.33847,
115.231,133.46477,
112.320,105.83956,
109.410,86.397895,
106.499,72.15479,
103.589,68.564746,
100.678,65.137161,
97.767,57.316848,
94.857,52.274077,
91.946,50.125,
89.036,48.431531,
86.125,37.793452,
83.215,36.717761,
80.304,36.448971,
77.393,31.491782,
74.483,27.19419,
71.572,24.762648,
68.662,24.40207,
65.751,27.227874,
62.840,26.198192,
59.930,21.877566,
57.019,13.416582,
54.109,14.513643,
51.198,15.521781,
48.288,14.136325,
45.377,15.543081,
42.466,14.888342,
39.556,13.700593,
36.645,17.211544,
33.735,12.932515,
30.824,10.996531,
27.914,20.111809,
25.003,14.898625,
22.092,10.156286,
19.182,8.7428373,
16.271,27.629071,
13.361,104.24411,
10.450,208.13923,
7.539,260.51288,
4.629,102.18878,
1.718,-149.53343,
-1.192,-445.12272,
-4.103,-399.01661,
-7.013,-239.98728,
-9.924,0.125,
