,PLE9A8~1,
Wavenumbers [1/cm],Intensity,
1689.854,766.80315,
1686.943,741.37687,
1684.033,760.97844,
1681.122,743.80586,
1678.211,799.95751,
1675.301,783.55242,
1672.390,843.35943,
1669.480,796.66044,
1666.569,816.85549,
1663.659,844.46734,
1660.748,843.05917,
1657.837,871.76244,
1654.927,883.31257,
1652.016,875.4271,
1649.106,873.47924,
1646.195,913.07543,
1643.285,935.9987,
1640.374,915.08536,
1637.463,943.4908,
1634.553,997.33744,
1631.642,987.0429,
1628.732,1036.7192,
1625.821,1073.572,
1622.911,1182.8801,
1620.000,1150.9158,
1617.089,1273.9925,
1614.179,1286.218,
1611.268,1398.1874,
1608.358,1469.2224,
1605.447,1576.2151,
1602.536,1589.9551,
1599.626,1578.5409,
1596.715,1554.81,
1593.805,1490.7911,
1590.894,1516.9655,
1587.984,1507.6425,
1585.073,1511.4557,
1582.162,1484.1139,
1579.252,1465.4072,
1576.341,1438.4681,
1573.431,1400.3899,
1570.520,1395.3219,
1567.610,1365.9505,
1564.699,1378.701,
1561.788,1356.5144,
1558.878,1369.445,
1555.967,1367.626,
1553.057,1317.1211,
1550.146,1289.4273,
1547.235,1306.3904,
1544.325,1278.7817,
1541.414,1240.4793,
1538.504,1240.6656,
1535.593,1200.2431,
1532.683,1179.9824,
1529.772,1197.544,
1526.861,1161.2115,
1523.951,1150.7998,
1521.040,1175.2683,
1518.130,1158.5078,
1515.219,1112.4995,
1512.309,1124.8018,
1509.398,1105.1369,
1506.487,1097.5866,
1503.577,1104.8513,
1500.666,1108.5387,
1497.756,1034.5345,
1494.845,1096.2204,
1491.934,1113.4339,
1489.024,1093.2215,
1486.113,1071.174,
1483.203,1065.9473,
1480.292,1047.6813,
1477.382,1028.335,
1474.471,1022.1979,
1471.560,1033.1107,
1468.650,1044.3327,
1465.739,1057.1074,
1462.829,1031.4655,
1459.918,1010.5,
1457.008,997.29983,
1454.097,986.81079,
1451.186,987.83656,
1448.276,988.08278,
1445.365,985.42733,
1442.455,980.88615,
1439.544,992.123,
1436.633,944.76315,
1433.723,992.73717,
1430.812,1019.7663,
1427.902,986.17649,
1424.991,1014.6094,
1422.081,996.23298,
1419.170,977.21879,
1416.259,929.94653,
1413.349,890.80084,
1410.438,935.38303,
1407.528,983.60593,
1404.617,952.87825,
1401.707,944.28744,
1398.796,965.44405,
1395.885,964.84644,
1392.975,960.37491,
1390.064,964.44635,
1387.154,970.18134,
1384.243,934.43251,
1381.332,973.38532,
1378.422,982.52881,
1375.511,1021.8736,
1372.601,989.32347,
1369.690,1049.0772,
1366.780,1043.6593,
1363.869,1125.2243,
1360.958,1137.0333,
1358.048,1152.6057,
1355.137,1172.0771,
1352.227,1185.853,
1349.316,1220.7191,
1346.406,1263.6759,
1343.495,1285.0087,
1340.584,1286.0708,
1337.674,1326.3576,
1334.763,1333.0413,
1331.853,1320.9873,
1328.942,1409.4464,
1326.032,1366.669,
1323.121,1423.4097,
1320.210,1420.1972,
1317.300,1466.1134,
1314.389,1514.6946,
1311.479,1543.3445,
1308.568,1591.6147,
1305.657,1643.2336,
1302.747,1687.3416,
1299.836,1698.3231,
1296.926,1672.8584,
1294.015,1766.6294,
1291.105,1794.2746,
1288.194,1846.2233,
1285.283,1864.228,
1282.373,1898.7733,
1279.462,1915.304,
1276.552,1944.1615,
1273.641,1997.7211,
1270.731,2033.9687,
1267.820,2046.7994,
1264.909,2042.3028,
1261.999,2083.5347,
1259.088,2057.0831,
1256.178,2026.3805,
1253.267,1989.2778,
1250.356,1926.6742,
1247.446,1918.5151,
1244.535,1889.3707,
1241.625,1812.3779,
1238.714,1752.4046,
1235.804,1719.6457,
1232.893,1669.9946,
1229.982,1692.6908,
1227.072,1639.2774,
1224.161,1569.1002,
1221.251,1574.3682,
1218.340,1563.6569,
1215.430,1532.4786,
1212.519,1502.2755,
1209.608,1503.8013,
1206.698,1533.7553,
1203.787,1529.5151,
1200.877,1503.7259,
1197.966,1523.5074,
1195.055,1573.1352,
1192.145,1623.5752,
1189.234,1682.2667,
1186.324,1705.409,
1183.413,1699.6421,
1180.503,1692.151,
1177.592,1692.7526,
1174.681,1698.1781,
1171.771,1662.18,
1168.860,1691.6519,
1165.950,1617.0962,
1163.039,1611.7697,
1160.129,1638.1449,
1157.218,1643.366,
1154.307,1626.8215,
1151.397,1608.4617,
1148.486,1594.6441,
1145.576,1628.5749,
1142.665,1607.2649,
1139.754,1619.3317,
1136.844,1586.7846,
1133.933,1575.6055,
1131.023,1580.3884,
1128.112,1592.4986,
1125.202,1603.7367,
1122.291,1589.2682,
1119.380,1636.4307,
1116.470,1629.3705,
1113.559,1656.337,
1110.649,1663.1903,
1107.738,1657.1418,
1104.828,1652.5,
1101.917,1645.3991,
1099.006,1621.6651,
1096.096,1590.9513,
1093.185,1614.6574,
1090.275,1633.4947,
1087.364,1647.1057,
1084.453,1655.9997,
1081.543,1660.3764,
1078.632,1665.2607,
1075.722,1671.8075,
1072.811,1663.6933,
1069.901,1652.3409,
1066.990,1703.2332,
1064.079,1699.8482,
1061.169,1682.0063,
1058.258,1687.8985,
1055.348,1722.4919,
1052.437,1758.828,
1049.527,1758.0497,
1046.616,1694.6251,
1043.705,1755.3273,
1040.795,1733.9972,
1037.884,1738.3156,
1034.974,1756.5619,
1032.063,1742.6923,
1029.153,1747.3309,
1026.242,1754.2505,
1023.331,1781.165,
1020.421,1802.5333,
1017.510,1825.748,
1014.600,1849.4962,
1011.689,1878.1834,
1008.778,1907.6618,
1005.868,1879.8861,
1002.957,1922.9038,
1000.047,1992.108,
997.136,2036.6437,
994.226,2044.8078,
991.315,2028.8886,
988.404,2003.8799,
985.494,1964.7685,
982.583,1976.7603,
979.673,1971.9152,
976.762,1962.4548,
973.852,1950.8698,
970.941,1949.3168,
968.030,1965.5,
965.120,1965.5394,
962.209,1974.9173,
959.299,1992.7897,
956.388,1995.0203,
953.477,1995.1992,
950.567,2007.8199,
947.656,2027.6087,
944.746,2020.8123,
941.835,2023.7393,
938.925,2038.9771,
936.014,2044.4767,
933.103,2015.3117,
930.193,1970.6937,
927.282,1989.1627,
924.372,1946.0368,
921.461,1903.68,
918.551,1892.8237,
915.640,1872.4029,
912.729,1833.9126,
909.819,1815.949,
906.908,1857.2279,
903.998,1829.2762,
901.087,1832.3206,
898.176,1868.0861,
895.266,1904.9436,
892.355,1914.8141,
889.445,1916.4927,
886.534,1909.821,
883.624,1960.9809,
880.713,1990.0725,
877.802,1987.9417,
874.892,1973.2715,
871.981,1955.4469,
869.071,1995.5468,
866.160,1946.6133,
863.250,1920.9758,
860.339,1940.5466,
857.428,1975.9261,
854.518,1972.5371,
851.607,1939.2544,
848.697,1967.203,
845.786,1976.7914,
842.875,1976.0441,
839.965,1980.5484,
837.054,1962.407,
834.144,1954.1194,
831.233,1997.8301,
828.323,2022.9729,
825.412,2014.5533,
822.501,1987.4786,
819.591,1965.1658,
816.680,1978.1218,
813.770,1957.6929,
810.859,1932.6702,
807.949,1912.8853,
805.038,1899.8805,
802.127,1936.0982,
799.217,1892.5404,
796.306,1875.3649,
793.396,1873.7214,
790.485,1871.2365,
787.574,1866.7491,
784.664,1873.31,
