,PLE689~1,
Raman shift [1/cm],Intensity,
1736.423,2744.7016,
1733.512,2760.6291,
1730.602,2765.8691,
1727.691,2783.5135,
1724.781,2830.3136,
1721.870,2901.9825,
1718.960,2869.7578,
1716.049,2901.5737,
1713.138,2925.8699,
1710.228,2895.5537,
1707.317,2949.8913,
1704.407,2958.5234,
1701.496,3020.6102,
1698.586,3009.0693,
1695.675,3061.8961,
1692.764,3111.0676,
1689.854,3069.6171,
1686.943,3132.3654,
1684.033,3114.1466,
1681.122,3116.574,
1678.211,3221.6162,
1675.301,3278.4523,
1672.390,3334.9689,
1669.480,3449.7293,
1666.569,3463.8184,
1663.659,3557.066,
1660.748,3586.2859,
1657.837,3722.7841,
1654.927,3775.9839,
1652.016,3833.8886,
1649.106,3886.7304,
1646.195,3970.9127,
1643.285,3985.6784,
1640.374,4117.9212,
1637.463,4180.6426,
1634.553,4293.3589,
1631.642,4477.5577,
1628.732,4654.7745,
1625.821,4847.8167,
1622.911,5138.9739,
1620.000,5394.3871,
1617.089,5642.6499,
1614.179,6013.9932,
1611.268,6317.3229,
1608.358,6542.1366,
1605.447,6773.2554,
1602.536,6903.1109,
1599.626,6992.5791,
1596.715,6965.1362,
1593.805,6845.3619,
1590.894,6880.9425,
1587.984,6915.3399,
1585.073,6865.1727,
1582.162,6810.5412,
1579.252,6754.1635,
1576.341,6765.2537,
1573.431,6723.6346,
1570.520,6657.1186,
1567.610,6602.6244,
1564.699,6588.9,
1561.788,6509.7525,
1558.878,6361.9208,
1555.967,6217.4533,
1553.057,6162.332,
1550.146,6056.8398,
1547.235,5940.4956,
1544.325,5842.5476,
1541.414,5732.9784,
1538.504,5667.2937,
1535.593,5616.1849,
1532.683,5506.6347,
1529.772,5400.3192,
1526.861,5340.2783,
1523.951,5266.8438,
1521.040,5180.247,
1518.130,5116.2268,
1515.219,5083.5452,
1512.309,5065.7151,
1509.398,5027.6765,
1506.487,4995.1842,
1503.577,4977.2737,
1500.666,4956.0141,
1497.756,4893.8705,
1494.845,4868.7829,
1491.934,4776.4612,
1489.024,4726.4116,
1486.113,4703.299,
1483.203,4698.0723,
1480.292,4582.2274,
1477.382,4599.6127,
1474.471,4584.8363,
1471.560,4513.7664,
1468.650,4465.7104,
1465.739,4421.96,
1462.829,4411.3836,
1459.918,4424.9124,
1457.008,4402.6862,
1454.097,4397.7329,
1451.186,4419.2188,
1448.276,4407.1974,
1445.365,4399.3035,
1442.455,4392.3386,
1439.544,4370.2408,
1436.633,4356.344,
1433.723,4375.8833,
1430.812,4356.2556,
1427.902,4350.926,
1424.991,4321.5453,
1422.081,4267.4113,
1419.170,4241.0235,
1416.259,4275.698,
1413.349,4302.7508,
1410.438,4236.5477,
1407.528,4215.2811,
1404.617,4226.4963,
1401.707,4224.2657,
1398.796,4241.2823,
1395.885,4289.3614,
1392.975,4332.9588,
1390.064,4335.6721,
1387.154,4285.3815,
1384.243,4256.1067,
1381.332,4241.7982,
1378.422,4346.7258,
1375.511,4484.4326,
1372.601,4634.9978,
1369.690,4742.7767,
1366.780,4812.4834,
1363.869,4900.7257,
1360.958,4973.5197,
1358.048,5058.3294,
1355.137,5162.13,
1352.227,5276.645,
1349.316,5353.6239,
1346.406,5412.8411,
1343.495,5536.0536,
1340.584,5616.5522,
1337.674,5703.5178,
1334.763,5709.1528,
1331.853,5880.6905,
1328.942,5885.8461,
1326.032,5978.6058,
1323.121,6039.6371,
1320.210,6092.9143,
1317.300,6148.0389,
1314.389,6213.7369,
1311.479,6327.7701,
1308.568,6453.7195,
1305.657,6533.1588,
1302.747,6624.4506,
1299.836,6727.5097,
1296.926,6881.1115,
1294.015,6977.6405,
1291.105,7214.088,
1288.194,7367.0339,
1285.283,7552.9977,
1282.373,7731.6949,
1279.462,7829.8205,
1276.552,7948.4679,
1273.641,8063.0783,
1270.731,8060.6877,
1267.820,8034.8185,
1264.909,8049.5476,
1261.999,8013.2242,
1259.088,8029.6424,
1256.178,7822.5061,
1253.267,7690.1912,
