,PLB286~1,
Raman shift [1/cm],Intensity,
1404.617,2330.5225,
1401.707,2346.402,
1398.796,2395.8644,
1395.885,2409.9064,
1392.975,2390.4375,
1390.064,2404.736,
1387.154,2420.1217,
1384.243,2372.5128,
1381.332,2370.5883,
1378.422,2395.1377,
1375.511,2526.287,
1372.601,2644.4929,
1369.690,2596.0839,
1366.780,2701.2201,
1363.869,2780.7754,
1360.958,2890.4848,
1358.048,2970.0071,
1355.137,3001.3116,
1352.227,3023.1006,
1349.316,3091.4781,
1346.406,3197.3234,
1343.495,3256.8454,
1340.584,3308.9803,
1337.674,3434.9126,
1334.763,3466.1393,
1331.853,3512.5008,
1328.942,3562.4061,
1326.032,3598.553,
1323.121,3684.6582,
1320.210,3767.6464,
1317.300,3814.8527,
1314.389,3855.6116,
1311.479,3920.6951,
1308.568,4021.6618,
1305.657,4109.4083,
1302.747,4139.7583,
1299.836,4289.9402,
1296.926,4371.1434,
1294.015,4495.2521,
1291.105,4669.439,
1288.194,4777.0418,
1285.283,4882.1474,
1282.373,4981.8201,
1279.462,5080.766,
1276.552,5187.517,
1273.641,5274.633,
1270.731,5302.9063,
1267.820,5292.3607,
1264.909,5314.1555,
1261.999,5332.2779,
1259.088,5274.8142,
1256.178,5211.4231,
1253.267,5099.338,
1250.356,4990.4908,
1247.446,4823.1216,
1244.535,4651.594,
1241.625,4475.1012,
1238.714,4286.4253,
1235.804,4163.3363,
1232.893,4089.6447,
1229.982,3997.3086,
1227.072,3906.7774,
1224.161,3853.3068,
1221.251,3808.6386,
1218.340,3683.0079,
1215.430,3610.9148,
1212.519,3578.8315,
1209.608,3559.9431,
1206.698,3597.2904,
1203.787,3648.6765,
1200.877,3615.4397,
1197.966,3664.8934,
1195.055,3703.2114,
1192.145,3856.6383,
1189.234,3963.7663,
1186.324,4041.1976,
1183.413,4090.4156,
1180.503,4096.2809,
1177.592,4065.9706,
1174.681,4008.8716,
1171.771,3942.6126,
1168.860,3909.5683,
1165.950,3867.6731,
1163.039,3789.9315,
1160.129,3756.8359,
1157.218,3736.107,
1154.307,3733.8132,
1151.397,3735.2217,
1148.486,3652.5277,
1145.576,3635.8353,
1142.665,3623.4046,
1139.754,3562.9801,
1136.844,3503.155,
1133.933,3489.8266,
1131.023,3471.7144,
1128.112,3435.6623,
1125.202,3402.3654,
1122.291,3361.5084,
1119.380,3383.6608,
1116.470,3412.7843,
1113.559,3438.026,
1110.649,3425.3845,
1107.738,3413.2317,
1104.828,3414.2877,
1101.917,3433.1685,
1099.006,3458.0351,
1096.096,3409.9125,
1093.185,3418.6926,
1090.275,3444.4624,
1087.364,3437.3387,
1084.453,3410.0014,
1081.543,3407.8363,
1078.632,3437.9706,
1075.722,3455.6645,
1072.811,3423.1196,
1069.901,3433.5988,
1066.990,3476.4082,
1064.079,3511.554,
1061.169,3519.5089,
1058.258,3532.8909,
1055.348,3571.2488,
1052.437,3617.2464,
1049.527,3657.8785,
1046.616,3670.9109,
1043.705,3780.2821,
1040.795,3775.3417,
1037.884,3769.0414,
1034.974,3788.2165,
1032.063,3790.1752,
1029.153,3775.672,
1026.242,3819.7848,
1023.331,3865.5388,
1020.421,3868.7982,
1017.510,3908.3957,
1014.600,3941.375,
1011.689,3959.0494,
1008.778,4025.8065,
1005.868,4157.2939,
1002.957,4259.6761,
1000.047,4406.4151,
997.136,4565.7922,
994.226,4630.4367,
991.315,4610.4171,
988.404,4589.2152,
985.494,4524.7447,
982.583,4451.9374,
979.673,4456.7396,
976.762,4450.0459,
973.852,4447.1211,
970.941,4459.1171,
968.030,4472.0282,
965.120,4481.4752,
962.209,4505.3464,
959.299,4518.5822,
956.388,4526.8547,
953.477,4545.583,
950.567,4550.121,
947.656,4508.1711,
944.746,4559.994,
941.835,4577.7615,
938.925,4584.6653,
936.014,4558.5546,
933.103,4520.4291,
930.193,4483.9949,
927.282,4414.5712,
924.372,4344.3859,
921.461,4319.9106,
918.551,4257.4435,
915.640,4196.4026,
912.729,4155.6888,
909.819,4114.9277,
906.908,4088.8125,
903.998,4088.1704,
901.087,4156.4812,
898.176,4195.8522,
895.266,4211.6102,
892.355,4255.9974,
889.445,4318.1032,
886.534,4355.9442,
883.624,4394.3253,
880.713,4439.486,
877.802,4495.1242,
874.892,4546.1104,
871.981,4548.2308,
869.071,4499.7768,
866.160,4498.2746,
863.250,4475.1649,
860.339,4452.4489,
857.428,4439.4529,
854.518,4376.8564,
851.607,4393.4978,
848.697,4355.7938,
845.786,4321.287,
842.875,4328.047,
839.965,4359.7534,
837.054,4320.0959,
834.144,4295.2333,
831.233,4269.7098,
828.323,4223.2713,
825.412,4197.6437,
822.501,4210.6513,
819.591,4151.1506,
816.680,4079.6633,
813.770,4041.0739,
810.859,4008.0692,
807.949,3954.4358,
805.038,3881.8595,
802.127,3910.669,
799.217,3866.4154,
796.306,3857.1859,
793.396,3867.0468,
790.485,3873.7433,
787.574,3870.8145,
784.664,3856.0525,
781.753,3839.2843,
778.843,3865.2105,
775.932,3911.1032,
773.022,3935.9802,
770.111,3926.9869,
767.200,3904.2969,
764.290,3925.1131,
761.379,3914.2595,
758.469,3857.7951,
755.558,3824.9617,
752.648,3811.1134,
749.737,3804.4583,
746.826,3793.983,
743.916,3774.8814,
741.005,3731.4838,
738.095,3564.2372,
735.184,3442.8365,
732.274,3343.4745,
729.363,3393.934,
726.452,3613.1389,
723.542,3694.8877,
720.631,3763.5963,
717.721,3778.7922,
714.810,3760.9092,
711.899,3763.5236,
708.989,3875.6862,
706.078,3793.0395,
703.168,3735.3345,
700.257,3716.3259,
697.347,3729.4613,
694.436,3748.8655,
691.525,3656.4279,
688.615,3658.3869,
685.704,3651.0854,
682.794,3642.6301,
679.883,3701.1135,
676.973,3673.0655,
674.062,3662.2703,
671.151,3662.005,
668.241,3664.8985,
665.330,3662.1649,
662.420,3636.6055,
659.509,3659.312,
656.598,3671.4803,
653.688,3681.5578,
650.777,3732.618,
647.867,3739.785,
644.956,3733.326,
642.046,3681.94,
639.135,3630.4188,
636.224,3683.5103,
633.314,3710.5042,
630.403,3712.6453,
627.493,3730.4991,
624.582,3773.2036,
621.672,3812.8033,
618.761,3789.297,
615.850,3822.1481,
612.940,3846.4951,
610.029,3835.8196,
607.119,3874.5115,
604.208,3882.6351,
601.297,3884.375,
598.387,3878.6424,
595.476,3864.0036,
592.566,3860.0683,
589.655,3889.8258,
586.745,3896.3937,
583.834,3869.9804,
580.923,3822.4366,
578.013,3832.6381,
575.102,3834.2278,
572.192,3830.1594,
569.281,3833.0922,
566.371,3881.6149,
563.460,3835.5813,
560.549,3852.3827,
557.639,3902.849,
554.728,3933.0502,
551.818,3959.581,
548.907,3933.0761,
545.996,3934.536,
543.086,3973.2335,
540.175,3991.1424,
537.265,4024.9676,
534.354,4055.9376,
531.444,4072.9817,
528.533,4071.196,
525.622,4096.8023,
522.712,4184.8935,
519.801,4263.5791,
516.891,4308.1311,
513.980,4326.7142,
511.070,4376.2706,
508.159,4451.7727,
505.248,4530.1507,
502.338,4585.6568,
499.427,4663.6118,
496.517,4732.4558,
493.606,4810.0905,
490.695,4891.4448,
487.785,4899.1428,
484.874,4850.6158,
481.964,4804.2722,
479.053,4783.81,
476.143,4810.6887,
473.232,4815.2526,
470.321,4795.9388,
467.411,4770.8294,
464.500,4760.8986,
461.590,4781.5736,
458.679,4793.4282,
455.769,4836.8128,
452.858,4916.1597,
449.947,4875.6713,
447.037,4931.6916,
444.126,4986.3144,
441.216,5007.5813,
438.305,5003.0097,
435.395,5024.011,
432.484,5037.8755,
429.573,5049.0076,
426.663,5081.6936,
423.752,5168.0653,
420.842,5242.7366,
417.931,5274.8005,
415.020,5227.0239,
412.110,5296.3415,
409.199,5329.71,
406.289,5349.92,
403.378,5388.2367,
400.468,5347.413,
397.557,5352.8844,
394.646,5352.8675,
391.736,5305.3991,
388.825,5306.1534,
385.915,5274.9756,
383.004,5275.6438,
380.094,5348.64,
377.183,5393.0361,
374.272,5493.8482,
371.362,5583.68,
368.451,5619.0984,
365.541,5598.0834,
362.630,5592.375,
359.719,5619.9,
