,PL662E~1,
Raman shift [1/cm],Intensity,
1745.155,880.80317,
1742.244,874.24368,
1739.334,880.14,
1736.423,909.5224,
1733.512,914.40649,
1730.602,905.76785,
1727.691,914.24725,
1724.781,919.07315,
1721.870,940.42393,
1718.960,943.0333,
1716.049,957.60154,
1713.138,963.06499,
1710.228,956.53762,
1707.317,960.80743,
1704.407,959.70321,
1701.496,1002.3427,
1698.586,984.32437,
1695.675,963.78583,
1692.764,1012.6763,
1689.854,962.88186,
1686.943,998.1847,
1684.033,1008.2765,
1681.122,1044.8713,
1678.211,1024.6999,
1675.301,1102.2595,
1672.390,1084.4581,
1669.480,1070.7246,
1666.569,1098.8809,
1663.659,1128.5817,
1660.748,1133.9435,
1657.837,1158.7745,
1654.927,1258.3211,
1652.016,1168.6421,
1649.106,1214.8183,
1646.195,1228.6029,
1643.285,1274.3887,
1640.374,1312.2282,
1637.463,1300.4548,
1634.553,1353.4162,
1631.642,1415.6184,
1628.732,1517.9326,
1625.821,1590.5438,
1622.911,1657.1224,
1620.000,1774.0134,
1617.089,1939.1766,
1614.179,2034.8209,
1611.268,2167.481,
1608.358,2230.6438,
1605.447,2297.6148,
1602.536,2281.9304,
1599.626,2354.0946,
1596.715,2305.1363,
1593.805,2252.1004,
1590.894,2276.4428,
1587.984,2236.3293,
1585.073,2218.4394,
1582.162,2247.3908,
1579.252,2207.6751,
1576.341,2236.7521,
1573.431,2158.7845,
1570.520,2188.0064,
1567.610,2131.4793,
1564.699,2128.9759,
1561.788,2108.627,
1558.878,2030.272,
1555.967,1961.8421,
1553.057,1951.4309,
1550.146,1914.0965,
1547.235,1837.9126,
1544.325,1819.9004,
1541.414,1789.8355,
1538.504,1756.5828,
1535.593,1741.4842,
1532.683,1709.637,
1529.772,1695.3625,
1526.861,1669.9463,
1523.951,1626.0274,
1521.040,1614.7317,
1518.130,1602.5146,
1515.219,1607.7388,
1512.309,1630.1756,
1509.398,1560.9736,
1506.487,1524.6731,
1503.577,1531.267,
1500.666,1513.2835,
1497.756,1516.5251,
1494.845,1480.9402,
1491.934,1491.2354,
1489.024,1410.386,
1486.113,1388.9557,
