,PL070F~1,
Raman shift [1/cm],Intensity,
1864.489,1011.463,
1861.578,996.43259,
1858.667,1005.4574,
1855.757,993.69063,
1852.846,1024.8378,
1849.936,1018.5424,
1847.025,1044.2467,
1844.114,1022.5038,
1841.204,1022.9886,
1838.293,1032.1217,
1835.383,1023.195,
1832.472,1023.0207,
1829.562,1033.5966,
1826.651,1065.5274,
1823.740,1061.6537,
1820.830,1048.9517,
1817.919,1030.0231,
1815.009,1056.9494,
1812.098,1085.4636,
1809.188,1057.1716,
1806.277,1075.6602,
1803.366,1048.0733,
1800.456,1101.7069,
1797.545,1061.4157,
1794.635,1074.383,
1791.724,1074.8046,
1788.813,1069.9273,
1785.903,1072.2006,
1782.992,1069.2696,
1780.082,1094.2796,
1777.171,1071.7931,
1774.261,1066.5398,
1771.350,1055.2485,
1768.439,1089.1069,
1765.529,1107.3953,
1762.618,1112.4163,
1759.708,1123.3966,
1756.797,1115.2765,
1753.887,1136.3058,
1750.976,1125.7696,
1748.065,1129.6304,
1745.155,1136.0992,
1742.244,1137.4221,
1739.334,1147.6568,
1736.423,1128.5157,
1733.512,1170.7877,
1730.602,1186.3849,
1727.691,1188.1956,
1724.781,1171.8203,
1721.870,1159.0773,
1718.960,1195.7699,
1716.049,1242.7178,
1713.138,1221.9101,
1710.228,1259.7696,
1707.317,1223.6656,
1704.407,1241.4833,
1701.496,1255.0636,
1698.586,1244.1132,
1695.675,1222.5394,
1692.764,1251.4201,
1689.854,1322.9636,
1686.943,1273.9462,
1684.033,1291.6283,
1681.122,1308.8361,
1678.211,1311.106,
1675.301,1378.9153,
1672.390,1374.2626,
1669.480,1419.9485,
1666.569,1397.9726,
1663.659,1386.958,
1660.748,1438.0891,
1657.837,1488.2841,
1654.927,1540.1719,
1652.016,1541.5661,
1649.106,1521.2793,
1646.195,1605.3507,
1643.285,1535.4037,
1640.374,1632.1842,
1637.463,1589.35,
1634.553,1656.524,
1631.642,1683.5919,
1628.732,1726.5635,
1625.821,1800.1845,
1622.911,1890.6122,
1620.000,2033.3108,
1617.089,2068.4484,
1614.179,2251.8232,
1611.268,2286.9725,
1608.358,2456.8373,
1605.447,2576.383,
1602.536,2655.8122,
1599.626,2685.0433,
1596.715,2662.6198,
1593.805,2623.4574,
1590.894,2614.7216,
1587.984,2652.2331,
1585.073,2622.3907,
1582.162,2534.3062,
1579.252,2547.5838,
1576.341,2526.8888,
1573.431,2509.9437,
1570.520,2477.3143,
1567.610,2482.2821,
1564.699,2422.5973,
1561.788,2413.6178,
1558.878,2353.897,
1555.967,2352.8549,
1553.057,2316.4531,
1550.146,2240.4197,
1547.235,2209.9443,
1544.325,2194.9867,
1541.414,2180.8847,
1538.504,2161.6833,
1535.593,2123.7269,
1532.683,2089.5589,
1529.772,2064.1877,
1526.861,2020.169,
1523.951,1978.2614,
1521.040,1979.5784,
1518.130,1981.5817,
1515.219,1969.0849,
1512.309,1964.2151,
1509.398,1936.7029,
1506.487,1945.7628,
1503.577,1936.9243,
1500.666,1891.8792,
1497.756,1865.8199,
1494.845,1862.4052,
1491.934,1869.0211,
1489.024,1837.2588,
1486.113,1823.144,
1483.203,1821.2368,
1480.292,1735.4253,
1477.382,1746.7972,
1474.471,1758.4967,
1471.560,1724.5674,
1468.650,1716.5912,
1465.739,1715.2821,
1462.829,1651.056,
1459.918,1661.6116,
1457.008,1688.3863,
1454.097,1705.9382,
1451.186,1722.5002,
1448.276,1685.1146,
1445.365,1651.5855,
1442.455,1614.3246,
1439.544,1658.5592,
1436.633,1728.4348,
1433.723,1685.7692,
1430.812,1645.7057,
1427.902,1701.4563,
1424.991,1631.3219,
1422.081,1636.4648,
1419.170,1583.5533,
1416.259,1567.8344,
1413.349,1568.3907,
1410.438,1565.6261,
1407.528,1535.1566,
1404.617,1552.0042,
1401.707,1567.7058,
1398.796,1546.0201,
1395.885,1539.4597,
1392.975,1570.0632,
1390.064,1575.5803,
1387.154,1516.7884,
1384.243,1496.1916,
1381.332,1439.8796,
1378.422,1493.564,
1375.511,1637.8282,
1372.601,1650.2623,
1369.690,1815.7117,
1366.780,1784.5144,
1363.869,1827.9696,
1360.958,1897.0004,
1358.048,1897.9858,
1355.137,1928.3852,
1352.227,2020.4521,
1349.316,2098.4,
1346.406,2131.9147,
1343.495,2153.8341,
1340.584,2194.6603,
1337.674,2230.4163,
1334.763,2316.7248,
1331.853,2332.4878,
1328.942,2398.9453,
1326.032,2422.6218,
1323.121,2460.9503,
1320.210,2426.5105,
1317.300,2454.4752,
1314.389,2487.0416,
1311.479,2516.018,
1308.568,2557.125,
1305.657,2558.2488,
1302.747,2577.9068,
1299.836,2654.5674,
1296.926,2733.8252,
1294.015,2834.9508,
1291.105,2839.125,
1288.194,2928.5842,
1285.283,3014.1333,
1282.373,3037.2266,
1279.462,3104.2021,
1276.552,3148.0462,
1273.641,3163.7343,
1270.731,3199.1877,
1267.820,3170.4101,
1264.909,3182.1473,
1261.999,3203.7588,
1259.088,3193.7255,
1256.178,3208.5412,
1253.267,3192.7123,
1250.356,3086.2142,
1247.446,2992.947,
1244.535,2953.1965,
1241.625,2923.7288,
1238.714,2864.1024,
1235.804,2793.1687,
1232.893,2758.1296,
1229.982,2735.2238,
1227.072,2679.0945,
