,PLD32A~1,
Wavenumbers [1/cm],Intensity,
947.656,2504.0897,
944.746,2482.8508,
941.835,2482.6848,
938.925,2523.6741,
936.014,2526.1594,
933.103,2514.9369,
930.193,2523.6801,
927.282,2507.6541,
924.372,2522.0294,
921.461,2514.3018,
918.551,2499.2563,
915.640,2474.7271,
912.729,2455.2902,
909.819,2467.1016,
906.908,2506.6956,
903.998,2494.5584,
901.087,2526.5193,
898.176,2523.9696,
895.266,2503.636,
892.355,2522.5133,
889.445,2568.673,
886.534,2548.8381,
883.624,2564.3871,
880.713,2584.0821,
877.802,2614.3711,
874.892,2659.1258,
871.981,2685.3362,
869.071,2620.174,
866.160,2568.1674,
863.250,2553.5444,
860.339,2564.7504,
857.428,2578.875,
854.518,2579.2842,
851.607,2593.4294,
848.697,2655.0273,
845.786,2635.168,
842.875,2591.1759,
839.965,2598.1374,
837.054,2636.3123,
834.144,2675.2636,
831.233,2682.875,
828.323,2689.3044,
825.412,2705.8559,
822.501,2727.1729,
819.591,2728.8257,
816.680,2682.4006,
813.770,2698.4411,
810.859,2690.0568,
807.949,2670.0726,
805.038,2695.2821,
802.127,2682.112,
799.217,2657.0225,
796.306,2635.8208,
793.396,2650.0127,
790.485,2694.8242,
787.574,2722.0894,
784.664,2754.0737,
781.753,2735.0486,
778.843,2735.1271,
775.932,2752.8132,
773.022,2768.5665,
770.111,2798.8169,
767.200,2777.2743,
764.290,2766.9856,
761.379,2767.2382,
758.469,2780.292,
755.558,2816.0452,
752.648,2821.7474,
749.737,2858.7784,
746.826,2848.5031,
743.916,2832.7454,
741.005,2889.6962,
738.095,2985.4977,
735.184,3029.7677,
732.274,2984.5004,
729.363,2900.9418,
726.452,2831.1043,
723.542,2782.5407,
720.631,2803.5757,
717.721,2849.8285,
714.810,2887.6306,
711.899,2898.1126,
708.989,2881.9741,
706.078,2871.4581,
703.168,2877.3761,
700.257,2882.875,
697.347,2874.3976,
694.436,2844.4205,
691.525,2864.5157,
688.615,2853.1522,
685.704,2850.7821,
682.794,2868.3004,
679.883,2896.8121,
676.973,2917.6478,
674.062,2954.4172,
671.151,2944.3835,
668.241,2917.6432,
665.330,2948.0809,
662.420,2931.3075,
659.509,2931.0497,
656.598,2939.3662,
653.688,2958.687,
650.777,2994.2539,
647.867,2975.9384,
644.956,2990.4495,
642.046,2981.1451,
639.135,2955.8576,
636.224,2970.8392,
633.314,2963.6937,
630.403,2970.7432,
627.493,2991.8539,
624.582,3008.459,
621.672,2975.1952,
618.761,3049.109,
615.850,3100.4244,
612.940,3123.2165,
610.029,3127.4261,
607.119,3148.7461,
604.208,3163.6552,
601.297,3159.9017,
598.387,3141.7028,
595.476,3121.1777,
592.566,3145.5768,
589.655,3150.5229,
586.745,3156.5166,
583.834,3169.3646,
580.923,3188.8324,
578.013,3181.7697,
575.102,3175.8599,
572.192,3184.6654,
569.281,3205.3126,
566.371,3202.1821,
563.460,3215.9844,
560.549,3211.6421,
557.639,3217.5259,
554.728,3260.8549,
551.818,3228.8619,
548.907,3187.7479,
545.996,3179.0938,
543.086,3196.5197,
540.175,3180.9468,
537.265,3186.3935,
534.354,3210.4477,
531.444,3215.1555,
528.533,3173.2546,
525.622,3192.6532,
522.712,3164.1103,
519.801,3158.5321,
516.891,3185.2835,
513.980,3192.2522,
511.070,3188.6489,
508.159,3203.1123,
505.248,3215.1167,
502.338,3198.8916,
499.427,3233.6241,
496.517,3262.673,
493.606,3300.7564,
490.695,3340.2048,
487.785,3299.4059,
484.874,3298.691,
481.964,3286.0944,
479.053,3252.2919,
476.143,3203.9103,
473.232,3228.9317,
470.321,3220.4119,
467.411,3219.6293,
464.500,3278.2047,
461.590,3291.2223,
458.679,3306.9815,
455.769,3314.0394,
452.858,3307.875,
