,PLBD77~1,
Raman shift [1/cm],Intensity,
1847.025,333.30262,
1844.114,327.32029,
1841.204,331.98864,
1838.293,330.13997,
1835.383,316.753,
1832.472,307.19457,
1829.562,329.95469,
1826.651,358.11677,
1823.740,354.66138,
1820.830,351.89666,
1817.919,337.46622,
1815.009,358.95578,
1812.098,369.40846,
1809.188,334.48167,
1806.277,351.68236,
1803.366,320.12317,
1800.456,376.70688,
1797.545,336.96888,
1794.635,355.89901,
1791.724,359.63958,
1788.813,357.13143,
1785.903,368.21421,
1782.992,345.29492,
1780.082,361.52248,
1777.171,356.45637,
1774.261,343.64989,
1771.350,340.06125,
1768.439,355.08328,
1765.529,361.30648,
1762.618,363.95626,
1759.708,383.94037,
1756.797,395.43561,
1753.887,397.07398,
1750.976,377.71794,
1748.065,379.3293,
1745.155,370.32514,
1742.244,370.38132,
1739.334,371.33206,
1736.423,376.19041,
1733.512,380.58029,
1730.602,417.02981,
1727.691,416.84243,
1724.781,411.55185,
1721.870,394.2249,
1718.960,413.96973,
1716.049,420.80295,
1713.138,420.27,
1710.228,420.9953,
1707.317,402.549,
1704.407,401.92179,
1701.496,403.03655,
1698.586,415.1368,
1695.675,393.66799,
1692.764,390.23156,
1689.854,436.04629,
1686.943,393.67638,
1684.033,430.15639,
1681.122,420.31192,
1678.211,439.93465,
1675.301,472.02633,
1672.390,443.25958,
1669.480,487.97258,
1666.569,468.75682,
1663.659,440.99062,
1660.748,492.58511,
1657.837,465.36557,
1654.927,476.94502,
1652.016,510.49322,
1649.106,485.34533,
1646.195,494.86827,
1643.285,525.30729,
1640.374,532.43511,
1637.463,501.58418,
1634.553,580.94767,
1631.642,569.27701,
1628.732,583.26721,
1625.821,607.12827,
1622.911,612.09682,
1620.000,700.00371,
1617.089,741.30908,
1614.179,834.4459,
1611.268,858.30709,
1608.358,904.87749,
1605.447,938.23954,
1602.536,953.17142,
1599.626,990.92231,
1596.715,972.34257,
1593.805,968.33634,
1590.894,1019.2039,
1587.984,1023.5267,
1585.073,948.25312,
1582.162,938.46454,
1579.252,933.39689,
1576.341,920.91011,
1573.431,909.51008,
1570.520,873.49241,
1567.610,878.02719,
1564.699,846.14848,
1561.788,837.75875,
1558.878,808.03513,
1555.967,798.41032,
1553.057,778.79764,
1550.146,752.60503,
1547.235,747.07663,
1544.325,722.545,
1541.414,704.28523,
1538.504,706.125,
1535.593,671.55408,
1532.683,646.15046,
1529.772,649.2064,
1526.861,639.74596,
1523.951,657.7975,
1521.040,654.4599,
1518.130,609.92928,
1515.219,616.40498,
1512.309,621.33673,
1509.398,625.10234,
1506.487,589.04642,
1503.577,574.24328,
1500.666,575.05702,
1497.756,619.15005,
1494.845,581.4841,
1491.934,542.25729,
1489.024,582.68199,
1486.113,552.59967,
1483.203,510.15745,
1480.292,486.45775,
1477.382,476.65901,
1474.471,501.21589,
1471.560,506.22234,
1468.650,479.84387,
1465.739,463.00108,
1462.829,408.7987,
1459.918,407.82695,
1457.008,455.94065,
1454.097,479.82226,
1451.186,451.272,
1448.276,406.23191,
1445.365,403.62421,
1442.455,388.65861,
1439.544,394.54016,
1436.633,451.84199,
1433.723,387.75415,
1430.812,379.30712,
1427.902,393.83185,
1424.991,381.51094,
1422.081,406.81436,
1419.170,363.3298,
1416.259,313.19166,
1413.349,340.88705,
1410.438,344.72764,
1407.528,312.15662,
1404.617,307.28044,
1401.707,323.60405,
1398.796,307.99569,
1395.885,290.39279,
1392.975,299.99991,
1390.064,295.24207,
1387.154,288.91911,
1384.243,259.43243,
1381.332,188.21962,
1378.422,225.81059,
1375.511,316.67834,
1372.601,308.9093,
1369.690,419.56392,
1366.780,404.85952,
1363.869,423.73113,
1360.958,451.95084,
1358.048,462.90494,
1355.137,483.04963,
1352.227,516.13817,
1349.316,549.9005,
1346.406,573.44431,
1343.495,590.0693,
1340.584,645.44591,
1337.674,686.95066,
1334.763,753.04242,
1331.853,777.15042,
1328.942,765.6725,
1326.032,776.35931,
1323.121,825.80576,
1320.210,836.13171,
1317.300,848.47103,
1314.389,861.69449,
1311.479,880.28993,
1308.568,924.83161,
1305.657,950.82946,
1302.747,926.10898,
1299.836,998.89901,
1296.926,1042.7315,
1294.015,1098.8102,
1291.105,1124.0191,
1288.194,1180.6408,
1285.283,1204.149,
1282.373,1249.8905,
1279.462,1287.8502,
1276.552,1320.0306,
1273.641,1350.5783,
1270.731,1356.7145,
1267.820,1342.178,
1264.909,1327.4877,
1261.999,1331.2901,
1259.088,1363.2143,
1256.178,1348.8523,
1253.267,1350.7282,
1250.356,1314.1988,
1247.446,1246.8399,
1244.535,1201.7188,
1241.625,1191.125,
1238.714,1182.7182,
1235.804,1165.4357,
1232.893,1166.5056,
1229.982,1140.6344,
1227.072,1126.1494,
1224.161,1099.9099,
1221.251,1092.147,
1218.340,1037.3566,
1215.430,1029.5959,
1212.519,1042.1446,
1209.608,1030.455,
1206.698,1033.4019,
1203.787,1069.7883,
1200.877,1058.8523,
1197.966,1086.7263,
1195.055,1160.6511,
1192.145,1162.6062,
1189.234,1166.2617,
1186.324,1215.9476,
1183.413,1245.7341,
1180.503,1231.4152,
1177.592,1218.7815,
1174.681,1203.5325,
1171.771,1219.9808,
1168.860,1213.7291,
1165.950,1185.7112,
1163.039,1174.2362,
1160.129,1182.7424,
1157.218,1195.8938,
1154.307,1197.3017,
1151.397,1184.6935,
1148.486,1163.5832,
1145.576,1118.1703,
1142.665,1188.3154,
1139.754,1160.7662,
1136.844,1129.3147,
1133.933,1132.6146,
1131.023,1159.1205,
1128.112,1162.0559,
1125.202,1130.468,
1122.291,1121.2476,
1119.380,1115.584,
1116.470,1162.3581,
1113.559,1171.9912,
1110.649,1177.0541,
1107.738,1200.0219,
1104.828,1215.2123,
1101.917,1200.1778,
1099.006,1180.2589,
1096.096,1208.3725,
1093.185,1196.0804,
1090.275,1194.3157,
1087.364,1192.7528,
1084.453,1206.7491,
1081.543,1213.7428,
1078.632,1197.1562,
1075.722,1177.4504,
1072.811,1196.7455,
1069.901,1205.4781,
1066.990,1217.4416,
1064.079,1255.5117,
1061.169,1259.9744,
1058.258,1261.1356,
1055.348,1272.0096,
1052.437,1265.5688,
1049.527,1284.8369,
1046.616,1329.1472,
1043.705,1312.5436,
1040.795,1308.679,
1037.884,1321.2512,
1034.974,1326.5387,
1032.063,1328.5708,
1029.153,1361.6975,
1026.242,1333.154,
1023.331,1341.2911,
1020.421,1341.0337,
1017.510,1350.7702,
1014.600,1371.39,
1011.689,1397.5323,
1008.778,1422.2979,
1005.868,1429.3953,
1002.957,1459.5077,
1000.047,1508.533,
997.136,1544.5067,
994.226,1550.0944,
991.315,1541.0384,
988.404,1545.0706,
985.494,1553.9358,
982.583,1500.8294,
979.673,1528.9757,
976.762,1531.5572,
973.852,1536.5013,
970.941,1545.0119,
968.030,1526.1712,
965.120,1515.0999,
962.209,1509.1321,
959.299,1493.96,
956.388,1506.6038,
953.477,1519.8919,
950.567,1519.6935,
947.656,1524.2364,
944.746,1525.086,
941.835,1552.6587,
938.925,1543.9898,
936.014,1524.491,
933.103,1516.3028,
930.193,1519.3284,
927.282,1508.3541,
924.372,1512.5822,
921.461,1483.669,
918.551,1475.4487,
915.640,1468.2012,
912.729,1462.0288,
909.819,1476.9017,
906.908,1467.6351,
903.998,1472.6925,
901.087,1462.6679,
898.176,1472.3496,
895.266,1491.0772,
892.355,1503.4909,
889.445,1558.8826,
886.534,1537.4183,
883.624,1531.7793,
880.713,1538.27,
877.802,1546.862,
874.892,1544.9773,
871.981,1522.0461,
869.071,1518.7044,
866.160,1516.0551,
863.250,1537.1415,
860.339,1548.5336,
857.428,1535.0381,
854.518,1543.3416,
851.607,1550.8303,
848.697,1504.6656,
845.786,1491.9474,
842.875,1509.5628,
839.965,1525.6881,
837.054,1519.5995,
834.144,1561.8658,
831.233,1556.7926,
828.323,1545.6739,
825.412,1539.5152,
822.501,1528.9759,
819.591,1489.3087,
816.680,1500.9455,
813.770,1498.4865,
810.859,1468.0506,
