,PL2D4B~1,
Wavenumbers [1/cm],Intensity,
1829.562,610.8927,
1826.651,589.52978,
1823.740,604.4713,
1820.830,612.54332,
1817.919,591.82621,
1815.009,596.41857,
1812.098,619.54329,
1809.188,627.62789,
1806.277,609.42051,
1803.366,627.30128,
1800.456,587.9235,
1797.545,621.27658,
1794.635,629.16008,
1791.724,661.8544,
1788.813,657.20797,
1785.903,662.53696,
1782.992,579.41723,
1780.082,494.96997,
1777.171,384.97963,
1774.261,345.50074,
1771.350,481.02653,
1768.439,616.1099,
1765.529,660.45651,
1762.618,694.74067,
1759.708,684.79315,
1756.797,682.04546,
1753.887,695.15306,
1750.976,701.33115,
1748.065,705.24117,
1745.155,709.30317,
1742.244,668.97471,
1739.334,654.90117,
1736.423,689.38127,
1733.512,697.63413,
1730.602,735.6449,
1727.691,719.8289,
1724.781,740.88991,
1721.870,738.53803,
1718.960,779.5783,
1716.049,732.78869,
1713.138,763.8948,
1710.228,772.74059,
1707.317,732.30972,
1704.407,765.63108,
1701.496,798.25798,
1698.586,769.58453,
1695.675,782.90705,
1692.764,791.57377,
1689.854,775.73621,
1686.943,799.15686,
1684.033,859.48499,
1681.122,833.47579,
1678.211,819.13324,
1675.301,879.81191,
1672.390,857.9342,
1669.480,836.24868,
1666.569,867.72367,
1663.659,924.34298,
1660.748,945.11569,
1657.837,951.48113,
1654.927,973.7263,
1652.016,1003.2953,
1649.106,976.5423,
1646.195,1038.9111,
1643.285,1076.1595,
1640.374,1083.5017,
1637.463,1108.1709,
1634.553,1173.0049,
1631.642,1240.5538,
1628.732,1291.314,
1625.821,1344.0465,
1622.911,1414.5999,
1620.000,1500.9039,
1617.089,1605.8905,
1614.179,1729.4749,
1611.268,1814.8399,
1608.358,1934.2876,
1605.447,1987.1432,
1602.536,2034.7306,
1599.626,2049.9591,
1596.715,2099.1029,
1593.805,1988.6312,
1590.894,1985.568,
1587.984,1994.7948,
1585.073,1904.1118,
1582.162,1908.0373,
1579.252,1808.8941,
1576.341,1791.6074,
1573.431,1756.1908,
1570.520,1704.7236,
1567.610,1708.3924,
1564.699,1671.2232,
1561.788,1659.2253,
1558.878,1623.448,
1555.967,1572.9668,
1553.057,1541.9657,
1550.146,1495.2837,
1547.235,1462.1451,
1544.325,1460.5243,
