,PLCD80~1,
Raman shift [1/cm],Intensity,
1358.048,3622.9314,
1355.137,3688.553,
1352.227,3784.7168,
1349.316,3888.6722,
1346.406,3977.7761,
1343.495,4015.524,
1340.584,4108.8746,
1337.674,4146.3083,
1334.763,4220.7774,
1331.853,4277.3385,
1328.942,4308.9773,
1326.032,4372.1653,
1323.121,4496.7697,
1320.210,4552.9389,
1317.300,4592.3171,
1314.389,4674.2651,
1311.479,4771.382,
1308.568,4854.9522,
1305.657,4942.1255,
1302.747,5034.8112,
1299.836,5118.5957,
1296.926,5237.1543,
1294.015,5334.6026,
1291.105,5545.5523,
1288.194,5710.2101,
1285.283,5854.8895,
1282.373,5972.031,
1279.462,6071.1729,
1276.552,6155.7197,
1273.641,6233.41,
1270.731,6297.1519,
1267.820,6307.6535,
1264.909,6266.3609,
1261.999,6241.6929,
1259.088,6216.1536,
1256.178,6163.2376,
1253.267,6052.588,
1250.356,5869.9201,
1247.446,5680.8663,
1244.535,5517.8529,
1241.625,5371.4363,
1238.714,5187.2641,
1235.804,4971.2756,
1232.893,4893.3939,
1229.982,4805.3559,
1227.072,4738.3628,
1224.161,4642.8506,
1221.251,4543.729,
1218.340,4465.0957,
1215.430,4391.9306,
1212.519,4307.9908,
1209.608,4289.1888,
1206.698,4353.7951,
1203.787,4340.5999,
1200.877,4332.021,
1197.966,4370.6848,
1195.055,4431.4992,
1192.145,4606.9205,
1189.234,4689.5231,
1186.324,4815.9084,
1183.413,4902.4423,
1180.503,4874.0524,
1177.592,4807.6042,
1174.681,4717.6969,
1171.771,4689.4917,
1168.860,4640.3718,
1165.950,4586.4413,
1163.039,4526.4352,
1160.129,4500.9062,
1157.218,4472.146,
1154.307,4429.413,
1151.397,4386.4202,
1148.486,4339.723,
1145.576,4348.4256,
1142.665,4274.7288,
1139.754,4236.8935,
1136.844,4188.3071,
1133.933,4170.625,
1131.023,4150.797,
1128.112,4106.8424,
1125.202,4068.8327,
1122.291,4072.1237,
1119.380,4068.9455,
1116.470,4101.599,
1113.559,4117.997,
1110.649,4112.4572,
1107.738,4119.413,
1104.828,4156.6715,
1101.917,4199.6548,
1099.006,4203.9139,
1096.096,4166.7649,
1093.185,4152.7169,
1090.275,4148.3879,
1087.364,4176.4422,
1084.453,4154.1898,
1081.543,4101.6464,
1078.632,4088.7421,
1075.722,4123.2906,
1072.811,4093.2384,
1069.901,4115.9431,
1066.990,4164.5082,
1064.079,4208.9702,
1061.169,4258.8677,
1058.258,4283.2371,
1055.348,4303.9054,
1052.437,4368.7247,
1049.527,4391.0012,
1046.616,4426.6232,
1043.705,4409.8143,
1040.795,4457.2594,
1037.884,4476.4988,
1034.974,4483.1289,
1032.063,4513.8173,
1029.153,4517.4173,
1026.242,4515.6874,
1023.331,4541.4567,
1020.421,4598.2105,
1017.510,4615.0222,
1014.600,4655.0327,
1011.689,4730.7337,
1008.778,4790.0302,
1005.868,4915.7833,
1002.957,5044.8365,
1000.047,5239.3451,
997.136,5386.2633,
994.226,5488.2397,
991.315,5508.9171,
988.404,5413.7362,
985.494,5331.6634,
982.583,5333.3765,
979.673,5256.0705,
976.762,5244.651,
973.852,5267.2332,
970.941,5262.8422,
968.030,5226.3361,
965.120,5258.4567,
962.209,5218.3873,
959.299,5261.2024,
956.388,5241.3076,
953.477,5244.1513,
950.567,5287.3508,
947.656,5274.4157,
944.746,5310.9466,
941.835,5282.6619,
938.925,5338.1398,
936.014,5366.0726,
933.103,5326.3156,
930.193,5251.4374,
927.282,5208.1044,
924.372,5161.5961,
921.461,5074.621,
918.551,5009.0262,
915.640,4967.327,
912.729,4918.9843,
909.819,4843.1802,
906.908,4839.8105,
903.998,4873.0303,
901.087,4897.5377,
898.176,4939.5515,
895.266,5007.6823,
892.355,5090.7604,
889.445,5166.2944,
886.534,5144.9183,
883.624,5230.1117,
880.713,5276.6871,
877.802,5280.3198,
874.892,5272.6165,
871.981,5232.7828,
869.071,5239.4661,
866.160,5273.0531,
863.250,5255.6486,
860.339,5231.2787,
857.428,5220.8767,
854.518,5141.3843,
851.607,5133.0636,
848.697,5088.2925,
845.786,5060.3215,
842.875,5052.9745,
839.965,5053.2658,
837.054,5051.5134,
834.144,5041.5683,
831.233,5003.6276,
828.323,5018.7613,
825.412,5011.0918,
822.501,4923.625,
819.591,4923.625,
816.680,4871.5416,
813.770,4805.9988,
810.859,4757.4779,
807.949,4739.6567,
805.038,4747.3263,
802.127,4744.8569,
799.217,4702.1377,
796.306,4660.3816,
793.396,4649.3579,
790.485,4661.2557,
787.574,4648.2825,
784.664,4639.2613,
781.753,4608.1017,
778.843,4631.3613,
775.932,4668.7732,
773.022,4665.3858,
770.111,4670.2913,
767.200,4682.806,
764.290,4661.7762,
761.379,4653.4717,
758.469,4654.1856,
755.558,4599.1387,
752.648,4582.8467,
749.737,4582.8889,
746.826,4532.8745,
743.916,4446.8194,
741.005,4358.4587,
738.095,4188.7764,
735.184,3968.4083,
732.274,3925.4378,
729.363,4067.2274,
726.452,4303.6978,
723.542,4425.9162,
720.631,4491.4945,
717.721,4538.2673,
714.810,4551.2501,
711.899,4536.3082,
708.989,4530.6597,
706.078,4529.8237,
703.168,4491.3701,
700.257,4481.8902,
697.347,4492.5392,
694.436,4452.1231,
691.525,4433.6356,
688.615,4432.7696,
685.704,4419.9474,
682.794,4408.8164,
679.883,4436.3098,
676.973,4451.5359,
674.062,4449.5203,
671.151,4445.31,
668.241,4445.7692,
665.330,4453.6082,
662.420,4474.3752,
659.509,4471.0058,
656.598,4448.0168,
653.688,4437.1975,
650.777,4482.247,
647.867,4471.0984,
644.956,4464.9101,
642.046,4427.3842,
639.135,4405.9222,
636.224,4512.5653,
633.314,4500.6562,
630.403,4487.5744,
627.493,4517.8802,
624.582,4561.0273,
621.672,4486.5798,
618.761,4577.8575,
615.850,4610.9309,
612.940,4624.8956,
610.029,4652.675,
607.119,4688.998,
604.208,4646.4741,
601.297,4635.6013,
598.387,4657.3833,
595.476,4687.094,
592.566,4639.0828,
589.655,4626.7377,
586.745,4628.5307,
583.834,4626.8179,
580.923,4602.2791,
578.013,4544.9935,
575.102,4578.9536,
572.192,4592.0442,
569.281,4565.2316,
566.371,4652.1028,
563.460,4650.043,
560.549,4686.5564,
557.639,4742.516,
554.728,4779.3495,
551.818,4806.6606,
548.907,4794.952,
545.996,4804.2308,
543.086,4834.7796,
540.175,4826.2145,
537.265,4846.6291,
534.354,4922.8549,
531.444,4984.7732,
528.533,4972.7152,
525.622,5016.1683,
522.712,5063.8505,
519.801,5106.9552,
516.891,5161.8223,
513.980,5286.4839,
511.070,5364.538,
508.159,5439.9041,
505.248,5537.942,
502.338,5677.3254,
499.427,5701.2521,
496.517,5762.4936,
493.606,5817.0752,
490.695,5848.793,
487.785,5900.3689,
484.874,5908.625,
481.964,5893.675,
479.053,5870.7864,
476.143,5863.1068,
473.232,5860.4668,
470.321,5851.8398,
467.411,5832.9881,
464.500,5801.8577,
461.590,5811.0466,
458.679,5820.7788,
455.769,5833.8715,
452.858,5853.4427,
449.947,5890.1114,
447.037,5920.0751,
444.126,5937.2129,
441.216,5946.3874,
438.305,5973.8169,
435.395,5935.6643,
432.484,5951.5494,
429.573,6017.2276,
426.663,6071.1976,
423.752,6048.4257,
420.842,5995.0666,
417.931,5973.4205,
415.020,6071.2487,
412.110,6130.9592,
409.199,6223.5076,
406.289,6291.2456,
403.378,6268.5712,
400.468,6252.6953,
397.557,6243.5118,
394.646,6245.5506,
391.736,6258.8725,
388.825,6172.8901,
385.915,6170.5093,
383.004,6230.8866,
380.094,6334.1587,
377.183,6383.8221,
374.272,6473.0715,
371.362,6560.1712,
368.451,6621.4577,
365.541,6701.0145,
362.630,6726.4487,
359.719,6756.2621,
356.809,6820.7577,
353.898,6839.4777,
350.988,6826.7229,
348.077,6821.4989,
345.167,6846.1548,
342.256,6856.6137,
339.345,6867.5965,
336.435,6862.1333,
333.524,6831.7389,
330.614,6898.8029,
327.703,6944.2684,
324.793,6964.0159,
321.882,6953.7746,
318.971,7015.4804,
316.061,7086.433,
313.150,7148.7869,
310.240,7181.44,
307.329,7277.6717,
304.418,7320.1845,
301.508,7315.385,
298.597,7276.8833,
295.687,7343.3808,
292.776,7437.042,
289.866,7581.7215,
286.955,7866.8696,
284.044,8077.1348,
281.134,8268.5673,
278.223,8466.5039,
275.313,8739.1404,
272.402,8902.9303,
269.492,9072.146,
266.581,9280.8214,
263.670,9409.4779,
260.760,9558.415,
257.849,9682.6949,
254.939,9745.8088,
252.028,9808.8757,
249.117,9874.6531,
246.207,9948.3013,
243.296,10039.806,
240.386,9954.2882,
237.475,9841.0025,
234.565,9718.8836,
231.654,9580.8411,
228.743,9500.4172,
225.833,9413.5367,
222.922,9297.4462,
220.012,9207.8339,
217.101,9114.3412,
214.191,9040.4125,
211.280,9016.4062,
208.369,8996.459,
205.459,8960.476,
202.548,8919.4997,
199.638,8918.774,
196.727,8915.7439,
193.816,8907.6045,
190.906,8897.1041,
187.995,8996.2955,
185.085,9032.0436,
182.174,9056.1516,
179.264,9139.2697,
176.353,9146.0619,
173.442,9165.6534,
170.532,9183.9754,
167.621,9023.9188,
164.711,8912.8268,
161.800,8754.0565,
158.890,8468.3246,
155.979,7984.9127,
153.068,7393.6743,
150.158,6683.887,
147.247,5768.4979,
144.337,4820.7342,
141.426,3848.2983,
138.516,2851.1026,
135.605,2063.7201,
132.694,1419.8302,
129.784,917.4661,
126.873,598.51819,
123.963,403.87701,
121.052,275.59634,
118.141,199.92273,
115.231,158.41192,
112.320,125.52683,
109.410,101.85238,
106.499,92.594364,
103.589,87.823728,
100.678,81.007431,
97.767,68.921492,
94.857,62.388099,
91.946,57.206335,
89.036,53.625,
86.125,53.625,
83.215,50.970398,
80.304,45.512375,
77.393,36.306166,
74.483,37.590405,
71.572,35.726183,
68.662,30.625,
65.751,30.625,
62.840,30.143298,
59.930,29.625,
57.019,29.625,
54.109,28.430678,
51.198,25.815344,
48.288,21.636325,
45.377,23.043081,
42.466,23.212781,
39.556,22.740119,
36.645,23.442309,
33.735,19.990261,
30.824,17.066774,
27.914,18.469124,
25.003,18.002363,
22.092,19.562427,
19.182,23.487703,
16.271,19.290762,
13.361,58.084966,
10.450,122.03828,
7.539,170.92036,
4.629,77.262055,
1.718,-92.29318,
-1.192,-320.25944,
-4.103,-222.97975,
-7.013,-97.899801,
-9.924,1.625,
