,PLF465~1,
Wavenumbers [1/cm],Intensity,
397.557,2049.7476,
394.646,2105.6012,
391.736,2197.8453,
388.825,2157.8711,
385.915,2144.5284,
383.004,2142.2684,
380.094,2141.9677,
377.183,2178.0865,
374.272,2195.1811,
371.362,2205.5399,
368.451,2216.5809,
365.541,2224.0863,
362.630,2231.0412,
359.719,2232.7573,
356.809,2227.3062,
353.898,2230.3014,
350.988,2241.9747,
348.077,2243.284,
345.167,2221.4383,
342.256,2168.3964,
339.345,2219.0226,
336.435,2275.4594,
333.524,2271.219,
330.614,2274.1996,
327.703,2291.0406,
324.793,2316.6944,
321.882,2347.1827,
318.971,2370.9729,
316.061,2387.9147,
313.150,2411.444,
310.240,2457.4552,
307.329,2540.5936,
304.418,2585.4357,
301.508,2606.2296,
298.597,2629.1826,
295.687,2641.2836,
292.776,2701.9586,
289.866,2804.8798,
286.955,2922.3371,
284.044,3009.3324,
281.134,3131.218,
278.223,3278.0708,
275.313,3339.2298,
272.402,3380.0084,
269.492,3433.0777,
266.581,3498.5546,
263.670,3420.6255,
260.760,3479.6168,
257.849,3588.2564,
254.939,3685.8628,
252.028,3696.535,
249.117,3677.7405,
246.207,3651.125,
243.296,3651.125,
240.386,3625.0053,
237.475,3624.1874,
234.565,3629.5954,
231.654,3530.9936,
228.743,3498.6176,
225.833,3459.0256,
222.922,3384.3879,
220.012,3304.2468,
217.101,3259.9685,
214.191,3226.4815,
211.280,3177.7415,
208.369,3090.0233,
205.459,3051.1213,
202.548,3051.7434,
199.638,3037.956,
196.727,3030.5153,
193.816,3015.9872,
190.906,2986.976,
187.995,2897.197,
185.085,2898.752,
182.174,2918.0831,
179.264,2855.2025,
176.353,2870.5523,
173.442,2904.1534,
170.532,2931.9682,
167.621,2853.3819,
164.711,2810.5767,
161.800,2729.1923,
158.890,2547.821,
155.979,2352.1987,
153.068,2164.0125,
150.158,1971.3506,
147.247,1725.8109,
144.337,1444.1658,
141.426,1139.8895,
138.516,815.85461,
135.605,589.83108,
132.694,419.71919,
129.784,292.49828,
126.873,186.65906,
123.963,125.29009,
121.052,81.243828,
118.141,46.26263,
115.231,43.993289,
112.320,37.194097,
109.410,29.261355,
106.499,29.97351,
103.589,26.763473,
100.678,23.038513,
97.767,20.194763,
94.857,13.888099,
91.946,13.543665,
89.036,17.237898,
86.125,17.947103,
83.215,21.310522,
80.304,19.815212,
77.393,7.0681528,
74.483,8.7455398,
71.572,8.3132394,
68.662,5.540605,
65.751,9.7793115,
62.840,7.7530861,
59.930,3.3758552,
57.019,0.55552727,
54.109,2.5136434,
51.198,4.7282186,
48.288,6.1136751,
45.377,4.706919,
42.466,2.4761226,
39.556,0.125,
36.645,0.125,
33.735,0.125,
30.824,-0.53766092,
27.914,-2.6411867,
25.003,-7.8560998,
22.092,-6.6772407,
19.182,2.1707657,
16.271,3.569746,
13.361,-0.93249572,
10.450,-46.576102,
7.539,-271.43365,
4.629,-715.05343,
1.718,-1142.7997,
-1.192,-1361.006,
-4.103,-1007.2586,
-7.013,-530.42604,
-9.924,-2.875,
