,PLD278~1,
Raman shift [1/cm],Intensity,
1229.982,1743.7594,
1227.072,1729.2744,
1224.161,1699.6729,
1221.251,1695.739,
1218.340,1641.186,
1215.430,1613.4521,
1212.519,1606.1948,
1209.608,1595.9588,
1206.698,1607.7183,
1203.787,1636.5364,
1200.877,1629.646,
1197.966,1668.3098,
1195.055,1721.4449,
1192.145,1734.0067,
1189.234,1765.0944,
1186.324,1803.6158,
1183.413,1830.1992,
1180.503,1826.4225,
1177.592,1799.0177,
1174.681,1801.1644,
1171.771,1820.7349,
1168.860,1798.4076,
1165.950,1760.7733,
1163.039,1743.8692,
1160.129,1775.0515,
1157.218,1781.9435,
1154.307,1763.9921,
1151.397,1750.1306,
1148.486,1707.6996,
1145.576,1712.1003,
1142.665,1754.7201,
1139.754,1731.4003,
1136.844,1731.5527,
1133.933,1723.1064,
1131.023,1718.5547,
1128.112,1713.3227,
1125.202,1691.2114,
1122.291,1679.2689,
1119.380,1728.2587,
1116.470,1729.1412,
1113.559,1709.9188,
1110.649,1740.2665,
1107.738,1759.7858,
1104.828,1751.5119,
1101.917,1746.9426,
1099.006,1764.8995,
1096.096,1762.4437,
1093.185,1749.2737,
1090.275,1735.3017,
1087.364,1725.3888,
1084.453,1745.8735,
1081.543,1758.5531,
1078.632,1760.6518,
1075.722,1772.7873,
1072.811,1739.6008,
1069.901,1786.7569,
1066.990,1821.7749,
1064.079,1812.2372,
1061.169,1827.999,
1058.258,1839.6273,
1055.348,1832.4835,
1052.437,1850.2533,
1049.527,1901.015,
1046.616,1894.9332,
1043.705,1902.7284,
1040.795,1877.7943,
1037.884,1884.5025,
1034.974,1913.6985,
1032.063,1925.7731,
1029.153,1924.8732,
1026.242,1930.0629,
1023.331,1964.4145,
1020.421,1967.0674,
1017.510,1959.6472,
1014.600,1958.2105,
1011.689,1971.0872,
1008.778,1997.6483,
1005.868,2024.2307,
1002.957,2133.4957,
1000.047,2171.362,
997.136,2212.1402,
994.226,2212.4965,
991.315,2197.0371,
988.404,2224.1423,
985.494,2212.4636,
982.583,2177.3448,
979.673,2151.0322,
976.762,2134.4435,
973.852,2130.018,
970.941,2141.7342,
968.030,2165.302,
965.120,2171.1641,
962.209,2150.7031,
959.299,2157.8737,
956.388,2148.8109,
953.477,2157.1573,
950.567,2178.7601,
947.656,2165.0326,
944.746,2178.6255,
941.835,2171.9617,
938.925,2201.1784,
936.014,2174.7606,
933.103,2148.08,
930.193,2169.8566,
927.282,2148.3417,
924.372,2150.0329,
921.461,2114.1664,
918.551,2119.8399,
915.640,2106.4785,
912.729,2084.7412,
909.819,2118.0225,
906.908,2070.8467,
903.998,2091.3156,
901.087,2087.0659,
898.176,2115.608,
895.266,2138.967,
892.355,2120.1865,
889.445,2183.9708,
886.534,2175.0664,
883.624,2188.7251,
880.713,2206.4571,
877.802,2224.5874,
874.892,2237.4923,
871.981,2224.4017,
869.071,2188.4789,
866.160,2218.1279,
863.250,2222.1933,
860.339,2208.0282,
857.428,2206.0762,
854.518,2221.7204,
851.607,2203.4149,
848.697,2186.4937,
845.786,2181.8069,
842.875,2183.5995,
839.965,2192.3328,
837.054,2229.4733,
834.144,2249.3633,
831.233,2240.5842,
828.323,2218.9183,
825.412,2213.8748,
822.501,2234.1648,
819.591,2222.5953,
816.680,2175.7756,
813.770,2162.3705,
810.859,2136.883,
807.949,2100.9109,
805.038,2084.6482,
802.127,2087.9407,
799.217,2086.7592,
796.306,2085.6824,
793.396,2087.1966,
790.485,2091.9346,
787.574,2098.8728,
784.664,2115.275,
781.753,2143.0764,
778.843,2119.9641,
775.932,2104.8546,
773.022,2154.3912,
770.111,2161.7494,
767.200,2173.6697,
764.290,2157.0243,
761.379,2144.6132,
758.469,2138.4145,
755.558,2100.6179,
752.648,2079.4382,
749.737,2062.1942,
746.826,2042.662,
743.916,2014.2888,
741.005,1965.8698,
738.095,1856.2665,
735.184,1658.0495,
732.274,1624.7441,
729.363,1733.5395,
726.452,1896.4225,
723.542,2008.1188,
720.631,2076.1777,
717.721,2105.5612,
714.810,2119.7215,
711.899,2129.4975,
708.989,2126.2698,
706.078,2079.7744,
703.168,2093.1461,
700.257,2112.5506,
697.347,2115.7284,
694.436,2109.2898,
691.525,2073.9224,
688.615,2113.4183,
685.704,2118.3702,
682.794,2087.0798,
679.883,2083.8267,
676.973,2096.6486,
674.062,2076.279,
671.151,2103.138,
668.241,2146.6261,
665.330,2122.2878,
662.420,2123.0865,
659.509,2124.5199,
656.598,2105.3435,
653.688,2095.8131,
650.777,2151.088,
647.867,2146.31,
644.956,2143.3925,
642.046,2124.0077,
639.135,2102.8614,
636.224,2120.3256,
633.314,2135.4104,
630.403,2155.8039,
627.493,2156.1118,
624.582,2143.7237,
621.672,2168.2755,
618.761,2192.8081,
615.850,2200.801,
612.940,2196.4685,
610.029,2188.0391,
607.119,2192.7769,
604.208,2255.0212,
601.297,2248.8434,
598.387,2214.9569,
595.476,2212.3697,
592.566,2245.4266,
589.655,2236.3485,
586.745,2221.3065,
583.834,2204.7841,
580.923,2177.9562,
578.013,2129.3027,
575.102,2106.499,
572.192,2129.2619,
569.281,2177.3448,
566.371,2144.4746,
563.460,2192.0437,
560.549,2200.5808,
557.639,2197.9925,
554.728,2229.1223,
551.818,2258.7743,
548.907,2282.923,
545.996,2296.1939,
543.086,2285.3257,
540.175,2220.6981,
537.265,2240.8755,
534.354,2255.7686,
531.444,2265.4299,
528.533,2275.2015,
525.622,2260.4585,
522.712,2288.1944,
519.801,2316.2695,
516.891,2324.2418,
513.980,2299.4644,
511.070,2335.2848,
508.159,2366.5321,
505.248,2390.2601,
502.338,2412.0633,
499.427,2439.8493,
496.517,2481.755,
493.606,2494.1173,
490.695,2466.7849,
487.785,2470.6339,
484.874,2480.9434,
481.964,2487.4958,
479.053,2483.1827,
476.143,2457.8399,
473.232,2483.5873,
470.321,2463.1091,
467.411,2435.3152,
464.500,2449.8427,
461.590,2433.7622,
458.679,2435.3032,
455.769,2455.3731,
452.858,2486.5002,
449.947,2469.6937,
447.037,2477.1717,
444.126,2475.3773,
441.216,2471.6268,
438.305,2537.1529,
435.395,2506.9118,
432.484,2497.9191,
429.573,2507.8599,
426.663,2480.4949,
423.752,2465.6965,
420.842,2489.4779,
417.931,2524.0345,
415.020,2523.2762,
412.110,2545.1984,
409.199,2572.8099,
406.289,2592.2661,
403.378,2589.1629,
400.468,2563.4591,
397.557,2595.3537,
394.646,2605.5074,
391.736,2529.4049,
388.825,2503.0068,
385.915,2455.8677,
383.004,2442.0947,
380.094,2497.2827,
377.183,2556.7284,
374.272,2577.5922,
371.362,2615.0976,
368.451,2695.5661,
365.541,2684.3081,
362.630,2682.8887,
359.719,2674.779,
356.809,2655.1045,
353.898,2702.2788,
350.988,2705.4852,
348.077,2696.0884,
345.167,2694.6123,
342.256,2721.5068,
339.345,2717.5585,
336.435,2695.0359,
333.524,2663.6258,
330.614,2675.5483,
327.703,2671.0355,
324.793,2672.2727,
321.882,2698.1995,
318.971,2677.3831,
316.061,2685.8761,
313.150,2697.631,
310.240,2682.7886,
307.329,2732.2746,
304.418,2738.5714,
301.508,2704.9207,
298.597,2639.764,
295.687,2599.7107,
292.776,2616.5835,
289.866,2685.8251,
286.955,2792.9403,
284.044,2893.0049,
281.134,2967.7999,
278.223,3019.118,
275.313,3072.9084,
272.402,3127.2368,
269.492,3161.1017,
266.581,3169.7199,
263.670,3204.2734,
260.760,3198.0561,
257.849,3189.9223,
254.939,3209.0033,
252.028,3224.4507,
249.117,3257.6596,
246.207,3286.2724,
243.296,3270.8996,
240.386,3258.1491,
237.475,3253.0184,
234.565,3248.3833,
231.654,3211.1337,
228.743,3146.8639,
225.833,3111.3479,
222.922,3124.1289,
220.012,3100.0865,
217.101,3073.6028,
214.191,3054.25,
211.280,3054.25,
208.369,3058.2869,
205.459,3041.4852,
202.548,3006.6065,
199.638,2968.1471,
196.727,3019.6002,
193.816,3059.3367,
190.906,3050.3516,
187.995,3053.2477,
185.085,3049.9943,
182.174,3042.5076,
179.264,3032.3889,
176.353,3002.4149,
173.442,3014.167,
170.532,3051.321,
167.621,2948.9425,
164.711,2894.9716,
161.800,2823.8174,
158.890,2684.91,
155.979,2520.0816,
153.068,2299.1263,
150.158,2040.5521,
147.247,1807.2176,
144.337,1478.6609,
141.426,1141.611,
138.516,834.78158,
135.605,591.25752,
132.694,405.7917,
129.784,270.41067,
126.873,178.87405,
123.963,129.52021,
121.052,88.969357,
118.141,45.421336,
115.231,44.53943,
112.320,39.590005,
109.410,33.386355,
106.499,34.09851,
103.589,35.930763,
100.678,31.817566,
97.767,17.598814,
94.857,21.407934,
91.946,17.606448,
89.036,10.153183,
86.125,15.826825,
83.215,15.126319,
80.304,16.123192,
77.393,24.621231,
74.483,14.767841,
71.572,9.25,
68.662,8.7651275,
65.751,3.81997,
62.840,10.920636,
59.930,18.564424,
57.019,12.218686,
54.109,14.235804,
51.198,14.741954,
48.288,11.25,
45.377,11.25,
42.466,7.5400259,
39.556,2.8255929,
36.645,6.336544,
33.735,7.7692485,
30.824,6.2620172,
27.914,-0.048559968,
25.003,-0.75,
22.092,1.1874273,
19.182,5.0440542,
16.271,-1.251357,
13.361,0.043121792,
10.450,-19.388901,
7.539,-162.54355,
4.629,-291.65585,
1.718,-425.21739,
-1.192,-579.98348,
-4.103,-433.85623,
-7.013,-227.33468,
-9.924,0.25,
