,PLE826~1,
Raman shift [1/cm],Intensity,
1064.079,1585.2213,
1061.169,1602.7437,
1058.258,1601.5098,
1055.348,1590.8956,
1052.437,1597.086,
1049.527,1596.5521,
1046.616,1604.3716,
1043.705,1628.373,
1040.795,1637.1655,
1037.884,1658.4795,
1034.974,1670.0567,
1032.063,1652.1963,
1029.153,1640.9118,
1026.242,1654.7511,
1023.331,1652.7502,
1020.421,1666.192,
1017.510,1676.7322,
1014.600,1694.2067,
1011.689,1716.1007,
1008.778,1728.528,
1005.868,1759.7828,
1002.957,1819.1473,
1000.047,1869.018,
997.136,1895.4092,
994.226,1904.1423,
991.315,1886.9827,
988.404,1846.7092,
985.494,1853.0417,
982.583,1799.0786,
979.673,1794.1766,
976.762,1808.1662,
973.852,1811.0619,
970.941,1816.8835,
968.030,1847.1459,
965.120,1835.0459,
962.209,1786.451,
959.299,1820.745,
956.388,1825.9308,
953.477,1826.1147,
950.567,1844.6942,
947.656,1857.5842,
944.746,1860.1329,
941.835,1847.293,
938.925,1821.8763,
936.014,1832.0005,
933.103,1840.8917,
930.193,1814.2549,
927.282,1797.975,
924.372,1792.9014,
921.461,1751.748,
918.551,1757.0017,
915.640,1756.377,
912.729,1733.5664,
909.819,1724.0259,
906.908,1707.1774,
903.998,1722.1573,
901.087,1740.8896,
898.176,1747.8184,
895.266,1755.772,
892.355,1785.0453,
889.445,1832.0443,
886.534,1804.6992,
883.624,1810.6881,
880.713,1815.2293,
877.802,1815.6396,
874.892,1809.9769,
871.981,1773.3881,
869.071,1779.236,
866.160,1771.9705,
863.250,1775.0646,
860.339,1788.0515,
857.428,1796.2325,
854.518,1779.2259,
851.607,1778.3939,
848.697,1746.6104,
845.786,1738.9966,
842.875,1753.6392,
839.965,1773.5608,
837.054,1793.0825,
834.144,1778.165,
831.233,1813.2473,
828.323,1811.9726,
825.412,1793.5037,
822.501,1792.4413,
819.591,1760.2118,
816.680,1760.8526,
813.770,1763.756,
810.859,1760.7376,
807.949,1738.7133,
805.038,1699.3319,
802.127,1733.0801,
799.217,1703.4528,
796.306,1708.7096,
793.396,1716.9675,
790.485,1709.4077,
787.574,1706.2811,
784.664,1707.1012,
781.753,1700.5402,
778.843,1713.4227,
775.932,1732.4105,
773.022,1738.0108,
770.111,1742.9163,
767.200,1728.7851,
764.290,1735.8076,
761.379,1734.7972,
758.469,1715.8554,
755.558,1698.8124,
752.648,1684.1495,
749.737,1657.7496,
746.826,1586.0399,
743.916,1469.6649,
741.005,1317.1053,
738.095,1076.7898,
735.184,794.40381,
732.274,731.11461,
729.363,907.13925,
726.452,1239.4354,
723.542,1528.3888,
720.631,1608.4713,
717.721,1674.6505,
714.810,1718.0056,
711.899,1719.8341,
708.989,1666.5771,
706.078,1701.5073,
703.168,1714.5005,
700.257,1698.2717,
697.347,1667.7721,
694.436,1654.8136,
691.525,1638.7375,
688.615,1679.2738,
685.704,1701.3648,
682.794,1688.5267,
679.883,1664.043,
676.973,1681.6731,
674.062,1678.8692,
671.151,1691.0299,
668.241,1702.9113,
665.330,1678.519,
662.420,1726.4429,
659.509,1722.2815,
656.598,1738.484,
653.688,1763.1187,
650.777,1739.682,
647.867,1752.4233,
644.956,1730.484,
642.046,1698.6661,
639.135,1685.5208,
636.224,1724.067,
633.314,1687.5458,
630.403,1726.7293,
627.493,1740.6622,
624.582,1715.2534,
621.672,1742.1812,
618.761,1751.6093,
615.850,1740.4753,
612.940,1731.6407,
610.029,1738.8805,
607.119,1754.6731,
604.208,1778.9704,
601.297,1782.7663,
598.387,1768.651,
595.476,1741.0106,
592.566,1674.8968,
589.655,1727.3911,
586.745,1728.4005,
583.834,1686.6654,
580.923,1694.9135,
578.013,1639.1974,
575.102,1631.7066,
572.192,1659.4016,
569.281,1708.6702,
566.371,1761.106,
563.460,1742.2641,
560.549,1765.8722,
557.639,1808.5012,
554.728,1827.9051,
551.818,1822.4429,
548.907,1815.1559,
545.996,1802.3078,
543.086,1797.3092,
540.175,1839.3561,
537.265,1847.32,
534.354,1852.2601,
531.444,1854.6927,
528.533,1851.6497,
525.622,1829.1472,
522.712,1814.5419,
519.801,1828.4896,
516.891,1872.0488,
513.980,1925.4753,
511.070,1899.9631,
508.159,1891.5481,
505.248,1911.2717,
502.338,1955.753,
499.427,1938.7727,
496.517,1954.6136,
493.606,1965.2026,
490.695,1958.3525,
487.785,1980.6765,
484.874,2008.1603,
481.964,2021.6653,
479.053,2016.7343,
476.143,1993.6954,
473.232,2005.1993,
470.321,1983.4883,
467.411,1960.8217,
464.500,1976.9397,
461.590,1964.6879,
458.679,1988.7647,
455.769,2011.5651,
452.858,2011.6933,
449.947,2006.3457,
447.037,1990.081,
444.126,1977.6621,
441.216,1972.7208,
438.305,1969.6731,
435.395,1979.0845,
432.484,1982.583,
429.573,1983.2675,
426.663,1996.1899,
423.752,1960.9842,
420.842,1923.7858,
417.931,1906.4378,
415.020,1935.2554,
412.110,2026.2384,
409.199,2041.6461,
406.289,2025.4638,
403.378,2032.1501,
400.468,2002.6663,
397.557,2000.9622,
394.646,1997.2068,
391.736,1964.7872,
388.825,1887.8556,
385.915,1808.3053,
383.004,1784.52,
380.094,1853.1292,
377.183,1909.5649,
374.272,2015.3516,
371.362,2092.133,
368.451,2096.6663,
365.541,2136.4447,
362.630,2146.1575,
359.719,2159.1605,
356.809,2192.0688,
353.898,2189.0736,
350.988,2171.9754,
348.077,2140.8255,
345.167,2102.4504,
342.256,2185.375,
339.345,2184.2727,
336.435,2168.9122,
333.524,2186.0621,
330.614,2180.1009,
327.703,2186.4645,
324.793,2196.5701,
321.882,2203.1653,
318.971,2168.2235,
316.061,2191.8969,
313.150,2224.631,
310.240,2209.7886,
307.329,2255.7014,
304.418,2249.6285,
301.508,2191.3022,
298.597,2082.461,
295.687,2016.3618,
292.776,2023.0002,
289.866,2115.4002,
286.955,2329.6306,
284.044,2493.7074,
281.134,2638.6424,
278.223,2760.5791,
275.313,2810.6853,
272.402,2899.091,
269.492,2982.4993,
266.581,3044.2979,
263.670,3086.9384,
260.760,3108.6529,
257.849,3150.6115,
254.939,3246.0163,
252.028,3220.4677,
249.117,3198.3725,
246.207,3181.7877,
243.296,3172.2712,
240.386,3181.6979,
237.475,3153.0574,
234.565,3093.5336,
231.654,3063.5879,
228.743,3041.7151,
225.833,2997.0163,
222.922,2919.8231,
220.012,2889.2238,
217.101,2884.6479,
214.191,2878.8849,
211.280,2841.0568,
208.369,2838.9228,
205.459,2824.877,
202.548,2805.757,
199.638,2820.27,
196.727,2820.9451,
193.816,2804.1989,
190.906,2768.4374,
187.995,2745.2686,
185.085,2757.5828,
182.174,2784.5594,
179.264,2800.4603,
176.353,2756.1139,
173.442,2728.4372,
170.532,2722.8978,
167.621,2702.7105,
164.711,2682.0085,
161.800,2620.5717,
158.890,2480.9445,
155.979,2341.4159,
153.068,2135.3552,
150.158,1882.7736,
147.247,1656.6186,
144.337,1375.945,
141.426,1089.9036,
138.516,820.35251,
135.605,578.67341,
132.694,392.09644,
129.784,257.0587,
126.873,179.10955,
123.963,122.84602,
121.052,80.918431,
118.141,52.362351,
115.231,54.381711,
112.320,46.777281,
109.410,34.431868,
106.499,30.158937,
103.589,24.767964,
100.678,19.891891,
97.767,16.337204,
94.857,21.793912,
91.946,25.862443,
89.036,26.556531,
86.125,15.918452,
83.215,14.311841,
80.304,15.25,
77.393,15.25,
74.483,11.31919,
71.572,10.699408,
68.662,12.69586,
65.751,7.0442514,
62.840,5.25,
59.930,5.8118586,
57.019,7.9271046,
54.109,13.624448,
51.198,16.345172,
48.288,14.233013,
45.377,12.122878,
42.466,8.3644646,
39.556,4.8255929,
36.645,8.336544,
33.735,17.038727,
30.824,23.366452,
27.914,20.561751,
25.003,28.344287,
22.092,34.218714,
19.182,37.233963,
16.271,67.312039,
13.361,271.43484,
10.450,723.10659,
7.539,1814.5735,
4.629,2777.2173,
1.718,3280.2558,
-1.192,2846.6319,
-4.103,1763.0732,
-7.013,765.12941,
-9.924,0.25,
