,PLCD35~1,
Wavenumbers [1/cm],Intensity,
1902.326,722.02741,
1899.415,710.04998,
1896.505,671.14444,
1893.594,668.94518,
1890.684,708.15346,
1887.773,722.30186,
1884.863,735.08314,
1881.952,766.12229,
1879.041,764.90914,
1876.131,768.01503,
1873.220,762.52652,
1870.310,770.78249,
1867.399,775.43603,
1864.489,725.87555,
1861.578,783.47261,
1858.667,769.09883,
1855.757,747.2864,
1852.846,761.99744,
1849.936,756.87238,
1847.025,754.14476,
1844.114,774.96121,
1841.204,793.20629,
1838.293,779.52827,
1835.383,760.8605,
1832.472,779.07043,
1829.562,821.2461,
1826.651,831.346,
1823.740,814.66856,
1820.830,780.94857,
1817.919,818.91946,
1815.009,801.24428,
1812.098,814.45274,
1809.188,798.67834,
1806.277,780.87624,
1803.366,826.48336,
1800.456,825.39009,
1797.545,825.15949,
1794.635,841.242,
1791.724,843.46111,
1788.813,861.89794,
1785.903,838.85089,
1782.992,779.67137,
1780.082,731.25229,
1777.171,612.81368,
1774.261,565.41552,
1771.350,674.21578,
1768.439,805.97291,
1765.529,856.59168,
1762.618,877.44316,
1759.708,859.24965,
1756.797,856.15909,
1753.887,892.65452,
1750.976,904.62762,
1748.065,909.34332,
1745.155,913.05482,
1742.244,909.86504,
1739.334,903.39177,
1736.423,934.70743,
1733.512,937.58534,
1730.602,964.1687,
1727.691,954.54083,
1724.781,960.29865,
1721.870,954.64757,
1718.960,975.5225,
1716.049,976.30513,
1713.138,981.48497,
1710.228,1000.7762,
1707.317,967.23257,
1704.407,985.85833,
1701.496,1005.8194,
1698.586,1008.424,
1695.675,997.2715,
1692.764,991.76639,
1689.854,950.36218,
1686.943,991.98235,
1684.033,1033.4817,
1681.122,1061.0412,
1678.211,1063.481,
1675.301,1091.4137,
1672.390,1141.2996,
1669.480,1074.9974,
1666.569,1137.1221,
1663.659,1184.8304,
1660.748,1145.6376,
1657.837,1204.3092,
1654.927,1240.0548,
1652.016,1221.9131,
1649.106,1240.5564,
1646.195,1322.0684,
1643.285,1305.3659,
1640.374,1342.8136,
1637.463,1358.707,
1634.553,1425.3719,
1631.642,1484.5966,
1628.732,1584.7311,
1625.821,1623.5236,
1622.911,1659.2971,
1620.000,1832.2952,
1617.089,1908.9876,
1614.179,2020.3133,
1611.268,2136.1502,
1608.358,2248.209,
1605.447,2386.4439,
1602.536,2369.339,
1599.626,2433.7352,
1596.715,2440.4076,
1593.805,2375.2138,
1590.894,2361.3353,
1587.984,2345.7764,
1585.073,2238.8495,
1582.162,2250.5559,
1579.252,2192.6725,
1576.341,2120.8234,
1573.431,2101.0178,
1570.520,2067.3962,
1567.610,2040.3625,
1564.699,1981.5728,
1561.788,1957.2747,
1558.878,1947.3068,
1555.967,1880.0762,
1553.057,1841.7587,
1550.146,1815.7619,
1547.235,1799.729,
1544.325,1812.0728,
1541.414,1778.2153,
1538.504,1757.4555,
1535.593,1781.7775,
1532.683,1772.1242,
1529.772,1768.6122,
1526.861,1776.0045,
1523.951,1757.0908,
1521.040,1770.6108,
1518.130,1785.3549,
1515.219,1817.5787,
1512.309,1841.1846,
1509.398,1775.2035,
1506.487,1768.3735,
1503.577,1801.8871,
1500.666,1765.4027,
1497.756,1782.0256,
1494.845,1798.0987,
1491.934,1740.3866,
1489.024,1705.7369,
1486.113,1675.7563,
1483.203,1686.8225,
1480.292,1668.9842,
1477.382,1625.0876,
1474.471,1567.9225,
1471.560,1580.3496,
1468.650,1600.0658,
1465.739,1585.2853,
1462.829,1601.3568,
1459.918,1622.2625,
1457.008,1639.2233,
1454.097,1628.5435,
1451.186,1615.3027,
1448.276,1614.6239,
1445.365,1574.2141,
1442.455,1578.0597,
1439.544,1580.2447,
1436.633,1518.7612,
1433.723,1478.497,
1430.812,1484.9828,
1427.902,1477.35,
1424.991,1429.0141,
1422.081,1439.4272,
1419.170,1462.9656,
1416.259,1467.3101,
1413.349,1472.0314,
1410.438,1481.1976,
1407.528,1445.2318,
1404.617,1428.7842,
1401.707,1362.0179,
1398.796,1297.6119,
1395.885,1310.382,
1392.975,1311.3117,
1390.064,1276.8545,
1387.154,1278.9951,
1384.243,1262.3266,
1381.332,1237.2787,
1378.422,1235.8381,
1375.511,1242.3956,
1372.601,1292.2648,
1369.690,1359.9345,
1366.780,1393.469,
1363.869,1387.1499,
1360.958,1438.6184,
1358.048,1443.7675,
1355.137,1484.7996,
1352.227,1539.7026,
1349.316,1583.1606,
1346.406,1656.3566,
1343.495,1668.04,
1340.584,1652.4272,
1337.674,1745.9321,
1334.763,1798.4767,
1331.853,1771.587,
1328.942,1757.158,
1326.032,1811.7778,
1323.121,1820.7952,
1320.210,1882.7625,
1317.300,1924.5339,
1314.389,1971.5841,
1311.479,2009.5,
1308.568,2021.7125,
1305.657,2054.4573,
1302.747,2091.3964,
1299.836,2137.4338,
1296.926,2216.9528,
1294.015,2248.2098,
1291.105,2302.3325,
1288.194,2367.8082,
1285.283,2405.4121,
1282.373,2463.8592,
1279.462,2487.5589,
1276.552,2479.7834,
1273.641,2472.0835,
1270.731,2470.0284,
1267.820,2470.8137,
1264.909,2439.4448,
1261.999,2424.2337,
1259.088,2416.9367,
1256.178,2419.9258,
1253.267,2375.2355,
1250.356,2347.9549,
1247.446,2349.1275,
1244.535,2342.6072,
1241.625,2309.1038,
1238.714,2289.9545,
1235.804,2306.7962,
1232.893,2265.5046,
1229.982,2242.7828,
1227.072,2192.0853,
1224.161,2210.3531,
1221.251,2181.7416,
1218.340,2153.6569,
1215.430,2114.7711,
1212.519,2090.0472,
1209.608,2076.0337,
1206.698,2054.0533,
1203.787,2062.2789,
1200.877,2066.2771,
1197.966,2062.6805,
1195.055,2179.3951,
1192.145,2258.8561,
1189.234,2342.0817,
1186.324,2383.0461,
1183.413,2431.7792,
1180.503,2482.4529,
1177.592,2453.1258,
1174.681,2384.4007,
1171.771,2397.1291,
1168.860,2381.0535,
1165.950,2330.3163,
1163.039,2324.0872,
1160.129,2312.3435,
1157.218,2348.1699,
1154.307,2402.3233,
1151.397,2415.9743,
1148.486,2436.5951,
1145.576,2465.5771,
1142.665,2467.3529,
1139.754,2392.6462,
1136.844,2372.6988,
1133.933,2350.3858,
1131.023,2318.0325,
1128.112,2309.9269,
1125.202,2331.4662,
1122.291,2335.1267,
1119.380,2339.7945,
1116.470,2369.8004,
1113.559,2342.57,
1110.649,2291.5899,
1107.738,2287.182,
1104.828,2283.7755,
1101.917,2261.9381,
1099.006,2274.4278,
1096.096,2282.7475,
1093.185,2270.4554,
1090.275,2301.8708,
1087.364,2325.9669,
1084.453,2330.6877,
1081.543,2320.1738,
1078.632,2312.6339,
1075.722,2319.3119,
1072.811,2317.1969,
1069.901,2298.8584,
1066.990,2305.5833,
