,PLF1F4~1,
Raman shift [1/cm],Intensity,
1879.041,2262.4236,
1876.131,2259.7806,
1873.220,2231.3461,
1870.310,2243.4052,
1867.399,2240.689,
1864.489,2222.6375,
1861.578,2247.9052,
1858.667,2253.7058,
1855.757,2277.4042,
1852.846,2296.1019,
1849.936,2282.3227,
1847.025,2300.3233,
1844.114,2340.6603,
1841.204,2353.6844,
1838.293,2340.6549,
1835.383,2348.3105,
1832.472,2390.3815,
1829.562,2379.0729,
1826.651,2363.2574,
1823.740,2374.2725,
1820.830,2369.3651,
1817.919,2397.5713,
1815.009,2401.2001,
1812.098,2349.4597,
1809.188,2408.3458,
1806.277,2403.8242,
1803.366,2456.3422,
1800.456,2441.8233,
1797.545,2474.8309,
1794.635,2432.6561,
1791.724,2471.5764,
1788.813,2484.8098,
1785.903,2447.0048,
1782.992,2479.2345,
1780.082,2471.8758,
1777.171,2452.2958,
1774.261,2481.8603,
1771.350,2518.4975,
1768.439,2540.8809,
1765.529,2538.4416,
1762.618,2550.3657,
1759.708,2561.364,
1756.797,2570.6023,
1753.887,2625.8582,
1750.976,2639.2939,
1748.065,2623.095,
1745.155,2633.0378,
1742.244,2644.5978,
1739.334,2650.7332,
1736.423,2655.4512,
1733.512,2643.5274,
1730.602,2696.2223,
1727.691,2680.3126,
1724.781,2689.2894,
1721.870,2785.5636,
1718.960,2772.269,
1716.049,2787.2773,
1713.138,2773.6701,
1710.228,2794.123,
1707.317,2811.7781,
1704.407,2815.4218,
1701.496,2907.6913,
1698.586,2901.8412,
1695.675,2938.0533,
1692.764,2899.916,
1689.854,2934.936,
1686.943,2974.3097,
1684.033,3014.6316,
1681.122,3056.9113,
1678.211,3047.7202,
1675.301,3195.1687,
1672.390,3202.9151,
1669.480,3300.1063,
1666.569,3361.1739,
1663.659,3481.723,
1660.748,3488.8398,
1657.837,3551.4998,
1654.927,3592.757,
1652.016,3683.0586,
1649.106,3743.3669,
1646.195,3853.0326,
1643.285,3871.7442,
1640.374,3965.1546,
1637.463,4086.6154,
1634.553,4251.0585,
1631.642,4349.7629,
1628.732,4636.6145,
1625.821,4802.7833,
1622.911,5043.2613,
1620.000,5276.6643,
1617.089,5525.63,
1614.179,5935.8652,
1611.268,6180.6279,
1608.358,6547.0663,
1605.447,6677.7688,
1602.536,6781.5413,
1599.626,6870.499,
1596.715,6925.7279,
1593.805,6851.9238,
1590.894,6785.3814,
1587.984,6764.6336,
1585.073,6713.2776,
1582.162,6657.8714,
1579.252,6625.7126,
1576.341,6622.2271,
1573.431,6544.3076,
1570.520,6555.4932,
1567.610,6506.0162,
1564.699,6451.5486,
1561.788,6590.032,
1558.878,6540.9691,
1555.967,6292.4076,
1553.057,6091.4708,
1550.146,5951.047,
1547.235,5912.2025,
1544.325,6043.7799,
1541.414,5901.62,
1538.504,5662.0898,
1535.593,5568.1691,
1532.683,5477.305,
1529.772,5426.5315,
1526.861,5347.4827,
1523.951,5220.4893,
1521.040,5131.6728,
1518.130,5065.8139,
1515.219,4993.2668,
1512.309,4922.4493,
1509.398,4896.7657,
1506.487,4879.862,
1503.577,4812.1877,
1500.666,4779.7296,
1497.756,4765.4546,
1494.845,4677.1042,
1491.934,4640.4738,
1489.024,4594.2742,
1486.113,4546.2642,
1483.203,4477.7888,
1480.292,4461.9884,
1477.382,4358.7857,
1474.471,4360.7159,
1471.560,4354.1117,
1468.650,4295.3297,
1465.739,4250.7698,
1462.829,4216.9459,
1459.918,4222.0672,
1457.008,4266.5484,
1454.097,4245.5606,
1451.186,4224.1414,
1448.276,4277.0526,
1445.365,4285.5895,
1442.455,4287.625,
1439.544,4282.6895,
1436.633,4278.908,
1433.723,4327.1688,
1430.812,4217.2024,
1427.902,4111.6025,
1424.991,4110.6547,
1422.081,4069.3385,
1419.170,4075.9937,
1416.259,4082.4854,
1413.349,4050.3944,
1410.438,4010.934,
1407.528,3979.9565,
1404.617,4006.6141,
1401.707,4004.0082,
1398.796,4020.6354,
1395.885,4081.2668,
1392.975,4110.5421,
1390.064,4150.1096,
1387.154,4171.2491,
1384.243,4068.8659,
1381.332,4067.3555,
1378.422,4165.2479,
1375.511,4235.5064,
1372.601,4411.7234,
1369.690,4514.9189,
1366.780,4676.9435,
1363.869,4799.1699,
1360.958,4828.6444,
1358.048,4894.0759,
1355.137,4964.3321,
1352.227,5047.9326,
1349.316,5173.1169,
1346.406,5293.3038,
1343.495,5387.3271,
1340.584,5445.4095,
1337.674,5541.5996,
1334.763,5699.0957,
1331.853,5685.1873,
1328.942,5713.9773,
1326.032,5848.9399,
1323.121,5994.9564,
1320.210,6090.2305,
1317.300,6137.6929,
1314.389,6229.2237,
1311.479,6358.9838,
1308.568,6453.8948,
1305.657,6520.8779,
1302.747,6606.1936,
1299.836,6690.4753,
1296.926,6860.4616,
1294.015,7007.5534,
1291.105,7270.7432,
1288.194,7363.9332,
1285.283,7544.7377,
1282.373,7709.3434,
1279.462,7800.1146,
1276.552,7936.7987,
1273.641,8065.2822,
1270.731,8091.9713,
1267.820,8148.5333,
1264.909,8162.2846,
1261.999,8176.1991,
1259.088,8027.5233,
1256.178,7863.6064,
1253.267,7711.8049,
1250.356,7503.6343,
1247.446,7294.7185,
1244.535,7094.1208,
1241.625,6885.1401,
1238.714,6656.6891,
1235.804,6434.5136,
1232.893,6312.8854,
1229.982,6260.2588,
1227.072,6101.8292,
1224.161,5992.2861,
1221.251,5908.1082,
1218.340,5828.6175,
1215.430,5730.4597,
1212.519,5625.3687,
1209.608,5567.8144,
1206.698,5585.1146,
1203.787,5622.0521,
1200.877,5646.5314,
1197.966,5741.8423,
1195.055,5818.2979,
1192.145,5950.0886,
1189.234,6091.4854,
1186.324,6227.36,
1183.413,6289.3255,
1180.503,6283.2995,
1177.592,6266.2711,
1174.681,6188.6456,
1171.771,6069.956,
1168.860,5997.6157,
1165.950,5928.5407,
1163.039,5910.133,
1160.129,5859.667,
1157.218,5806.8763,
1154.307,5742.844,
1151.397,5642.8178,
1148.486,5569.625,
1145.576,5567.7747,
1142.665,5525.1549,
1139.754,5463.0437,
1136.844,5435.6189,
1133.933,5360.4173,
1131.023,5304.0715,
1128.112,5308.1232,
1125.202,5326.2772,
1122.291,5303.9767,
1119.380,5244.214,
1116.470,5304.2259,
1113.559,5300.7995,
1110.649,5308.1025,
1107.738,5293.2639,
1104.828,5285.1953,
1101.917,5311.9392,
1099.006,5338.8932,
1096.096,5319.0977,
1093.185,5359.4858,
1090.275,5311.641,
1087.364,5267.3772,
1084.453,5267.2491,
1081.543,5252.3317,
1078.632,5226.1465,
1075.722,5254.8489,
1072.811,5306.1978,
1069.901,5286.1128,
1066.990,5306.4499,
1064.079,5334.082,
1061.169,5418.0811,
1058.258,5478.0485,
1055.348,5508.3148,
1052.437,5578.8051,
1049.527,5577.7131,
1046.616,5657.6454,
1043.705,5682.0403,
1040.795,5677.6859,
1037.884,5691.843,
1034.974,5728.8737,
1032.063,5787.2856,
1029.153,5870.5357,
1026.242,5828.1529,
1023.331,5799.96,
1020.421,5890.825,
1017.510,5922.54,
1014.600,5937.4632,
1011.689,5992.2858,
1008.778,6070.5378,
1005.868,6182.8335,
1002.957,6428.8949,
1000.047,6709.7771,
997.136,6878.152,
994.226,6981.7012,
991.315,7018.2686,
988.404,6944.6285,
985.494,6850.4742,
982.583,6799.0808,
979.673,6678.9514,
976.762,6654.651,
973.852,6667.509,
970.941,6667.7359,
968.030,6663.2203,
965.120,6649.736,
962.209,6676.1648,
959.299,6667.1683,
956.388,6680.1038,
953.477,6703.2566,
950.567,6703.0767,
947.656,6676.7607,
944.746,6746.4243,
941.835,6753.6741,
938.925,6793.45,
936.014,6788.3337,
933.103,6740.3208,
930.193,6685.8393,
927.282,6633.3089,
924.372,6535.2185,
921.461,6406.2738,
918.551,6329.1881,
915.640,6277.7034,
912.729,6231.0857,
