,PL6A7C~1,
Wavenumbers [1/cm],Intensity,
1716.049,500.78216,
1713.138,511.32991,
1710.228,507.41262,
1707.317,473.64586,
1704.407,509.80287,
1701.496,527.13667,
1698.586,516.3632,
1695.675,534.08917,
1692.764,455.85037,
1689.854,498.25298,
1686.943,540.95852,
1684.033,497.51747,
1681.122,562.23651,
1678.211,536.63197,
1675.301,582.23316,
1672.390,567.24341,
1669.480,523.60764,
1666.569,553.46685,
1663.659,637.65638,
1660.748,594.85704,
1657.837,618.80639,
1654.927,594.31216,
1652.016,632.81612,
1649.106,611.08495,
1646.195,640.2861,
1643.285,676.96484,
1640.374,659.31228,
1637.463,656.86139,
1634.553,684.6459,
1631.642,769.25556,
1628.732,758.4224,
1625.821,766.39986,
1622.911,804.16087,
1620.000,873.49309,
1617.089,930.24067,
1614.179,967.33156,
1611.268,1005.9251,
1608.358,1055.0338,
1605.447,1161.0901,
1602.536,1125.4401,
1599.626,1184.9304,
1596.715,1165.8698,
1593.805,1112.3981,
1590.894,1109.017,
1587.984,1131.0273,
1585.073,1014.4098,
1582.162,1029.2751,
1579.252,1029.0103,
1576.341,1014.558,
1573.431,990.2293,
1570.520,1009.5994,
1567.610,998.74726,
1564.699,921.32208,
1561.788,935.9239,
1558.878,962.93368,
1555.967,920.46781,
1553.057,890.63368,
1550.146,862.79324,
1547.235,854.45892,
1544.325,878.60308,
1541.414,857.19116,
1538.504,828.43021,
1535.593,848.87775,
1532.683,862.40287,
1529.772,845.88765,
1526.861,839.40993,
1523.951,839.42971,
1521.040,822.66215,
1518.130,847.10623,
1515.219,910.33485,
1512.309,893.07763,
1509.398,826.2343,
1506.487,828.10735,
1503.577,826.48969,
1500.666,847.01725,
1497.756,824.41788,
1494.845,872.13432,
1491.934,842.21122,
1489.024,792.16159,
1486.113,857.13452,
1483.203,792.20975,
1480.292,814.76992,
1477.382,852.70493,
1474.471,770.59166,
1471.560,774.57864,
1468.650,754.26114,
1465.739,761.79215,
1462.829,792.27952,
1459.918,808.79493,
1457.008,804.75952,
1454.097,785.82105,
1451.186,782.77152,
1448.276,790.36458,
1445.365,756.51402,
1442.455,720.48783,
1439.544,743.78552,
1436.633,731.02545,
1433.723,721.27452,
1430.812,668.14301,
1427.902,715.26225,
1424.991,710.52344,
1422.081,699.36527,
1419.170,706.15154,
1416.259,713.8555,
1413.349,707.06735,
1410.438,656.0902,
1407.528,657.90596,
1404.617,696.79577,
1401.707,662.91089,
1398.796,588.0534,
1395.885,587.79259,
1392.975,610.76993,
1390.064,580.20428,
1387.154,601.60866,
1384.243,598.92608,
1381.332,580.93635,
1378.422,569.56822,
1375.511,573.31534,
1372.601,589.96327,
1369.690,642.80835,
1366.780,668.79977,
1363.869,677.00739,
1360.958,690.91911,
1358.048,715.76767,
1355.137,750.97941,
1352.227,760.39454,
1349.316,785.09141,
1346.406,846.61018,
1343.495,839.91503,
1340.584,816.08853,
1337.674,868.48383,
1334.763,894.622,
1331.853,901.11261,
1328.942,906.71178,
1326.032,931.84362,
1323.121,924.03764,
1320.210,938.6867,
1317.300,968.44289,
1314.389,1016.8062,
1311.479,1023.5985,
1308.568,1005.8202,
1305.657,1040.6799,
1302.747,1068.8779,
1299.836,1103.3037,
1296.926,1084.8788,
1294.015,1160.2633,
1291.105,1185.3885,
1288.194,1222.721,
1285.283,1236.387,
1282.373,1259.8905,
1279.462,1284.4532,
1276.552,1301.3435,
1273.641,1288.4966,
1270.731,1254.081,
1267.820,1247.5583,
1264.909,1224.8914,
1261.999,1221.8743,
1259.088,1235.5561,
1256.178,1264.6381,
1253.267,1245.5919,
1250.356,1223.4754,
1247.446,1211.6812,
1244.535,1207.3839,
1241.625,1197.0898,
1238.714,1187.7341,
1235.804,1200.4332,
1232.893,1211.6246,
1229.982,1211.9338,
1227.072,1169.3841,
1224.161,1184.0256,
1221.251,1167.2733,
1218.340,1115.0282,
1215.430,1112.9469,
1212.519,1132.7333,
1209.608,1123.035,
1206.698,1104.9283,
1203.787,1116.2695,
1200.877,1137.5422,
1197.966,1140.2396,
1195.055,1149.7607,
1192.145,1214.4878,
1189.234,1247.0533,
1186.324,1283.3779,
1183.413,1310.1415,
1180.503,1332.2731,
1177.592,1342.334,
1174.681,1252.4572,
1171.771,1293.5508,
1168.860,1257.8272,
1165.950,1258.4064,
1163.039,1234.2325,
1160.129,1235.762,
1157.218,1259.7586,
1154.307,1279.3432,
1151.397,1288.2852,
1148.486,1299.375,
1145.576,1298.2571,
1142.665,1272.5076,
1139.754,1288.2748,
1136.844,1290.2741,
1133.933,1288.7885,
1131.023,1256.2725,
1128.112,1229.6594,
1125.202,1255.0706,
1122.291,1280.6203,
1119.380,1268.5569,
1116.470,1287.09,
1113.559,1272.3635,
1110.649,1243.8006,
1107.738,1262.9883,
1104.828,1289.1267,
1101.917,1278.203,
1099.006,1263.2099,
1096.096,1294.5687,
1093.185,1281.3987,
1090.275,1279.5657,
1087.364,1282.8056,
1084.453,1294.4994,
1081.543,1292.7341,
1078.632,1278.1812,
1075.722,1277.7004,
1072.811,1299.2915,
1069.901,1340.3347,
1066.990,1298.1084,
1064.079,1313.2345,
1061.169,1319.852,
1058.258,1313.6811,
1055.348,1326.6608,
1052.437,1354.6836,
1049.527,1311.0128,
1046.616,1327.5205,
1043.705,1321.6673,
1040.795,1324.483,
1037.884,1349.6275,
1034.974,1349.7745,
1032.063,1323.39,
1029.153,1354.4402,
1026.242,1346.6556,
1023.331,1332.2092,
1020.421,1344.0141,
1017.510,1364.3819,
1014.600,1374.5291,
1011.689,1380.2167,
1008.778,1397.2284,
1005.868,1396.1124,
1002.957,1366.8604,
1000.047,1408.239,
997.136,1465.9005,
994.226,1501.0672,
991.315,1497.5012,
988.404,1460.3229,
985.494,1408.912,
982.583,1432.8956,
979.673,1440.7649,
976.762,1425.9361,
973.852,1412.607,
970.941,1412.1533,
968.030,1412.4674,
965.120,1390.5755,
962.209,1438.3178,
959.299,1432.21,
956.388,1449.8935,
953.477,1462.6206,
950.567,1462.7406,
947.656,1489.6059,
944.746,1514.243,
941.835,1487.8413,
938.925,1493.2199,
936.014,1490.2701,
933.103,1475.7255,
930.193,1465.5748,
927.282,1465.1376,
924.372,1442.3062,
921.461,1454.8394,
918.551,1412.7385,
915.640,1394.5229,
912.729,1420.132,
909.819,1429.9302,
906.908,1426.5605,
903.998,1451.0313,
901.087,1466.9226,
898.176,1465.2171,
895.266,1465.6274,
892.355,1480.5479,
889.445,1465.4411,
886.534,1502.9442,
883.624,1491.5357,
880.713,1476.2507,
877.802,1451.9632,
874.892,1384.0988,
871.981,1232.6661,
869.071,1075.6085,
866.160,1069.0738,
863.250,1217.8129,
860.339,1375.1608,
857.428,1435.923,
854.518,1457.9066,
851.607,1407.1504,
848.697,1316.5248,
845.786,1252.3888,
842.875,1266.874,
839.965,1363.3659,
837.054,1468.5983,
834.144,1488.4883,
831.233,1505.0408,
828.323,1521.761,
825.412,1545.8974,
822.501,1573.1835,
819.591,1566.5723,
816.680,1531.9198,
813.770,1518.9895,
810.859,1494.2642,
807.949,1478.1238,
805.038,1507.3706,
802.127,1515.6019,
