,PLC8A1~1,
Raman shift [1/cm],Intensity,
1323.121,357.12051,
1320.210,383.31618,
1317.300,378.01489,
1314.389,351.52744,
1311.479,328.44665,
1308.568,328.97978,
1305.657,356.80022,
1302.747,371.43136,
1299.836,317.49393,
1296.926,371.38456,
1294.015,379.65847,
1291.105,365.91133,
1288.194,436.68562,
1285.283,432.0879,
1282.373,452.10927,
1279.462,462.41189,
1276.552,460.71655,
1273.641,468.79606,
1270.731,472.35373,
1267.820,467.24643,
1264.909,469.58218,
1261.999,453.29822,
1259.088,488.87095,
1256.178,494.42583,
1253.267,470.44975,
1250.356,461.64549,
1247.446,443.39819,
1244.535,427.03573,
1241.625,414.52225,
1238.714,399.19774,
1235.804,388.84954,
1232.893,379.1171,
1229.982,413.65079,
1227.072,373.81706,
1224.161,404.62015,
1221.251,390.15374,
1218.340,349.96159,
1215.430,355.67302,
1212.519,349.19271,
1209.608,337.13628,
1206.698,366.63817,
1203.787,355.05026,
1200.877,377.22288,
1197.966,380.81952,
1195.055,366.49477,
1192.145,415.09135,
1189.234,420.32174,
1186.324,420.54608,
1183.413,427.7665,
1180.503,414.8235,
1177.592,397.77805,
1174.681,440.63356,
1171.771,443.96973,
1168.860,399.31526,
1165.950,430.47674,
1163.039,431.31757,
1160.129,397.91739,
1157.218,381.32662,
1154.307,374.49822,
1151.397,355,
1148.486,359.34584,
1145.576,384.69386,
1142.665,400.67629,
1139.754,397.93186,
1136.844,362.68516,
1133.933,366.7682,
1131.023,367.72551,
1128.112,363.28437,
1125.202,376.85991,
1122.291,368.88006,
1119.380,381.92205,
1116.470,373.97929,
1113.559,374.5465,
1110.649,372.38062,
1107.738,362.96273,
1104.828,356.4161,
1101.917,367.35547,
1099.006,391.47424,
1096.096,388.56997,
1093.185,381.54595,
1090.275,396.37613,
1087.364,367.0661,
1084.453,362.68682,
1081.543,377.13509,
1078.632,381.86606,
1075.722,378.38509,
1072.811,392.37948,
1069.901,383.64687,
1066.990,373.30002,
1064.079,394.13747,
1061.169,424.33054,
1058.258,436.18863,
1055.348,426.59062,
1052.437,410.09642,
1049.527,381.34266,
1046.616,416.09583,
1043.705,429.24918,
1040.795,423.06094,
1037.884,424.06885,
1034.974,428.88273,
1032.063,425.09237,
1029.153,417.96138,
1026.242,409.31181,
1023.331,441.49792,
1020.421,431.96667,
1017.510,440.68772,
1014.600,453.42293,
1011.689,458.84619,
1008.778,465.28216,
1005.868,432.13128,
1002.957,446.7573,
1000.047,465.01601,
997.136,489.2071,
994.226,504.67688,
991.315,509.82673,
988.404,511.40591,
985.494,497.73148,
982.583,485.73969,
979.673,471.56201,
976.762,467,
973.852,466.55799,
970.941,472.22399,
968.030,479.33514,
965.120,436.10024,
962.209,459.97142,
959.299,462.5835,
956.388,462,
953.477,458.30075,
950.567,458.75132,
947.656,472.10332,
944.746,450.01487,
941.835,453.85888,
938.925,459.60635,
936.014,474.64565,
933.103,479.23192,
930.193,464.00122,
927.282,459.86251,
924.372,457.32569,
921.461,454.0544,
918.551,438.47667,
915.640,435.64899,
912.729,443.85315,
909.819,440.55771,
906.908,459.93349,
903.998,440.32053,
901.087,437.54602,
898.176,443.29476,
895.266,448.9522,
892.355,457.28239,
889.445,490.85308,
886.534,489.33026,
883.624,461.41388,
880.713,469.9453,
877.802,479.88347,
874.892,458.26461,
871.981,454.68435,
869.071,441.31775,
866.160,443.13976,
863.250,450.24203,
860.339,471.10884,
857.428,490.05194,
854.518,448.09629,
851.607,451.42456,
848.697,471.25888,
845.786,467.02585,
842.875,457.44684,
839.965,461.82038,
837.054,460.85114,
834.144,447.59111,
831.233,459.66561,
828.323,442.27141,
825.412,428.91263,
