,PLEED5~1,
Raman shift [1/cm],Intensity,
874.892,2850.55,
871.981,2797.4803,
869.071,2796.6449,
866.160,2817.8887,
863.250,2811.7739,
860.339,2818.6205,
857.428,2851.1434,
854.518,2826.839,
851.607,2769.4263,
848.697,2773.2563,
845.786,2737.4637,
842.875,2722.6188,
839.965,2770.1943,
837.054,2782.8535,
834.144,2814.3461,
831.233,2846.4981,
828.323,2864.9403,
825.412,2875.9734,
822.501,2875.4359,
819.591,2808.4975,
816.680,2804.8974,
813.770,2791.9699,
810.859,2788.5612,
807.949,2790.7439,
805.038,2782.2057,
802.127,2771.5051,
799.217,2770.5,
796.306,2738.716,
793.396,2730.0727,
790.485,2754.5,
787.574,2754.9982,
784.664,2768.12,
781.753,2758.4223,
778.843,2774.5537,
775.932,2789.7841,
773.022,2781.3758,
770.111,2838.6063,
767.200,2817.3767,
764.290,2778.2946,
761.379,2746.0472,
758.469,2732.3371,
755.558,2735.2082,
752.648,2725.433,
749.737,2684.3326,
746.826,2611.7495,
743.916,2502.5187,
741.005,2339.6609,
738.095,2040.0783,
735.184,1685.5834,
732.274,1609.512,
729.363,1853.876,
726.452,2293.5924,
723.542,2559.8828,
720.631,2652.483,
717.721,2729.2018,
714.810,2779.159,
711.899,2788.4109,
708.989,2753.7131,
706.078,2758.3078,
703.168,2759.5,
700.257,2731.4451,
697.347,2696.9342,
694.436,2716.1072,
691.525,2701.6387,
688.615,2714.8517,
685.704,2736.1557,
682.794,2755.4787,
679.883,2768.2117,
676.973,2761.8007,
674.062,2761.7762,
671.151,2754.1717,
668.241,2750.1709,
665.330,2772.521,
662.420,2794.0868,
659.509,2783.8966,
656.598,2795.8392,
653.688,2826.6408,
650.777,2838.8529,
647.867,2790.2768,
644.956,2762.1638,
642.046,2746.1102,
639.135,2746.6748,
636.224,2777.508,
633.314,2779.0958,
630.403,2793.6891,
627.493,2792.7459,
624.582,2784.3286,
621.672,2823.9283,
618.761,2834.6193,
615.850,2823.1743,
612.940,2828.5767,
610.029,2864.7881,
607.119,2884.5288,
604.208,2871.5897,
601.297,2853.0371,
598.387,2850.2455,
595.476,2872.8659,
592.566,2855.5504,
589.655,2858.9789,
586.745,2854.2546,
583.834,2824.8354,
580.923,2758.4289,
578.013,2746.6579,
575.102,2752.1038,
572.192,2781.0089,
569.281,2824.7338,
566.371,2842.7341,
563.460,2863.5476,
560.549,2880.7583,
557.639,2903.6596,
554.728,2940.2391,
551.818,2951.9438,
548.907,2955.1094,
545.996,2943.8363,
543.086,2935.2302,
540.175,2980.3917,
537.265,2927.7305,
534.354,2921.5507,
531.444,2935.1067,
528.533,2931.1137,
525.622,2925.6821,
522.712,2953.6242,
519.801,2999.6135,
