,PL1CBE~1,
Raman shift [1/cm],Intensity,
1678.211,1025.5483,
1675.301,1064.3828,
1672.390,1020.6645,
1669.480,1075.5963,
1666.569,1087.9824,
1663.659,1125.549,
1660.748,1128.7121,
1657.837,1140.4404,
1654.927,1182.8046,
1652.016,1196.2047,
1649.106,1225.6506,
1646.195,1271.5719,
1643.285,1274.8646,
1640.374,1291.378,
1637.463,1333.5809,
1634.553,1393.1502,
1631.642,1437.1406,
1628.732,1495.9681,
1625.821,1574.5478,
1622.911,1647.0886,
1620.000,1768.9504,
1617.089,1889.092,
1614.179,2000.3415,
1611.268,2180.6593,
1608.358,2279.005,
1605.447,2357.9863,
1602.536,2383.0015,
1599.626,2433.2564,
1596.715,2438.4076,
1593.805,2417.9304,
1590.894,2389.0799,
1587.984,2333.5345,
1585.073,2330.6049,
1582.162,2288.0859,
1579.252,2263.9523,
1576.341,2262.1021,
1573.431,2216.2927,
1570.520,2232.5463,
1567.610,2219.1467,
1564.699,2160.7479,
1561.788,2103.4722,
1558.878,2048.5825,
1555.967,1980.9501,
1553.057,1979.1032,
1550.146,1959.3146,
1547.235,1891.8642,
1544.325,1846.4928,
1541.414,1818.6781,
1538.504,1816.3451,
1535.593,1809.9973,
1532.683,1789.5812,
1529.772,1768.6628,
1526.861,1706.6928,
1523.951,1672.8815,
1521.040,1692.1397,
1518.130,1653.7249,
1515.219,1633.6194,
1512.309,1643.5991,
1509.398,1594.6029,
1506.487,1540.8462,
1503.577,1567.4068,
1500.666,1602.5753,
1497.756,1562.3558,
1494.845,1546.0186,
1491.934,1486.6165,
1489.024,1522.2288,
1486.113,1482.7025,
1483.203,1405.7821,
1480.292,1426.1979,
1477.382,1370.0731,
1474.471,1360.1043,
1471.560,1368.031,
1468.650,1331.5534,
1465.739,1302.6117,
1462.829,1299.4841,
1459.918,1285.4778,
1457.008,1299.408,
1454.097,1322.7271,
1451.186,1321.5793,
1448.276,1325.6069,
1445.365,1326.5355,
1442.455,1333.2462,
1439.544,1347.5263,
1436.633,1309.1594,
1433.723,1274.7492,
1430.812,1273.1753,
1427.902,1231.2971,
1424.991,1222.7672,
1422.081,1170.2038,
1419.170,1194.8781,
1416.259,1184.9189,
1413.349,1170.1714,
1410.438,1187.4934,
1407.528,1172.6816,
1404.617,1179.4624,
1401.707,1191.3802,
1398.796,1174.8672,
1395.885,1164.2875,
1392.975,1173.5625,
1390.064,1183.7407,
1387.154,1186.2091,
1384.243,1134.5009,
1381.332,1150.7534,
1378.422,1094.2966,
1375.511,1206.7103,
1372.601,1286.8335,
1369.690,1345.7906,
1366.780,1424.1991,
1363.869,1457.0295,
1360.958,1426.1881,
1358.048,1414.6197,
1355.137,1482.5821,
1352.227,1542.2451,
1349.316,1587.4935,
1346.406,1679.3643,
1343.495,1732.2578,
1340.584,1732.2852,
1337.674,1768.9672,
1334.763,1815.3116,
1331.853,1836.6379,
1328.942,1874.8575,
1326.032,1880.3156,
1323.121,1917.5482,
1320.210,1955.805,
1317.300,1962.0074,
1314.389,1997.0702,
1311.479,2023.5778,
1308.568,2034.6434,
1305.657,2093.8288,
1302.747,2140.2051,
1299.836,2183.7826,
1296.926,2224.6619,
1294.015,2292.6919,
1291.105,2297.2611,
1288.194,2418.9089,
1285.283,2435.1799,
1282.373,2482.6561,
1279.462,2529.4213,
1276.552,2563.4056,
1273.641,2591.6757,
1270.731,2606.7328,
1267.820,2634.6018,
1264.909,2656.4332,
1261.999,2590.5999,
1259.088,2593.3362,
1256.178,2566.9499,
1253.267,2570.172,
1250.356,2501.3883,
1247.446,2417.0415,
1244.535,2394.3839,
1241.625,2361.0742,
1238.714,2275.9978,
1235.804,2229.2331,
1232.893,2195.6202,
1229.982,2215.2615,
1227.072,2149.1738,
1224.161,2140.2975,
1221.251,2037.5022,
1218.340,1991.4872,
1215.430,1972.2872,
1212.519,1942.4841,
1209.608,1939.6994,
1206.698,1971.3935,
1203.787,1950.4246,
1200.877,1922.1248,
1197.966,1996.7551,
1195.055,2052.5482,
1192.145,2129.1209,
1189.234,2172.9101,
1186.324,2219.4124,
1183.413,2270.1396,
1180.503,2283.3353,
1177.592,2253.6414,
1174.681,2244.839,
1171.771,2224.3982,
1168.860,2133.3031,
1165.950,2112.4057,
1163.039,2092.0399,
1160.129,2019.6159,
1157.218,2005.2671,
1154.307,2028.4823,
1151.397,1998.7267,
1148.486,1962.6499,
1145.576,1963.9626,
1142.665,1974.6175,
1139.754,1966.5501,
1136.844,1923.1821,
1133.933,1889.6643,
1131.023,1873.779,
1128.112,1878.1415,
1125.202,1893.0845,
1122.291,1889.7615,
1119.380,1919.5693,
1116.470,1926.6295,
1113.559,1908.942,
1110.649,1910.0485,
1107.738,1898.4971,
1104.828,1909.6338,
1101.917,1934.328,
1099.006,1917.7576,
1096.096,1940.4574,
1093.185,1907.0933,
1090.275,1960.3396,
