,PLA94E~1,
Raman shift [1/cm],Intensity,
1317.300,1369.5,
1314.389,1384.917,
1311.479,1409.5485,
1308.568,1432.1982,
1305.657,1457.3668,
1302.747,1493.2708,
1299.836,1561.5197,
1296.926,1605.2264,
1294.015,1620.8549,
1291.105,1690.1823,
1288.194,1769.7894,
1285.283,1854.0883,
1282.373,1907.078,
1279.462,1938.4213,
1276.552,1956.6103,
1273.641,1973.8882,
1270.731,1993.0881,
1267.820,1989.3065,
1264.909,1967.4448,
1261.999,1953.0992,
1259.088,1969.5174,
1256.178,1944.8063,
1253.267,1857.6429,
1250.356,1824.373,
1247.446,1793.5106,
1244.535,1728.9108,
1241.625,1675.2334,
1238.714,1624.023,
1235.804,1527.9466,
1232.893,1502.0039,
1229.982,1482.9361,
1227.072,1436.7652,
1224.161,1436.0215,
1221.251,1399.2745,
1218.340,1372.8959,
1215.430,1359.4441,
1212.519,1328.6927,
1209.608,1307.0681,
1206.698,1323.9893,
1203.787,1328.1081,
1200.877,1357.107,
1197.966,1334.628,
1195.055,1377.0157,
1192.145,1402.5322,
1189.234,1414.3391,
1186.324,1479.1423,
1183.413,1510.6269,
1180.503,1508.0961,
1177.592,1531.3581,
1174.681,1461.6267,
1171.771,1463.283,
1168.860,1497.2204,
1165.950,1448.8975,
1163.039,1418.3415,
1160.129,1421.7072,
1157.218,1398.2522,
1154.307,1368.5813,
1151.397,1365.8549,
1148.486,1340.598,
1145.576,1351.7676,
1142.665,1334.8973,
1139.754,1331.0591,
1136.844,1315.7936,
1133.933,1287.7993,
1131.023,1264.0023,
1128.112,1256.9996,
1125.202,1260.7754,
1122.291,1261.3828,
1119.380,1281.4047,
1116.470,1271.6969,
1113.559,1304.523,
1110.649,1299.4386,
1107.738,1315.6118,
1104.828,1316.5272,
1101.917,1307.4357,
1099.006,1335.3252,
1096.096,1256.5426,
1093.185,1289.9067,
1090.275,1280.3609,
1087.364,1309.7478,
1084.453,1316.063,
1081.543,1298.5445,
1078.632,1274.158,
1075.722,1256.5776,
1072.811,1279.4928,
1069.901,1293.465,
1066.990,1341.3832,
1064.079,1311.6692,
1061.169,1322.3243,
1058.258,1356.6637,
1055.348,1363.445,
1052.437,1350.9277,
1049.527,1373.4664,
1046.616,1372.5976,
1043.705,1379.4369,
1040.795,1403.2092,
1037.884,1418.0287,
1034.974,1422.7345,
1032.063,1430.3153,
1029.153,1440.3189,
1026.242,1422.1548,
1023.331,1411.5006,
1020.421,1454.8116,
1017.510,1478.4219,
1014.600,1489.1127,
1011.689,1496.3642,
1008.778,1501.1086,
1005.868,1574.7626,
1002.957,1604.0146,
1000.047,1678.388,
997.136,1693.3408,
994.226,1715.3918,
991.315,1741.8441,
988.404,1715.7166,
985.494,1705.2149,
982.583,1647.8257,
979.673,1665.1076,
976.762,1682.1323,
973.852,1686.174,
970.941,1678.276,
968.030,1661.3959,
965.120,1649.7327,
962.209,1705.1479,
959.299,1703.8763,
956.388,1669.8219,
953.477,1666.6403,
950.567,1692.3629,
947.656,1682.8315,
944.746,1677.7342,
941.835,1701.7944,
938.925,1702.2356,
936.014,1686.3485,
933.103,1670.3222,
930.193,1658.1078,
927.282,1629.6128,
924.372,1576.3396,
921.461,1570.9728,
918.551,1562.2051,
915.640,1545.3014,
912.729,1531.2316,
909.819,1528.6095,
906.908,1514.2883,
903.998,1519.8629,
901.087,1527.8651,
898.176,1554.4054,
895.266,1576.9608,
892.355,1574.013,
889.445,1587.4412,
886.534,1620.06,
883.624,1643.3208,
880.713,1681.1006,
877.802,1692.4778,
874.892,1666.3831,
871.981,1692.0068,
869.071,1671.1215,
866.160,1658.5305,
863.250,1657.121,
860.339,1649.1187,
857.428,1626.6738,
854.518,1610.3074,
851.607,1603.6509,
848.697,1574.2995,
845.786,1584.3345,
842.875,1597.1108,
839.965,1574.6746,
837.054,1543.6116,
834.144,1553.5567,
831.233,1551.5003,
828.323,1556.9186,
825.412,1542.2846,
822.501,1499.0746,
819.591,1518.9081,
816.680,1480.2371,
813.770,1447.3194,
810.859,1441.6223,
807.949,1445.9878,
805.038,1433.3916,
802.127,1449.031,
799.217,1455.7177,
796.306,1435.3647,
793.396,1422.7825,
790.485,1434.5539,
787.574,1452.815,
784.664,1434.7725,
781.753,1432.842,
778.843,1433.9901,
775.932,1433.8827,
773.022,1430.598,
770.111,1418.3344,
767.200,1439.5781,
764.290,1429.7415,
761.379,1430.1038,
758.469,1449.5,
755.558,1448.722,
752.648,1422.6547,
749.737,1424.6807,
746.826,1392.601,
743.916,1343.4025,
741.005,1313.8797,
738.095,1237.5633,
735.184,1194.1771,
732.274,1162.0936,
729.363,1192.5723,
726.452,1291.7856,
723.542,1326.5895,
720.631,1334.6163,
717.721,1357.6953,
714.810,1373.8807,
711.899,1384.4703,
708.989,1427.2374,
706.078,1401.057,
703.168,1374.4617,
700.257,1361.9126,
697.347,1359.6742,
694.436,1349.1072,
691.525,1334.6387,
688.615,1330.2422,
685.704,1334.2486,
682.794,1330.4363,
679.883,1298.9778,
676.973,1331.834,
674.062,1325.7384,
671.151,1318.5,
668.241,1326.3622,
665.330,1351.3109,
662.420,1347.3173,
659.509,1354.1192,
656.598,1357.2018,
653.688,1347.6786,
650.777,1321.527,
647.867,1322.3233,
644.956,1337.3596,
642.046,1338.6226,
639.135,1335.0459,
636.224,1363.4881,
633.314,1361.1062,
630.403,1352.2231,
627.493,1350.7248,
624.582,1355.3811,
621.672,1345.8772,
618.761,1363.7385,
615.850,1367.847,
612.940,1387.6751,
610.029,1430.3413,
607.119,1441.3961,
604.208,1416.9395,
601.297,1425.4437,
598.387,1440.7738,
595.476,1428.306,
592.566,1394.4621,
589.655,1390.4437,
586.745,1352.4428,
583.834,1305.6721,
580.923,1320.5948,
578.013,1336.2895,
575.102,1324.4395,
572.192,1327.5059,
569.281,1359.5616,
566.371,1387.7361,
563.460,1354.5211,
560.549,1356.5548,
557.639,1378.797,
554.728,1391.6332,
551.818,1409.5805,
548.907,1390.9517,
545.996,1380.3879,
543.086,1389.5197,
540.175,1403.5354,
537.265,1454.4753,
534.354,1455.4391,
531.444,1432.4842,
528.533,1421.8177,
525.622,1454.4074,
522.712,1491.2309,
519.801,1499.0436,
516.891,1488.4818,
513.980,1527.9708,
511.070,1565.3087,
508.159,1596.6924,
505.248,1612.746,
502.338,1604.8615,
499.427,1617.2108,
496.517,1648.7828,
493.606,1684.2962,
490.695,1713.2118,
487.785,1725.5284,
484.874,1736.5471,
481.964,1736.5167,
479.053,1723.6165,
476.143,1699.0417,
473.232,1723.3985,
470.321,1716.9564,
467.411,1683.5446,
464.500,1637.1788,
461.590,1663.9797,
458.679,1692.4112,
455.769,1721.4724,
452.858,1741.5349,
449.947,1684.24,
447.037,1675.5338,
444.126,1690.4394,
441.216,1715.5426,
438.305,1733.0671,
435.395,1736.1556,
432.484,1753.1701,
429.573,1774.725,
426.663,1767.1236,
423.752,1798.5813,
420.842,1829.8541,
417.931,1857.395,
415.020,1881.6625,
412.110,1830.5555,
409.199,1837.4168,
406.289,1868.9276,
403.378,1882.3771,
400.468,1846.0893,
397.557,1837.5849,
394.646,1843.4628,
391.736,1851.0171,
388.825,1835.9325,
385.915,1832.5644,
383.004,1845.7784,
380.094,1876.6152,
377.183,1878.8726,
374.272,1900.6684,
371.362,1937.6313,
368.451,1986.0987,
365.541,2028.8792,
362.630,2026.2977,
359.719,2015.9798,
356.809,2018.911,
353.898,2009.1766,
350.988,2014.0948,
348.077,2016.1439,
345.167,2005.8406,
342.256,2012.5642,
339.345,2024.5972,
336.435,2032.3896,
333.524,2028.49,
330.614,1996.4483,
327.703,2008.5764,
324.793,2028.4688,
321.882,2025.5216,
318.971,2034.4429,
316.061,2059.9624,
313.150,2086.7333,
310.240,2097.1229,
307.329,2126.0855,
304.418,2147.9869,
301.508,2147.8969,
298.597,2100.5102,
295.687,2142.5523,
292.776,2174.5001,
289.866,2213.4105,
286.955,2331.6066,
284.044,2437.0499,
281.134,2492.5732,
278.223,2518.4694,
275.313,2648.156,
272.402,2678.9854,
269.492,2718.2549,
266.581,2802.4398,
263.670,2871.5467,
260.760,2903.5148,
257.849,2910.1373,
254.939,2897.6613,
252.028,2919.9392,
249.117,2889.6697,
246.207,2849.1823,
243.296,2871.1434,
240.386,2855.2162,
237.475,2809.3864,
234.565,2739.1913,
231.654,2661.0403,
228.743,2611.1287,
225.833,2564.5475,
222.922,2511.6802,
220.012,2451.2101,
217.101,2388.317,
214.191,2332.572,
211.280,2296.1988,
208.369,2251.7856,
205.459,2229.903,
202.548,2223.7395,
199.638,2201.9701,
196.727,2164.0795,
193.816,2142.5102,
190.906,2149.0429,
187.995,2136.0105,
185.085,2157.5071,
182.174,2179.0564,
179.264,2151.5913,
176.353,2152.3447,
173.442,2198.3695,
170.532,2270.4596,
167.621,2227.201,
164.711,2217.0767,
161.800,2191.2201,
158.890,2111.3304,
155.979,2024.6499,
153.068,1873.4901,
150.158,1676.5739,
147.247,1500.6756,
144.337,1279.1519,
141.426,1028.6799,
138.516,752.67677,
135.605,549.86024,
132.694,380.61788,
129.784,246.05437,
126.873,161.66905,
123.963,104.09602,
121.052,66.984348,
118.141,50.564602,
115.231,40.552015,
112.320,30.992733,
109.410,22.272803,
106.499,15.863406,
103.589,19.54229,
100.678,19.968918,
97.767,10.726729,
94.857,14.657934,
91.946,11.66267,
89.036,5.5160812,
86.125,11.898929,
