,PL88AE~1,
Raman shift [1/cm],Intensity,
1890.684,599.43392,
1887.773,589.26286,
1884.863,606.68252,
1881.952,623.74492,
1879.041,597.11539,
1876.131,606.92009,
1873.220,616.60511,
1870.310,647.07898,
1867.399,570.65449,
1864.489,618.80338,
1861.578,627.22681,
1858.667,609.45582,
1855.757,629.16856,
1852.846,637.12884,
1849.936,636.04968,
1847.025,631.19738,
1844.114,642.81267,
1841.204,644.70717,
1838.293,638.86918,
1835.383,645.1075,
1832.472,636.10717,
1829.562,636.04063,
1826.651,656.78566,
1823.740,655.63935,
1820.830,654.68998,
1817.919,621.98556,
1815.009,652.04929,
1812.098,659.27264,
1809.188,654.68509,
1806.277,670.99876,
1803.366,631.19018,
1800.456,678.27586,
1797.545,660.02036,
1794.635,669.85805,
1791.724,691.55949,
1788.813,683.57654,
1785.903,684.1541,
1782.992,678.42272,
1780.082,695.25354,
1777.171,679.70637,
1774.261,672.375,
1771.350,673.958,
1768.439,679.35414,
1765.529,687.46668,
1762.618,700.58814,
1759.708,713.462,
1756.797,727.5947,
1753.887,736.375,
1750.976,729.29909,
1748.065,726.21832,
1745.155,720.98795,
1742.244,738.56337,
1739.334,726.77971,
1736.423,703.65726,
1733.512,746.39953,
1730.602,795.0437,
1727.691,762.38601,
1724.781,721.84482,
1721.870,703.10827,
1718.960,713.53071,
1716.049,759.16271,
1713.138,771.64998,
1710.228,768.89381,
1707.317,750.68357,
1704.407,769.03814,
1701.496,730.35535,
1698.586,775.34617,
1695.675,755.04658,
1692.764,800.71109,
1689.854,812.94193,
1686.943,781.48795,
1684.033,767.69787,
1681.122,833.23651,
1678.211,831.40355,
1675.301,843.338,
1672.390,844.52454,
1669.480,894.24665,
1666.569,878.26074,
1663.659,869.40766,
1660.748,872.68616,
1657.837,940.44662,
1654.927,986.85211,
1652.016,924.03107,
1649.106,950.61981,
1646.195,961.07032,
1643.285,988.85091,
1640.374,966.20775,
1637.463,959.88822,
1634.553,1042.6853,
1631.642,1063.3533,
1628.732,1061.8194,
1625.821,1136.3999,
1622.911,1174.1609,
1620.000,1261.2663,
1617.089,1291.778,
1614.179,1379.8369,
1611.268,1449.7725,
1608.358,1523.8633,
1605.447,1641.4616,
1602.536,1629.7373,
1599.626,1683.571,
1596.715,1656.609,
1593.805,1653.375,
1590.894,1666.5851,
1587.984,1628.5348,
1585.073,1639.3913,
1582.162,1622.3377,
1579.252,1583.1881,
1576.341,1574.5739,
1573.431,1549.3134,
1570.520,1532.4381,
1567.610,1502.5511,
1564.699,1467.999,
1561.788,1460.4877,
1558.878,1436.1128,
1555.967,1443.5343,
1553.057,1372.3586,
1550.146,1343.5822,
1547.235,1375.0364,
1544.325,1311.3316,
1541.414,1283.7784,
1538.504,1337.0651,
1535.593,1321.9349,
1532.683,1284.0502,
1529.772,1260.3442,
1526.861,1222.5703,
1523.951,1217.2751,
1521.040,1197.3573,
1518.130,1182.0342,
1515.219,1185.7363,
1512.309,1154.2489,
1509.398,1193.5823,
1506.487,1184.2805,
1503.577,1182.6438,
1500.666,1150.9419,
1497.756,1160.7052,
1494.845,1129.6957,
1491.934,1161.1608,
1489.024,1095.7113,
1486.113,1090.5934,
1483.203,1109.0265,
1480.292,1057.9188,
1477.382,1051.608,
1474.471,1065.4204,
1471.560,1052.6847,
1468.650,1039.5423,
1465.739,1035.094,
1462.829,994.38823,
1459.918,996.10453,
1457.008,1029.0213,
1454.097,1032.3669,
1451.186,1004.9978,
1448.276,981.90954,
1445.365,998.44767,
1442.455,995.88254,
1439.544,972.03358,
1436.633,1037.092,
1433.723,970.26245,
1430.812,942.18771,
1427.902,952.7809,
1424.991,969.84062,
1422.081,973.12743,
1419.170,967.32658,
1416.259,914.53096,
1413.349,958.26284,
1410.438,946.98425,
1407.528,870.64457,
1404.617,870.01557,
1401.707,903.38399,
1398.796,901.46244,
1395.885,891.61517,
1392.975,890.54155,
1390.064,875.9571,
1387.154,853.375,
1384.243,835.95797,
1381.332,757.02295,
1378.422,799.44703,
1375.511,897.80903,
1372.601,968.49278,
1369.690,1062.6689,
1366.780,1062.3263,
1363.869,1070.7251,
1360.958,1105.7449,
1358.048,1124.9349,
1355.137,1156.2876,
1352.227,1189.6953,
1349.316,1245.4233,
1346.406,1316.8205,
1343.495,1327.8176,
