,PL4EEC~1,
Wavenumbers [1/cm],Intensity,
2173.010,248.375,
2170.099,260.50695,
2167.189,255.36782,
2164.278,254.08153,
2161.368,247.51844,
2158.457,245.54205,
2155.546,270.02598,
2152.636,259.56122,
2149.725,259.69714,
2146.815,278.77436,
2143.904,261.68354,
2140.993,280.27979,
2138.083,271.91604,
2135.172,283.75325,
2132.262,292.74208,
2129.351,296.17159,
2126.441,294.84101,
2123.530,271.74539,
2120.619,300.52195,
2117.709,267.937,
2114.798,252.53278,
2111.888,256.66288,
2108.977,254.73262,
2106.067,235.62367,
2103.156,237.17335,
2100.245,212.39257,
2097.335,242.54254,
2094.424,249.51907,
2091.514,230.31325,
2088.603,240.20452,
2085.692,237.51252,
2082.782,243.20229,
2079.871,247.66088,
2076.961,248.375,
2074.050,257.25985,
2071.140,237.94951,
2068.229,245.66017,
2065.318,233.05425,
2062.408,228.51117,
2059.497,245.22623,
2056.587,250.31706,
2053.676,235.5756,
2050.766,255.52746,
2047.855,225.48892,
2044.944,231.10416,
2042.034,245.21897,
2039.123,250.29419,
2036.213,237.51053,
2033.302,257.46156,
2030.391,255.54514,
2027.481,261.71628,
2024.570,251.5183,
2021.660,218.26714,
2018.749,251.91911,
2015.839,240.50951,
2012.928,246.43205,
2010.017,251.36305,
2007.107,236.84231,
2004.196,241.64878,
2001.286,246.87674,
1998.375,253.59153,
1995.465,241.3625,
1992.554,255.0278,
1989.643,259.30587,
1986.733,234.26798,
1983.822,235.05521,
1980.912,246.36469,
1978.001,228.12082,
1975.090,234.14142,
1972.180,228.54923,
1969.269,223.09344,
1966.359,225.94246,
1963.448,231.60222,
1960.538,251.60519,
1957.627,236.65053,
1954.716,221.74845,
1951.806,223.5176,
1948.895,240.14633,
1945.985,211.72794,
1943.074,237.85105,
1940.164,224.61523,
1937.253,207.64032,
1934.342,209.44345,
1931.432,238.73462,
1928.521,247.23165,
1925.611,243.375,
1922.700,225.17197,
1919.790,225.54257,
1916.879,208.70024,
1913.968,230.34672,
1911.058,270.46808,
1908.147,230.83633,
1905.237,236.80145,
1902.326,221.05648,
1899.415,210.48597,
1896.505,192.06772,
1893.594,203.09153,
1890.684,209.40124,
1887.773,208.65915,
1884.863,231.13126,
1881.952,259.29979,
1879.041,245.68029,
1876.131,225.34494,
1873.220,218.01658,
1870.310,253.57673,
1867.399,241.6149,
1864.489,215.20535,
1861.578,260.375,
1858.667,254.94689,
1855.757,224.17214,
1852.846,224.35962,
1849.936,220.81643,
1847.025,225.96625,
1844.114,227.66446,
1841.204,255.78759,
1838.293,256.38498,
1835.383,253.1075,
1832.472,263.08457,
