,PLFB70~1,
Wavenumbers [1/cm],Intensity,
1218.340,636.0547,
1215.430,650.37248,
1212.519,662.91137,
1209.608,637.53122,
1206.698,602.69675,
1203.787,597.74247,
1200.877,612.81019,
1197.966,637.98664,
1195.055,675.08644,
1192.145,692.52015,
1189.234,731.93358,
1186.324,770.88825,
1183.413,764.28551,
1180.503,759.5324,
1177.592,797.25988,
1174.681,762.22261,
1171.771,748.68271,
1168.860,767.43759,
1165.950,717.64747,
1163.039,747.85257,
1160.129,728.49927,
1157.218,727.72901,
1154.307,761.55743,
1151.397,768.33982,
1148.486,765.1924,
1145.576,809.01648,
1142.665,780.60326,
1139.754,756.28202,
1136.844,738.64455,
1133.933,756.12374,
1131.023,746.28473,
1128.112,729.03401,
1125.202,753.87318,
1122.291,765.75135,
1119.380,769.26732,
1116.470,771.03238,
1113.559,758.87802,
1110.649,735.60463,
1107.738,747.75436,
1104.828,750.60602,
1101.917,728.72935,
1099.006,734.17779,
1096.096,742.55121,
1093.185,731.13717,
1090.275,744.81686,
1087.364,755.11123,
1084.453,778.49871,
1081.543,764.01275,
1078.632,737.47238,
1075.722,760.48879,
1072.811,744.18795,
1069.901,743.31469,
1066.990,761.84162,
1064.079,781.22131,
1061.169,780.51778,
1058.258,777.63788,
1055.348,781.66208,
1052.437,774.6744,
1049.527,747.96189,
1046.616,792.27219,
1043.705,808.81148,
1040.795,781.60178,
1037.884,772.84754,
1034.974,779.38789,
1032.063,771.00403,
1029.153,758.09291,
1026.242,790.09629,
1023.331,753.7524,
1020.421,784.59058,
1017.510,801.81028,
1014.600,819.59013,
1011.689,829.28156,
1008.778,785.30672,
1005.868,733.13417,
1002.957,720.22885,
1000.047,776.49002,
997.136,829.96559,
994.226,870.98817,
991.315,883.89852,
988.404,854.73757,
985.494,825.88558,
982.583,809.61101,
979.673,810.90823,
976.762,793.46273,
973.852,809.42268,
970.941,838.24772,
968.030,816.24417,
965.120,799.45764,
962.209,848.90508,
959.299,851.58401,
956.388,848.13007,
953.477,838.61842,
950.567,838.01406,
947.656,873.3668,
944.746,889.50836,
941.835,850.56915,
938.925,855.7271,
936.014,848.58104,
933.103,834.60309,
930.193,834.05146,
927.282,828.88337,
924.372,822.11852,
921.461,817.568,
918.551,811.60253,
915.640,796.77652,
912.729,782.86014,
909.819,794.03349,
906.908,845.42142,
903.998,830.75199,
901.087,823.70398,
898.176,810.32012,
895.266,815.65914,
892.355,851.95174,
889.445,834.32713,
886.534,830.07564,
883.624,821.84885,
880.713,817.73964,
877.802,795.71172,
874.892,704.50833,
871.981,475.67923,
869.071,324.4695,
866.160,355.51665,
863.250,537.98664,
860.339,712.82566,
857.428,778.51974,
854.518,805.92809,
851.607,691.10253,
848.697,612.09773,
845.786,517.26544,
842.875,525.20833,
839.965,678.44477,
837.054,775.77099,
834.144,822.18113,
831.233,871.24711,
828.323,872.95084,
825.412,859.40141,
822.501,870.84576,
819.591,874.15136,
816.680,858.22433,
813.770,851.11749,
810.859,837.96898,
807.949,828.93539,
805.038,837.86503,
802.127,809.8787,
799.217,826.63017,
796.306,828.14185,
793.396,832.81498,
790.485,841.82781,
787.574,825.03204,
784.664,819.29125,
781.753,821.60492,
778.843,835.99214,
775.932,858.20047,
773.022,875.58725,
770.111,858.41811,
767.200,863.3405,
764.290,841.55701,
761.379,854.5778,
758.469,893.50713,
755.558,864.27431,
752.648,865.08892,
749.737,858.72211,
746.826,842.66203,
743.916,820.71093,
741.005,800.51636,
738.095,794.02135,
735.184,745.341,
732.274,693.64436,
729.363,677.69922,
726.452,710.82799,
723.542,747.25069,
720.631,792.82872,
717.721,810.83276,
714.810,840.89755,
711.899,875.97275,
708.989,840.46805,
706.078,839.4487,
703.168,855.64497,
700.257,861.71171,
697.347,855.03263,
694.436,853.28983,
691.525,817.92241,
688.615,836.03536,
685.704,842.18443,
682.794,839.14352,
679.883,868.97087,
676.973,884.99828,
674.062,893.35466,
671.151,883.53843,
668.241,867.01175,
665.330,865.00207,
662.420,838.64392,
659.509,827.53562,
656.598,834.636,
653.688,853.31094,
650.777,868.98089,
647.867,831.55347,
644.956,780.52865,
642.046,725.22813,
639.135,679.21938,
636.224,660.82294,
633.314,775.15008,
630.403,794.79063,
627.493,811.67854,
624.582,845.89514,
621.672,830.84725,
618.761,856.84788,
615.850,864.69901,
612.940,883.71748,
610.029,918.88259,
607.119,904.66924,
604.208,930.94052,
601.297,939.75741,
598.387,924.63818,
595.476,896.14689,
592.566,926.84255,
589.655,929.01055,
586.745,933.32556,
583.834,939.05416,
580.923,930.99884,
578.013,889.40794,
575.102,872.51412,
572.192,879.32582,
569.281,897.844,
566.371,890.01776,
563.460,892.77734,
560.549,924.46127,
557.639,955.71287,
554.728,952.96894,
551.818,932.68073,
548.907,906.92054,
545.996,904.91369,
543.086,918.04936,
540.175,893.91134,
537.265,902.38991,
534.354,909.76183,
531.444,909.9061,
528.533,904.94721,
525.622,956.93568,
522.712,925.77727,
519.801,893.28556,
516.891,885.4065,
513.980,886.1808,
511.070,892.58913,
508.159,896.20513,
505.248,894.99674,
502.338,889.22146,
499.427,922.41023,
496.517,915.97729,
493.606,920.7381,
490.695,951.96619,
487.785,942.7287,
484.874,933.49531,
481.964,919.6986,
479.053,905.69843,
476.143,903.39454,
473.232,914.76046,
470.321,915.35739,
467.411,910.23696,
464.500,907.67665,
461.590,924.52294,
458.679,943.00737,
455.769,941.64743,
452.858,920.05605,
449.947,975.82304,
447.037,930.82127,
444.126,915.69242,
441.216,949.60423,
438.305,934.3656,
435.395,947.32964,
432.484,949.83222,
429.573,921.30476,
426.663,831.60816,
423.752,575.2714,
420.842,263.11136,
417.931,-26.291258,
415.020,-190.09661,
412.110,289.30951,
409.199,623.24005,
406.289,775.91886,
403.378,744.02716,
400.468,678.25565,
397.557,678.33013,
394.646,744.84679,
391.736,872.40896,
388.825,908.61206,
385.915,913.39587,
383.004,918.52956,
380.094,943.02155,
377.183,918.94231,
374.272,922.56283,
371.362,946.55502,
368.451,982.52054,
365.541,970.51197,
362.630,969.43496,
359.719,971.84194,
356.809,972.7516,
353.898,964.51482,
350.988,998.59661,
348.077,1023.4418,
345.167,1007.1687,
342.256,966.07996,
339.345,982.41593,
336.435,1001.6982,
333.524,986.80373,
330.614,972.64577,
327.703,967.73659,
324.793,985.0376,
321.882,1036.25,
318.971,1036.25,
316.061,1030.8785,
313.150,1027.3286,
310.240,1034.0076,
307.329,1053.5452,
304.418,1086.7834,
301.508,1109.7669,
298.597,1081.6311,
295.687,1117.1755,
292.776,1128.1666,
289.866,1134.2861,
286.955,1210.3748,
284.044,1276.9099,
281.134,1349.9817,
278.223,1418.4955,
