,PL86BB~1,
Wavenumbers [1/cm],Intensity,
1486.113,1190.7991,
1483.203,1154.0193,
1480.292,1118.3286,
1477.382,1137.9307,
1474.471,1077.8804,
1471.560,1064.406,
1468.650,1040.2273,
1465.739,1049.0112,
1462.829,1105.0395,
1459.918,1116.0903,
1457.008,1113.0598,
1454.097,1127.6479,
1451.186,1126.3005,
1448.276,1104.3783,
1445.365,1055.6925,
1442.455,1013.5214,
1439.544,1012.8631,
1436.633,959.31096,
1433.723,922.61368,
1430.812,947.02794,
1427.902,924.79954,
1424.991,963.6578,
1422.081,919.91862,
1419.170,893.40943,
1416.259,914.98695,
1413.349,897.46253,
1410.438,896.8728,
1407.528,896.65629,
1404.617,874.91264,
1401.707,810.53065,
1398.796,733.30516,
1395.885,712.58379,
1392.975,745.50044,
1390.064,760.16605,
1387.154,742.3325,
1384.243,710.18336,
1381.332,658.65367,
1378.422,661.31906,
1375.511,747.50291,
1372.601,761.77698,
1369.690,779.16223,
1366.780,796.92367,
1363.869,838.65181,
1360.958,882.58473,
1358.048,879.48233,
1355.137,903.67288,
1352.227,952.88817,
1349.316,1007.6473,
1346.406,1071.8578,
1343.495,1071.9342,
1340.584,1038.7309,
1337.674,1120.339,
1334.763,1118.4508,
1331.853,1186.1387,
1328.942,1203.9959,
1326.032,1239.3154,
1323.121,1271.3268,
1320.210,1275.2136,
1317.300,1288.221,
1314.389,1316.3476,
1311.479,1353.8457,
1308.568,1402.0673,
1305.657,1444.0894,
1302.747,1468.0174,
1299.836,1524.7891,
1296.926,1561.1996,
1294.015,1589.6986,
1291.105,1665.7211,
1288.194,1743.7682,
1285.283,1740.1109,
1282.373,1774.2733,
1279.462,1800.522,
1276.552,1817.2058,
1273.641,1816.6539,
1270.731,1793.6377,
1267.820,1807.1744,
1264.909,1796.3914,
1261.999,1792.2425,
1259.088,1774.9122,
1256.178,1785.0089,
1253.267,1730.8697,
1250.356,1713.1977,
1247.446,1722.2626,
1244.535,1678.826,
1241.625,1613.7454,
1238.714,1595.9886,
1235.804,1604.1857,
1232.893,1608.251,
1229.982,1602.4951,
1227.072,1561.7561,
1224.161,1582.4091,
1221.251,1518.3802,
1218.340,1438.5154,
1215.430,1429.8964,
1212.519,1440.6308,
1209.608,1417.7,
1206.698,1394.1729,
1203.787,1401.8097,
1200.877,1409.4939,
1197.966,1451.7544,
1195.055,1516.1621,
1192.145,1562.1881,
1189.234,1637.4567,
1186.324,1708.9695,
1183.413,1734.5755,
1180.503,1740.3535,
1177.592,1747.4504,
1174.681,1692.1558,
1171.771,1706.7623,
1168.860,1658.5355,
1165.950,1621.6234,
1163.039,1628.5415,
1160.129,1611.8707,
1157.218,1637.2183,
1154.307,1702.6524,
1151.397,1741.2638,
1148.486,1757.169,
1145.576,1790.4465,
1142.665,1734.508,
1139.754,1749.4021,
1136.844,1702.7529,
1133.933,1686.7401,
1131.023,1659.2446,
1128.112,1633.1594,
1125.202,1649.875,
1122.291,1651.379,
1119.380,1662.0309,
1116.470,1677.9164,
1113.559,1638.8928,
1110.649,1616.3975,
1107.738,1621.5914,
1104.828,1618.392,
1101.917,1600.2833,
1099.006,1596.772,
1096.096,1586.5525,
1093.185,1581.2845,
1090.275,1597.8697,
1087.364,1595.6999,
1084.453,1621.5607,
1081.543,1622.4022,
1078.632,1604.2768,
1075.722,1630.1407,
1072.811,1652.5647,
1069.901,1648.1984,
1066.990,1641.4083,
1064.079,1641.9165,
1061.169,1639.5612,
1058.258,1651.697,
1055.348,1663.3502,
1052.437,1642.547,
1049.527,1641.2778,
1046.616,1651.7037,
1043.705,1672.1441,
1040.795,1656.1658,
1037.884,1641.3463,
1034.974,1651.5374,
1032.063,1662.86,
1029.153,1633.9909,
1026.242,1659.9396,
1023.331,1640.8763,
1020.421,1719.8301,
1017.510,1740.7476,
1014.600,1753.4049,
1011.689,1774.902,
1008.778,1740.7699,
1005.868,1716.8827,
1002.957,1717.7431,
1000.047,1797.227,
997.136,1879.7343,
994.226,1927.5825,
991.315,1909.2117,
988.404,1832.8217,
985.494,1811.1845,
982.583,1780.3485,
979.673,1783.9231,
976.762,1758.6941,
973.852,1736.2229,
970.941,1744.4338,
968.030,1755.4932,
965.120,1663.3547,
962.209,1777.5954,
959.299,1810.3317,
956.388,1815.315,
953.477,1805.8324,
950.567,1808.8218,
947.656,1857.7744,
944.746,1887.5088,
941.835,1837.0469,
938.925,1830.7975,
936.014,1824.7701,
933.103,1822.2307,
930.193,1819.892,
927.282,1761.8585,
924.372,1724.6518,
921.461,1735.3394,
918.551,1737.9703,
915.640,1731.2006,
912.729,1727.8269,
909.819,1735.5414,
906.908,1733.0141,
903.998,1750.373,
901.087,1761.8766,
898.176,1747.7416,
895.266,1745.3319,
892.355,1778.9485,
889.445,1757.9668,
886.534,1782.9212,
883.624,1764.3259,
880.713,1755.4268,
877.802,1717.2302,
874.892,1600.2449,
871.981,1416.1464,
869.071,1258.2534,
866.160,1317.12,
863.250,1498.9824,
860.339,1653.2173,
857.428,1714.6667,
854.518,1785.7828,
851.607,1644.331,
848.697,1551.0933,
845.786,1496.0026,
842.875,1519.3163,
839.965,1627.764,
837.054,1737.796,
834.144,1819.8425,
831.233,1817.8763,
828.323,1808.875,
825.412,1813.0605,
822.501,1819.7898,
