,PL12CC~1,
1739.334,999.25913,
1736.423,1006.7343,
1733.512,1044.5031,
1730.602,1093.2739,
1727.691,1062.3683,
1724.781,1034.9666,
1721.870,1033.5393,
1718.960,1094.9702,
1716.049,1091.3455,
1713.138,1084.705,
1710.228,1129.3804,
1707.317,1109.5879,
1704.407,1120.4994,
1701.496,1096.6017,
1698.586,1105.2128,
1695.675,1094.8965,
1692.764,1110.2193,
1689.854,1140.7825,
1686.943,1104.4403,
1684.033,1155.7838,
1681.122,1143.3629,
1678.211,1205.5254,
1675.301,1203.1343,
1672.390,1183.3463,
1669.480,1256.9325,
1666.569,1233.1631,
1663.659,1237.2519,
1660.748,1305.3371,
1657.837,1317.131,
1654.927,1360.4381,
1652.016,1291.0727,
1649.106,1330.2022,
1646.195,1372.8613,
1643.285,1363.9024,
1640.374,1439.7696,
1637.463,1423.9176,
1634.553,1467.9673,
1631.642,1524.3096,
1628.732,1541.3916,
1625.821,1586.1826,
1622.911,1673.6291,
1620.000,1789.6509,
1617.089,1835.2295,
1614.179,2012.9924,
1611.268,2091.2995,
1608.358,2196.1149,
1605.447,2272.7827,
1602.536,2360.063,
1599.626,2382.6838,
1596.715,2355.0818,
1593.805,2353.0193,
1590.894,2358.409,
1587.984,2333.1422,
1585.073,2319.766,
1582.162,2288.904,
1579.252,2262.6675,
1576.341,2257.3239,
1573.431,2243.811,
1570.520,2191.2049,
1567.610,2187.3016,
1564.699,2133.1226,
1561.788,2123.0967,
1558.878,2066.6763,
1555.967,2033.5003,
1553.057,1987.7461,
1550.146,1990.7795,
1547.235,1981.5603,
1544.325,1940.5037,
1541.414,1907.4633,
1538.504,1921.3565,
1535.593,1887.7214,
1532.683,1829.7189,
1529.772,1806.6629,
1526.861,1761.4808,
1523.951,1766.8974,
1521.040,1777.9965,
1518.130,1738.2701,
1515.219,1723.9649,
1512.309,1731.5755,
1509.398,1740.6061,
1506.487,1708.4166,
1503.577,1675.9566,
1500.666,1615.0424,
1497.756,1642.7686,
1494.845,1603.6859,
1491.934,1640.9864,
1489.024,1598.6367,
1486.113,1574.8718,
1483.203,1550.0326,
1480.292,1526.7607,
1477.382,1536.8652,
1474.471,1557.7747,
1471.560,1523.2134,
1468.650,1502.6588,
1465.739,1446.9643,
1462.829,1418.9155,
1459.918,1441.6721,
1457.008,1440.8478,
1454.097,1440.687,
1451.186,1440.7478,
1448.276,1416.1837,
1445.365,1435.0199,
1442.455,1447.5523,
1439.544,1423.323,
1436.633,1440.7933,
1433.723,1374.3712,
1430.812,1383.9377,
1427.902,1394.1701,
1424.991,1396.0656,
1422.081,1377.7755,
1419.170,1354.5235,
1416.259,1304.1413,
1413.349,1358.0757,
1410.438,1355.3325,
1407.528,1275.6009,
1404.617,1294.6636,
1401.707,1331.9454,
1398.796,1343.2858,
1395.885,1343.4162,
1392.975,1302.7076,
1390.064,1265.8876,
1387.154,1259.9943,
1384.243,1253.0191,
1381.332,1189.793,
1378.422,1192.7284,
1375.511,1301.395,
1372.601,1412.7919,
1369.690,1482.1306,
1366.780,1479.4524,
1363.869,1531.3373,
1360.958,1612.8649,
1358.048,1645.9049,
1355.137,1682.8715,
1352.227,1723.3603,
1349.316,1758.7877,
1346.406,1811.5782,
1343.495,1852.0763,
1340.584,1910.0167,
1337.674,1986.5554,
1334.763,2015.9718,
1331.853,2038.2254,
1328.942,2063.1405,
1326.032,2093.8561,
1323.121,2120.872,
1320.210,2099.4904,
1317.300,2144.1482,
1314.389,2178.9582,
1311.479,2239.0954,
1308.568,2326.2801,
1305.657,2312.9866,
1302.747,2290.355,
1299.836,2388.0072,
1296.926,2488.1505,
1294.015,2510.2143,
1291.105,2591.2543,
1288.194,2687.5905,
1285.283,2744.2092,
1282.373,2787.2343,
1279.462,2826.0854,
1276.552,2879.8968,
1273.641,2929.8559,
1270.731,2940.3026,
1267.820,2936.5262,
1264.909,2952.8938,
1261.999,2922.6909,
1259.088,2938.197,
1256.178,2891.1634,
1253.267,2893.8657,
1250.356,2825.3361,
1247.446,2742.4266,
1244.535,2709.1161,
1241.625,2674.1955,
1238.714,2621.125,
1235.804,2612.8241,
1232.893,2572.8908,
1229.982,2501.033,
1227.072,2498.3171,
1224.161,2454.4188,
1221.251,2450.5921,
1218.340,2396.4132,
1215.430,2351.2605,
1212.519,2315.5815,
1209.608,2285.3531,
1206.698,2284.1676,
1203.787,2296.3562,
1200.877,2328.5648,
1197.966,2303.3884,
1195.055,2407.9278,
1192.145,2456.9301,
1189.234,2524.8675,
1186.324,2581.7638,
1183.413,2602.2418,
1180.503,2602.8113,
1177.592,2599.6198,
1174.681,2575.3373,
1171.771,2555.548,
1168.860,2530.5415,
1165.950,2475.7162,
1163.039,2465.2202,
1160.129,2487.9496,
1157.218,2487.2607,
1154.307,2465.3017,
1151.397,2447.2192,
1148.486,2412.5313,
1145.576,2376.1272,
1142.665,2399.213,
1139.754,2358.0027,
1136.844,2341.8223,
1133.933,2354.9607,
1131.023,2373.2064,
1128.112,2362.5563,
1125.202,2320.6709,
1122.291,2301.8959,
1119.380,2356.3155,
1116.470,2375.7312,
1113.559,2345.6485,
1110.649,2391.7869,
1107.738,2416.8385,
1104.828,2393.1522,
1101.917,2375.4805,
1099.006,2404.6816,
1096.096,2423.6523,
1093.185,2383.2642,
1090.275,2389.8362,
1087.364,2407.9058,
1084.453,2401.6259,
1081.543,2390.6868,
1078.632,2405.1679,
1075.722,2434.928,
1072.811,2421.0009,
1069.901,2419.2544,
1066.990,2453.8833,
1064.079,2450.5563,
1061.169,2453.4095,
1058.258,2476.6409,
1055.348,2512.0592,
1052.437,2543.781,
1049.527,2547.7963,
1046.616,2565.1729,
1043.705,2580.228,
1040.795,2597.5336,
1037.884,2623.3316,
1034.974,2635.9111,
1032.063,2629.0326,
1029.153,2636.8907,
1026.242,2651.5949,
1023.331,2635.4594,
1020.421,2662.1004,
1017.510,2688.0113,
1014.600,2711.6588,
1011.689,2728.9847,
1008.778,2741.5192,
1005.868,2831.6347,
1002.957,2888.418,
1000.047,2990.309,
997.136,3081.5083,
994.226,3111.7559,
991.315,3087.9468,
988.404,3054.1262,
985.494,3021.6673,
982.583,2956.569,
979.673,2980.7807,
976.762,2993.7121,
973.852,2982.1907,
970.941,2979.8694,
968.030,3002.3098,
965.120,2958.1859,
962.209,2972.6791,
959.299,2973.7085,
956.388,2976.4848,
953.477,2982.4132,
950.567,3011.9602,
947.656,3076.6659,
944.746,3035.0376,
941.835,3054.99,
938.925,3054.2025,
936.014,3024.822,
933.103,3031.6097,
930.193,3071.9483,
927.282,2992.7877,
924.372,2949.6618,
921.461,2908.7778,
918.551,2883.3445,
915.640,2864.7762,
912.729,2847.0262,
909.819,2826.7863,
906.908,2778.7681,
903.998,2810.3257,
901.087,2850.9503,
898.176,2865.7846,
895.266,2870.6948,
892.355,2903.8886,
889.445,2982.7797,
886.534,3008.1712,
883.624,3008.4152,
880.713,3035.7256,
877.802,3062.388,
874.892,3054.8965,
871.981,3035.9672,
869.071,3029.2839,
866.160,2994.317,
863.250,3025.2548,
860.339,3054.2379,
857.428,3026.3423,
854.518,3005.7639,
851.607,2993.2829,
848.697,2991.8128,
845.786,3003.5423,
842.875,2998.7449,
839.965,2977.8485,
837.054,3013.2459,
834.144,3024.0197,
831.233,3016.7923,
828.323,3009.6521,
825.412,2995.5343,
822.501,2963.678,
819.591,2922.358,
816.680,2875.4518,
813.770,2862.2455,
810.859,2862.0275,
807.949,2842.7298,
805.038,2785.9391,
802.127,2759.5991,
799.217,2786.9406,
796.306,2786.3411,
793.396,2776.5677,
790.485,2776.8625,
787.574,2787.3118,
784.664,2792.2325,
781.753,2815.2675,
778.843,2828.0853,
775.932,2843.3964,
773.022,2865.01,
770.111,2812.6849,
767.200,2812.9316,
764.290,2811.2356,
761.379,2810.7005,
758.469,2806.0099,
755.558,2780.5838,
752.648,2829.46,
749.737,2777.11,
746.826,2745.5237,
743.916,2722.5532,
741.005,2642.343,
738.095,2493.7695,
735.184,2303.0806,
732.274,2291.4478,
729.363,2418.1044,
726.452,2585.859,
723.542,2695.1271,
720.631,2763.0527,
717.721,2782.6978,
714.810,2792.642,
711.899,2819.9765,
708.989,2870.8128,
706.078,2835.8677,
703.168,2800.4073,
700.257,2765.3844,
697.347,2741.8639,
694.436,2748.5833,
691.525,2765.4632,
688.615,2765.9804,
685.704,2757.6496,
682.794,2746.0825,
679.883,2737.8911,
676.973,2777.1583,
674.062,2758.3256,
671.151,2747.07,
668.241,2753.3162,
665.330,2759.5074,
662.420,2809.8275,
659.509,2773.1401,
656.598,2766.897,
653.688,2801.2563,
650.777,2824.855,
647.867,2816.8917,
644.956,2765.593,
642.046,2745.49,
639.135,2761.173,
636.224,2765.4154,
633.314,2823.373,
630.403,2820.3887,
627.493,2819.2632,
624.582,2834.653,
621.672,2823.5651,
618.761,2848.9629,
615.850,2883.5724,
612.940,2903.0758,
610.029,2898.862,
607.119,2897.2827,
604.208,2944.6959,
601.297,2941.1932,
598.387,2920.4181,
595.476,2925.0108,
592.566,2913.2048,
589.655,2931.2096,
586.745,2922.5964,
583.834,2890.9766,
580.923,2868.9449,
578.013,2839.125,
575.102,2821.9476,
572.192,2842.2786,
569.281,2889.8596,
566.371,2882.816,
563.460,2905.4055,
560.549,2899.5321,
557.639,2896.5532,
554.728,2935.9827,
551.818,2981.2411,
548.907,3004.5321,
545.996,3001.8501,
543.086,2986.1382,
540.175,2995.4819,
537.265,2981.6394,
534.354,2971.1081,
531.444,2990.3682,
528.533,3051.3592,
525.622,3026.5289,
522.712,3063.5977,
519.801,3084.2512,
516.891,3078.2897,
513.980,3103.8414,
511.070,3100.4902,
508.159,3173.1029,
505.248,3240.604,
502.338,3199.2486,
499.427,3271.8009,
496.517,3324.4987,
493.606,3340.7032,
490.695,3325.4415,
487.785,3349.305,
484.874,3351.8326,
481.964,3352.7861,
479.053,3348.5061,
476.143,3320.8595,
473.232,3316.2474,
470.321,3309.2861,
467.411,3297.5533,
464.500,3281.5904,
461.590,3299.9682,
458.679,3303.4741,
455.769,3307.4811,
452.858,3320.2385,
449.947,3330.9335,
447.037,3363.463,
444.126,3393.8462,
441.216,3414.9031,
438.305,3430.9036,
435.395,3399.6875,
432.484,3390.8768,
429.573,3405.255,
426.663,3414.3767,
423.752,3380.254,
420.842,3406.6834,
417.931,3459.1416,
415.020,3469.7586,
412.110,3494.9998,
409.199,3554.4917,
406.289,3593.3502,
403.378,3550.9995,
400.468,3513.9558,
397.557,3531.4315,
394.646,3542.1562,
391.736,3495.4248,
388.825,3473.5521,
385.915,3410.1803,
383.004,3392.9625,
380.094,3476.3535,
377.183,3500.4327,
374.272,3540.2346,
371.362,3592.5542,
368.451,3652.6295,
365.541,3677.3972,
362.630,3683.5788,
359.719,3686.0847,
356.809,3694.6655,
353.898,3720.1246,
350.988,3746.112,
348.077,3750.7991,
345.167,3723.3899,
342.256,3728.6194,
339.345,3695.5819,
336.435,3684.5565,
333.524,3735.6887,
330.614,3753.5724,
327.703,3755.5312,
324.793,3748.5159,
321.882,3738.1989,
318.971,3768.6801,
316.061,3791.8212,
313.150,3808.3583,
310.240,3818.7479,
307.329,3826.986,
304.418,3834.2286,
301.508,3827.7034,
298.597,3784.7593,
295.687,3737.7816,
292.776,3757.1252,
289.866,3852.0476,
286.955,4036.729,
284.044,4107.4,
281.134,4176.0784,
278.223,4262.0587,
275.313,4350.4813,
272.402,4442.8997,
269.492,4492.0059,
266.581,4491.0076,
263.670,4601.2846,
260.760,4626.334,
257.849,4636.0359,
254.939,4681.5366,
252.028,4761.0241,
249.117,4767.37,
246.207,4726.0557,
243.296,4675.5451,
240.386,4683.1848,
237.475,4699.3455,
234.565,4703.887,
231.654,4638.8828,
228.743,4596.932,
225.833,4551.4284,
222.922,4495.0571,
220.012,4493.5999,
217.101,4488.2178,
214.191,4465.203,
211.280,4405.5511,
208.369,4423.3278,
205.459,4416.1587,
202.548,4387.7462,
199.638,4379.764,
196.727,4421.9174,
193.816,4453.2219,
190.906,4451.0996,
187.995,4450.3756,
185.085,4469.9849,
182.174,4491.9291,
179.264,4491.2064,
176.353,4446.9113,
173.442,4432.2766,
170.532,4444.8326,
167.621,4399.4111,
164.711,4319.3268,
161.800,4195.2093,
158.890,4010.959,
155.979,3804.928,
153.068,3487.7016,
150.158,3077.76,
147.247,2634.7835,
144.337,2164.7372,
141.426,1705.7603,
138.516,1277.0593,
135.605,919.56968,
132.694,635.96125,
129.784,418.85735,
126.873,268.68009,
123.963,184.63241,
121.052,129.39396,
118.141,92.271057,
115.231,77.203023,
112.320,66.888641,
109.410,59.625092,
106.499,51.791385,
103.589,43.401946,
100.678,34.322296,
97.767,24.36917,
94.857,23.432011,
91.946,20.303224,
89.036,16.915285,
86.125,21.879722,
83.215,22.59408,
80.304,22.364433,
77.393,23.072603,
74.483,15.263381,
71.572,13.299113,
68.662,16.432325,
65.751,9.3678142,
62.840,8.088404,
59.930,10.061431,
57.019,13.586841,
54.109,11.736357,
51.198,10.125,
48.288,10.125,
45.377,10.125,
42.466,8.888342,
39.556,6.31917,
36.645,1.4038384,
33.735,4.7982362,
30.824,6.6952433,
27.914,-1.0176844,
25.003,1.2381874,
22.092,1.8333818,
19.182,-1.2868915,
16.271,-13.877714,
13.361,-34.468945,
10.450,-108.87868,
7.539,-416.83576,
4.629,-720.44371,
1.718,-988.03324,
-1.192,-1177.6566,
-4.103,-785.01373,
-7.013,-358.39141,
-9.924,2.125,
