,PL4EBD~1,
Raman shift [1/cm],Intensity,
1273.641,560.25523,
1270.731,556.18024,
1267.820,579.93152,
1264.909,558.43252,
1261.999,547.38994,
1259.088,582.05054,
1256.178,607.24932,
1253.267,571.99803,
1250.356,558.09324,
1247.446,541.28337,
1244.535,538.54908,
1241.625,540.26206,
1238.714,511.44329,
1235.804,467.7221,
1232.893,464.61652,
1229.982,501.80646,
1227.072,462.87803,
1224.161,512.23623,
1221.251,454.37467,
1218.340,452.5028,
1215.430,453.66483,
1212.519,417.95943,
1209.608,393.98439,
1206.698,424.42322,
1203.787,465.65766,
1200.877,462.28919,
1197.966,448.8018,
1195.055,448.97825,
1192.145,479.93008,
1189.234,506.34481,
1186.324,518.39804,
1183.413,525.98287,
1180.503,532.46226,
1177.592,537.07458,
1174.681,551.1387,
1171.771,557.77471,
1168.860,542.59219,
1165.950,505.64826,
1163.039,494.33139,
1160.129,470.12065,
1157.218,453.64426,
1154.307,449.04372,
1151.397,443.16772,
1148.486,448.07314,
1145.576,458.46969,
1142.665,443.37517,
1139.754,460.83846,
1136.844,424.50743,
1133.933,417.68211,
1131.023,422.29242,
1128.112,430.19482,
1125.202,446.26028,
1122.291,433.1223,
1119.380,426.17697,
1116.470,431.47214,
1113.559,425.93901,
1110.649,422.81531,
1107.738,432.30554,
1104.828,429.05811,
1101.917,417.74654,
1099.006,439.53716,
1096.096,477.45864,
1093.185,450.24057,
1090.275,467.54749,
1087.364,444.68009,
1084.453,428.75021,
1081.543,430.94543,
1078.632,439.63216,
1075.722,452.2713,
1072.811,480.76702,
1069.901,447.5831,
1066.990,428.95837,
1064.079,463.91429,
1061.169,481.5727,
1058.258,477.73712,
1055.348,474.88875,
1052.437,473.22142,
1049.527,442.95717,
1046.616,438.61302,
1043.705,455.8526,
1040.795,464.95603,
1037.884,472.18238,
1034.974,476.75258,
1032.063,470.87903,
1029.153,456.09838,
1026.242,472.53256,
1023.331,506.4562,
1020.421,489.42355,
1017.510,489.77024,
1014.600,498.54793,
1011.689,498.83993,
1008.778,496.95211,
1005.868,490.01689,
1002.957,477.97193,
1000.047,522.71702,
997.136,536.01372,
994.226,554.54005,
991.315,578.99381,
988.404,572.99009,
985.494,566.47288,
982.583,537.34997,
979.673,501.6642,
976.762,493.06051,
973.852,505.73325,
970.941,523.57071,
968.030,530.06713,
965.120,507.13932,
962.209,510.54949,
959.299,521.04049,
956.388,511.12589,
953.477,502.59116,
950.567,516.84337,
947.656,543.89409,
944.746,519.25697,
941.835,505.9778,
938.925,528.78896,
936.014,538.07839,
933.103,527.7693,
930.193,513.92767,
927.282,504.75837,
924.372,497.99352,
921.461,513.32581,
918.551,495.88766,
915.640,475.30051,
912.729,475.22377,
909.819,489.56982,
906.908,492.93952,
903.998,473.24089,
901.087,487.22019,
898.176,487.14951,
895.266,484.32957,
892.355,510.72151,
889.445,545.97073,
886.534,539.44603,
883.624,532.06951,
880.713,539.33212,
877.802,548.08283,
874.892,542.08037,
871.981,523.47398,
869.071,495.90535,
866.160,504.23423,
863.250,502.78616,
860.339,519.39333,
857.428,553.28133,
854.518,519.76392,
851.607,507.28288,
848.697,509.2519,
845.786,500.74568,
842.875,501.961,
839.965,517.8142,
837.054,498.30177,
834.144,514.04806,
831.233,491.7935,
828.323,497.42416,
825.412,514.19322,
822.501,510.27394,
819.591,511.10034,
816.680,497.50318,
813.770,478.46243,
810.859,473.18617,
807.949,478.95183,
805.038,480.82633,
802.127,478.35694,
799.217,493.03282,
796.306,479.39513,
793.396,473.30066,
790.485,492.02125,
787.574,513.25315,
784.664,490.29,
781.753,503.57058,
