,PL6E7A~1,
Raman shift [1/cm],Intensity,
1861.578,645.1552,
1858.667,645.82112,
1855.757,643.24135,
1852.846,670.57247,
1849.936,658.31542,
1847.025,699.11101,
1844.114,695.07029,
1841.204,689.36451,
1838.293,698.35089,
1835.383,712.875,
1832.472,705.75848,
1829.562,720.03907,
1826.651,721.30212,
1823.740,740.17006,
1820.830,714.15028,
1817.919,687.58747,
1815.009,700.14344,
1812.098,700.18209,
1809.188,685.80527,
1806.277,700.52089,
1803.366,717.509,
1800.456,696.97414,
1797.545,714.03112,
1794.635,691.10192,
1791.724,670.59329,
1788.813,728.67346,
1785.903,729.73736,
1782.992,742.16857,
1780.082,721.76616,
1777.171,728.21441,
1774.261,734.44967,
1771.350,725.26676,
1768.439,748.06554,
1765.529,754.33245,
1762.618,762.24623,
1759.708,744.23363,
1756.797,742.71591,
1753.887,746.875,
1750.976,766.92342,
1748.065,781.48944,
1745.155,767.82349,
1742.244,781.72551,
1739.334,771.64912,
1736.423,793.66935,
1733.512,793.04976,
1730.602,775.15871,
1727.691,786.99587,
1724.781,796.59446,
1721.870,800.2893,
1718.960,809.91955,
1716.049,807.68013,
1713.138,818.84494,
1710.228,819.13441,
1707.317,821.52871,
1704.407,869.49005,
1701.496,864.84797,
1698.586,841.69937,
1695.675,853.91063,
1692.764,894.63732,
1689.854,842.34347,
1686.943,901.71656,
1684.033,850.24099,
1681.122,848.875,
1678.211,879.57996,
1675.301,926.73008,
1672.390,969.85706,
1669.480,964.22797,
1666.569,1008.002,
1663.659,1017.9077,
1660.748,1020.9355,
1657.837,1074.7219,
1654.927,1068.5544,
1652.016,1096.6806,
1649.106,1089.6094,
1646.195,1119.858,
1643.285,1159.9434,
1640.374,1164.3384,
1637.463,1231.8482,
1634.553,1176.9538,
1631.642,1249.7871,
1628.732,1333.349,
1625.821,1412.9378,
1622.911,1508.334,
1620.000,1625.3884,
1617.089,1762.1287,
1614.179,1861.0831,
1611.268,1952.4546,
1608.358,2071.2094,
1605.447,2124.9611,
1602.536,2108.3054,
1599.626,2216.347,
1596.715,2154.1745,
1593.805,2075.3284,
1590.894,2104.7438,
1587.984,2078.6957,
1585.073,2055.157,
1582.162,2056.0494,
1579.252,1998.7756,
1576.341,2016.3154,
1573.431,1985.4995,
1570.520,1955.0012,
1567.610,1962.287,
1564.699,2005.3016,
1561.788,1954.3827,
1558.878,1853.1366,
1555.967,1755.4512,
1553.057,1729.8922,
1550.146,1712.9805,
1547.235,1681.5749,
1544.325,1638.3363,
1541.414,1589.4923,
1538.504,1554.0023,
1535.593,1562.7861,
1532.683,1559.2301,
1529.772,1533.0499,
1526.861,1529.8168,
1523.951,1485.8028,
1521.040,1443.7264,
1518.130,1455.9402,
1515.219,1437.9162,
1512.309,1396.875,
1509.398,1388.9265,
1506.487,1368.0242,
1503.577,1398.9969,
1500.666,1362.3007,
1497.756,1342.5615,
1494.845,1349.2741,
1491.934,1310.6955,
1489.024,1255.8334,
1486.113,1266.856,
1483.203,1237.6773,
1480.292,1244.0571,
1477.382,1220.0111,
1474.471,1213.1076,
1471.560,1187.4767,
1468.650,1156.0102,
1465.739,1147.156,
1462.829,1138.9227,
1459.918,1135.085,
1457.008,1146.5213,
1454.097,1148.0183,
1451.186,1141.3702,
1448.276,1154.8372,
1445.365,1170.5891,
1442.455,1165.6884,
1439.544,1144.171,
1436.633,1108.9256,
1433.723,1194.264,
1430.812,1155.8905,
1427.902,1082.2956,
1424.991,1142.0047,
1422.081,1076.8992,
1419.170,1069.1469,
1416.259,1034.0423,
1413.349,1081.0076,
1410.438,1051.29,
1407.528,1057.2684,
1404.617,1050.1513,
1401.707,1033.2852,
1398.796,1038.0113,
1395.885,1060.9972,
1392.975,1087.4168,
1390.064,1082.6912,
1387.154,1057.5106,
1384.243,1053.5629,
1381.332,1009.6497,
1378.422,1018.5801,
1375.511,1071.0398,
1372.601,1137.3065,
1369.690,1254.3139,
1366.780,1205.552,
1363.869,1251.0785,
1360.958,1306.5654,
1358.048,1343.6409,
1355.137,1381.0051,
1352.227,1413.7705,
1349.316,1439.9287,
1346.406,1471.0089,
1343.495,1511.0754,
1340.584,1555.6606,
1337.674,1567.9486,
1334.763,1603.0041,
1331.853,1632.6755,
