,PLBC2C~1,
Wavenumbers [1/cm],Intensity,
2091.514,131.10211,
2088.603,132.7177,
2085.692,137.83925,
2082.782,137.99094,
2079.871,152.89352,
2076.961,147.3312,
2074.050,161.39242,
2071.140,137.96814,
2068.229,144.40888,
2065.318,122.10851,
2062.408,131.24244,
2059.497,140.16668,
2056.587,148.58716,
2053.676,131.78443,
2050.766,148.05643,
2047.855,125.66456,
2044.944,123.8141,
2042.034,134.77896,
2039.123,147.40993,
2036.213,139.23219,
2033.302,148.77145,
2030.391,153.15709,
2027.481,146.75,
2024.570,137.47882,
2021.660,123.51868,
2018.749,157.87622,
2015.839,135.21194,
2012.928,134.27853,
2010.017,139.17888,
2007.107,127.98177,
2004.196,122.23809,
2001.286,121.75,
1998.375,105.04921,
1995.465,103.25625,
1992.554,110.00878,
1989.643,101.09564,
1986.733,105.10789,
1983.822,98.969349,
1980.912,125.05647,
1978.001,106.06354,
1975.090,101.96832,
1972.180,91.853728,
1969.269,84.221249,
1966.359,95.020454,
1963.448,99.097423,
1960.538,96.93849,
1957.627,97.641642,
1954.716,81.238356,
1951.806,105.20998,
1948.895,75.112358,
1945.985,72.792484,
1943.074,78.226055,
1940.164,75.663549,
1937.253,71.558933,
1934.342,57.758556,
1931.432,89.346218,
1928.521,92.917528,
1925.611,72.659195,
1922.700,75.08149,
1919.790,78.472524,
1916.879,58.284488,
1913.968,48.759837,
1911.058,106.31455,
1908.147,61.071197,
1905.237,80.169101,
1902.326,72.650735,
1899.415,66.315832,
1896.505,14.430456,
1893.594,16.545867,
1890.684,47.325253,
1887.773,41.68086,
1884.863,66.522209,
1881.952,77.75,
1879.041,86.071394,
1876.131,63.504258,
1873.220,77.798755,
1870.310,91.888993,
1867.399,73.069872,
1864.489,50.944718,
1861.578,57.991586,
1858.667,77.842827,
1855.757,65.75358,
1852.846,56.473093,
1849.936,36.517773,
1847.025,29.57238,
1844.114,43.601795,
1841.204,75.243003,
1838.293,79.280766,
1835.383,53.645507,
1832.472,61.983044,
1829.562,72.388802,
1826.651,63.860894,
1823.740,67.757678,
1820.830,68.435019,
1817.919,76.708141,
1815.009,56.487918,
1812.098,63.521647,
1809.188,81.633682,
1806.277,38.745934,
1803.366,58.766636,
1800.456,60.5194,
1797.545,75.225102,
1794.635,86.008941,
1791.724,63.555787,
1788.813,84.358485,
1785.903,97.383813,
1782.992,64.480287,
1780.082,68.443953,
1777.171,10.417024,
1774.261,0.79977912,
1771.350,1.1417582,
1768.439,51.603982,
1765.529,82.932417,
1762.618,96.895645,
1759.708,80.673642,
1756.797,83.795456,
1753.887,99.159622,
1750.976,104.13285,
1748.065,99.846777,
1745.155,90.47259,
1742.244,87.76359,
1739.334,81.95706,
1736.423,120.02284,
1733.512,88.725475,
1730.602,98.426628,
1727.691,95.467431,
1724.781,111.41441,
1721.870,94.216535,
1718.960,96.150089,
1716.049,101.94487,
1713.138,101.04001,
1710.228,114.67475,
1707.317,96.404858,
1704.407,100.93718,
1701.496,100.83845,
1698.586,107.21789,
1695.675,108.68571,
1692.764,86.975398,
1689.854,78.096452,
1686.943,93.21039,
1684.033,122.02975,
1681.122,118.81797,
1678.211,120.73097,
1675.301,169.59891,
1672.390,90.764954,
1669.480,95.677802,
1666.569,87.664104,
1663.659,157.5904,
1660.748,88.752652,
1657.837,139.79374,
1654.927,141.32828,
1652.016,123.99299,
1649.106,133.26038,
1646.195,114.6611,
1643.285,152.57032,
1640.374,186.62109,
1637.463,134.47058,
1634.553,173.95689,
1631.642,188.05402,
1628.732,215.60779,
1625.821,191.78337,
1622.911,242.46261,
1620.000,270.39724,
1617.089,289.37189,
1614.179,309.18598,
1611.268,310.71282,
1608.358,363.17473,
1605.447,407.23605,
1602.536,359.4281,
1599.626,392.54731,
1596.715,413.90202,
1593.805,386.23705,
1590.894,382.75,
1587.984,399.20575,
1585.073,344.74527,
1582.162,338.08954,
1579.252,348.56961,
1576.341,343.54043,
1573.431,333.91826,
1570.520,293.53115,
1567.610,278.76956,
1564.699,289.35048,
1561.788,258.53907,
1558.878,274.47434,
1555.967,260.34142,
1553.057,246.38792,
1550.146,235.07366,
1547.235,216.5338,
1544.325,227.97808,
1541.414,240.04971,
1538.504,234.15338,
1535.593,218.09023,
1532.683,207.96576,
1529.772,227.27476,
1526.861,245.33603,
1523.951,235.41375,
1521.040,223.72229,
1518.130,234.52506,
1515.219,256.0305,
1512.309,238.50225,
1509.398,234.74245,
1506.487,219.04159,
1503.577,200.83602,
1500.666,223.22699,
1497.756,257.22439,
1494.845,237.4693,
1491.934,206.66496,
1489.024,180.67765,
1486.113,194.58545,
1483.203,198.4145,
1480.292,205.53809,
1477.382,205.1335,
1474.471,179.42649,
1471.560,151.43135,
1468.650,158.78202,
1465.739,159.98559,
1462.829,166.8959,
1459.918,167.6726,
1457.008,183.56565,
1454.097,170.01246,
1451.186,150.29545,
1448.276,157.08772,
1445.365,119.82109,
1442.455,116.29664,
1439.544,109.00065,
1436.633,84.342845,
1433.723,111.37311,
1430.812,115.08506,
1427.902,106.50195,
1424.991,96.076566,
1422.081,68.225687,
1419.170,79.574966,
1416.259,57.448109,
1413.349,35.134697,
1410.438,43.045813,
1407.528,51.324967,
1404.617,63.905437,
1401.707,35.714047,
1398.796,-12.770936,
1395.885,-4.7930851,
1392.975,10.790751,
1390.064,-4.2337161,
1387.154,52.478749,
1384.243,40.715325,
1381.332,36.856654,
1378.422,40.484752,
1375.511,-61.624373,
1372.601,-22.700905,
1369.690,-17.535555,
1366.780,14.431407,
1363.869,18.391138,
1360.958,44.479084,
1358.048,68.836301,
1355.137,88.366417,
1352.227,107.07031,
1349.316,116.13883,
1346.406,124.41349,
1343.495,133.52524,
1340.584,112.64279,
1337.674,124.03966,
1334.763,184.92643,
1331.853,189.56258,
1328.942,177.2975,
1326.032,220.60914,
1323.121,223.34036,
1320.210,256.70972,
1317.300,273.56954,
1314.389,283.02798,
1311.479,294.93445,
1308.568,297.75,
1305.657,296.90713,
1302.747,312.54274,
1299.836,383.24141,
1296.926,384.99811,
1294.015,347.30584,
1291.105,404.7463,
1288.194,453.48589,
1285.283,450.86194,
1282.373,430.56256,
1279.462,428.33811,
1276.552,454.6556,
1273.641,471.15787,
1270.731,474.92166,
1267.820,508.34878,
1264.909,481.94722,
1261.999,440.34918,
1259.088,456.76736,
1256.178,475.73558,
1253.267,444.2262,
1250.356,433.75,
1247.446,425.53582,
1244.535,425.20088,
1241.625,412.58338,
1238.714,389.48634,
1235.804,407.14314,
1232.893,442.24769,
1229.982,451.58477,
1227.072,417.18291,
1224.161,441.64612,
1221.251,399.10141,
1218.340,362.02002,
1215.430,358.45749,
1212.519,378.33278,
1209.608,395.10438,
1206.698,396.26065,
1203.787,396.03643,
1200.877,387.47437,
1197.966,399.16344,
1195.055,421.08122,
1192.145,435.26881,
1189.234,473.78479,
1186.324,491.11348,
1183.413,472.085,
1180.503,480.77751,
1177.592,525.95168,
1174.681,472.86302,
1171.771,466.70879,
1168.860,464.92261,
1165.950,456.68711,
1163.039,470.11486,
1160.129,482.0587,
1157.218,487.19221,
1154.307,488.00795,
1151.397,481.01506,
1148.486,470.44455,
1145.576,502.17179,
1142.665,488.85309,
1139.754,495.07266,
1136.844,503.75303,
1133.933,506.75,
1131.023,495.4197,
1128.112,488.46346,
1125.202,495.12682,
1122.291,485.12871,
1119.380,494.75,
1116.470,494.75,
1113.559,471.55253,
1110.649,466.71454,
1107.738,490.79018,
1104.828,512.4144,
1101.917,510.31194,
1099.006,499.22424,
1096.096,496.42748,
1093.185,491.15946,
1090.275,502.88905,
1087.364,477.61896,
1084.453,497.37293,
1081.543,504.34472,
1078.632,494.22596,
1075.722,519.42461,
1072.811,502.1772,
1069.901,522.2622,
1066.990,509.20003,
1064.079,522.76285,
1061.169,527.98849,
1058.258,513.46892,
1055.348,511.74188,
1052.437,544.14226,
1049.527,525.0451,
1046.616,506.79969,
1043.705,510.14536,
1040.795,518.77355,
1037.884,517.18689,
1034.974,523.2951,
1032.063,536.07331,
1029.153,514.02296,
1026.242,507.96827,
1023.331,516.0828,
1020.421,556.78768,
1017.510,558.06228,
1014.600,549.55637,
1011.689,553.32465,
1008.778,551.21611,
1005.868,559.91217,
1002.957,577.97961,
1000.047,572.742,
997.136,584.43314,
994.226,597.42688,
991.315,592.83417,
988.404,575.39852,
985.494,578.61574,
982.583,572.61985,
979.673,568.09177,
976.762,567.9242,
973.852,561.67784,
970.941,550.37895,
968.030,546.25291,
965.120,554.84308,
962.209,577.00917,
959.299,570.12626,
956.388,585.90871,
953.477,593.11842,
950.567,586.2399,
947.656,601.08154,
944.746,595.9842,
941.835,598.17944,
938.925,605.3305,
936.014,603.18591,
933.103,586.45098,
930.193,572.14222,
927.282,595.1836,
924.372,547.82962,
921.461,579.30641,
918.551,575.322,
915.640,560.20034,
912.729,564.80069,
909.819,584.63711,
906.908,568.63103,
903.998,588.42947,
901.087,584.20241,
898.176,574.93244,
895.266,576.14578,
892.355,587.12176,
889.445,583.76469,
886.534,578.74077,
883.624,597.26213,
880.713,613.38463,
877.802,612.80217,
874.892,594.78614,
871.981,569.41596,
869.071,428.23119,
866.160,428.58855,
863.250,472.25057,
860.339,520.72264,
857.428,563.55021,
854.518,599.66677,
851.607,562.22365,
848.697,554.37437,
845.786,544.40861,
842.875,534.00226,
839.965,537.75505,
837.054,569.84303,
834.144,578.13056,
831.233,611.08107,
828.323,600.53769,
825.412,583.40889,
822.501,606.43092,
819.591,621.3061,
816.680,597.7115,
813.770,609.91858,
810.859,596.83424,
807.949,573.26222,
805.038,584.36503,
802.127,556.3787,
799.217,564.18547,
796.306,569.45272,
793.396,590.21585,
790.485,614.64317,
787.574,591.22066,
784.664,577.27875,
781.753,586.82771,
778.843,612.35329,
775.932,630.28091,
773.022,621.96045,
770.111,603.97373,
767.200,596.6595,
764.290,601.10666,
761.379,604.5684,
758.469,601.70367,
755.558,598.28488,
752.648,616.20616,
749.737,608.65258,
746.826,601.35134,
743.916,610.919,
741.005,643.05138,
738.095,672.27894,
735.184,640.71207,
732.274,595.19616,
729.363,550.27471,
726.452,520.3812,
723.542,534.95028,
720.631,582.38688,
717.721,609.3526,
714.810,633.59649,
711.899,648.34403,
708.989,607.99778,
706.078,624.57736,
703.168,609.92615,
700.257,590.3237,
697.347,583.66263,
694.436,598.75381,
691.525,635.72885,
688.615,624.88266,
685.704,612.02323,
682.794,612.0904,
679.883,620.54295,
676.973,638.17311,
674.062,644.30233,
671.151,628.65513,
668.241,612.22971,
665.330,629.06931,
662.420,614.69214,
659.509,602.22603,
656.598,596.75,
653.688,606.41179,
650.777,638.83101,
647.867,641.21999,
644.956,644.2266,
642.046,615.06974,
639.135,571.12117,
636.224,568.97281,
633.314,613.43337,
630.403,602.284,
627.493,610.17854,
624.582,635.56657,
621.672,580.91898,
618.761,606.86775,
615.850,638.3405,
612.940,658.11614,
610.029,663.51197,
607.119,680.09422,
604.208,674.64987,
601.297,690.19516,
598.387,689.83228,
595.476,643.04712,
592.566,646.19539,
589.655,661.00358,
586.745,672.65572,
583.834,678.62834,
580.923,681.75,
578.013,681.75,
575.102,677.73488,
572.192,674.75,
569.281,674.3282,
566.371,671.98033,
563.460,673.16094,
560.549,674.72456,
557.639,681.65839,
554.728,697.20801,
551.818,688.62454,
548.907,674.56174,
545.996,681.91279,
543.086,699.71055,
540.175,671.6793,
537.265,682.06275,
534.354,682.73647,
531.444,674.01281,
528.533,662.90883,
525.622,679.20372,
522.712,652.41233,
519.801,636.18692,
516.891,642.21951,
513.980,644.5424,
511.070,646.86304,
508.159,663.98726,
505.248,676.24203,
502.338,660.20184,
499.427,675.63848,
496.517,680.31566,
493.606,692.86371,
490.695,712.36364,
487.785,680.80222,
484.874,683.50469,
481.964,676.53749,
479.053,663.69173,
476.143,675.97913,
473.232,676.75,
470.321,689.88756,
467.411,692.10003,
464.500,658.00211,
461.590,667.95674,
458.679,697.16414,
455.769,704.88717,
452.858,679.68116,
449.947,727.04491,
447.037,705.80521,
444.126,686.85909,
441.216,692.05721,
438.305,711.1055,
435.395,707.84927,
432.484,706.41701,
429.573,708.03999,
426.663,704.99943,
423.752,621.75713,
420.842,539.62472,
417.931,450.70593,
415.020,330.88535,
412.110,465.7565,
409.199,603.79147,
406.289,689.33845,
403.378,672.70646,
400.468,659.85455,
397.557,641.35381,
394.646,642.56401,
391.736,684.416,
388.825,736.45796,
385.915,717.6896,
383.004,690.60543,
380.094,697.78839,
377.183,698.54087,
374.272,670.52542,
371.362,671.17917,
368.451,728.56463,
365.541,709.05069,
362.630,709.75865,
359.719,706.16694,
356.809,687.19989,
353.898,711.16143,
350.988,719.37746,
348.077,719.87877,
345.167,717.1067,
342.256,704.40653,
339.345,703.40716,
336.435,704.63963,
333.524,701.04536,
330.614,678.69069,
327.703,713.33582,
324.793,756.35908,
321.882,766.70854,
318.971,749.60935,
316.061,751.56303,
313.150,769.44998,
310.240,800.61884,
307.329,815.3281,
304.418,825.76549,
301.508,842.18695,
298.597,881.42904,
295.687,854.95142,
292.776,839.91666,
289.866,840.15121,
286.955,846.79974,
284.044,874.31497,
281.134,940.10915,
278.223,1021.2232,
275.313,990.27528,
272.402,1016.8615,
269.492,1055.6421,
266.581,1081.3914,
263.670,992.43456,
260.760,1004.884,
257.849,1051.5549,
254.939,1085.3135,
252.028,1083.5785,
249.117,1087.3183,
246.207,1086.4994,
243.296,1062.3422,
240.386,1023.1825,
237.475,1030.2589,
234.565,1071.0245,
231.654,1060.0687,
228.743,1045.6673,
225.833,1022.4199,
222.922,986.28469,
220.012,911.97205,
217.101,936.82158,
214.191,973.54358,
211.280,926.2585,
208.369,911.98499,
205.459,883.19423,
202.548,854.14279,
199.638,891.15089,
196.727,907.39324,
193.816,912.54591,
190.906,907.87078,
187.995,854.29296,
185.085,864.5942,
182.174,885.58464,
179.264,844.38698,
176.353,842.31312,
173.442,861.51533,
170.532,883.2572,
167.621,801.78696,
164.711,798.14487,
161.800,775.42767,
158.890,660.27125,
155.979,643.1099,
153.068,595.37129,
150.158,523.2225,
147.247,467.22222,
144.337,398.42843,
141.426,315.26996,
138.516,214.90519,
135.605,152.86695,
132.694,111.22121,
129.784,81.920883,
126.873,46.879521,
123.963,28.937667,
121.052,15.650794,
118.141,2.800558,
115.231,9.8557035,
112.320,11.902728,
109.410,11.022711,
106.499,12.447021,
103.589,11.629491,
100.678,7.2189179,
97.767,-2.0232706,
94.857,3.9869014,
91.946,5.9437783,
89.036,4.5242042,
