,PLDF33~1,
Wavenumbers [1/cm],Intensity,
1748.065,466.21659,
1745.155,455.39366,
1742.244,460.56701,
1739.334,444.72001,
1736.423,480.63171,
1733.512,486.9024,
1730.602,499.95241,
1727.691,476.06124,
1724.781,492.17045,
1721.870,496.5857,
1718.960,520.66696,
1716.049,510.05948,
1713.138,521.53493,
1710.228,533.57327,
1707.317,505.80914,
1704.407,523.56153,
1701.496,533.29238,
1698.586,538.61992,
1695.675,512.80016,
1692.764,519.5205,
1689.854,493.21258,
1686.943,530.65097,
1684.033,547.60262,
1681.122,561.76211,
1678.211,537.23793,
1675.301,590.8335,
1672.390,532.08075,
1669.480,559.05615,
1666.569,566.95219,
1663.659,640.96734,
1660.748,638.20945,
1657.837,599.07162,
1654.927,647.91374,
1652.016,685.80561,
1649.106,678.63651,
1646.195,704.43157,
1643.285,722.43294,
1640.374,740.05924,
1637.463,697.35109,
1634.553,771.79801,
1631.642,825.44517,
1628.732,866.17184,
1625.821,895.02617,
1622.911,934.77459,
1620.000,965.60944,
1617.089,1095.3731,
1614.179,1172.8285,
1611.268,1220.2526,
1608.358,1315.4113,
1605.447,1360.5432,
1602.536,1363,
1599.626,1391.5179,
1596.715,1396.7228,
1593.805,1359.4381,
1590.894,1367.3294,
1587.984,1344.7494,
1585.073,1303.5641,
1582.162,1280.3023,
1579.252,1230.3568,
1576.341,1227.2096,
1573.431,1168.6956,
1570.520,1122.1893,
1567.610,1098.0978,
1564.699,1130.7015,
1561.788,1091.4794,
1558.878,1065.5862,
1555.967,1051.4474,
1553.057,986.94886,
1550.146,969.97814,
1547.235,980.59033,
1544.325,991.74511,
1541.414,991.89914,
1538.504,978.83437,
1535.593,971.53926,
1532.683,971.37818,
1529.772,989.38724,
1526.861,993.69987,
1523.951,976.57257,
1521.040,978.32488,
1518.130,966.46348,
1515.219,997.07977,
1512.309,994.34681,
1509.398,957.48867,
1506.487,941.18109,
1503.577,950.81719,
1500.666,994.27718,
1497.756,938.33965,
1494.845,1000.6787,
1491.934,944.9685,
1489.024,935.34357,
1486.113,946.12659,
1483.203,875.94659,
1480.292,883.12172,
1477.382,886,
1474.471,823.07492,
1471.560,833.02664,
1468.650,842.63345,
1465.739,826.62824,
1462.829,834.11407,
1459.918,866.54715,
1457.008,891.61548,
1454.097,896.22705,
1451.186,902.14894,
1448.276,882.5307,
1445.365,820.5703,
1442.455,794.4273,
1439.544,769.9737,
1436.633,793.30984,
1433.723,758.6201,
1430.812,770.73883,
1427.902,779.5941,
1424.991,762.53438,
1422.081,786.77188,
1419.170,769.12661,
1416.259,736.83773,
1413.349,712.62946,
1410.438,685.30683,
1407.528,714.6245,
1404.617,758.898,
1401.707,695.50893,
1398.796,633.96851,
1395.885,623.74392,
1392.975,605.62544,
1390.064,628.2374,
1387.154,623.84964,
1384.243,594.00186,
1381.332,640.67202,
1378.422,626.71526,
1375.511,563.01415,
1372.601,679.03943,
1369.690,678.71333,
1366.780,643.73452,
1363.869,706.92123,
1360.958,730.69892,
1358.048,733.15318,
1355.137,764.91262,
1352.227,780.01954,
1349.316,806.66055,
1346.406,871.23518,
1343.495,862.547,
1340.584,836.10615,
1337.674,902.71521,
1334.763,918.27027,
1331.853,951.65059,
1328.942,905.8584,
1326.032,965.24965,
1323.121,964.43975,
1320.210,1010.2759,
1317.300,1057.8386,
1314.389,1081.7363,
1311.479,1116.6503,
1308.568,1138.0691,
1305.657,1122.0239,
1302.747,1155.5686,
1299.836,1220.4398,
1296.926,1247.5637,
1294.015,1302.7232,
1291.105,1282.1059,
1288.194,1364.4655,
1285.283,1359.5079,
1282.373,1373.6796,
1279.462,1381.4119,
1276.552,1382.504,
1273.641,1407.8415,
1270.731,1436.1179,
1267.820,1446.4643,
1264.909,1487.8345,
1261.999,1440.803,
1259.088,1380.603,
1256.178,1431.8132,
1253.267,1397.2699,
1250.356,1350.8146,
1247.446,1363.7496,
1244.535,1343.8617,
1241.625,1289.6778,
1238.714,1269.0659,
1235.804,1268.5291,
1232.893,1275.9969,
1229.982,1287.5469,
1227.072,1215.1219,
1224.161,1233.5341,
1221.251,1243.9561,
1218.340,1220.7353,
1215.430,1198.742,
