,PLBFCC~1,
Raman shift [1/cm],Intensity,
1334.763,2106.6051,
1331.853,2188.2014,
1328.942,2258.2098,
1326.032,2222.4565,
1323.121,2276.9639,
1320.210,2314.8162,
1317.300,2288.8568,
1314.389,2342.0709,
1311.479,2449.0143,
1308.568,2504.9941,
1305.657,2539.5479,
1302.747,2591.6752,
1299.836,2656.9742,
1296.926,2673.7812,
1294.015,2808.9217,
1291.105,2868.213,
1288.194,2973.7454,
1285.283,3048.6202,
1282.373,3129.2498,
1279.462,3204.5777,
1276.552,3254.2245,
1273.641,3295.1376,
1270.731,3329.6179,
1267.820,3331.8625,
1264.909,3343.4226,
1261.999,3306.3003,
1259.088,3300.8275,
1256.178,3221.706,
1253.267,3167.8386,
1250.356,3095.9017,
1247.446,2990.052,
1244.535,2875.5403,
1241.625,2756.3668,
1238.714,2655.5546,
1235.804,2608.0826,
1232.893,2553.255,
1229.982,2527.4336,
1227.072,2436.9024,
1224.161,2401.9229,
1221.251,2368.2087,
1218.340,2302.7882,
1215.430,2258.1861,
1212.519,2230.2007,
1209.608,2213.335,
1206.698,2216.4574,
1203.787,2213.304,
1200.877,2229.6144,
1197.966,2247.5976,
1195.055,2335.5314,
1192.145,2367.0296,
1189.234,2382.8807,
1186.324,2440.8687,
1183.413,2492.4492,
1180.503,2499.802,
1177.592,2481.7219,
1174.681,2435.6986,
1171.771,2409.9945,
1168.860,2431.4287,
1165.950,2395.6044,
1163.039,2359.9607,
1160.129,2357.3478,
1157.218,2323.1182,
1154.307,2279.129,
1151.397,2277.4573,
1148.486,2271.8026,
1145.576,2254.4184,
1142.665,2206.4711,
1139.754,2213.0772,
1136.844,2169.28,
1133.933,2138.9429,
1131.023,2135.2768,
1128.112,2120.9313,
1125.202,2098.128,
1122.291,2131.6253,
1119.380,2132.6819,
1116.470,2151.215,
1113.559,2138.035,
1110.649,2129.5709,
1107.738,2139.8238,
1104.828,2134.6882,
1101.917,2123.4472,
1099.006,2145.1187,
1096.096,2126.4351,
1093.185,2158.0432,
1090.275,2152.4073,
1087.364,2136.7775,
1084.453,2149.0613,
1081.543,2153.4209,
1078.632,2136.1125,
1075.722,2126.1239,
1072.811,2127.2923,
1069.901,2166.5891,
1066.990,2167.8833,
1064.079,2158.6533,
1061.169,2185.9812,
1058.258,2217.0053,
1055.348,2231.555,
1052.437,2250.7958,
1049.527,2262.7685,
1046.616,2269.7192,
1043.705,2284.3738,
1040.795,2304.4626,
1037.884,2319.5689,
1034.974,2332.2036,
1032.063,2358.761,
1029.153,2403.8648,
1026.242,2373.5913,
1023.331,2375.8331,
1020.421,2370.9232,
1017.510,2406.5988,
1014.600,2449.1879,
1011.689,2467.9254,
1008.778,2479.5636,
1005.868,2527.2104,
1002.957,2606.363,
1000.047,2734.98,
997.136,2784.9606,
994.226,2810.4689,
991.315,2834.6733,
988.404,2821.9071,
985.494,2777.5575,
982.583,2780.1272,
979.673,2758.5506,
976.762,2773.397,
973.852,2761.2113,
970.941,2733.2059,
968.030,2751.6503,
965.120,2752.543,
962.209,2762.7735,
959.299,2785.0392,
956.388,2775.0212,
953.477,2769.1316,
950.567,2762.6775,
947.656,2717.8558,
944.746,2781.5725,
941.835,2773.9724,
938.925,2771.5,
936.014,2769.4767,
933.103,2752.67,
930.193,2711.1175,
927.282,2653.0875,
924.372,2645.4771,
921.461,2623.8808,
918.551,2621.7284,
915.640,2617.0011,
912.729,2579.2011,
909.819,2507.7224,
906.908,2509.4073,
903.998,2541.3146,
901.087,2541.2254,
898.176,2554.6334,
895.266,2590.0526,
892.355,2630.2536,
889.445,2666.3421,
886.534,2702.3995,
883.624,2698.7347,
880.713,2741.9838,
877.802,2776.3413,
874.892,2744.4915,
871.981,2704.9735,
869.071,2725.0234,
866.160,2729.8799,
863.250,2724.2096,
860.339,2713.1304,
857.428,2705.6044,
854.518,2712.5983,
851.607,2646.8649,
848.697,2622.4315,
845.786,2590.5517,
842.875,2589.9197,
839.965,2629.5484,
837.054,2611.2209,
834.144,2586.3583,
831.233,2569.5009,
828.323,2571.4131,
825.412,2562.114,
822.501,2522.968,
819.591,2508.9192,
816.680,2452.4102,
813.770,2428.476,
810.859,2422.9512,
807.949,2418.8146,
805.038,2405.8031,
802.127,2400.0412,
799.217,2434.5334,
796.306,2381.2292,
793.396,2356.027,
790.485,2393.4471,
787.574,2388.7838,
784.664,2369.9213,
781.753,2359.7902,
778.843,2360.4207,
775.932,2370.3641,
773.022,2388.9523,
770.111,2424.1082,
767.200,2383.1052,
764.290,2377.5903,
761.379,2387.0448,
758.469,2384.3386,
755.558,2352.4545,
752.648,2317.4266,
749.737,2343.1395,
746.826,2325.9996,
743.916,2273.3764,
741.005,2226.0194,
738.095,2106.6735,
735.184,1992.3916,
732.274,1934.6195,
729.363,2001.8852,
726.452,2180.3869,
723.542,2257.2792,
720.631,2295.1397,
717.721,2297.4802,
714.810,2295.3068,
711.899,2306.9555,
708.989,2330.3563,
706.078,2297.6466,
703.168,2265.8184,
700.257,2267.828,
697.347,2292.2826,
694.436,2290.5617,
691.525,2255.998,
688.615,2235.2929,
685.704,2229.6585,
682.794,2235.0744,
679.883,2243.7523,
676.973,2249.3619,
674.062,2224.3386,
671.151,2219.5816,
668.241,2242.7447,
665.330,2275.0462,
662.420,2265.4614,
659.509,2262.2301,
656.598,2271.886,
653.688,2267.7867,
650.777,2209.8771,
647.867,2250.4898,
644.956,2247.7361,
642.046,2241.3292,
639.135,2246.0634,
636.224,2259.5318,
633.314,2265.8833,
630.403,2275.7769,
627.493,2290.3337,
624.582,2301.1451,
621.672,2286.0973,
618.761,2343.2554,
615.850,2349.3783,
612.940,2355.2106,
610.029,2391.6816,
607.119,2428.7942,
604.208,2393.4493,
601.297,2371.0193,
598.387,2361.0604,
595.476,2352.8714,
