,PL51DF~1,
Wavenumbers [1/cm],Intensity,
1576.341,737.58086,
1573.431,727.73461,
1570.520,731.35064,
1567.610,706.92117,
1564.699,691.47473,
1561.788,677.02828,
1558.878,693.16566,
1555.967,663.36012,
1553.057,635.34491,
1550.146,636.5309,
1547.235,616.97727,
1544.325,608.91745,
1541.414,608.51931,
1538.504,599.91718,
1535.593,609.65977,
1532.683,600.03029,
1529.772,582.05611,
1526.861,585.14877,
1523.951,586.5361,
1521.040,599.69516,
1518.130,606.35441,
1515.219,650.52138,
1512.309,591.60357,
1509.398,568.17092,
1506.487,609.72437,
1503.577,615.93906,
1500.666,626.39643,
1497.756,576.21214,
1494.845,602.03948,
1491.934,578.83307,
1489.024,527.82095,
1486.113,581.63293,
1483.203,591.32901,
1480.292,603.03065,
1477.382,605,
1474.471,573.53746,
1471.560,560.37167,
1468.650,536.45197,
1465.739,533.04539,
1462.829,544.16181,
1459.918,537.39769,
1457.008,579.27758,
1454.097,599.42188,
1451.186,565,
1448.276,561.67928,
1445.365,546.35545,
1442.455,536.93278,
1439.544,554.78288,
1436.633,512.3297,
1433.723,500.85727,
1430.812,539.56187,
1427.902,509.72159,
1424.991,540.04999,
1422.081,526.32037,
1419.170,484.38916,
1416.259,495.01132,
1413.349,507.30765,
1410.438,521.89625,
1407.528,543.09354,
1404.617,542.60595,
1401.707,496.25446,
1398.796,458.16784,
1395.885,475.25608,
1392.975,489.83274,
1390.064,478.71546,
1387.154,520.30884,
1384.243,539.96533,
1381.332,534.44667,
1378.422,528.0678,
1375.511,490.59656,
1372.601,504.74513,
1369.690,547.14668,
1366.780,513.60621,
1363.869,534.23851,
1360.958,553.9226,
1358.048,544.35383,
1355.137,543.41094,
1352.227,576.16355,
1349.316,623.10847,
1346.406,650,
1343.495,644.76828,
1340.584,635.071,
1337.674,661.17759,
1334.763,645.64715,
1331.853,636.37484,
1328.942,667.13124,
1326.032,710.96541,
1323.121,657.75899,
1320.210,686.60998,
1317.300,699.60513,
1314.389,712.58376,
1311.479,725.57287,
1308.568,721.02868,
1305.657,721.00936,
1302.747,723.07158,
1299.836,820.89434,
1296.926,813.2991,
1294.015,819.73437,
1291.105,827.04433,
1288.194,857.55349,
1285.283,835.64387,
1282.373,824,
1279.462,843.21532,
1276.552,863.64569,
1273.641,860.26905,
1270.731,865.99405,
1267.820,910.67617,
1264.909,893.04346,
1261.999,856.43411,
1259.088,840.92805,
1256.178,827.15315,
1253.267,802.75133,
1250.356,823.09015,
1247.446,826.02564,
1244.535,819.49553,
1241.625,800.21857,
1238.714,775.67043,
1235.804,798.01448,
1232.893,835.25887,
1229.982,794.20274,
1227.072,770.66463,
1224.161,811.02519,
1221.251,782.51905,
1218.340,748.6222,
1215.430,744.70749,
1212.519,751.90552,
1209.608,746.26686,
1206.698,732.9787,
1203.787,726.57286,
1200.877,712.45767,
1197.966,784.39041,
1195.055,779.46751,
1192.145,827.58866,
1189.234,973.10968,
1186.324,951.35484,
1183.413,862.6345,
1180.503,861.16473,
1177.592,883.19179,
1174.681,864.25342,
1171.771,865.44365,
1168.860,841.33024,
1165.950,817.23018,
1163.039,816.88882,
1160.129,814.28116,
1157.218,818.21104,
1154.307,839.35691,
1151.397,861.73932,
1148.486,862.34871,
1145.576,868.92067,
1142.665,844.05911,
1139.754,828.98194,
1136.844,828.10091,
1133.933,827.24048,
1131.023,801.45102,
1128.112,795.78256,
1125.202,842.24635,
1122.291,860.23718,
1119.380,826.96535,
1116.470,823.43524,
1113.559,798.25603,
1110.649,776.5934,
1107.738,785.07454,
1104.828,804.82539,
1101.917,801.75692,
1099.006,785.33994,
1096.096,831.63485,
1093.185,793.00274,
1090.275,832.08205,
1087.364,808.37998,
1084.453,813.24871,
1081.543,814.97693,
1078.632,805.46165,
1075.722,824.56418,
1072.811,826.56563,
1069.901,820.45281,
1066.990,804.6417,
1064.079,830.94261,
1061.169,839.47699,
1058.258,835,
1055.348,839.40938,
1052.437,843.93243,
1049.527,813.53706,
1046.616,827.43833,
1043.705,850.58142,
1040.795,840.39888,
1037.884,850.72377,
1034.974,853.61341,
1032.063,826.23845,
1029.153,829.80428,
1026.242,853.15811,
1023.331,855.66656,
1020.421,863.66812,
1017.510,888.29048,
1014.600,918.11083,
1011.689,934.57465,
1008.778,927.77455,
1005.868,909.10811,
1002.957,921.15307,
1000.047,940.47201,
997.136,961.68314,
994.226,976.46147,
991.315,969.82179,
988.404,938.59526,
985.494,920.8082,
982.583,912.24264,
979.673,919.04811,
976.762,906.73534,
973.852,886.71778,
970.941,883.59504,
968.030,908.65903,
965.120,935.01432,
962.209,938.42449,
959.299,932.62576,
956.388,938.39946,
953.477,925.27068,
950.567,910.59403,
947.656,950.78257,
944.746,964.37546,
941.835,949.61355,
938.925,946,
936.014,944.98835,
933.103,945.05928,
930.193,949.99635,
927.282,960.7168,
924.372,937.03981,
921.461,909.69879,
918.551,927.142,
915.640,935.37641,
912.729,912.4126,
909.819,893.11458,
906.908,924.2843,
903.998,926,
901.087,938.09362,
898.176,935.93329,
895.266,931.71318,
892.355,943.2147,
889.445,939.01837,
886.534,960.70667,
883.624,951.54336,
880.713,972.55922,
877.802,987.18868,
874.892,967.20616,
871.981,973.92243,
869.071,843.59802,
866.160,831.34939,
863.250,906.24317,
860.339,964.63039,
857.428,965.13937,
854.518,1006.7242,
851.607,962.62452,
848.697,941.93147,
845.786,904.34307,
842.875,874.3009,
839.965,895.45208,
837.054,998.24189,
834.144,1019.7895,
831.233,1035.3325,
828.323,1027.152,
825.412,1022.3369,
822.501,1044.0852,
819.591,1055.6547,
816.680,1015.9358,
813.770,1026.6746,
810.859,1009.2181,
807.949,983.47322,
805.038,1010.6018,
802.127,1007.3093,
799.217,983.14749,
796.306,971.59457,
793.396,978.34361,
790.485,983.10272,
787.574,946.68503,
784.664,964.7275,
781.753,1000.2072,
778.843,1007.6686,
775.932,999.30864,
773.022,1006.9739,
770.111,1051.9407,
767.200,1027.5928,
764.290,1007.4424,
761.379,987.57784,
758.469,980.67261,
755.558,1021.6808,
752.648,1044.4897,
749.737,1035.9442,
746.826,1035.9933,
743.916,1045.9546,
741.005,1063.2885,
