,PLDE83~1,
Wavenumbers [1/cm],Intensity,
1465.739,1082.7345,
1462.829,1105.6509,
1459.918,1148.4471,
1457.008,1170.375,
1454.097,1151.4265,
1451.186,1137.2764,
1448.276,1132.8783,
1445.365,1091.5867,
1442.455,1053.542,
1439.544,1038.0671,
1436.633,1044.9281,
1433.723,1028.5147,
1430.812,995.40936,
1427.902,1007.6985,
1424.991,979.26563,
1422.081,1000.3945,
1419.170,987.68597,
1416.259,990.23538,
1413.349,963.43108,
1410.438,969.77015,
1407.528,956.41901,
1404.617,922.477,
1401.707,869.27917,
1398.796,827.87852,
1395.885,822.92228,
1392.975,811.31175,
1390.064,782.20102,
1387.154,783.43053,
1384.243,755.65054,
1381.332,743.05905,
1378.422,709.82415,
1375.511,737.92758,
1372.601,853.57129,
1369.690,903.66446,
1366.780,856.51661,
1363.869,934.63758,
1360.958,953.52981,
1358.048,953.68137,
1355.137,996.69857,
1352.227,1016.6494,
1349.316,1027.9819,
1346.406,1074.5681,
1343.495,1080.3785,
1340.584,1101.659,
1337.674,1210.0518,
1334.763,1183.0807,
1331.853,1201.6253,
1328.942,1248.6271,
1326.032,1306.5747,
1323.121,1285.7726,
1320.210,1333.6419,
1317.300,1349.7997,
1314.389,1375.3201,
1311.479,1428.4719,
1308.568,1470.1794,
1305.657,1485.17,
1302.747,1483.1189,
1299.836,1607.1465,
1296.926,1601.1524,
1294.015,1660.9084,
1291.105,1699.4772,
1288.194,1757.8908,
1285.283,1777.819,
1282.373,1790.5,
1279.462,1793.0809,
1276.552,1823.3594,
1273.641,1842.7743,
1270.731,1813.2571,
1267.820,1815.375,
1264.909,1815.2541,
1261.999,1812.9436,
1259.088,1773.7224,
1256.178,1827.0447,
1253.267,1768.0946,
1250.356,1762.2746,
1247.446,1738.2785,
1244.535,1706.9598,
1241.625,1691.7232,
1238.714,1682.7523,
1235.804,1683.5595,
1232.893,1689.1285,
1229.982,1672.0258,
1227.072,1632.1921,
1224.161,1620.1295,
1221.251,1604.9738,
1218.340,1525.2288,
1215.430,1527.3168,
1212.519,1540.6425,
1209.608,1503.7437,
1206.698,1485.907,
1203.787,1490.5308,
1200.877,1492.378,
1197.966,1508.5628,
1195.055,1569.9557,
1192.145,1633.7204,
1189.234,1707.8199,
1186.324,1771.1054,
1183.413,1806.3242,
1180.503,1822.4456,
1177.592,1825.7789,
1174.681,1793.0668,
1171.771,1762.8805,
1168.860,1741.4463,
