,PL24CA~1,
Raman shift [1/cm],Intensity,
1681.122,730.78887,
1678.211,743.37627,
1675.301,768.42291,
1672.390,758.73029,
1669.480,835.47593,
1666.569,831.83981,
1663.659,781.62693,
1660.748,848.88298,
1657.837,818.68097,
1654.927,871.73429,
1652.016,881.03832,
1649.106,863.30787,
1646.195,895.16433,
1643.285,881.75065,
1640.374,892.79268,
1637.463,907.81506,
1634.553,978.67244,
1631.642,924.05375,
1628.732,974.71924,
1625.821,1011.5366,
1622.911,1067.1844,
1620.000,1169.2023,
1617.089,1203.8234,
1614.179,1325.0031,
1611.268,1360.2731,
1608.358,1445.3796,
1605.447,1514.5577,
1602.536,1508.2492,
1599.626,1570.9754,
1596.715,1526.5819,
1593.805,1508.085,
1590.894,1538.2041,
1587.984,1554.6253,
1585.073,1480.7773,
1582.162,1501.7303,
1579.252,1483.1327,
1576.341,1477.5,
1573.431,1432.8591,
1570.520,1406.7412,
1567.610,1407.7158,
1564.699,1386.299,
1561.788,1361.303,
1558.878,1331.2861,
1555.967,1335.0346,
1553.057,1269.1387,
1550.146,1302.4744,
1547.235,1282.7931,
1544.325,1220.0996,
1541.414,1212.3605,
1538.504,1220.0966,
1535.593,1197.6935,
1532.683,1181.9849,
1529.772,1168.3317,
1526.861,1140.1442,
1523.951,1149.6364,
1521.040,1128.0012,
1518.130,1090.0073,
1515.219,1083.6601,
1512.309,1079.2703,
1509.398,1077.6558,
1506.487,1088.3508,
1503.577,1050.7652,
1500.666,1048.4027,
1497.756,1064.7968,
1494.845,1077.9786,
1491.934,1017.4591,
1489.024,1004.9466,
1486.113,997.08228,
1483.203,1019.5924,
1480.292,999.59019,
1477.382,980.95153,
1474.471,990.54544,
1471.560,968.37602,
1468.650,957.13345,
1465.739,923.19451,
1462.829,894.95092,
1459.918,920.54447,
1457.008,968.83875,
1454.097,976.63526,
1451.186,948.8559,
1448.276,912.20669,
1445.365,876.21406,
1442.455,866.12037,
1439.544,865.79345,
1436.633,927.60626,
1433.723,898.51811,
1430.812,859.15977,
1427.902,892.5451,
1424.991,894.44062,
1422.081,888.07766,
1419.170,867.62661,
1416.259,819.94653,
1413.349,868.4088,
1410.438,842.7141,
1407.528,802.90027,
1404.617,813.22375,
1401.707,832.73952,
1398.796,822.3392,
1395.885,815.18118,
1392.975,797.74876,
1390.064,757.03822,
1387.154,784.59312,
1384.243,753.49722,
1381.332,688.25059,
1378.422,746.89576,
1375.511,832.14283,
1372.601,833.5,
1369.690,949.22503,
1366.780,942.36284,
1363.869,992.16521,
1360.958,989.73221,
1358.048,981.05987,
1355.137,1022.4006,
1352.227,1092.2715,
1349.316,1154.4968,
1346.406,1188.4579,
1343.495,1187.5104,
1340.584,1192.9633,
1337.674,1266.7897,
1334.763,1326.8649,
1331.853,1310.1747,
1328.942,1333.5155,
1326.032,1347.9187,
1323.121,1363.8374,
1320.210,1370.4978,
1317.300,1382.1242,
1314.389,1406.4587,
1311.479,1432.9854,
1308.568,1452.6062,
1305.657,1468.8382,
1302.747,1483.3088,
1299.836,1491.4141,
1296.926,1527.6964,
1294.015,1553.4375,
1291.105,1665.4483,
1288.194,1704.4623,
1285.283,1750.5962,
1282.373,1781.6874,
1279.462,1797.6371,
1276.552,1841.5947,
1273.641,1907.5172,
1270.731,1923.2119,
1267.820,1875.9542,
1264.909,1881.3791,
1261.999,1881.1325,
1259.088,1898.4628,
1256.178,1828.4141,
1253.267,1858.6958,
1250.356,1849.1506,
1247.446,1795.6689,
1244.535,1754.1027,
1241.625,1740.8852,
1238.714,1719.8183,
1235.804,1674.1311,
1232.893,1657.1271,
1229.982,1646.4881,
1227.072,1616.6128,
1224.161,1538.0142,
1221.251,1525.7335,
1218.340,1480.5054,
1215.430,1488.5321,
1212.519,1496.4841,
1209.608,1462.8687,
1206.698,1461.1175,
1203.787,1512.9673,
1200.877,1515.7786,
1197.966,1520.2744,
1195.055,1584.4936,
1192.145,1586.4839,
1189.234,1608.1541,
1186.324,1652.0484,
1183.413,1688.9822,
1180.503,1693.7196,
1177.592,1670.5504,
1174.681,1655.2192,
1171.771,1638.4491,
1168.860,1592.9016,
1165.950,1583.6623,
1163.039,1583.8968,
1160.129,1604.5551,
1157.218,1595.9054,
1154.307,1577.4364,
1151.397,1581.7651,
1148.486,1561.7536,
1145.576,1539.3821,
1142.665,1513.6326,
1139.754,1531.0271,
1136.844,1499.7846,
1133.933,1504.4412,
1131.023,1530.3024,
1128.112,1524.9313,
1125.202,1484.2536,
1122.291,1467.6415,
1119.380,1510.6732,
1116.470,1528.3238,
1113.559,1529.7268,
1110.649,1542.5969,
1107.738,1548.4284,
1104.828,1535.017,
1101.917,1527.8555,
1099.006,1556.0051,
1096.096,1572.93,
1093.185,1579.954,
1090.275,1578.8815,
1087.364,1550.369,
1084.453,1538.6249,
1081.543,1536.4325,
1078.632,1542.2152,
1075.722,1560.491,
1072.811,1547.7482,
1069.901,1551.2413,
1066.990,1574.9416,
1064.079,1581.861,
1061.169,1580.2908,
1058.258,1593.7455,
1055.348,1615.6758,
1052.437,1625.5515,
1049.527,1660.9629,
1046.616,1647.0617,
1043.705,1693.2874,
1040.795,1704.3075,
1037.884,1708.5689,
1034.974,1704.4446,
1032.063,1679.8695,
1029.153,1659.7584,
1026.242,1695.2216,
1023.331,1727.3314,
1020.421,1714.6783,
1017.510,1724.4288,
1014.600,1732.579,
1011.689,1745.5952,
1008.778,1805.9772,
1005.868,1849.8707,
1002.957,1891.1677,
1000.047,1934.628,
997.136,2009.5819,
994.226,2037.331,
991.315,2015.4554,
988.404,2008.3379,
985.494,2005.6204,
982.583,1921.6779,
979.673,1899.9886,
976.762,1938.7714,
973.852,1939.7693,
970.941,1908.5385,
968.030,1922.1532,
965.120,1931.5,
962.209,1931.5,
959.299,1933.6247,
956.388,1914.9013,
953.477,1898.2669,
950.567,1905.6498,
947.656,1934.5081,
944.746,1957.4461,
941.835,1969.0276,
938.925,1971.5,
936.014,1958.3485,
933.103,1937.0257,
930.193,1919.1029,
927.282,1909.775,
924.372,1914.8486,
921.461,1882.362,
918.551,1873.9856,
915.640,1856.9526,
912.729,1832.3785,
909.819,1835.9431,
906.908,1824.1492,
903.998,1813.1603,
901.087,1828.9587,
898.176,1846.1807,
895.266,1869.3699,
892.355,1913.8659,
889.445,1969.2576,
886.534,1929.4262,
883.624,1958.5058,
880.713,1966.8032,
877.802,1960.2791,
874.892,1958.1461,
871.981,1925.5395,
869.071,1927.2103,
866.160,1953.0285,
863.250,1978.1293,
860.339,1977.255,
857.428,1953.8826,
854.518,1954.7778,
851.607,1929.8158,
848.697,1960.5787,
845.786,1941.2103,
842.875,1921.7828,
839.965,1942.0096,
837.054,1922.0675,
834.144,1972.6214,
831.233,1959.1684,
828.323,1947.0054,
825.412,1944.5682,
822.501,1936.6276,
819.591,1915.1412,
816.680,1896.8718,
813.770,1861.1749,
810.859,1846.1099,
807.949,1845.2634,
805.038,1829.2102,
802.127,1810.2782,
799.217,1806.2638,
796.306,1796.4189,
793.396,1784.4389,
790.485,1784.0809,
787.574,1810.6629,
784.664,1762.2763,
781.753,1809.8627,
778.843,1807.1149,
775.932,1794.3268,
773.022,1839.5431,
770.111,1859.165,
767.200,1855.9321,
764.290,1830.2291,
761.379,1820.7712,
758.469,1831.1981,
755.558,1822.3541,
752.648,1817.4665,
749.737,1775.3743,
746.826,1731.1214,
743.916,1689.8634,
741.005,1638.7705,
738.095,1543.7809,
735.184,1372.3266,
732.274,1345.3128,
729.363,1433.6418,
726.452,1564.4266,
723.542,1685.8356,
720.631,1795.7128,
717.721,1810.8875,
714.810,1806.4943,
711.899,1822.1337,
708.989,1833.4306,
706.078,1818.2752,
703.168,1840.6105,
700.257,1825.3194,
697.347,1785.8037,
694.436,1808.129,
691.525,1794.4643,
688.615,1806.5939,
685.704,1793.0519,
682.794,1768.4148,
679.883,1785.7255,
676.973,1812.9721,
674.062,1801.2718,
671.151,1788.4317,
668.241,1785.9295,
665.330,1790.084,
662.420,1781.298,
659.509,1786.4842,
656.598,1819.4942,
653.688,1856.3498,
650.777,1851.7439,
647.867,1829.4468,
644.956,1812.117,
642.046,1793.7204,
639.135,1780.8057,
636.224,1789.7308,
633.314,1835.7792,
630.403,1817.3483,
627.493,1816.8559,
624.582,1845.6154,
621.672,1828.1916,
618.761,1840.419,
615.850,1866.5395,
612.940,1883.8169,
610.029,1878.9489,
607.119,1857.6289,
604.208,1903.7809,
601.297,1922.0044,
598.387,1928.2391,
595.476,1946.4601,
592.566,1935.4411,
589.655,1926.3732,
586.745,1899.4997,
583.834,1867.9629,
580.923,1862.2536,
578.013,1821.4474,
575.102,1807.0585,
572.192,1823.7934,
569.281,1859.3436,
566.371,1864.0393,
563.460,1891.3078,
560.549,1911.271,
557.639,1916.203,
554.728,1903.3668,
551.818,1885.4195,
548.907,1908.3142,
545.996,1925.8888,
543.086,1929.5197,
540.175,1943.5354,
537.265,1937.2572,
534.354,1938.0118,
531.444,1942.0573,
528.533,1945.4314,
525.622,1972.5895,
522.712,1996.0958,
519.801,2003.6812,
516.891,1998.9085,
513.980,2005.8772,
511.070,2005.7957,
508.159,2040.3623,
505.248,2083.7576,
502.338,2100.6296,
499.427,2139.2212,
496.517,2170.9949,
493.606,2171.3484,
490.695,2146.133,
487.785,2193.8601,
484.874,2193.7453,
481.964,2192.4069,
479.053,2181.0559,
476.143,2116.5471,
473.232,2141.2761,
470.321,2152.0134,
467.411,2147.7011,
464.500,2137.9545,
461.590,2195.385,
458.679,2155.3699,
455.769,2115.1712,
452.858,2127.6591,
449.947,2129.1869,
447.037,2164.0854,
444.126,2181.3242,
441.216,2179.379,
438.305,2218.9994,
435.395,2211.3873,
432.484,2210.7513,
429.573,2216.1275,
426.663,2201.6848,
423.752,2180.9723,
420.842,2187.114,
417.931,2202.7762,
415.020,2196.7094,
412.110,2214.7903,
409.199,2275.7787,
406.289,2322.6608,
403.378,2292.4411,
400.468,2275.0532,
397.557,2280.8113,
394.646,2280.9955,
391.736,2251.2928,
388.825,2213.5812,
385.915,2163.6499,
383.004,2148.9169,
380.094,2201.1086,
377.183,2271.8413,
374.272,2311.0401,
371.362,2340.1561,
368.451,2369.1779,
365.541,2347.4123,
362.630,2408.6876,
359.719,2444.0782,
356.809,2397.5842,
353.898,2432.0289,
350.988,2436.6176,
348.077,2424.3686,
345.167,2405.2947,
342.256,2420.9831,
339.345,2409.0256,
336.435,2396.4431,
333.524,2402.1342,
330.614,2422.2534,
327.703,2422.8525,
324.793,2422.1402,
321.882,2435.5216,
318.971,2444.4429,
316.061,2457.2663,
313.150,2470.2714,
310.240,2479.1768,
307.329,2463.778,
304.418,2470.7226,
301.508,2474.2907,
298.597,2428.3849,
295.687,2406.2145,
292.776,2411.2501,
289.866,2453.6979,
286.955,2563.768,
284.044,2640.2199,
281.134,2727.7106,
278.223,2822.1046,
275.313,2860.4211,
272.402,2907.4205,
269.492,2951.0258,
266.581,2985.8138,
263.670,3004.1933,
260.760,3031.9625,
257.849,3057.6325,
254.939,3072.3102,
252.028,3114.483,
249.117,3132.3273,
246.207,3135.4471,
243.296,3139.1072,
240.386,3133.6231,
237.475,3102.4544,
234.565,3064.402,
231.654,3108.2251,
228.743,3069.7445,
225.833,3041.5126,
222.922,3054.7142,
220.012,2994.9726,
217.101,2954.3992,
214.191,2935.5598,
211.280,2945.7443,
208.369,2941.7903,
205.459,2943.8918,
202.548,2949.3719,
199.638,2942.841,
196.727,2992.207,
193.816,3015.3519,
190.906,2983.2872,
187.995,3005.732,
185.085,3013.9729,
182.174,3013.3247,
179.264,3008.9881,
176.353,3039.8982,
173.442,3054.237,
170.532,3043.8796,
167.621,3004.226,
164.711,2934.1108,
161.800,2828.8894,
158.890,2677.7466,
155.979,2530.1341,
153.068,2339.5747,
150.158,2101.7095,
147.247,1797.2977,
144.337,1501.9832,
141.426,1198.089,
138.516,876.20486,
135.605,623.30427,
132.694,433.61788,
129.784,292.78273,
126.873,176.21657,
123.963,117.21765,
121.052,83.984348,
118.141,67.564602,
115.231,53.288593,
112.320,43.687277,
109.410,37.409158,
106.499,31.711916,
103.589,29.379491,
100.678,24.425674,
97.767,13.761611,
94.857,17.657934,
91.946,16.275113,
89.036,12.06449,
86.125,15.610516,
83.215,17.03092,
80.304,18.218298,
77.393,20.342808,
74.483,14.603785,
71.572,10.775296,
68.662,9.22293,
65.751,6.3971257,
62.840,6.945106,
59.930,8.1254276,
57.019,6.7152636,
54.109,8.2914825,
51.198,10.103219,
48.288,11.494338,
45.377,10.790959,
42.466,9.263342,
39.556,7.1546443,
36.645,5.0480736,
33.735,5.0192485,
30.824,3.5120172,
27.914,-2.79856,
25.003,2.7263748,
22.092,5.2083818,
19.182,2.5228829,
16.271,3.222373,
13.361,20.358319,
10.450,15.976545,
7.539,-143.93767,
4.629,-323.35877,
1.718,-515.57603,
-1.192,-721.23367,
-4.103,-541.50004,
-7.013,-284.15485,
-9.924,0.5,
