,PLA763~1,
Wavenumbers [1/cm],Intensity,
1887.773,79.495573,
1884.863,115.40347,
1881.952,127.59756,
1879.041,127.14447,
1876.131,109.95867,
1873.220,115.46353,
1870.310,127.08574,
1867.399,109.17888,
1864.489,109.95289,
1861.578,113.08919,
1858.667,122.52771,
1855.757,106.08502,
1852.846,95.126281,
1849.936,87.410546,
1847.025,70.69738,
1844.114,95.992715,
1841.204,127.6792,
1838.293,124.88332,
1835.383,112.77051,
1832.472,135.93413,
1829.562,125.21249,
1826.651,133.85854,
1823.740,150.97079,
1820.830,124.32357,
1817.919,120.76126,
1815.009,97.044216,
1812.098,109.93011,
1809.188,152.20824,
1806.277,99.136516,
1803.366,109.64209,
1800.456,97.578672,
1797.545,128.07352,
1794.635,141.81003,
1791.724,157.68079,
1788.813,170.67346,
1785.903,161.4196,
1782.992,164.57997,
1780.082,198.71566,
1777.171,137.52648,
1774.261,94.015265,
1771.350,122.81125,
1768.439,142.0892,
1765.529,152.23795,
1762.618,161.40253,
1759.708,136.53765,
1756.797,143.51894,
1753.887,163.82252,
1750.976,140.44045,
1748.065,125.27285,
1745.155,161.39084,
1742.244,170.97013,
1739.334,128.95501,
1736.423,148.90859,
1733.512,158.05385,
1730.602,152.88293,
1727.691,146.50138,
1724.781,185.77698,
1721.870,153.4176,
1718.960,164.25304,
1716.049,120.21447,
1713.138,161.31975,
1710.228,155.95025,
1707.317,145.02929,
1704.407,171.72531,
1701.496,151.17476,
1698.586,177.51852,
1695.675,197.65346,
1692.764,145.85858,
1689.854,141.91831,
1686.943,155.40284,
1684.033,169.52729,
1681.122,203.29726,
1678.211,191.98921,
1675.301,218.79175,
1672.390,151.77032,
1669.480,117.44456,
1666.569,188.30666,
1663.659,221.64635,
1660.748,207.52793,
1657.837,190.35613,
1654.927,211.61728,
1652.016,201.50678,
1649.106,226.4833,
1646.195,210.61126,
1643.285,200.7181,
1640.374,236.18511,
1637.463,204.27132,
1634.553,226.77645,
1631.642,287.14645,
1628.732,311.59058,
1625.821,263.88808,
1622.911,283.7623,
1620.000,350.03089,
1617.089,370.47699,
1614.179,435.01373,
1611.268,442.65193,
1608.358,471.47031,
1605.447,518.13251,
1602.536,497.57782,
1599.626,515.19359,
1596.715,559.53226,
1593.805,497.69444,
1590.894,484.59098,
1587.984,490.80374,
