,PL3ECB~1,
Wavenumbers [1/cm],Intensity,
1579.252,1529.7408,
1576.341,1450.0628,
1573.431,1471.3424,
1570.520,1466.4625,
1567.610,1469.9462,
1564.699,1447.374,
1561.788,1423.6656,
1558.878,1408.8741,
1555.967,1376.3414,
1553.057,1357.9225,
1550.146,1348.3755,
1547.235,1313.6434,
1544.325,1305.7572,
1541.414,1311.4295,
1538.504,1282.5737,
1535.593,1255.8285,
1532.683,1259.1815,
1529.772,1262.4376,
1526.861,1245.8871,
1523.951,1246.8951,
1521.040,1257.9363,
1518.130,1239.9525,
1515.219,1281.3496,
1512.309,1287.822,
1509.398,1263.1055,
1506.487,1258.0336,
1503.577,1248.6891,
1500.666,1263.8473,
1497.756,1251.6487,
1494.845,1284.7089,
1491.934,1235.5516,
1489.024,1174.9145,
1486.113,1228.3829,
1483.203,1232.75,
1480.292,1166.5661,
1477.382,1186.2717,
1474.471,1175.3329,
1471.560,1142.1747,
1468.650,1138.5827,
1465.739,1150.0764,
1462.829,1170.2673,
1459.918,1197.8772,
1457.008,1216.3193,
1454.097,1201.3394,
1451.186,1173.3438,
1448.276,1170.1776,
1445.365,1159.4254,
1442.455,1109.2706,
1439.544,1084.5829,
1436.633,1102.8275,
1433.723,1090.3852,
1430.812,1067.4888,
1427.902,1076.2314,
1424.991,1054.4328,
1422.081,1018.8859,
1419.170,1025.2547,
1416.259,1029.1802,
1413.349,1041.8339,
1410.438,1017.7588,
1407.528,1006.3937,
1404.617,1037.2807,
1401.707,988.26792,
1398.796,919.61365,
1395.885,930.93913,
1392.975,931.9573,
1390.064,903.52563,
1387.154,930.43134,
1384.243,885.19799,
1381.332,876.64335,
1378.422,868.57119,
1375.511,884.49646,
1372.601,938.20108,
1369.690,992.4689,
1366.780,975.40487,
1363.869,1043.5771,
1360.958,1090.2361,
1358.048,1057.0316,
1355.137,1090.3064,
1352.227,1160.0181,
1349.316,1193.6361,
1346.406,1230.6907,
1343.495,1244.5183,
1340.584,1239.285,
1337.674,1286.7852,
1334.763,1279.3498,
1331.853,1295.1128,
1328.942,1325.9918,
1326.032,1322.4094,
1323.121,1354.8344,
1320.210,1410.0348,
1317.300,1437.6523,
1314.389,1456.1392,
1311.479,1486.3518,
1308.568,1530.7382,
1305.657,1562.1974,
1302.747,1549.2748,
1299.836,1597.207,
1296.926,1618.9802,
1294.015,1709.9932,
1291.105,1718.1527,
1288.194,1805.813,
1285.283,1794.0979,
1282.373,1802.2655,
1279.462,1831.2203,
1276.552,1842.8917,
1273.641,1831.6394,
1270.731,1832.3336,
1267.820,1863.7256,
1264.909,1835.7935,
1261.999,1800.6488,
1259.088,1825.276,
1256.178,1873.8551,
1253.267,1815.004,
1250.356,1794.0727,
1247.446,1791.4031,
1244.535,1757.0447,
1241.625,1719.3093,
1238.714,1718.0432,
1235.804,1736.9587,
1232.893,1761.5019,
1229.982,1752.5967,
1227.072,1748.0701,
1224.161,1713.2893,
1221.251,1690.3708,
1218.340,1678.2719,
1215.430,1657.6834,
1212.519,1643.75,
1209.608,1633.4731,
1206.698,1627.0056,
1203.787,1656.2073,
1200.877,1620.4714,
1197.966,1615.9756,
1195.055,1684.0099,
1192.145,1776.8951,
1189.234,1823.2138,
1186.324,1858.8433,
1183.413,1894.3236,
1180.503,1929.95,
1177.592,1944.0021,
1174.681,1870.1336,
1171.771,1811.5742,
1168.860,1847.2978,
1165.950,1808.0167,
1163.039,1801.242,
1160.129,1800.3906,
1157.218,1839.6126,
1154.307,1874.8454,
1151.397,1863.3995,
1148.486,1880.9431,
1145.576,1920.5936,
1142.665,1893.9562,
1139.754,1875.4774,
1136.844,1849.3403,
1133.933,1852.6531,
1131.023,1850.8918,
1128.112,1838.0358,
1125.202,1844.721,
1122.291,1864.3605,
1119.380,1827.2437,
1116.470,1877.5478,
1113.559,1853.5933,
1110.649,1838.8564,
1107.738,1813.7815,
1104.828,1801.8237,
1101.917,1808.4954,
1099.006,1802.853,
1096.096,1813.3413,
1093.185,1822.9993,
1090.275,1845.6003,
1087.364,1814.3855,
1084.453,1835.9976,
1081.543,1860.0531,
1078.632,1857.4509,
1075.722,1865.3052,
1072.811,1854.5638,
1069.901,1851.9441,
1066.990,1855.7917,
1064.079,1871.0408,
1061.169,1885.4822,
1058.258,1914.6182,
1055.348,1932.5219,
1052.437,1898.1262,
1049.527,1886.3276,
1046.616,1927.1626,
1043.705,1918.647,
1040.795,1905.1724,
1037.884,1899.2443,
1034.974,1902.4742,
1032.063,1913.7575,
1029.153,1929.6461,
1026.242,1928.7812,
1023.331,1894.5855,
1020.421,1942.821,
1017.510,1961.1472,
1014.600,1991.0073,
1011.689,2028.6278,
1008.778,2005.0169,
1005.868,2000.8736,
1002.957,2014.6392,
1000.047,2030.582,
997.136,2103.2925,
994.226,2152.9807,
991.315,2151.7921,
988.404,2127.5097,
985.494,2049.0569,
982.583,2062.7618,
979.673,2044.2639,
976.762,2019.1369,
973.852,2009.4021,
970.941,2010.9717,
968.030,2012.7617,
965.120,2046.7321,
962.209,2042.4694,
959.299,2060.1645,
956.388,2070.5498,
953.477,2067.4066,
950.567,2081.4482,
947.656,2144.3097,
944.746,2156.2035,
941.835,2130.836,
938.925,2125.4081,
936.014,2115.6335,
933.103,2108.9278,
930.193,2112.9522,
927.282,2104.2377,
924.372,2076.3326,
921.461,2067.5952,
918.551,2025.6656,
915.640,2012.8979,
912.729,2031.5297,
909.819,2022.0828,
906.908,2017.0282,
903.998,2057.3136,
901.087,2077.2976,
898.176,2071.2973,
895.266,2068.272,
892.355,2087.8076,
889.445,2082.772,
886.534,2083.5849,
883.624,2087.787,
880.713,2108.6332,
877.802,2097.2217,
874.892,2006.8191,
871.981,1847.7255,
869.071,1677.3013,
866.160,1698.1171,
863.250,1842.365,
