,PLFDDD~1,
Wavenumbers [1/cm],Intensity,
1823.740,645.41138,
1820.830,623.35515,
1817.919,654.52194,
1815.009,624.34447,
1812.098,686.09543,
1809.188,642.28597,
1806.277,618.33977,
1803.366,664.77701,
1800.456,602.9526,
1797.545,658.54862,
1794.635,686.16502,
1791.724,697.35069,
1788.813,706.47063,
1785.903,686.07466,
1782.992,667.36234,
1780.082,664.52324,
1777.171,598.85517,
1774.261,542.03035,
1771.350,596.01576,
1768.439,669.05027,
1765.529,712.87406,
1762.618,713.15564,
1759.708,681.5594,
1756.797,688.98106,
1753.887,717.84876,
1750.976,719.71989,
1748.065,737.54934,
1745.155,740.40406,
1742.244,727.28081,
1739.334,718.45147,
1736.423,762.80017,
1733.512,749.13101,
1730.602,754.07939,
1727.691,789.0461,
1724.781,764.83878,
1721.870,726.9034,
1718.960,809.4983,
1716.049,802.02781,
1713.138,766.09515,
1710.228,770.44827,
1707.317,772.75957,
1704.407,777.36699,
1701.496,793.37131,
1698.586,788.40711,
1695.675,822.49622,
1692.764,804.04712,
1689.854,790.43798,
1686.943,815.96441,
1684.033,834.42795,
1681.122,846.67109,
1678.211,891.44672,
1675.301,885.8935,
1672.390,888.85706,
1669.480,882.85093,
1666.569,880.83989,
1663.659,955.3197,
1660.748,923.93815,
1657.837,1028.7219,
1654.927,1022.203,
1652.016,1035.632,
1649.106,1026.9032,
1646.195,1068.1867,
1643.285,1081.7865,
1640.374,1121.105,
1637.463,1132.9739,
1634.553,1194.1163,
1631.642,1277.6676,
1628.732,1350.2305,
1625.821,1409.93,
1622.911,1493.4016,
1620.000,1544.2325,
1617.089,1687.9695,
1614.179,1771.5343,
1611.268,1853.7892,
1608.358,1976.9753,
1605.447,2040.3898,
1602.536,2094.1969,
1599.626,2136.5122,
1596.715,2145.3206,
1593.805,2102.9471,
1590.894,2091.7103,
1587.984,2070.9549,
1585.073,1997.2572,
1582.162,1943.1307,
1579.252,1889.8684,
1576.341,1884.6814,
1573.431,1857.6807,
1570.520,1784.1386,
1567.610,1781.7576,
1564.699,1734.2228,
1561.788,1722.3256,
1558.878,1669.2057,
1555.967,1623.7157,
1553.057,1573.6858,
1550.146,1498.6388,
1547.235,1491.8494,
1544.325,1514.9648,
1541.414,1497.2727,
1538.504,1489.1511,
1535.593,1498.3881,
1532.683,1487.7683,
1529.772,1498.7309,
1526.861,1510.3679,
1523.951,1490.7021,
1521.040,1513.467,
1518.130,1529.3823,
1515.219,1530.8745,
1512.309,1534.5056,
1509.398,1494.527,
1506.487,1500.9935,
1503.577,1473.2549,
1500.666,1489.853,
1497.756,1468.6211,
1494.845,1500.3141,
1491.934,1462.79,
1489.024,1436.8027,
1486.113,1453.4921,
1483.203,1429.1181,
1480.292,1377.5098,
1477.382,1395.5472,
1474.471,1368.8777,
1471.560,1301.5474,
1468.650,1307.8892,
1465.739,1314.4701,
1462.829,1342.5063,
1459.918,1374.3723,
1457.008,1407.2445,
