,PLC4B4~1,
Raman shift [1/cm],Intensity,
1535.593,2232.0586,
1532.683,2181.2094,
1529.772,2155.4442,
1526.861,2115.9221,
1523.951,2096.4502,
1521.040,2060.3343,
1518.130,2041.344,
1515.219,2057.1906,
1512.309,2034.5293,
1509.398,2018.0904,
1506.487,1985.7819,
1503.577,1957.5385,
1500.666,2000.8473,
1497.756,1980.868,
1494.845,1921.1897,
1491.934,1907.624,
1489.024,1869.1243,
1486.113,1860.3323,
1483.203,1830.4405,
1480.292,1808.9313,
1477.382,1776.6531,
1474.471,1798.143,
1471.560,1784.98,
1468.650,1804.0809,
1465.739,1743.7341,
1462.829,1681.2646,
1459.918,1704.3194,
1457.008,1748.9656,
1454.097,1754.8933,
1451.186,1749.0769,
1448.276,1722.3876,
1445.365,1672.2863,
1442.455,1682.7565,
1439.544,1699.275,
1436.633,1721.0598,
1433.723,1676.6495,
1430.812,1623.3702,
1427.902,1667.9833,
1424.991,1635.7594,
1422.081,1600.8033,
1419.170,1627.9921,
1416.259,1557.4141,
1413.349,1558.631,
1410.438,1554.2533,
1407.528,1544.6001,
1404.617,1554.0797,
1401.707,1579.7081,
1398.796,1567.8445,
1395.885,1562.5534,
1392.975,1563.7486,
1390.064,1501.1614,
1387.154,1498.1144,
1384.243,1484.8175,
1381.332,1449.2953,
1378.422,1475.4017,
1375.511,1585.0051,
1372.601,1665.0835,
1369.690,1738.6134,
1366.780,1772.719,
1363.869,1821.6121,
1360.958,1891.2275,
1358.048,1886.7112,
1355.137,1933.0889,
1352.227,2054.2275,
1349.316,2137.9702,
1346.406,2165.1362,
1343.495,2199.926,
1340.584,2274.285,
1337.674,2322.4284,
1334.763,2322.5022,
1331.853,2394.8263,
1328.942,2458.2336,
1326.032,2483.6937,
1323.121,2515.1657,
1320.210,2507.4361,
1317.300,2560.1341,
1314.389,2612.5141,
1311.479,2639.6625,
1308.568,2665.2643,
1305.657,2667.7833,
1302.747,2694.0895,
1299.836,2820.0842,
1296.926,2840.0401,
1294.015,2910.828,
1291.105,2957.7771,
1288.194,3070.7816,
1285.283,3157.8943,
1282.373,3245.031,
1279.462,3303.1614,
1276.552,3334.6871,
1273.641,3365.175,
1270.731,3389.044,
1267.820,3392.4506,
1264.909,3403.2336,
1261.999,3406.1508,
1259.088,3389.7326,
1256.178,3347.6401,
1253.267,3335.3796,
1250.356,3267.3791,
1247.446,3133.6595,
1244.535,3056.7947,
1241.625,3028.739,
1238.714,2979.1819,
1235.804,2936.0122,
1232.893,2899.8825,
1229.982,2862.6836,
1227.072,2772.1524,
1224.161,2737.1729,
1221.251,2723.5604,
1218.340,2663.7425,
1215.430,2623.9414,
1212.519,2609.5058,
1209.608,2578.7787,
1206.698,2555.6015,
1203.787,2607.3982,
1200.877,2623.8117,
1197.966,2657.0806,
1195.055,2701.4124,
1192.145,2766.6034,
1189.234,2812.3505,
1186.324,2892.2108,
1183.413,2948.5165,
1180.503,2940.6323,
1177.592,2903.3254,
1174.681,2842.9623,
1171.771,2822.4106,
1168.860,2764.3598,
1165.950,2732.1424,
1163.039,2706.8931,
1160.129,2734.7312,
1157.218,2727.06,
1154.307,2691.379,
1151.397,2680.5835,
1148.486,2648.4532,
1145.576,2629.326,
