,PL92EE~1,
Raman shift [1/cm],Intensity,
758.469,1443.8905,
755.558,1422.4064,
752.648,1444.4007,
749.737,1436.9998,
746.826,1444.2704,
743.916,1423.73,
741.005,1329.0076,
738.095,1313.5819,
735.184,1190.1899,
732.274,1190.6585,
729.363,1262.9934,
726.452,1328.5439,
723.542,1382.7732,
720.631,1419.3897,
717.721,1440.6341,
714.810,1438.8523,
711.899,1429.1461,
708.989,1456.5815,
706.078,1427.9031,
703.168,1446.2533,
700.257,1437.5831,
697.347,1400.6632,
694.436,1397.4483,
691.525,1423.1701,
688.615,1449.5041,
685.704,1447.9358,
682.794,1427.8777,
679.883,1422.2546,
676.973,1433.4738,
674.062,1423.6264,
671.151,1419.38,
668.241,1432.9947,
665.330,1465.8256,
662.420,1467.4231,
659.509,1451.8767,
656.598,1446.6447,
653.688,1457.271,
650.777,1474.8589,
647.867,1448.5801,
644.956,1472.4692,
642.046,1468.3617,
639.135,1440.7326,
636.224,1455.7818,
633.314,1462.1333,
630.403,1473.2094,
627.493,1475.5252,
624.582,1472.6346,
621.672,1490.0584,
618.761,1489.2301,
615.850,1512.4425,
612.940,1530.3839,
610.029,1523.6728,
607.119,1499.1943,
604.208,1506.6902,
601.297,1525.207,
598.387,1540.0366,
595.476,1540.3043,
592.566,1535.5819,
589.655,1526.9753,
586.745,1509.297,
583.834,1483.845,
580.923,1455.7737,
578.013,1459.6974,
575.102,1453.2934,
572.192,1470.2589,
569.281,1508.2192,
566.371,1494.132,
563.460,1504.0375,
560.549,1527.2666,
557.639,1552.1213,
554.728,1564.1879,
551.818,1523.6115,
548.907,1542.783,
545.996,1557.6397,
543.086,1554.9309,
540.175,1565.0533,
537.265,1567.1986,
534.354,1553.7027,
531.444,1555.0762,
528.533,1597.2332,
525.622,1632.1508,
522.712,1623.3677,
519.801,1625.7339,
516.891,1648.4716,
513.980,1656.9888,
511.070,1654.2283,
508.159,1668.0321,
505.248,1687.0033,
502.338,1695.0152,
499.427,1738.2377,
496.517,1749.75,
493.606,1775.9964,
490.695,1824.2195,
487.785,1798.8164,
484.874,1834.1697,
481.964,1823.7736,
479.053,1779.1177,
476.143,1780.6536,
473.232,1763.4843,
470.321,1773.2936,
467.411,1785.1783,
464.500,1768.3621,
461.590,1753.0473,
458.679,1782.8683,
455.769,1787.1202,
452.858,1742.1128,
449.947,1803.2273,
447.037,1815.1432,
444.126,1806.247,
441.216,1790.6917,
438.305,1784.5962,
435.395,1799.4853,
432.484,1796.0809,
429.573,1784.01,
426.663,1802.2534,
423.752,1811.4216,
420.842,1777.7584,
417.931,1744.5234,
415.020,1782.4413,
412.110,1801.3087,
409.199,1847.8478,
406.289,1882.1246,
403.378,1858.7449,
400.468,1857.2329,
397.557,1840.2972,
394.646,1822.5952,
391.736,1815.591,
388.825,1779.3879,
385.915,1772.4754,
383.004,1783.4597,
380.094,1805.2453,
377.183,1854.1563,
374.272,1893.2607,
371.362,1930.055,
368.451,1965.9294,
365.541,1952.4197,
362.630,1954.2124,
359.719,1969.7008,
356.809,1995.9312,
353.898,1998.9264,
350.988,2013.3122,
348.077,2006.4542,
345.167,1963.415,
342.256,1996.286,
339.345,1991.4013,
336.435,1967.9239,
333.524,1941.1358,
330.614,1985.1,
327.703,2021.8532,
324.793,2037.563,
321.882,2019.7157,
318.971,2005.5903,
316.061,2007.5864,
313.150,2019.6,
310.240,2035.1844,
307.329,2038.6085,
304.418,2063.9155,
301.508,2073.8453,
298.597,2002.7653,
295.687,2017.7445,
292.776,2031.0834,
289.866,2056.6125,
286.955,2155.6017,
284.044,2248.8124,
281.134,2312.5238,
278.223,2344.1512,
275.313,2353.7303,
272.402,2387.6997,
269.492,2427.5432,
266.581,2467.4811,
263.670,2519.6789,
260.760,2538.9291,
257.849,2559.6874,
254.939,2608.1236,
252.028,2565.3193,
249.117,2544.6386,
246.207,2542.97,
243.296,2555.4146,
240.386,2550.8731,
237.475,2517.3992,
234.565,2473.1213,
231.654,2500.8759,
228.743,2477.4062,
225.833,2419.4673,
222.922,2338.4147,
220.012,2374.1139,
217.101,2354.3442,
214.191,2305.358,
211.280,2250.7983,
208.369,2252.1325,
205.459,2273.5148,
202.548,2292.9756,
199.638,2242.1802,
196.727,2251.3413,
193.816,2247.6886,
190.906,2208.7974,
187.995,2295.6803,
185.085,2327.1686,
182.174,2322.4817,
179.264,2299.3532,
176.353,2287.7791,
173.442,2287.4633,
170.532,2293.6498,
167.621,2275.6254,
164.711,2224.5,
161.800,2160.3854,
158.890,2094.8902,
155.979,1969.8713,
153.068,1830.607,
150.158,1665.8534,
147.247,1419.5958,
144.337,1156.7505,
141.426,914.78993,
138.516,714.06038,
135.605,484.50049,
132.694,317.00616,
129.784,205.04294,
126.873,144.97204,
123.963,102.02021,
121.052,72.234348,
118.141,55.814602,
115.231,40.117452,
112.320,25.277281,
109.410,14.022711,
106.499,15.447021,
103.589,20.79229,
100.678,22.577026,
97.767,16.889526,
94.857,14.671033,
91.946,12.943778,
89.036,11.75,
86.125,11.75,
83.215,6.4407965,
80.304,3.1865961,
77.393,7.4356157,
74.483,7.094865,
71.572,7.4747042,
68.662,8.611465,
65.751,7.1985628,
62.840,6.75,
59.930,6.3754276,
57.019,4.9652636,
54.109,5.9443217,
51.198,6.4483907,
48.288,5.7556624,
45.377,6.4590405,
