,PLEB66~1,
Raman shift [1/cm],Intensity,
1727.691,2191.8778,
1724.781,2227.9538,
1721.870,2280.4729,
1718.960,2275.0026,
1716.049,2294.2773,
1713.138,2272.9751,
1710.228,2297.3448,
1707.317,2338.777,
1704.407,2341.8282,
1701.496,2388.1139,
1698.586,2345.5018,
1695.675,2378.1176,
1692.764,2416.6004,
1689.854,2435.8455,
1686.943,2463.6807,
1684.033,2537.7623,
1681.122,2448.2053,
1678.211,2540.7209,
1675.301,2644.3074,
1672.390,2671.5562,
1669.480,2649.4994,
1666.569,2758.3487,
1663.659,2816.0949,
1660.748,2905.0106,
1657.837,2926.5277,
1654.927,3012.4216,
1652.016,3046.354,
1649.106,3077.3876,
1646.195,3148.2244,
1643.285,3175.4505,
1640.374,3297.064,
1637.463,3319.7327,
1634.553,3437.6101,
1631.642,3637.7759,
1628.732,3744.1064,
1625.821,3992.7303,
1622.911,4152.7177,
1620.000,4365.9163,
1617.089,4650.8936,
1614.179,4864.59,
1611.268,5168.137,
1608.358,5356.9159,
1605.447,5498.5689,
1602.536,5617.5196,
1599.626,5614.5858,
1596.715,5662.6355,
1593.805,5548.6789,
1590.894,5590.9879,
1587.984,5563.9813,
1585.073,5522.0399,
1582.162,5508.111,
1579.252,5453.4354,
1576.341,5421.5984,
1573.431,5373.5504,
1570.520,5312.7049,
1567.610,5344.5669,
1564.699,5264.196,
1561.788,5221.9913,
1558.878,5169.7833,
1555.967,5034.312,
1553.057,4924.9531,
1550.146,4879.6469,
1547.235,4807.0504,
1544.325,4714.9893,
1541.414,4664.1236,
1538.504,4619.2278,
1535.593,4564.2531,
1532.683,4493.2262,
1529.772,4411.8879,
1526.861,4356.5086,
1523.951,4296.8074,
1521.040,4225.043,
1518.130,4155.5822,
1515.219,4089.4253,
1512.309,4055.8321,
1509.398,3994.5735,
1506.487,4004.7914,
1503.577,3925.2092,
1500.666,3949.1187,
1497.756,3879.8705,
1494.845,3856.0636,
1491.934,3794.5589,
1489.024,3774.3465,
1486.113,3740.2452,
1483.203,3728.7433,
1480.292,3607.9849,
1477.382,3600.3652,
1474.471,3557.5823,
1471.560,3525.4833,
1468.650,3513.8421,
1465.739,3483.4434,
1462.829,3456.2855,
1459.918,3474.0396,
1457.008,3531.1793,
1454.097,3523.1821,
1451.186,3475.1202,
1448.276,3480.8388,
1445.365,3493.3051,
1442.455,3511.0784,
1439.544,3497.2862,
1436.633,3459.6935,
1433.723,3473.4059,
1430.812,3400.2951,
1427.902,3382.0916,
1424.991,3317.6438,
1422.081,3331.2221,
1419.170,3260.908,
1416.259,3273.1168,
1413.349,3260.4992,
1410.438,3234.3314,
1407.528,3227.5562,
1404.617,3208.6626,
1401.707,3229.0711,
1398.796,3287.4746,
1395.885,3306.2233,
1392.975,3294.6461,
1390.064,3306.8022,
1387.154,3314.0646,
1384.243,3330.0046,
1381.332,3339.8343,
1378.422,3373.4987,
1375.511,3526.194,
1372.601,3666.8606,
1369.690,3665.7667,
1366.780,3796.6869,
1363.869,3870.1283,
1360.958,3869.44,
1358.048,3967.2345,
1355.137,4040.1507,
1352.227,4096.8999,
1349.316,4215.3393,
1346.406,4343.5639,
1343.495,4437.1476,
1340.584,4435.838,
1337.674,4524.6634,
1334.763,4568.2128,
1331.853,4609.9382,
1328.942,4689.0084,
1326.032,4812.8119,
1323.121,4886.0467,
1320.210,4960.5601,
1317.300,5004.3808,
1314.389,5093.7654,
1311.479,5197.0228,
1308.568,5266.3114,
1305.657,5338.111,
1302.747,5390.2155,
1299.836,5483.3353,
1296.926,5660.188,
1294.015,5822.9083,
1291.105,5954.6619,
1288.194,6125.7824,
1285.283,6235.5093,
1282.373,6400.9448,
1279.462,6503.1344,
1276.552,6549.0346,
1273.641,6621.2429,
1270.731,6684.3907,
1267.820,6689.0893,
1264.909,6732.8774,
1261.999,6702.5292,
1259.088,6617.702,
1256.178,6521.8406,
1253.267,6369.297,
1250.356,6239.582,
1247.446,6048.5963,
1244.535,5852.4467,
1241.625,5668.7919,
1238.714,5481.3821,
1235.804,5327.5816,
1232.893,5180.4031,
1229.982,5050.8465,
1227.072,4998.3384,
1224.161,4919.8202,
1221.251,4875.1001,
1218.340,4804.3785,
1215.430,4745.7498,
1212.519,4663.0497,
1209.608,4607.7613,
1206.698,4633.4333,
1203.787,4607.2481,
1200.877,4615.7513,
1197.966,4698.474,
1195.055,4807.5746,
1192.145,4916.5376,
1189.234,5034.212,
1186.324,5118.174,
1183.413,5138.4676,
1180.503,5134.3936,
1177.592,5148.8371,
1174.681,5122.899,
1171.771,5006.0796,
1168.860,4939.0979,
1165.950,4898.7608,
1163.039,4835.4512,
1160.129,4763.8467,
1157.218,4742.6434,
1154.307,4745.6073,
1151.397,4699.429,
1148.486,4613.9276,
1145.576,4595.0401,
1142.665,4512.4642,
1139.754,4531.6611,
1136.844,4484.402,
1133.933,4406.4934,
1131.023,4361.0157,
1128.112,4352.5537,
1125.202,4347.4849,
1122.291,4340.1317,
1119.380,4357.6337,
1116.470,4358.5162,
1113.559,4336.974,
1110.649,4379.0836,
1107.738,4390.1579,
1104.828,4363.0615,
1101.917,4343.5126,
1099.006,4341.5942,
1096.096,4326.0652,
1093.185,4382.2574,
1090.275,4363.1562,
1087.364,4324.005,
1084.453,4335.0608,
1081.543,4360.0072,
1078.632,4362.1777,
1075.722,4361.0191,
1072.811,4385.4603,
1069.901,4340.924,
1066.990,4350.5583,
1064.079,4389.0117,
1061.169,4433.7924,
1058.258,4504.4789,
1055.348,4566.3915,
1052.437,4564.5286,
1049.527,4596.0684,
1046.616,4633.428,
1043.705,4666.1433,
1040.795,4695.6957,
1037.884,4709.648,
1034.974,4715.3492,
1032.063,4724.9633,
1029.153,4746.0112,
1026.242,4832.5069,
1023.331,4827.2922,
1020.421,4864.6627,
1017.510,4855.292,
1014.600,4871.4199,
1011.689,4950.132,
1008.778,5038.6319,
1005.868,5139.2312,
1002.957,5318.1849,
1000.047,5516.7051,
997.136,5683.9943,
994.226,5759.3019,
991.315,5737.0508,
988.404,5671.167,
985.494,5631.1865,
982.583,5566.9448,
979.673,5526.8958,
976.762,5522.0831,
973.852,5512.9227,
970.941,5498.2924,
968.030,5506.2782,
965.120,5515.582,
962.209,5505.3515,
959.299,5524.8725,
956.388,5505.6268,
953.477,5499.6551,
950.567,5525.2392,
947.656,5538.0841,
944.746,5579.7124,
