,PLA41D~1,
Raman shift [1/cm],Intensity,
1040.795,1353.0204,
1037.884,1361.5414,
1034.974,1357.6263,
1032.063,1339.7515,
1029.153,1378.9016,
1026.242,1362.4674,
1023.331,1368.5412,
1020.421,1386.6054,
1017.510,1384.3503,
1014.600,1407.326,
1011.689,1453.7212,
1008.778,1466.4614,
1005.868,1470.0063,
1002.957,1484.6323,
1000.047,1548.027,
997.136,1589.0821,
994.226,1595.6289,
991.315,1567.781,
988.404,1517.4975,
985.494,1494.5873,
982.583,1481.739,
979.673,1490.8497,
976.762,1495.4621,
973.852,1495.875,
970.941,1491.7257,
968.030,1481.4241,
965.120,1478.8929,
962.209,1483.1556,
959.299,1502.2895,
956.388,1517.7145,
953.477,1527.1632,
950.567,1531.875,
947.656,1530.9837,
944.746,1524.1873,
941.835,1527.9241,
938.925,1520.3203,
936.014,1529.0265,
933.103,1536.5786,
930.193,1524.6777,
927.282,1515.3709,
924.372,1506.0692,
921.461,1472.4734,
918.551,1462.0369,
915.640,1448.8519,
912.729,1433.632,
909.819,1443.6526,
906.908,1441.9677,
903.998,1443.4657,
901.087,1443.875,
898.176,1455.3277,
895.266,1470.4142,
892.355,1484.0421,
889.445,1527.684,
886.534,1522.8658,
883.624,1500.3444,
880.713,1514.8824,
877.802,1526.3689,
874.892,1494.4181,
871.981,1456.2042,
869.071,1427.8002,
866.160,1445.6437,
863.250,1452.2056,
860.339,1469.9955,
857.428,1507.4924,
854.518,1505.5621,
851.607,1494.7452,
848.697,1475.6796,
845.786,1450.2302,
842.875,1451.702,
839.965,1486.6712,
837.054,1495.0425,
834.144,1509.96,
831.233,1512.2084,
828.323,1510.3913,
825.412,1505.6554,
822.501,1497.8324,
819.591,1492.0476,
816.680,1463.8301,
813.770,1457.5015,
810.859,1461.4849,
807.949,1464.2213,
805.038,1462.2644,
802.127,1482.0194,
799.217,1427.9707,
796.306,1413.4156,
793.396,1420.7682,
790.485,1429.8231,
787.574,1442.2139,
784.664,1477.4787,
781.753,1459.0486,
778.843,1456.1866,
775.932,1452.6036,
773.022,1432.258,
770.111,1492.7588,
767.200,1453.4802,
764.290,1458.945,
761.379,1476.8137,
758.469,1466.1337,
755.558,1402.2429,
752.648,1381.0632,
749.737,1342.2772,
746.826,1282.3813,
743.916,1183.7768,
741.005,1019.7783,
738.095,735.62137,
735.184,400.11981,
732.274,332.46474,
729.363,558.41337,
726.452,966.42247,
723.542,1273.9919,
720.631,1345.9218,
717.721,1390.3716,
714.810,1410.4943,
711.899,1414.578,
708.989,1434.7511,
706.078,1442.888,
703.168,1431.5161,
700.257,1409.6727,
697.347,1389.5708,
694.436,1384.7441,
691.525,1379.9212,
688.615,1393.9689,
685.704,1412.3723,
682.794,1421.8325,
679.883,1411.5506,
676.973,1404.3383,
674.062,1409.2558,
671.151,1410.245,
668.241,1402.5865,
665.330,1389.9717,
662.420,1413.1349,
659.509,1450.8914,
656.598,1447.372,
653.688,1426.1565,
650.777,1453.956,
647.867,1456.345,
644.956,1435.8239,
642.046,1419.5582,
639.135,1416.3423,
636.224,1421.9506,
633.314,1437.0354,
630.403,1449.1519,
627.493,1445.2731,
624.582,1425.6373,
621.672,1406.6294,
618.761,1424.1135,
615.850,1442.5477,
612.940,1458.6811,
610.029,1471.8478,
607.119,1483.6923,
604.208,1462.1546,
601.297,1467.8305,
598.387,1468.83,
595.476,1434.2464,
592.566,1438.1817,
589.655,1427.213,
586.745,1417.8372,
583.834,1409.4833,
580.923,1393.4864,
578.013,1329.1382,
575.102,1339.9808,
572.192,1379.0965,
569.281,1419.0456,
566.371,1458.9594,
563.460,1462.1695,
560.549,1476.4934,
557.639,1491.3379,
554.728,1490.1706,
551.818,1494.8525,
548.907,1495.2656,
545.996,1501.8732,
543.086,1517.7401,
540.175,1540.3208,
537.265,1536.805,
534.354,1522.3327,
531.444,1516.0055,
528.533,1533.696,
525.622,1559.3023,
522.712,1544.2454,
519.801,1536.9851,
516.891,1557.9869,
513.980,1612.9619,
511.070,1572.7968,
508.159,1581.5739,
505.248,1617.8837,
502.338,1636.2591,
499.427,1649.3802,
496.517,1642.1275,
493.606,1627.1452,
490.695,1619.2242,
487.785,1657.7138,
484.874,1649.6581,
481.964,1664.3,
479.053,1688.7045,
476.143,1658.754,
473.232,1683.4929,
470.321,1657.8683,
467.411,1632.7913,
464.500,1669.4981,
461.590,1615.1305,
458.679,1616.9341,
455.769,1643.1625,
452.858,1666.8527,
449.947,1637.8233,
447.037,1631.875,
444.126,1631.875,
441.216,1633.4625,
438.305,1642.6056,
435.395,1652.3983,
432.484,1646.0394,
429.573,1626.7925,
426.663,1609.3092,
423.752,1575.7937,
420.842,1551.3712,
417.931,1542.538,
415.020,1555.4301,
412.110,1630.4995,
409.199,1666.6769,
406.289,1676.121,
403.378,1676.7162,
400.468,1629.8445,
397.557,1621.5589,
394.646,1610.6369,
391.736,1560.2291,
388.825,1446.3402,
385.915,1374.0249,
383.004,1354.4377,
380.094,1396.0959,
377.183,1498.4327,
374.272,1588.752,
371.362,1661.1836,
368.451,1710.5133,
365.541,1721.0208,
362.630,1764.2968,
359.719,1790.4758,
356.809,1772.6938,
353.898,1769.6986,
350.988,1769.96,
