,PL3EC8~1,
Wavenumbers [1/cm],Intensity,
1573.431,1442.3596,
1570.520,1410.0499,
1567.610,1434.9,
1564.699,1406.7484,
1561.788,1424.7233,
1558.878,1388.7833,
1555.967,1357.697,
1553.057,1336.401,
1550.146,1324.1668,
1547.235,1327.3476,
1544.325,1363.9914,
1541.414,1349.1207,
1538.504,1326.9563,
1535.593,1331.3213,
1532.683,1326.8408,
1529.772,1331.0562,
1526.861,1327.6017,
1523.951,1323.1159,
1521.040,1321.8567,
1518.130,1329.8928,
1515.219,1355.7856,
1512.309,1332.1565,
1509.398,1322.914,
1506.487,1323.4599,
1503.577,1306.0945,
1500.666,1317.7589,
1497.756,1344.7609,
1494.845,1368.2637,
1491.934,1311.4581,
1489.024,1260.4459,
1486.113,1306.8402,
1483.203,1282.2036,
1480.292,1263.3518,
1477.382,1293.7632,
1474.471,1231.0261,
1471.560,1223.4127,
1468.650,1225.8919,
1465.739,1223.344,
1462.829,1256.6436,
1459.918,1271.3376,
1457.008,1250.4094,
1454.097,1259.2707,
1451.186,1264.832,
1448.276,1220.8662,
1445.365,1188.2308,
1442.455,1178.3647,
1439.544,1190.0355,
1436.633,1166.0898,
1433.723,1120.5978,
1430.812,1182.6645,
1427.902,1170.2868,
1424.991,1156.0703,
1422.081,1137.2755,
1419.170,1120.0719,
1416.259,1205.1118,
1413.349,1172.0029,
1410.438,1167.9208,
1407.528,1140.7942,
1404.617,1160.2012,
1401.707,1149.5292,
1398.796,1093.0237,
1395.885,1087.2945,
1392.975,1101.3952,
1390.064,1080.9827,
1387.154,1093.9518,
1384.243,1076.3832,
1381.332,1064.0757,
1378.422,1048.6784,
1375.511,991.53475,
1372.601,1055.1349,
1369.690,1129.2028,
1366.780,1156.4657,
1363.869,1187.5046,
1360.958,1177.8185,
1358.048,1230.5161,
1355.137,1282.5616,
1352.227,1300.2329,
1349.316,1324.8452,
1346.406,1337.6422,
1343.495,1324.6111,
1340.584,1343.0531,
1337.674,1371.7674,
1334.763,1366.5304,
1331.853,1416.6009,
1328.942,1460.4298,
1326.032,1461.5469,
1323.121,1485.0768,
1320.210,1533.5802,
1317.300,1547.7227,
1314.389,1591.9315,
1311.479,1626.7028,
1308.568,1609.3923,
1305.657,1608.6822,
1302.747,1642.855,
1299.836,1731.9076,
1296.926,1768.1295,
1294.015,1735.9532,
1291.105,1812.1127,
1288.194,1825.82,
1285.283,1843.0931,
1282.373,1859.1172,
1279.462,1856.3899,
1276.552,1875.6409,
1273.641,1878.6729,
1270.731,1860.7937,
1267.820,1921.9631,
1264.909,1910.6685,
1261.999,1874.1257,
1259.088,1860.4439,
1256.178,1877.6106,
1253.267,1870.6515,
1250.356,1830.376,
1247.446,1858.3897,
1244.535,1870.8036,
1241.625,1840.1287,
1238.714,1837.3908,
1235.804,1861.9114,
1232.893,1846.2537,
1229.982,1829.349,
1227.072,1821.2012,
1224.161,1857.6072,
1221.251,1825.9105,
1218.340,1776.9953,
1215.430,1797.8141,
1212.519,1807.0815,
1209.608,1778.9794,
1206.698,1784.9868,
1203.787,1796.8863,
1200.877,1777.9066,
1197.966,1798.5872,
1195.055,1814.9835,
1192.145,1900.2728,
1189.234,1925.0298,
1186.324,1987.4493,
1183.413,2002.2036,
1180.503,1986.676,
1177.592,2032.3418,
1174.681,1969.0051,
1171.771,1971.5426,
1168.860,1967.9702,
1165.950,1978.1068,
1163.039,1993.8947,
1160.129,1958.925,
1157.218,1972.449,
1154.307,2005.7522,
1151.397,1988.7531,
1148.486,2004.968,
1145.576,2045.1216,
1142.665,2010.493,
1139.754,2020.6431,
1136.844,2026.4262,
1133.933,2018.8274,
1131.023,1970.1364,
1128.112,1938.337,
1125.202,1971.6974,
1122.291,1993.8919,
1119.380,2037.5037,
1116.470,2025.1483,
1113.559,1995.788,
1110.649,1994.1735,
1107.738,2008.8772,
1104.828,2024.4504,
1101.917,2034.992,
1099.006,2042.027,
1096.096,2048.1412,
1093.185,2040.2392,
