,PL3C2D~1,
Raman shift [1/cm],Intensity,
1093.185,1189.3824,
1090.275,1187.2758,
1087.364,1176.8304,
1084.453,1191.3113,
1081.543,1183.4007,
1078.632,1165.7188,
1075.722,1186.9291,
1072.811,1173.6951,
1069.901,1158.8497,
1066.990,1185.2333,
1064.079,1216.929,
1061.169,1214.3902,
1058.258,1205.7144,
1055.348,1218.8627,
1052.437,1237.3062,
1049.527,1220.5892,
1046.616,1242.3099,
1043.705,1231.647,
1040.795,1234.135,
1037.884,1239.2672,
1034.974,1260.8608,
1032.063,1292.8424,
1029.153,1286.75,
1026.242,1286.75,
1023.331,1285.9167,
1020.421,1294.8123,
1017.510,1321.161,
1014.600,1348.9003,
1011.689,1356.7635,
1008.778,1344.6822,
1005.868,1362.4064,
1002.957,1435.5365,
1000.047,1485.334,
997.136,1503.8613,
994.226,1488.9041,
991.315,1471.3168,
988.404,1473.9677,
985.494,1433.8843,
982.583,1439.8802,
979.673,1426.1171,
976.762,1413.7048,
973.852,1416.7062,
970.941,1431.7885,
968.030,1446.0044,
965.120,1458.7393,
962.209,1456.1816,
959.299,1431.6695,
956.388,1425.1098,
953.477,1430.6272,
950.567,1429.5215,
947.656,1416.1983,
944.746,1427.2426,
941.835,1409.9341,
938.925,1427.4657,
936.014,1423.0694,
933.103,1420.1083,
930.193,1433.5612,
927.282,1395.1002,
924.372,1364.6583,
921.461,1343.0764,
918.551,1358.2445,
915.640,1366.101,
912.729,1346.6259,
909.819,1318.6363,
906.908,1295.0484,
903.998,1333.5182,
901.087,1350.1151,
898.176,1342.7745,
895.266,1351.3809,
892.355,1400.1477,
889.445,1423.6472,
886.534,1411.2269,
883.624,1424.2251,
880.713,1427.1568,
877.802,1427.6135,
874.892,1438.0369,
871.981,1441.9745,
869.071,1366.7873,
866.160,1372.3789,
863.250,1382.3226,
860.339,1391.2675,
857.428,1399.202,
854.518,1375.5093,
851.607,1367.1886,
848.697,1379.5063,
845.786,1367.0672,
842.875,1365.1301,
839.965,1389.6188,
837.054,1370.8616,
834.144,1380.8067,
831.233,1357.4185,
828.323,1357.6089,
825.412,1373.0037,
822.501,1371.6435,
819.591,1337.7611,
816.680,1343.1603,
813.770,1332.8465,
810.859,1312.2128,
807.949,1302.6403,
805.038,1320.8496,
802.127,1321.6727,
799.217,1332.1855,
796.306,1316.4526,
793.396,1295.9102,
790.485,1286.9606,
787.574,1289.0266,
784.664,1322.6512,
781.753,1294.5298,
778.843,1289.512,
775.932,1307.3055,
773.022,1320.384,
770.111,1324.4719,
767.200,1308.7624,
764.290,1323.9757,
761.379,1321.4198,
758.469,1287.0071,
755.558,1256.7775,
752.648,1224.1933,
749.737,1211.2221,
746.826,1140.1479,
743.916,1007.7427,
741.005,822.19015,
738.095,436.54865,
735.184,37.510507,
732.274,-52.763849,
729.363,193.14335,
726.452,655.26079,
723.542,1023.5348,
720.631,1155.3727,
717.721,1217.8194,
714.810,1236.8466,
711.899,1232.4332,
708.989,1226.7847,
706.078,1262.0073,
703.168,1275.6078,
700.257,1271.7363,
697.347,1258.2721,
694.436,1246.5792,
691.525,1277.1238,
688.615,1278.7187,
685.704,1267.1161,
682.794,1260.4308,
679.883,1276.9034,
676.973,1302.5473,
674.062,1302.6453,
671.151,1301.065,
668.241,1290.5993,
665.330,1254.3593,
662.420,1309.4718,
659.509,1304.8767,
656.598,1309.1652,
653.688,1320.9989,
650.777,1301.1019,
647.867,1281.9901,
644.956,1285.1798,
642.046,1278.9704,
639.135,1268.7806,
636.224,1287.8694,
633.314,1311.6875,
630.403,1311.2467,
627.493,1313.6633,
624.582,1324.5734,
621.672,1323.7814,
618.761,1323.75,
615.850,1309.9753,
612.940,1332.2204,
610.029,1386.2282,
607.119,1323.0577,
604.208,1347.2806,
601.297,1341.8034,
598.387,1328.0495,
595.476,1334.5904,
592.566,1290.5145,
589.655,1293.1162,
586.745,1272.7119,
583.834,1235.0171,
580.923,1221.205,
578.013,1130.9606,
575.102,1126.252,
572.192,1177.9076,
569.281,1249.3898,
566.371,1275.2164,
563.460,1334.8929,
560.549,1343.6444,
557.639,1346.2809,
554.728,1394.7791,
551.818,1363.5665,
548.907,1373.8136,
545.996,1400.3016,
543.086,1424.4145,
540.175,1422.8572,
537.265,1407.5401,
534.354,1413.7906,
531.444,1419.3409,
528.533,1403.6329,
525.622,1416.0481,
522.712,1404.1879,
519.801,1400.8601,
516.891,1417.9492,
513.980,1453.5668,
511.070,1470.1326,
508.159,1470.9743,
505.248,1474.012,
502.338,1499.1341,
499.427,1512.2552,
496.517,1533.2853,
493.606,1554.1528,
490.695,1563.4008,
487.785,1524.9112,
484.874,1513.5802,
481.964,1545.6334,
479.053,1589.9697,
476.143,1570.0027,
473.232,1586.7351,
470.321,1583.5319,
467.411,1578.0685,
464.500,1592.1597,
461.590,1529.369,
458.679,1529.9097,
455.769,1554.8321,
452.858,1580.4086,
449.947,1615.5494,
447.037,1609.4013,
444.126,1583.0046,
441.216,1557.6447,
438.305,1585.8361,
435.395,1566.1471,
432.484,1557.5008,
429.573,1564.7025,
426.663,1573.0641,
423.752,1550.0378,
420.842,1513.2622,
417.931,1493.1698,
415.020,1533.3628,
412.110,1592.5474,
409.199,1641.6228,
406.289,1660.6648,
403.378,1629.7474,
400.468,1628.9914,
397.557,1594.8161,
394.646,1543.8958,
391.736,1487.245,
388.825,1315.2802,
385.915,1234.9472,
383.004,1247.2983,
380.094,1348.9325,
377.183,1450.5168,
374.272,1544.4264,
371.362,1623.2962,
368.451,1681.5281,
365.541,1710.799,
362.630,1756.4406,
359.719,1777.0952,
356.809,1752.3843,
353.898,1762.8675,
350.988,1770.6324,
348.077,1763.1336,
345.167,1734.75,
342.256,1734.75,
339.345,1748.5672,
336.435,1761.5828,
333.524,1762.834,
330.614,1733.7729,
327.703,1772.4967,
324.793,1796.3533,
321.882,1734.8455,
318.971,1774.248,
316.061,1791.1682,
313.150,1805.6047,
310.240,1840.4842,
307.329,1836.7475,
304.418,1797.3618,
301.508,1722.4238,
298.597,1608.3996,
295.687,1474.1378,
292.776,1426.8334,
289.866,1512.0981,
286.955,1836.3986,
284.044,2077.5598,
281.134,2269.6213,
