,PLB3B3~1,
Wavenumbers [1/cm],Intensity,
1090.275,1186.4278,
1087.364,1168.4747,
1084.453,1161.1249,
1081.543,1165.0675,
1078.632,1166.8062,
1075.722,1173.4717,
1072.811,1222.1933,
1069.901,1210.8409,
1066.990,1203.5333,
1064.079,1201.3195,
1061.169,1192.1632,
1058.258,1207.8682,
1055.348,1232.8269,
1052.437,1207.5047,
1049.527,1155.8797,
1046.616,1204.5342,
1043.705,1196.1262,
1040.795,1216.9017,
1037.884,1225.4369,
1034.974,1219.6276,
1032.063,1213.5156,
1029.153,1197.5579,
1026.242,1210.5323,
1023.331,1222.6659,
1020.421,1261.9464,
1017.510,1271.2767,
1014.600,1269.3834,
1011.689,1264.0225,
1008.778,1232.9889,
1005.868,1198.0077,
1002.957,1198.8681,
1000.047,1241.224,
997.136,1309.8593,
994.226,1361.2767,
991.315,1363.7772,
988.404,1326.7302,
985.494,1314.5972,
982.583,1296.6095,
979.673,1297.6582,
976.762,1290.1935,
973.852,1288.4201,
970.941,1285.405,
968.030,1259.5895,
965.120,1229.2971,
962.209,1300.0581,
959.299,1325.4567,
956.388,1309.7214,
953.477,1302.4536,
950.567,1322.5356,
947.656,1339.6631,
944.746,1329.4684,
941.835,1318.4724,
938.925,1373.2504,
936.014,1375.6854,
933.103,1340.1726,
930.193,1319.2058,
927.282,1298.396,
924.372,1268.7998,
921.461,1298.138,
918.551,1295.4767,
915.640,1282.0254,
912.729,1288.4659,
909.819,1312.2182,
906.908,1275.9939,
903.998,1316.9497,
901.087,1296.1747,
898.176,1298.5194,
895.266,1325.761,
892.355,1328.7752,
889.445,1290.169,
886.534,1307.5323,
883.624,1298.2162,
880.713,1298.6346,
877.802,1272.6926,
874.892,1175.7822,
871.981,1010.2061,
869.071,807.20076,
866.160,861.0048,
863.250,1042.0106,
860.339,1215.8207,
857.428,1299.9131,
854.518,1305.1355,
851.607,1206.1192,
848.697,1097.5203,
845.786,1039.3931,
842.875,1080.9764,
839.965,1210.1706,
837.054,1316.2326,
834.144,1336.9514,
831.233,1389.6631,
828.323,1398.6683,
825.412,1381.3902,
822.501,1378.8936,
819.591,1383.852,
816.680,1387.2051,
813.770,1372.3374,
810.859,1340.438,
807.949,1327.6074,
805.038,1365.2035,
802.127,1358.6185,
799.217,1322.9666,
796.306,1324.6217,
793.396,1347.0688,
790.485,1351.2594,
787.574,1297.4323,
784.664,1335.1575,
781.753,1347.3679,
778.843,1354.9008,
775.932,1363.395,
773.022,1370.8732,
770.111,1370.0556,
767.200,1338.7862,
764.290,1341.1354,
761.379,1352.7571,
758.469,1354.4888,
755.558,1345.851,
752.648,1374.3621,
749.737,1376.0833,
746.826,1360.9458,
743.916,1329.805,
741.005,1283.6899,
738.095,1245.5317,
735.184,1160.1983,
732.274,1114.3267,
729.363,1128.5622,
726.452,1190.7939,
723.542,1245.0232,
720.631,1318.3376,
717.721,1329.6888,
714.810,1349.0282,
711.899,1384.1584,
708.989,1346.2329,
706.078,1391.6743,
703.168,1371.4245,
700.257,1372.8663,
697.347,1397.6963,
694.436,1375.1091,
691.525,1379.1281,
688.615,1352.9568,
685.704,1346.4973,
682.794,1379.1274,
679.883,1443.6304,
676.973,1413.1783,
674.062,1426.7805,
671.151,1431.8634,
668.241,1420.6645,
665.330,1409.1302,
662.420,1390.7594,
659.509,1383.1904,
656.598,1390.9532,
653.688,1405.8403,
650.777,1411.514,
647.867,1397.1801,
644.956,1338.2765,
642.046,1268.7592,
639.135,1223.6114,
636.224,1241.5133,
633.314,1343.9313,
630.403,1389.51,
627.493,1400.3115,
624.582,1394.2343,
621.672,1386.3143,
618.761,1388.2798,
615.850,1428.1201,
612.940,1463.7569,
610.029,1472.3152,
607.119,1480.2115,
604.208,1503.7204,
601.297,1491.5637,
598.387,1474.0129,
595.476,1484.5942,
592.566,1490.8908,
589.655,1502.3662,
586.745,1506.6981,
583.834,1499.0712,
580.923,1478.1137,
578.013,1496.9473,
