,PLCF92~1,
Wavenumbers [1/cm],Intensity,
1282.373,1280.8358,
1279.462,1307.277,
1276.552,1323.5641,
1273.641,1322.4966,
1270.731,1280.4362,
1267.820,1256.1815,
1264.909,1239.1555,
1261.999,1258.7425,
1259.088,1241.4122,
1256.178,1274.6333,
1253.267,1265.0311,
1250.356,1251.5707,
1247.446,1248.5485,
1244.535,1229.5536,
1241.625,1211.3935,
1238.714,1205.3455,
1235.804,1195.4235,
1232.893,1232.9975,
1229.982,1243.1484,
1227.072,1206.936,
1224.161,1200.1725,
1221.251,1171.8282,
1218.340,1134.5191,
1215.430,1157.9125,
1212.519,1166.737,
1209.608,1132.9962,
1206.698,1122.3963,
1203.787,1124.9077,
1200.877,1124.5481,
1197.966,1159.6153,
1195.055,1143.4568,
1192.145,1233.5416,
1189.234,1283.19,
1186.324,1295.557,
1183.413,1304.8826,
1180.503,1332.9241,
1177.592,1351.0211,
1174.681,1291.3887,
1171.771,1298.3956,
1168.860,1299.2887,
1165.950,1280.0241,
1163.039,1262.1053,
1160.129,1255.1953,
1157.218,1283.2192,
1154.307,1325.8768,
1151.397,1335.2085,
1148.486,1306.9744,
1145.576,1310.1437,
1142.665,1304.8162,
1139.754,1291.3569,
1136.844,1284.8735,
1133.933,1294.5186,
1131.023,1277.826,
1128.112,1260.3736,
1125.202,1272.3364,
1122.291,1257.0098,
1119.380,1282.2537,
1116.470,1269.8983,
1113.559,1246.724,
1110.649,1235.7911,
1107.738,1247.8421,
1104.828,1260.7911,
1101.917,1257.2328,
1099.006,1252.6326,
1096.096,1276.5149,
1093.185,1262.4669,
1090.275,1297.7922,
1087.364,1291.9664,
1084.453,1276.938,
1081.543,1283.5216,
1078.632,1301.0018,
1075.722,1298.2377,
1072.811,1280.5612,
1069.901,1283.1809,
1066.990,1290.65,
1064.079,1299.1801,
1061.169,1300.1658,
1058.258,1294.1401,
1055.348,1289.5508,
1052.437,1293.5229,
1049.527,1299.3079,
1046.616,1297.5702,
1043.705,1309.7072,
