,PLBC96~1,
Raman shift [1/cm],Intensity,
1576.341,1678.6989,
1573.431,1661.2702,
1570.520,1634.3331,
1567.610,1605.1467,
1564.699,1563.4236,
1561.788,1532.1903,
1558.878,1517.6724,
1555.967,1508.554,
1553.057,1502.9483,
1550.146,1480.6055,
1547.235,1450.3805,
1544.325,1408.5268,
1541.414,1386.0401,
1538.504,1401.4003,
1535.593,1370.217,
1532.683,1323.4188,
1529.772,1307.2503,
1526.861,1300.1908,
1523.951,1317.5365,
1521.040,1288.316,
1518.130,1262.094,
1515.219,1266.7414,
1512.309,1230.3919,
1509.398,1254.4698,
1506.487,1214.3029,
1503.577,1229.4427,
1500.666,1219.2908,
1497.756,1231.2879,
1494.845,1202.5389,
1491.934,1155.4843,
1489.024,1150.6718,
1486.113,1112.4842,
1483.203,1163.6782,
1480.292,1094.134,
1477.382,1116.0629,
1474.471,1106.0829,
1471.560,1101.2257,
1468.650,1109.016,
1465.739,1077.273,
1462.829,1021.691,
1459.918,1041.6993,
1457.008,1080.5462,
1454.097,1087.6594,
1451.186,1075.8656,
1448.276,1035.5274,
1445.365,1011.3223,
1442.455,1017.4002,
1439.544,1028.4856,
1436.633,1094.363,
1433.723,1045.3784,
1430.812,1035.8746,
1427.902,1015.5225,
1424.991,1016.4703,
1422.081,1017.4175,
1419.170,991.57819,
1416.259,953.47735,
1413.349,967.40199,
1410.438,964.00331,
1407.528,928.6004,
1404.617,952.01185,
1401.707,981.02994,
1398.796,965.92312,
1395.885,941.05899,
1392.975,927.31237,
1390.064,916.79105,
1387.154,906.20098,
1384.243,895.91146,
1381.332,841.91859,
1378.422,895.4322,
1375.511,932.90344,
1372.601,1025.657,
1369.690,1102.935,
1366.780,1085.9867,
1363.869,1156.233,
1360.958,1191.4419,
1358.048,1177.294,
1355.137,1199.6695,
1352.227,1244.2256,
1349.316,1269.8319,
1346.406,1301.1042,
1343.495,1342.9774,
1340.584,1374.9991,
1337.674,1438.1816,
1334.763,1486.5586,
1331.853,1514.3755,
1328.942,1529.7314,
1326.032,1524.975,
1323.121,1582.7772,
1320.210,1605.4978,
1317.300,1634.8311,
1314.389,1646.7915,
1311.479,1661.3445,
1308.568,1686.9857,
1305.657,1686.7144,
1302.747,1709.6314,
1299.836,1762.7826,
1296.926,1802.9356,
1294.015,1855.337,
1291.105,1910.3325,
1288.194,2017.3429,
1285.283,2013.8599,
1282.373,2035.4061,
1279.462,2102.8128,
1276.552,2137.3897,
1273.641,2153.1376,
1270.731,2192.0284,
1267.820,2203.6161,
1264.909,2210.4226,
1261.999,2173.5333,
1259.088,2174.4454,
1256.178,2124.8255,
1253.267,2154.0926,
1250.356,2105.9017,
1247.446,2024.1078,
1244.535,1973.6161,
1241.625,1954.4445,
1238.714,1935.5364,
1235.804,1904.5437,
1232.893,1868.5062,
1229.982,1838.3842,
1227.072,1775.9177,
1224.161,1779.0645,
1221.251,1747.7416,
1218.340,1695.6878,
1215.430,1671.2979,
1212.519,1664.0669,
1209.608,1661.7525,
1206.698,1675.1172,
1203.787,1695.5503,
1200.877,1718.3358,
1197.966,1731.8232,
1195.055,1778.5754,
1192.145,1844.3534,
1189.234,1858.9585,
1186.324,1894.6855,
1183.413,1915.0178,
1180.503,1889.3706,
1177.592,1869.591,
1174.681,1877.5137,
1171.771,1883.923,
1168.860,1858.9165,
1165.950,1808.9289,
1163.039,1814.2617,
1160.129,1826.8087,
1157.218,1821.8468,
1154.307,1806.5636,
1151.397,1785.5515,
1148.486,1748.5057,
1145.576,1716.8129,
1142.665,1770.0876,
1139.754,1744.3957,
1136.844,1724.8945,
1133.933,1719.5,
1131.023,1726.1093,
1128.112,1711.3604,
1125.202,1687.2004,
1122.291,1736.124,
1119.380,1733.422,
1116.470,1725.4793,
1113.559,1728.3662,
1110.649,1762.2423,
1107.738,1765.0329,
1104.828,1741.6814,
1101.917,1731.5298,
1099.006,1748.7576,
1096.096,1773.1237,
1093.185,1766.9777,
1090.275,1738.1755,
1087.364,1745.9086,
1084.453,1765.4367,
1081.543,1771.9942,
1078.632,1770.9473,
1075.722,1774.7388,
1072.811,1759.3687,
1069.901,1771.5944,
1066.990,1789.475,
1064.079,1810.5128,
1061.169,1815.7385,
1058.258,1829.169,
1055.348,1849.9121,
1052.437,1856.6994,
1049.527,1898.1979,
1046.616,1890.3784,
1043.705,1902.603,
1040.795,1902.669,
1037.884,1925.7869,
1034.974,1949.7552,
1032.063,1943.254,
1029.153,1929.0966,
1026.242,1950.7205,
1023.331,1939.0008,
1020.421,1953.9275,
1017.510,1971.585,
1014.600,1984.9981,
1011.689,2004.473,
1008.778,2040.5111,
1005.868,2076.3108,
1002.957,2166.648,
1000.047,2217.628,
997.136,2284.3593,
994.226,2318.377,
991.315,2304.453,
988.404,2272.0964,
985.494,2223.5,
982.583,2223.5,
979.673,2200.0873,
976.762,2169.7772,
