,PL1D8D~1,
Raman shift [1/cm],Intensity,
1855.757,721.90423,
1852.846,741.85834,
1849.936,723.05594,
1847.025,702.4778,
1844.114,706.34383,
1841.204,721.95017,
1838.293,738.61918,
1835.383,745.9505,
1832.472,721.25196,
1829.562,728.31589,
1826.651,756.80055,
1823.740,756.57326,
1820.830,761.8416,
1817.919,738.06495,
1815.009,771.51176,
1812.098,771.84154,
1809.188,773.93895,
1806.277,792.70449,
1803.366,762.00855,
1800.456,755.56466,
1797.545,766.53617,
1794.635,793.41689,
1791.724,754.39676,
1788.813,787.72706,
1785.903,786.85567,
1782.992,771.17272,
1780.082,778.96566,
1777.171,759.46548,
1774.261,782.83993,
1771.350,788.99751,
1768.439,795.63403,
1765.529,794.67319,
1762.618,815.02376,
1759.708,831.40774,
1756.797,825.83712,
1753.887,838.33199,
1750.976,845.97317,
1748.065,841.65495,
1745.155,845.125,
1742.244,833.86868,
1739.334,813.74618,
1736.423,817.72312,
1733.512,843.22669,
1730.602,870.57344,
1727.691,837.97431,
1724.781,854.44176,
1721.870,833.1534,
1718.960,873.81446,
1716.049,887.4809,
1713.138,880.43004,
1710.228,875.64381,
1707.317,889.27814,
1704.407,878.54744,
1701.496,888.06357,
1698.586,875.26523,
1695.675,853.53941,
1692.764,890.94059,
1689.854,895.03839,
1686.943,847.77756,
1684.033,884.15639,
1681.122,897.9041,
1678.211,949.6301,
1675.301,970.06333,
1672.390,981.22669,
1669.480,1015.2534,
1666.569,1030.6426,
1663.659,993.56597,
1660.748,1020.7613,
1657.837,1053.8686,
1654.927,1086.7267,
1652.016,1070.6839,
1649.106,1094.1532,
1646.195,1134.5496,
1643.285,1112.3555,
1640.374,1164.3097,
1637.463,1127.6202,
1634.553,1208.992,
1631.642,1200.5593,
1628.732,1240.3383,
1625.821,1276.1891,
1622.911,1373.5728,
1620.000,1444.2305,
1617.089,1530.3937,
1614.179,1663.3179,
1611.268,1710.452,
1608.358,1815.0681,
1605.447,1867.2682,
1602.536,1926.9701,
1599.626,1955.9632,
1596.715,1958.125,
1593.805,1958.125,
1590.894,1945.7956,
1587.984,1937.1963,
1585.073,1900.3907,
1582.162,1884.9413,
1579.252,1881.4884,
1576.341,1842.674,
1573.431,1801.0149,
1570.520,1806.6482,
1567.610,1761.9478,
1564.699,1732.0745,
1561.788,1699.6605,
1558.878,1699.0492,
1555.967,1676.3771,
1553.057,1628.315,
1550.146,1626.3322,
1547.235,1612.9216,
1544.325,1559.3654,
1541.414,1547.3267,
1538.504,1555.4732,
1535.593,1528.7008,
1532.683,1490.965,
1529.772,1449.8379,
1526.861,1408.6645,
1523.951,1399.834,
1521.040,1392.6262,
1518.130,1364.9147,
1515.219,1361.6865,
1512.309,1324.9809,
1509.398,1361.3096,
1506.487,1322.4712,
1503.577,1338.892,
1500.666,1317.215,
1497.756,1293.8199,
1494.845,1289.2845,
1491.934,1269.0022,
1489.024,1231.4649,
1486.113,1229.1978,
1483.203,1222.0197,
1480.292,1165.9718,
1477.382,1161.7827,
1474.471,1186.9137,
1471.560,1191.948,
1468.650,1181.5592,
1465.739,1121.4024,
1462.829,1087.1409,
1459.918,1114.9595,
1457.008,1140.1404,
1454.097,1154.9897,
1451.186,1129.1231,
1448.276,1069.3871,
1445.365,1080.9844,
1442.455,1094.459,
1439.544,1068.2204,
1436.633,1094.9105,
1433.723,1059.4898,
1430.812,1082.0168,
1427.902,1067.1779,
1424.991,1027.3719,
1422.081,1020.6201,
1419.170,1020.9891,
1416.259,981.43191,
1413.349,970.61452,
1410.438,994.61729,
1407.528,963.92553,
1404.617,961.08736,
1401.707,985.72381,
1398.796,987.57257,
1395.885,975.4045,
1392.975,955.60356,
1390.064,931.47947,
1387.154,935.25571,
1384.243,912.05287,
1381.332,836.10093,
1378.422,889.53516,
1375.511,994.45463,
1372.601,1041.2819,
1369.690,1107.7022,
1366.780,1126.0454,
1363.869,1167.3548,
1360.958,1199.9508,
1358.048,1226.9244,
1355.137,1245.9589,
1352.227,1318.9228,
1349.316,1398.125,
1346.406,1397.8057,
1343.495,1419.5467,
1340.584,1500.6955,
1337.674,1567.5202,
1334.763,1603.9486,
1331.853,1599.3124,
1328.942,1642.7087,
1326.032,1724.7933,
1323.121,1736.9382,
1320.210,1764.4255,
1317.300,1799.1929,
1314.389,1813.125,
1311.479,1844.5811,
1308.568,1901.6478,
1305.657,1921.8534,
1302.747,1910.2564,
1299.836,1970.6558,
1296.926,2061.1505,
1294.015,2083.2143,
1291.105,2140.4797,
1288.194,2257.5528,
1285.283,2315.9131,
1282.373,2345.2109,
1279.462,2373.2423,
1276.552,2422.5031,
1273.641,2470.0967,
1270.731,2494.8862,
1267.820,2521.8786,
1264.909,2513.6192,
1261.999,2488.6576,
1259.088,2503.2515,
1256.178,2488.7088,
