,PL3DB8~1,
Raman shift [1/cm],Intensity,
1017.510,6590.2218,
1014.600,6668.4011,
1011.689,6745.6671,
1008.778,6839.1336,
1005.868,6965.6395,
1002.957,7273.6464,
1000.047,7524.7151,
997.136,7770.6121,
994.226,7950.1048,
991.315,7958.5038,
988.404,7794.5531,
985.494,7728.7844,
982.583,7635.4198,
979.673,7566.2699,
976.762,7534.7201,
973.852,7523.7809,
970.941,7515.4293,
968.030,7510.2855,
965.120,7540.739,
962.209,7508.3424,
959.299,7467.4625,
956.388,7477.5134,
953.477,7508.3838,
950.567,7531.4106,
947.656,7560.1248,
944.746,7638.2839,
941.835,7669.4087,
938.925,7702.197,
936.014,7636.9661,
933.103,7577.1766,
930.193,7604.0808,
927.282,7580.6588,
924.372,7502.8629,
921.461,7375.7874,
918.551,7239.7638,
915.640,7103.0341,
912.729,7006.9231,
909.819,6997.8742,
906.908,6990.2923,
903.998,7001.8055,
901.087,7046.8844,
898.176,7119.5489,
895.266,7190.3319,
892.355,7240.1257,
889.445,7305.5885,
886.534,7395.2063,
883.624,7467.3744,
880.713,7543.3795,
877.802,7579.0637,
874.892,7550.2565,
871.981,7520.8553,
869.071,7520.0199,
866.160,7470.8879,
863.250,7488.1902,
860.339,7497.3849,
857.428,7444.1357,
854.518,7418.8158,
851.607,7382.2048,
848.697,7329.7913,
845.786,7294.3439,
842.875,7314.4317,
839.965,7384.5985,
837.054,7419.9215,
834.144,7424.0653,
831.233,7426.2082,
828.323,7422.9184,
825.412,7396.3376,
822.501,7326.534,
819.591,7202.5741,
816.680,7114.7402,
813.770,7050.6463,
810.859,6982.4584,
807.949,6911.5822,
805.038,6858.1869,
802.127,6835.9625,
799.217,6838.3473,
796.306,6789.9287,
793.396,6749.9284,
790.485,6754.8771,
787.574,6784.1588,
784.664,6765.2963,
781.753,6774.6237,
778.843,6785.2857,
775.932,6807.1587,
773.022,6838.5207,
770.111,6791.1012,
767.200,6812.237,
764.290,6826.2317,
761.379,6816.3019,
758.469,6791.3638,
755.558,6780.4162,
752.648,6731.54,
749.737,6702.2913,
746.826,6637.3271,
743.916,6537.7381,
741.005,6415.2806,
738.095,6179.8363,
735.184,5925.2011,
732.274,5907.9747,
729.363,6085.1673,
726.452,6351.6518,
723.542,6610.6577,
720.631,6644.753,
717.721,6666.3418,
714.810,6652.3695,
711.899,6621.0334,
708.989,6664.6074,
706.078,6654.4581,
703.168,6643.9811,
700.257,6613.7081,
697.347,6568.7455,
694.436,6534.8275,
691.525,6496.2449,
688.615,6496.0508,
685.704,6506.9187,
682.794,6534.7684,
679.883,6597.1717,
676.973,6537.0689,
674.062,6494.8851,
671.151,6494.5315,
668.241,6532.5524,
665.330,6585.0809,
662.420,6568.3075,
659.509,6555.986,
656.598,6519.2843,
653.688,6486.6166,
650.777,6517.2251,
647.867,6557.0415,
644.956,6554.1111,
642.046,6523.6575,
639.135,6494.2287,
636.224,6507.3922,
633.314,6610.6042,
630.403,6674.1213,
627.493,6664.1561,
624.582,6633.1841,
621.672,6751.1913,
618.761,6781.7129,
615.850,6804.7517,
612.940,6851.37,
610.029,6916.6913,
607.119,6909.5846,
604.208,6907.455,
601.297,6912.3587,
598.387,6908.9894,
595.476,6892.6688,
592.566,6954.0601,
589.655,6927.9453,
586.745,6893.1201,
583.834,6882.4388,
580.923,6912.7755,
578.013,6896.2961,
575.102,6882.6976,
572.192,6877.3041,
569.281,6888.0298,
566.371,6933.422,
563.460,7001.3671,
560.549,7075.6283,
557.639,7128.8292,
554.728,7138.0575,
551.818,7156.7851,
548.907,7173.0633,
545.996,7213.1445,
543.086,7267.398,
540.175,7283.7496,
537.265,7300.8091,
534.354,7353.5322,
531.444,7412.4146,
528.533,7451.9383,
525.622,7551.2596,
522.712,7623.8423,
519.801,7697.7362,
