,PLA6AA~1,
Wavenumbers [1/cm],Intensity,
1567.610,1387.0782,
1564.699,1358.349,
1561.788,1332.803,
1558.878,1291.8618,
1555.967,1260.144,
1553.057,1244.9828,
1550.146,1275.4145,
1547.235,1243.8706,
1544.325,1231.8834,
1541.414,1267.7418,
1538.504,1238.8406,
1535.593,1215.5289,
1532.683,1226.1903,
1529.772,1210.5314,
1526.861,1187.9185,
1523.951,1171.8454,
1521.040,1176.2317,
1518.130,1185.2025,
1515.219,1218.2002,
1512.309,1194.6486,
1509.398,1155.0968,
1506.487,1189.1025,
1503.577,1179.6738,
1500.666,1201.3358,
1497.756,1205.6019,
1494.845,1224.8399,
1491.934,1220.7165,
1489.024,1134.0922,
1486.113,1180.1424,
1483.203,1158.2431,
1480.292,1135.4842,
1477.382,1125.534,
1474.471,1102.5134,
1471.560,1071.3274,
1468.650,1068.8327,
1465.739,1082.2478,
1462.829,1117.2441,
1459.918,1121.5303,
1457.008,1119.6617,
1454.097,1131.3865,
1451.186,1123.8511,
1448.276,1104.7275,
1445.365,1070.2101,
1442.455,1020.5466,
1439.544,1019.7566,
1436.633,1010.2522,
1433.723,996.5166,
1430.812,961.84189,
1427.902,1009.2559,
1424.991,977.9797,
1422.081,962.32037,
1419.170,979.14527,
1416.259,1009.5421,
1413.349,994.85325,
1410.438,949.51212,
1407.528,961.96838,
1404.617,994.43959,
1401.707,930.21851,
1398.796,880.46499,
1395.885,906.20084,
1392.975,894.1033,
1390.064,856.58862,
1387.154,845.61598,
1384.243,805.34489,
1381.332,804.89736,
1378.422,789.59407,
1375.511,820.50784,
1372.601,907.62761,
1369.690,932.14445,
1366.780,941.33628,
1363.869,1009.8359,
1360.958,1028.3978,
1358.048,1055.8522,
1355.137,1102.2328,
1352.227,1101.6665,
1349.316,1104.3287,
1346.406,1175.9484,
1343.495,1212.7996,
1340.584,1177.3209,
1337.674,1216.0384,
1334.763,1258.2117,
1331.853,1263.7751,
1328.942,1276.4525,
1326.032,1293.4968,
1323.121,1274.7711,
1320.210,1336.9217,
1317.300,1353.1126,
1314.389,1374.4312,
1311.479,1417.4854,
1308.568,1437.4654,
1305.657,1462.486,
1302.747,1504.2788,
1299.836,1546.5136,
1296.926,1642.7009,
1294.015,1636.2656,
1291.105,1621.0308,
1288.194,1705.2642,
1285.283,1722.704,
1282.373,1724.1641,
1279.462,1750.7054,
1276.552,1802.5907,
1273.641,1823.0565,
1270.731,1808.4672,
1267.820,1820.0041,
1264.909,1760.5716,
1261.999,1771.3342,
1259.088,1753.0918,
1256.178,1766.5598,
1253.267,1769.7672,
1250.356,1732.0738,
1247.446,1716.3469,
1244.535,1703.134,
1241.625,1685.1741,
1238.714,1674.7728,
1235.804,1666.4611,
1232.893,1681.6317,
1229.982,1650.0494,
1227.072,1621.9847,
1224.161,1653.6202,
1221.251,1578.104,
1218.340,1550.6478,
1215.430,1555.9548,
1212.519,1551.3976,
1209.608,1542.7719,
1206.698,1549.5746,
1203.787,1553.4573,
1200.877,1520.6746,
1197.966,1563.8342,
1195.055,1603.5429,
1192.145,1652.8266,
1189.234,1707.8739,
