,PLE7B4~1,
Raman shift [1/cm],Intensity,
1273.641,2810.9382,
1270.731,2851.0668,
1267.820,2845.0863,
1264.909,2838.949,
1261.999,2823.4246,
1259.088,2831.6337,
1256.178,2814.9959,
1253.267,2804.453,
1250.356,2729.6588,
1247.446,2676.9365,
1244.535,2619.5269,
1241.625,2565.2435,
1238.714,2550.8796,
1235.804,2522.13,
1232.893,2429.125,
1229.982,2428.6344,
1227.072,2414.1494,
1224.161,2381.1859,
1221.251,2361.7238,
1218.340,2302.061,
1215.430,2247.9014,
1212.519,2234.9164,
1209.608,2236.7462,
1206.698,2224.1037,
1203.787,2225.6426,
1200.877,2252.521,
1197.966,2291.1848,
1195.055,2375.0369,
1192.145,2397.3898,
1189.234,2414.3984,
1186.324,2468.4931,
1183.413,2502.2671,
1180.503,2506.9172,
1177.592,2523.4784,
1174.681,2503.9435,
1171.771,2474.4038,
1168.860,2443.1457,
1165.950,2393.3602,
1163.039,2368.8553,
1160.129,2380.8207,
1157.218,2399.3746,
1154.307,2390.1709,
1151.397,2348.0056,
1148.486,2308.5717,
1145.576,2329.2043,
1142.665,2354.0659,
1139.754,2291.0347,
1136.844,2266.3208,
1133.933,2277.9607,
1131.023,2287.7087,
1128.112,2284.3395,
1125.202,2270.0139,
1122.291,2237.1304,
1119.380,2251.4974,
1116.470,2289.4462,
1113.559,2284.0728,
1110.649,2346.6096,
1107.738,2354.8699,
1104.828,2339.6148,
1101.917,2354.8589,
1099.006,2364.3725,
1096.096,2353.2223,
1093.185,2305.8102,
1090.275,2333.6865,
1087.364,2350.7307,
1084.453,2340.5009,
1081.543,2316.8548,
1078.632,2314.601,
1075.722,2344.125,
1072.811,2345.1799,
1069.901,2360.0253,
1066.990,2386.9916,
1064.079,2397.2081,
1061.169,2432.8154,
1058.258,2449.1144,
1055.348,2437.3585,
1052.437,2447.7488,
1049.527,2462.4677,
1046.616,2497.2208,
1043.705,2514.228,
1040.795,2505.9934,
1037.884,2501.6537,
1034.974,2535.0361,
1032.063,2576.8715,
1029.153,2548.3834,
1026.242,2583.8466,
1023.331,2582.6252,
