,PLECE3~1,
Raman shift [1/cm],Intensity,
790.485,1018.0125,
787.574,1007.75,
784.664,1007.75,
781.753,1025.1956,
778.843,1025.4186,
775.932,1003.7873,
773.022,985.78139,
770.111,1056.9107,
767.200,1006.9355,
764.290,998.41817,
761.379,1011.4457,
758.469,1021.75,
755.558,1021.75,
752.648,1021.75,
749.737,989.76333,
746.826,940.11452,
743.916,891.86023,
741.005,850.36108,
738.095,731.82706,
735.184,594.04467,
732.274,562.10461,
729.363,614.73535,
726.452,717.57022,
723.542,882.68646,
720.631,932.27057,
717.721,969.95521,
714.810,995.98291,
711.899,1003.9876,
708.989,987.84911,
706.078,986.9487,
703.168,975.82002,
700.257,969.16257,
697.347,967.14158,
694.436,958.49195,
691.525,985.82132,
688.615,981.68742,
685.704,966.25274,
682.794,950.00536,
679.883,937.75,
676.973,937.75,
674.062,946.68315,
671.151,952.18833,
668.241,959.42095,
665.330,979.42644,
662.420,951.47083,
659.509,950.19452,
656.598,961.405,
653.688,974.3603,
650.777,979.31796,
647.867,966.57671,
644.956,981.0862,
642.046,980.97045,
639.135,970.57101,
636.224,988.76989,
633.314,992.73959,
630.403,999.0709,
627.493,987.38702,
624.582,972.638,
621.672,1016.9897,
618.761,1023.3096,
615.850,1003.8125,
612.940,1008.2667,
610.029,1044.2261,
607.119,1011.0616,
604.208,1019.8202,
601.297,1021.7589,
598.387,1031.0752,
595.476,1057.2933,
592.566,1010.0692,
589.655,1008.8768,
586.745,1007.9763,
583.834,990.55121,
580.923,950.67892,
578.013,938.90791,
575.102,917.96876,
572.192,923.32879,
569.281,955.6252,
566.371,949.36421,
563.460,988.25622,
560.549,1006.2118,
557.639,1007.75,
554.728,1009.573,
551.818,1038.4447,
548.907,1032.5617,
545.996,1022.8061,
543.086,1014.2138,
540.175,988.51852,
537.265,1029.4825,
534.354,1036.7196,
531.444,1031.0939,
528.533,1039.5293,
525.622,1036.4255,
522.712,1021.1879,
519.801,1036.1903,
516.891,1075.75,
513.980,1075.75,
511.070,1068.0022,
508.159,1081.9424,
505.248,1105.0062,
502.338,1117.2756,
499.427,1101.0671,
496.517,1112.5884,
493.606,1123.404,
490.695,1122.0338,
487.785,1131.2713,
484.874,1196.7262,
481.964,1192.7138,
479.053,1139.037,
476.143,1144.4127,
473.232,1131.0813,
470.321,1129.156,
467.411,1138.3217,
464.500,1154.3621,
461.590,1139.0473,
458.679,1159.5133,
455.769,1166.2022,
452.858,1136.0342,
449.947,1129.1588,
447.037,1147.7731,
444.126,1161.8591,
441.216,1161.6334,
438.305,1149.4425,
435.395,1135.9485,
432.484,1125.1657,
429.573,1122.8325,
426.663,1140.3158,
423.752,1135.4732,
420.842,1084.3413,
417.931,1047.6505,
415.020,1121.2112,
412.110,1139.1139,
409.199,1133.9921,
406.289,1135.295,
403.378,1173.8217,
400.468,1194.9896,
397.557,1177.0708,
394.646,1148.6324,
391.736,1133.6152,
388.825,1098.1663,
385.915,1045.1745,
383.004,1016.6018,
380.094,1043.587,
377.183,1138.399,
374.272,1179.9479,
371.362,1203.0515,
368.451,1227.5676,
365.541,1224.5655,
362.630,1230.3049,
359.719,1253.5081,
356.809,1296.7015,
353.898,1312.4263,
350.988,1298.3055,
348.077,1276.361,
345.167,1261.2798,
342.256,1271.7387,
339.345,1283.7844,
336.435,1295.0811,
333.524,1303.9144,
330.614,1309.1305,
327.703,1299.4551,
324.793,1303.4441,
321.882,1345.6202,
318.971,1292.0923,
316.061,1300.6073,
