,PL3ADE~1,
Wavenumbers [1/cm],Intensity,
1227.072,2011.8963,
1224.161,2046.1977,
1221.251,1992.3252,
1218.340,1975.9097,
1215.430,1990.4868,
1212.519,1989.9615,
1209.608,1960.0106,
1206.698,1924.0345,
1203.787,1919.0082,
1200.877,1961.378,
1197.966,1977.5628,
1195.055,2015.9179,
1192.145,2068.2069,
1189.234,2131.3856,
1186.324,2184.6503,
1183.413,2201.1923,
1180.503,2213.9476,
1177.592,2244.3849,
1174.681,2207.7003,
1171.771,2182.3544,
1168.860,2181.4613,
1165.950,2141.0605,
1163.039,2130.6766,
1160.129,2134.504,
1157.218,2155.1622,
1154.307,2188.1029,
1151.397,2213.4604,
1148.486,2224.3203,
1145.576,2250.2549,
1142.665,2201.4197,
1139.754,2210.3931,
1136.844,2173.4577,
1133.933,2171.0377,
1131.023,2160.6028,
1128.112,2139.8746,
1125.202,2155.4861,
1122.291,2186.4895,
1119.380,2159.8427,
1116.470,2207.4992,
1113.559,2166.2068,
1110.649,2176.6043,
1107.738,2173.3005,
1104.828,2160.6233,
1101.917,2156.1617,
1099.006,2136.2927,
1096.096,2115.0089,
1093.185,2158.031,
1090.275,2167.8492,
1087.364,2187.2142,
1084.453,2209.4366,
1081.543,2201.5315,
1078.632,2188.6572,
1075.722,2215.6317,
1072.811,2225.5612,
1069.901,2228.1809,
1066.990,2204.1251,
1064.079,2206.5412,
1061.169,2197.6721,
1058.258,2209.3962,
1055.348,2254.0729,
1052.437,2276.0919,
1049.527,2209.9862,
1046.616,2251.69,
1043.705,2260.9996,
1040.795,2269.3986,
1037.884,2265.7889,
1034.974,2275.134,
1032.063,2295.7445,
1029.153,2267.4282,
1026.242,2234.5599,
1023.331,2276.7056,
1020.421,2326.504,
1017.510,2338.212,
1014.600,2340.1419,
1011.689,2350.5153,
1008.778,2348.097,
1005.868,2317.4213,
1002.957,2322.5835,
1000.047,2436.215,
997.136,2492.4708,
994.226,2501.9289,
991.315,2481.281,
988.404,2434.7265,
985.494,2431.1065,
982.583,2419.1147,
979.673,2387.3775,
976.762,2362.8717,
973.852,2382.9897,
970.941,2406.1487,
968.030,2371.7738,
965.120,2368.5039,
962.209,2399.1954,
959.299,2398.709,
956.388,2405.3344,
953.477,2420.1845,
950.567,2443.9233,
947.656,2482.9401,
944.746,2510.1259,
941.835,2457.1175,
938.925,2503.5995,
936.014,2484.804,
933.103,2459.3261,
930.193,2489.7891,
927.282,2444.0624,
924.372,2456.7465,
921.461,2414.191,
918.551,2408.8318,
915.640,2398.5274,
912.729,2380.5472,
909.819,2399.9327,
906.908,2419.3085,
903.998,2421.1704,
901.087,2442.3797,
898.176,2465.8277,
895.266,2477.7402,
892.355,2469.3073,
889.445,2431.5403,
886.534,2491.4858,
883.624,2487.8999,
880.713,2494.1546,
877.802,2474.7202,
874.892,2386.5334,
871.981,2263.7845,
869.071,2111.7394,
866.160,2127.4625,
863.250,2258.5544,
860.339,2378.6317,
857.428,2427.4449,
854.518,2493.3289,
851.607,2422.603,
848.697,2345.0324,
845.786,2286.8319,
842.875,2311.0595,
839.965,2431.4194,
837.054,2550.7844,
834.144,2587.2495,
831.233,2618.3733,
828.323,2619.4944,
825.412,2618.9998,
822.501,2639.1409,
819.591,2626.7449,
816.680,2595.1249,
813.770,2562.9414,
810.859,2547.4725,
807.949,2547.7531,
805.038,2546.6958,
802.127,2508.0088,
799.217,2501.3934,
796.306,2482.2127,
793.396,2490.9554,
790.485,2521.5317,
787.574,2504.0289,
784.664,2521.2512,
781.753,2545.1755,
778.843,2577.9188,
775.932,2597.98,
773.022,2589.4874,
770.111,2583.7644,
767.200,2590.9881,
764.290,2624.0025,
761.379,2616.0472,
758.469,2585.9071,
755.558,2647.2566,
752.648,2609.7848,
749.737,2589.3192,
746.826,2586.1048,
743.916,2575.5761,
741.005,2532.9732,
738.095,2494.0031,
735.184,2409.2883,
732.274,2364.7535,
729.363,2365.1431,
726.452,2411.7634,
723.542,2541.2663,
720.631,2613.3608,
717.721,2621.9181,
714.810,2637.3578,
711.899,2665.276,
708.989,2617.6674,
706.078,2639.8115,
703.168,2615.014,
700.257,2597.0253,
697.347,2596.1145,
694.436,2584.1786,
691.525,2576.9444,
688.615,2605.5627,
685.704,2607.4023,
682.794,2600.6514,
679.883,2647.0506,
676.973,2639.8383,
674.062,2682.4027,
671.151,2675.3769,
668.241,2636.7575,
665.330,2645.0179,
662.420,2658.5963,
659.509,2617.5648,
656.598,2614.878,
653.688,2651.0462,
650.777,2672.6189,
647.867,2650.3218,
644.956,2655.9006,
642.046,2620.5006,
639.135,2553.6195,
636.224,2524.8246,
633.314,2614.5396,
630.403,2688.2191,
627.493,2709.1642,
624.582,2681.2544,
621.672,2658.2866,
618.761,2648.2557,
615.850,2695.5149,
612.940,2751.4025,
610.029,2777.613,
607.119,2761.0308,
604.208,2805.5259,
601.297,2841.8231,
598.387,2846.1899,
595.476,2812.1865,
592.566,2799.5934,
589.655,2786.3609,
586.745,2810.7528,
583.834,2851.0338,
580.923,2852.9959,
578.013,2790.2172,
575.102,2792.3034,
572.192,2815.6644,
569.281,2826.4698,
566.371,2793.5996,
563.460,2811.539,
560.549,2844.2517,
557.639,2871.7921,
554.728,2880.0502,
551.818,2906.581,
548.907,2893.4832,
545.996,2882.1526,
543.086,2872.806,
540.175,2823.7513,
537.265,2813.1322,
534.354,2824.924,
531.444,2829.3433,
528.533,2804.4786,
525.622,2819.9976,
522.712,2838.5438,
519.801,2826.226,
516.891,2792.4096,
513.980,2802.4754,
511.070,2833.6619,
508.159,2827.7499,
505.248,2814.6355,
502.338,2837.0528,
499.427,2860.2077,
496.517,2895.7891,
493.606,2912.6546,
490.695,2903.0868,
487.785,2915.4034,
484.874,2910.9128,
481.964,2869.5847,
479.053,2822.0746,
476.143,2845.8814,
473.232,2837.3033,
470.321,2856.7307,
467.411,2876.8163,
464.500,2863.0065,
461.590,2848.4575,
458.679,2861.4341,
455.769,2866.5532,
452.858,2852.5448,
449.947,2902.2003,
447.037,2870.5085,
444.126,2867.0356,
441.216,2902.2158,
438.305,2872.5004,
435.395,2902.4681,
432.484,2909.5394,
429.573,2876.9798,
426.663,2802.486,
423.752,2645.7325,
420.842,2416.4247,
417.931,2182.8061,
415.020,2047.06,
412.110,2405.2551,
409.199,2685.0741,
406.289,2815.7449,
403.378,2746.2264,
400.468,2702.3788,
