,PL9E2D~1,
Raman shift [1/cm],Intensity,
1896.505,293.64014,
1893.594,287.92982,
1890.684,269.375,
1887.773,275.15072,
1884.863,310.62785,
1881.952,320.00508,
1879.041,292.9238,
1876.131,328.53707,
1873.220,306.99434,
1870.310,311.65749,
1867.399,272.03074,
1864.489,328.90768,
1861.578,311.02384,
1858.667,257.44381,
1855.757,305.96927,
1852.846,309.86219,
1849.936,295.72436,
1847.025,289.90053,
1844.114,320.25034,
1841.204,334.86451,
1838.293,321.3883,
1835.383,310.6425,
1832.472,310.15413,
1829.562,300.51536,
1826.651,324.46121,
1823.740,312.89603,
1820.830,320.35153,
1817.919,317.23124,
1815.009,323.93734,
1812.098,363.07576,
1809.188,331.73167,
1806.277,357.73318,
1803.366,313.50809,
1800.456,322.74893,
1797.545,347.02036,
1794.635,351.31097,
1791.724,336.87986,
1788.813,334.97577,
1785.903,334.79556,
1782.992,329.32583,
1780.082,337.97752,
1777.171,328.70262,
1774.261,297.15479,
1771.350,305.89026,
1768.439,338.28876,
1765.529,357.83528,
1762.618,367.80307,
1759.708,359.29911,
1756.797,363.85227,
1753.887,352.50328,
1750.976,344.53011,
1748.065,354.96486,
1745.155,345.57514,
1742.244,345.63132,
1739.334,341.10441,
1736.423,346.26658,
1733.512,357.65144,
1730.602,380.57146,
1727.691,353.59794,
1724.781,348.88104,
1721.870,363.25127,
1718.960,379.53071,
1716.049,371.46833,
1713.138,376.21497,
1710.228,388.68886,
1707.317,370.91443,
1704.407,402.51409,
1701.496,363.53225,
1698.586,345.51523,
1695.675,377.1248,
1692.764,373.69467,
1689.854,418.33959,
1686.943,354.66834,
1684.033,363.1018,
1681.122,387.95019,
1678.211,391.34645,
1675.301,404.33492,
1672.390,375.53351,
1669.480,428.48731,
1666.569,442.09569,
1663.659,420.76698,
1660.748,444.47141,
1657.837,449.89987,
1654.927,473.65615,
1652.016,484.37874,
1649.106,445.25632,
1646.195,479.70366,
1643.285,453.71941,
1640.374,511.04051,
1637.463,495.98749,
1634.553,529.22722,
1631.642,519.375,
1628.732,519.33352,
1625.821,512.40182,
1622.911,553.14396,
1620.000,630.3923,
1617.089,631.375,
1614.179,706.20352,
1611.268,738.22248,
1608.358,774.64255,
1605.447,785.80365,
1602.536,836.6969,
1599.626,847.73446,
1596.715,833.85338,
1593.805,806.43937,
1590.894,865.02191,
1587.984,846.52615,
1585.073,825.35866,
1582.162,821.54011,
1579.252,809.91878,
1576.341,794.55799,
1573.431,813.30388,
1570.520,778.09864,
1567.610,743.02171,
1564.699,752.05069,
1561.788,751.33281,
1558.878,740.18184,
1555.967,715.23373,
1553.057,689.70273,
1550.146,675.22956,
1547.235,651.3039,
1544.325,635.11287,
1541.414,653.89718,
1538.504,652.87811,
1535.593,624.17597,
1532.683,595.83681,
1529.772,571.63132,
1526.861,557.32843,
1523.951,565.12919,
1521.040,584.3296,
1518.130,566.72261,
1515.219,582.61536,
1512.309,580.03719,
1509.398,601.21164,
1506.487,563.04474,
1503.577,529.63664,
1500.666,553.59153,
1497.756,547.68012,
1494.845,551.375,
1491.934,551.19862,
1489.024,497.29902,
1486.113,519.4826,
1483.203,497.39447,
1480.292,485.88989,
1477.382,487.60799,
1474.471,493.74665,
1471.560,519.32198,
1468.650,487.37858,
1465.739,460.68912,
1462.829,416.98505,
1459.918,431.25933,
1457.008,479.60596,
1454.097,486.98047,
1451.186,464.23574,
1448.276,430.35417,
1445.365,413.44767,
1442.455,420.99537,
1439.544,412.36778,
1436.633,453.87053,
1433.723,461.02829,
1430.812,397.14818,
1427.902,419.0593,
1424.991,405.79063,
1422.081,457.67119,
1419.170,407.07514,
1416.259,381.36368,
1413.349,386.43789,
1410.438,399.87169,
1407.528,344.50702,
1404.617,347.18982,
1401.707,405.76125,
1398.796,381.09193,
1395.885,335.25701,
1392.975,358.85427,
1390.064,346.30507,
1387.154,302.80473,
1384.243,281.61401,
1381.332,227.12559,
1378.422,283.16229,
1375.511,317.82318,
1372.601,384.72806,
1369.690,419.52056,
1366.780,437.8396,
1363.869,450.8192,
1360.958,499.92992,
1358.048,494.89603,
1355.137,501.13352,
1352.227,539.47313,
1349.316,580.31591,
1346.406,611.26601,
1343.495,612.58235,
1340.584,647.76797,
1337.674,640.4822,
1334.763,642.99812,
1331.853,685.65075,
1328.942,714.05892,
1326.032,705.95631,
1323.121,761.17023,
1320.210,767.39066,
1317.300,792.24753,
1314.389,771.20749,
1311.479,762.26797,
1308.568,822.77132,
1305.657,844.17,
1302.747,808.95967,
1299.836,810.13182,
1296.926,859.44323,
1294.015,882.42631,
1291.105,952.05726,
1288.194,990.92849,
1285.283,1009.831,
1282.373,1022.6015,
1279.462,1040.0022,
1276.552,1068.4932,
1273.641,1089.375,
1270.731,1087.0228,
1267.820,1095.0858,
1264.909,1146.6497,
1261.999,1140.2765,
1259.088,1110.1765,
1256.178,1117.796,
1253.267,1117.0734,
1250.356,1077.0943,
1247.446,1034.9059,
1244.535,1010.942,
1241.625,1009.4305,
1238.714,1025.225,
1235.804,1027.2683,
1232.893,977.87885,
1229.982,960.06836,
1227.072,951.01524,
1224.161,911.71183,
1221.251,905.86402,
1218.340,871.39315,
1215.430,863.38571,
1212.519,877.80811,
1209.608,865.94747,
1206.698,853.05636,
1203.787,912.28455,
1200.877,907.26653,
1197.966,921.65308,
1195.055,938.58672,
1192.145,940.62366,
1189.234,950.10689,
1186.324,994.10599,
1183.413,1039.6237,
1180.503,1038.5005,
1177.592,1003.8397,
1174.681,1005.6284,
1171.771,1007.4368,
1168.860,1010.1161,
1165.950,1004.731,
1163.039,965.66125,
1160.129,975.91848,
1157.218,990.52911,
1154.307,981.55167,
1151.397,971.28957,
1148.486,959.23088,
