,PL681F~1,
Wavenumbers [1/cm],Intensity,
1637.463,1320.7206,
1634.553,1360.9753,
1631.642,1426.4017,
1628.732,1463.2666,
1625.821,1508.0491,
1622.911,1582.5774,
1620.000,1682.7275,
1617.089,1768.2886,
1614.179,1909.9391,
1611.268,1976.5834,
1608.358,2071.4582,
1605.447,2133.5148,
1602.536,2219.938,
1599.626,2224.1601,
1596.715,2253.9508,
1593.805,2171.1441,
1590.894,2116.0858,
1587.984,2133.3845,
1585.073,2018.7365,
1582.162,1984.6418,
1579.252,1943.5398,
1576.341,1919.7798,
1573.431,1885.4562,
1570.520,1851.7756,
1567.610,1864.118,
1564.699,1833.2985,
1561.788,1809.8452,
1558.878,1814.1932,
1555.967,1747.9695,
1553.057,1698.6036,
1550.146,1667.0328,
1547.235,1640.1935,
1544.325,1693.0774,
1541.414,1705.9764,
1538.504,1680.5966,
1535.593,1664.0365,
1532.683,1648.9721,
1529.772,1657.725,
1526.861,1662.0116,
1523.951,1665,
1521.040,1648.5566,
1518.130,1632.8909,
1515.219,1672.7596,
1512.309,1673.1081,
1509.398,1643.4448,
1506.487,1663.1971,
1503.577,1643.7957,
1500.666,1633.7981,
1497.756,1656.2288,
1494.845,1657.7193,
1491.934,1626.9024,
1489.024,1597.0651,
1486.113,1633.0886,
1483.203,1602.2496,
1480.292,1544.5438,
1477.382,1581.0701,
1474.471,1519.8664,
1471.560,1504.531,
1468.650,1497.4342,
1465.739,1514.7767,
1462.829,1569.9709,
1459.918,1573.5854,
1457.008,1556.5539,
1454.097,1567.8567,
1451.186,1580.3269,
1448.276,1557.6963,
1445.365,1500.391,
1442.455,1475.2668,
1439.544,1475.852,
1436.633,1489.5422,
1433.723,1428.9909,
1430.812,1449.4828,
1427.902,1442.549,
1424.991,1423.5938,
1422.081,1451.4418,
1419.170,1429.8063,
1416.259,1437.3409,
1413.349,1441.5105,
1410.438,1417.5077,
1407.528,1383.1816,
1404.617,1387.6138,
1401.707,1343.2964,
1398.796,1276.007,
1395.885,1270.2285,
1392.975,1263.1448,
1390.064,1231.8927,
1387.154,1255.0457,
1384.243,1197.3777,
1381.332,1158.4346,
1378.422,1178.5797,
1375.511,1189.821,
1372.601,1321.7846,
1369.690,1316.7128,
1366.780,1363.8982,
1363.869,1398.7943,
1360.958,1415.5828,
1358.048,1425.9331,
1355.137,1499.916,
1352.227,1549.2744,
1349.316,1578.1042,
1346.406,1643.891,
1343.495,1620.7926,
1340.584,1596.3206,
1337.674,1656.3232,
1334.763,1684.4234,
1331.853,1695.5502,
1328.942,1693.3316,
1326.032,1747.6466,
1323.121,1712.5783,
1320.210,1764.5898,
1317.300,1813.7558,
1314.389,1869.2231,
1311.479,1902.8253,
1308.568,1900.6982,
1305.657,1922.2144,
1302.747,1956.0497,
1299.836,2051.0541,
1296.926,2083.5892,
1294.015,2160.8124,
1291.105,2175.447,
1288.194,2268.8554,
1285.283,2263.3599,
1282.373,2252.6328,
1279.462,2279.3524,
1276.552,2292.1732,
1273.641,2282.3796,
1270.731,2277.4134,
1267.820,2272.3096,
1264.909,2303.6373,
1261.999,2299.4355,
1259.088,2256.5658,
1256.178,2259.9952,
1253.267,2236.4497,
1250.356,2193.7828,
1247.446,2189.908,
1244.535,2172.2411,
1241.625,2140.963,
1238.714,2135,
1235.804,2123.8593,
1232.893,2087.9938,
1229.982,2116.2146,
1227.072,2122.5518,
1224.161,2101.9874,
1221.251,2066.7306,
1218.340,1995.7535,
1215.430,1992.7289,
1212.519,1999.3424,
1209.608,1959.9268,
1206.698,1932.3618,
1203.787,1948.7789,
1200.877,1954.0587,
1197.966,1971.1427,
1195.055,2016.3689,
1192.145,2099.1343,
1189.234,2151.2493,
1186.324,2199.2759,
1183.413,2248.6396,
1180.503,2282.7451,
1177.592,2282.0603,
1174.681,2234.8596,
1171.771,2225.5988,
1168.860,2164.8688,
1165.950,2163.0314,
1163.039,2157.016,
1160.129,2153.4101,
1157.218,2194.824,
1154.307,2252.2438,
1151.397,2269.6112,
1148.486,2263.147,
1145.576,2281.1927,
1142.665,2285.6323,
1139.754,2226.6051,
1136.844,2213.7003,
1133.933,2204.6159,
1131.023,2161.1765,
1128.112,2139.9971,
1125.202,2181.7971,
1122.291,2198.7466,
1119.380,2189.9047,
1116.470,2180.1969,
1113.559,2180.5465,
1110.649,2177.7258,
1107.738,2179.2149,
1104.828,2162.0272,
1101.917,2140.5092,
1099.006,2157.5773,
1096.096,2162.1511,
1093.185,2115.6169,
1090.275,2162.1748,
1087.364,2144.4967,
