,PL3CE0~1,
Raman shift [1/cm],Intensity,
2178.831,991.60412,
2175.920,1030.811,
2173.010,1065.0261,
2170.099,1104.9127,
2167.189,1138.5872,
2164.278,1194.9344,
2161.368,1269.8192,
2158.457,1330.2297,
2155.546,1362.7039,
2152.636,1422.7233,
2149.725,1458.3976,
2146.815,1502.8151,
2143.904,1530.4545,
2140.993,1551.7261,
2138.083,1585.5205,
2135.172,1583.7542,
2132.262,1582.6241,
2129.351,1561.8602,
2126.441,1481.9197,
2123.530,1452.5092,
2120.619,1382.0209,
2117.709,1320.7717,
2114.798,1214.0574,
2111.888,1141.5263,
2108.977,1089.7268,
2106.067,1038.3311,
2103.156,1020.0912,
2100.245,967.2431,
2097.335,950.59032,
2094.424,911.40415,
2091.514,907.5241,
2088.603,888.72465,
2085.692,895.16075,
2082.782,873.09755,
2079.871,893.46586,
2076.961,861.89769,
2074.050,907.31061,
2071.140,869.89363,
2068.229,871.88933,
2065.318,865.188,
2062.408,851.8786,
2059.497,854.67264,
2056.587,871.47078,
2053.676,859.73428,
2050.766,875.63341,
2047.855,824.70567,
2044.944,839.05289,
2042.034,835.75295,
2039.123,848.2096,
2036.213,841.15443,
2033.302,839.96735,
2030.391,840.31785,
2027.481,847.43285,
2024.570,872.16371,
2021.660,825.44298,
2018.749,863.26225,
2015.839,840.40223,
2012.928,854.70973,
2010.017,859.17183,
2007.107,860.22569,
2004.196,851.20237,
2001.286,828.70587,
1998.375,822.20866,
1995.465,848.06161,
1992.554,812.17978,
1989.643,848.7292,
1986.733,831.64474,
1983.822,807.76403,
1980.912,829.32873,
1978.001,810.50418,
1975.090,809.66374,
1972.180,810.04254,
1969.269,818.51438,
1966.359,808.57417,
1963.448,810.28567,
1960.538,814.87302,
1957.627,827.73298,
1954.716,826.33618,
1951.806,790.59775,
1948.895,796.10224,
1945.985,793.15196,
1943.074,812.25,
1940.164,804.77868,
1937.253,772.7417,
1934.342,773.96817,
1931.432,775.00394,
1928.521,759.19819,
1925.611,784.03547,
1922.700,771.88122,
1919.790,803.28426,
1916.879,797.15674,
1913.968,780.26967,
1911.058,800.87161,
1908.147,765.39013,
1905.237,758.61033,
1902.326,768.91076,
1899.415,745.45123,
1896.505,758.33429,
1893.594,757.70124,
1890.684,766.83168,
1887.773,783.68929,
1884.863,780.21811,
1881.952,772.25,
1879.041,778.30192,
1876.131,755.00426,
1873.220,737.04641,
1870.310,752.88674,
1867.399,761.13804,
1864.489,774.8731,
1861.578,785.48663,
1858.667,739.83682,
1855.757,750.42422,
1852.846,768.19362,
1849.936,753.99272,
1847.025,794.78042,
1844.114,790.65235,
1841.204,795.30944,
1838.293,796.25665,
1835.383,800.99399,
1832.472,800.54043,
1829.562,803.55443,
1826.651,836.96865,
1823.740,840.05841,
1820.830,795.352,
1817.919,784.06438,
1815.009,817.64312,
1812.098,777.4705,
1809.188,807.89333,
1806.277,778.95822,
1803.366,852.58455,
1800.456,814.89872,
1797.545,837.99495,
1794.635,794.89314,
1791.724,849.78403,
1788.813,832.85077,
1785.903,840.87787,
1782.992,857.90871,
1780.082,845.21213,
1777.171,825.91756,
1774.261,830.71003,
1771.350,844.72675,
1768.439,856.29172,
1765.529,873.25471,
1762.618,893.58748,
1759.708,870.47813,
1756.797,865.7803,
1753.887,891.9949,
1750.976,906.07068,
1748.065,902.79224,
1745.155,873.78568,
1742.244,880.76264,
1739.334,863.49236,
1736.423,895.46863,
1733.512,920.7988,
1730.602,929.98215,
1727.691,906.14954,
1724.781,932.85937,
1721.870,946.27383,
1718.960,941.49438,
1716.049,985.55463,
1713.138,987.41003,
1710.228,956.6599,
1707.317,943.40429,
1704.407,976.38909,
1701.496,991.18857,
1698.586,998.71789,
1695.675,1005.8,
1692.764,1002.4631,
1689.854,1000.3366,
1686.943,1037.9347,
1684.033,1026.5729,
1681.122,1062.6213,
1678.211,1058.2976,
1675.301,1142.9879,
1672.390,1149.1752,
1669.480,1124.6591,
1666.569,1175.4531,
1663.659,1191.4623,
1660.748,1205.6769,
1657.837,1278.6874,
1654.927,1298.1797,
1652.016,1294.7883,
1649.106,1277.6699,
1646.195,1334.8494,
1643.285,1360.2526,
1640.374,1403.6263,
1637.463,1421.9706,
1634.553,1462.2992,
1631.642,1533.1729,
1628.732,1617.73,
1625.821,1698.3272,
1622.911,1815.5851,
1620.000,1964.3602,
1617.089,2083.8619,
1614.179,2203.8377,
1611.268,2368.0413,
1608.358,2465.755,
