,PL1FD2~1,
Raman shift [1/cm],Intensity,
1264.909,6879.3023,
1261.999,6788.8403,
1259.088,6815.2919,
1256.178,6681.5549,
1253.267,6552.2348,
1250.356,6385.1015,
1247.446,6225.2385,
1244.535,6043.9021,
1241.625,5847.5382,
1238.714,5669.7162,
1235.804,5506.5451,
1232.893,5381.5145,
1229.982,5312.2567,
1227.072,5205.4298,
1224.161,5118.8676,
1221.251,5032.4021,
1218.340,4939.2069,
1215.430,4867.1913,
1212.519,4801.7487,
1209.608,4755.1031,
1206.698,4763.3646,
1203.787,4794.5383,
1200.877,4785.2183,
1197.966,4839.1678,
1195.055,4954.5038,
1192.145,5067.0416,
1189.234,5154.9687,
1186.324,5260.6094,
1183.413,5319.7836,
1180.503,5321.9456,
1177.592,5299.7227,
1174.681,5189.0291,
1171.771,5202.1235,
1168.860,5126.2109,
1165.950,5086.6234,
1163.039,5039.066,
1160.129,5004.7692,
1157.218,4941.4362,
1154.307,4872.1471,
1151.397,4829.0634,
1148.486,4764.9326,
1145.576,4717.6007,
1142.665,4665.2138,
1139.754,4651.9251,
1136.844,4581.2453,
1133.933,4557.7401,
1131.023,4520.3306,
1128.112,4472.8037,
1125.202,4459.2808,
1122.291,4424.7551,
1119.380,4438.2907,
1116.470,4480.6521,
1113.559,4533.8164,
1110.649,4545.2556,
1107.738,4578.1674,
1104.828,4556.2787,
1101.917,4493.047,
1099.006,4515.7513,
1096.096,4519.8212,
1093.185,4518.9432,
1090.275,4537.4882,
1087.364,4482.1823,
1084.453,4472.8739,
1081.543,4476.3577,
1078.632,4452.8464,
1075.722,4428.4302,
1072.811,4420.4191,
1069.901,4456.2228,
1066.990,4512.2249,
1064.079,4531.6801,
1061.169,4582.9252,
1058.258,4640.9319,
1055.348,4673.93,
1052.437,4706.9459,
1049.527,4787.2302,
1046.616,4744.6576,
1043.705,4768.3933,
1040.795,4829.2324,
1037.884,4862.9209,
1034.974,4862.0335,
1032.063,4855.7826,
1029.153,4861.4596,
1026.242,4857.9997,
1023.331,4897.8724,
1020.421,4936.5475,
1017.510,4966.123,
1014.600,5019.8992,
1011.689,5095.8299,
1008.778,5157.1641,
1005.868,5224.7515,
1002.957,5433.8176,
1000.047,5673.3551,
997.136,5861.2922,
994.226,5960.2901,
991.315,5946.9914,
988.404,5853.7673,
985.494,5840.8803,
982.583,5751.7984,
979.673,5669.3686,
976.762,5639.7653,
973.852,5634.6649,
970.941,5635.1352,
968.030,5653.5457,
965.120,5713.832,
962.209,5703.6015,
959.299,5667.1708,
956.388,5677.5134,
953.477,5666.87,
950.567,5628.0578,
947.656,5648.2308,
944.746,5711.9475,
941.835,5655.7586,
938.925,5697.1512,
936.014,5720.3109,
933.103,5699.6919,
930.193,5650.1015,
927.282,5561.3627,
924.372,5533.4576,
921.461,5473.1722,
918.551,5409.8859,
915.640,5363.577,
912.729,5319.7964,
909.819,5253.6501,
906.908,5229.2197,
903.998,5238.2147,
901.087,5279.7019,
898.176,5305.6926,
895.266,5345.7411,
892.355,5426.4874,
889.445,5445.7905,
886.534,5567.7663,
883.624,5605.3316,
880.713,5649.131,
877.802,5695.6441,
874.892,5703.1896,
871.981,5646.1056,
869.071,5613.5245,
866.160,5626.5039,
863.250,5637.496,
860.339,5633.4315,
857.428,5617.8575,
854.518,5598.0345,
851.607,5499.8504,
848.697,5468.4308,
845.786,5448.9008,
842.875,5449.1092,
839.965,5472.2342,
837.054,5474.2471,
834.144,5507.3972,
831.233,5481.8773,
828.323,5471.8099,
825.412,5458.2353,
822.501,5409.2791,
819.591,5367.1327,
816.680,5343.4391,
813.770,5271.4657,
810.859,5198.0319,
807.949,5149.1579,
805.038,5124.1958,
802.127,5085.5088,
799.217,5131.0708,
796.306,5070.6852,
793.396,5021.9972,
790.485,5042.7183,
787.574,5058.4463,
784.664,4994.4775,
781.753,5015.7532,
778.843,5056.8692,
775.932,5076.085,
773.022,5072.4136,
770.111,5146.8132,
767.200,5084.1182,
764.290,5083.6786,
761.379,5094.5425,
758.469,5073.4356,
755.558,5018.875,
752.648,5018.875,
749.737,5015.6111,
746.826,4948.1378,
743.916,4866.7321,
741.005,4829.6912,
738.095,4642.1476,
735.184,4444.6854,
732.274,4388.5483,
729.363,4487.9587,
726.452,4687.6487,
723.542,4841.4335,
720.631,4916.3899,
717.721,4962.6531,
714.810,4992.9147,
711.899,4998.6472,
708.989,4946.1971,
706.078,4925.8424,
703.168,4937.8772,
700.257,4935.2601,
697.347,4896.9639,
694.436,4828.4386,
691.525,4812.3625,
688.615,4818.3087,
685.704,4843.3012,
682.794,4862.0878,
679.883,4836.7392,
676.973,4767.02,
674.062,4796.9027,
671.151,4838.9699,
668.241,4863.734,
665.330,4872.3456,
662.420,4861.1633,
659.509,4855.7003,
656.598,4879.4072,
653.688,4906.8939,
650.777,4885.3629,
647.867,4840.7685,
644.956,4884.7411,
642.046,4902.9495,
639.135,4889.8401,
636.224,4919.8591,
633.314,4916.6833,
630.403,4924.1519,
627.493,4942.9335,
624.582,4973.5864,
621.672,5017.1461,
618.761,5023.4346,
615.850,5066.1991,
612.940,5120.7086,
610.029,5165.8729,
607.119,5195.8788,
604.208,5151.3041,
601.297,5148.8246,
598.387,5166.7349,
595.476,5174.2231,
592.566,5230.892,
589.655,5178.6776,
586.745,5118.8369,
583.834,5078.0679,
580.923,5054.3015,
578.013,5124.9276,
575.102,5136.9919,
572.192,5123.3002,
569.281,5124.747,
566.371,5218.6618,
563.460,5212.3547,
560.549,5256.552,
557.639,5327.6002,
554.728,5375.0374,
551.818,5361.772,
548.907,5358.875,
545.996,5402.0306,
543.086,5474.5724,
540.175,5496.3744,
537.265,5547.126,
534.354,5635.1083,
531.444,5695.7939,
528.533,5678.1859,
525.622,5724.7428,
522.712,5845.3041,
519.801,5923.7488,
516.891,5964.7675,
513.980,6112.658,
511.070,6197.7184,
508.159,6289.0035,
505.248,6405.4468,
502.338,6556.699,
499.427,6653.178,
496.517,6743.9254,
493.606,6814.401,
490.695,6854.1261,
487.785,6848.7376,
484.874,6878.2475,
481.964,6886.1542,
479.053,6874.7943,
476.143,6878.6341,
473.232,6857.2929,
470.321,6830.3851,
467.411,6814.9272,
464.500,6826.4871,
461.590,6811.1723,
458.679,6840.9933,
455.769,6861.3135,
452.858,6838.5917,
449.947,6778.2412,
447.037,6846.5742,
444.126,6872.6265,
441.216,6830.5208,
438.305,6845.7594,
435.395,6810.5037,
432.484,6795.876,
429.573,6805.8925,
426.663,6818.8149,
423.752,6812.9008,
420.842,6770.1433,
417.931,6738.3888,
415.020,6792.9905,
412.110,6924.3705,
409.199,7008.0608,
406.289,7029.8863,
403.378,6980.7597,
400.468,6946.74,
397.557,6930.7335,
394.646,6926.683,
391.736,6927.2814,
388.825,6877.5022,
385.915,6883.0984,
383.004,6922.8618,
380.094,6981.522,
377.183,7053.0072,
374.272,7139.0942,
371.362,7210.18,
368.451,7250.3399,
365.541,7307.3807,
362.630,7338.716,
359.719,7380.2879,
356.809,7450.7295,
353.898,7497.9038,
350.988,7524.4372,
348.077,7530.6476,
345.167,7521.0915,
342.256,7584.5923,
339.345,7653.8925,
336.435,7712.7546,
333.524,7749.1334,
330.614,7757.3301,
327.703,7819.43,
324.793,7885.1555,
321.882,7912.113,
318.971,8010.2474,
316.061,8021.9009,
313.150,8031.2083,
310.240,8135.1045,
307.329,8161.7434,
304.418,8232.8846,
301.508,8281.8657,
298.597,8187.8328,
295.687,8175.8116,
292.776,8259.2921,
289.866,8428.8517,
286.955,8665.9825,
284.044,8950.9772,
281.134,9157.9725,
278.223,9302.185,
275.313,9577.7689,
272.402,9728.2386,
269.492,9865.2163,
266.581,10033.901,
263.670,10272.1,
260.760,10405.128,
257.849,10514.174,
254.939,10658.015,
252.028,10827.807,
249.117,10946.694,
246.207,11015.095,
243.296,11027.54,
240.386,11141.843,
237.475,11153.852,
234.565,11078.14,
231.654,11086.175,
228.743,11072.915,
225.833,11032.3,
222.922,10962.157,
220.012,10903.873,
217.101,10867.209,
214.191,10830.297,
211.280,10768.463,
208.369,10717.451,
205.459,10758.755,
202.548,10863.524,
199.638,10913.594,
196.727,10868.558,
193.816,10848.345,
190.906,10897.018,
187.995,10929.599,
185.085,10955.534,
182.174,10982.257,
179.264,11020.563,
176.353,11021.671,
173.442,11092.387,
170.532,11199.461,
167.621,11024.264,
164.711,10811.321,
161.800,10526.459,
158.890,10129.889,
155.979,9502.1662,
153.068,8736.3361,
150.158,7828.8136,
147.247,6711.6799,
144.337,5545.5584,
141.426,4381.6763,
138.516,3243.9699,
135.605,2336.0358,
132.694,1605.7845,
129.784,1046.5838,
126.873,696.17021,
123.963,475.20955,
121.052,324.48082,
118.141,230.24576,
115.231,184.3985,
112.320,154.43683,
109.410,133.6935,
106.499,106.6316,
103.589,96.392964,
100.678,87.170944,
97.767,72.241255,
94.857,74.646956,
91.946,67.006561,
89.036,54.665285,
86.125,59.629722,
83.215,56.096717,
80.304,49.480673,
77.393,42.398974,
74.483,45.150675,
71.572,43.613831,
68.662,37.805733,
65.751,37.099281,
62.840,34.948192,
59.930,32.875,
57.019,32.875,
54.109,29.292035,
51.198,26.271781,
48.288,24.858013,
45.377,22.747878,
42.466,25.172755,
39.556,29.06917,
36.645,24.153838,
33.735,24.951994,
