,PLE8E6~1,
Raman shift [1/cm],Intensity,
842.875,990.14758,
839.965,951.87727,
837.054,926.06226,
834.144,965.01363,
831.233,933.96113,
828.323,944.29931,
825.412,964.64415,
822.501,944.07182,
819.591,946.55102,
816.680,920.98393,
813.770,907.73347,
810.859,911.74733,
807.949,923.27867,
805.038,926.62942,
802.127,918.39815,
799.217,889.30014,
796.306,884.16557,
793.396,887.625,
790.485,888.04616,
787.574,890.43458,
784.664,911.7575,
781.753,903.54729,
778.843,895.17459,
775.932,905.58774,
773.022,934.8786,
770.111,936.51375,
767.200,930.5345,
764.290,904.93201,
761.379,886.83726,
758.469,882.90453,
755.558,872.35756,
752.648,863.39692,
749.737,845.30527,
746.826,836.15878,
743.916,796.81273,
741.005,666.36236,
738.095,398.44301,
735.184,227.18836,
732.274,189.50551,
729.363,323.64189,
726.452,587.907,
723.542,761.11717,
720.631,853.19521,
717.721,874.04224,
714.810,886.99421,
711.899,915.88243,
708.989,925.56553,
706.078,907.19503,
703.168,907.48277,
700.257,915.16329,
697.347,909.88711,
694.436,868.62881,
691.525,905.60385,
688.615,888.46855,
685.704,894.77799,
682.794,921.4548,
679.883,916.18327,
676.973,884.12844,
674.062,903.78636,
671.151,918.18667,
668.241,915.00427,
665.330,906.81408,
662.420,910.80774,
659.509,917.33938,
656.598,904.61325,
653.688,889.60611,
650.777,911.13714,
647.867,955.7315,
644.956,956.9569,
642.046,964.89214,
639.135,981.52891,
636.224,973.52553,
633.314,953.67707,
630.403,936.80079,
627.493,916.33462,
624.582,907.21928,
621.672,954.73893,
618.761,920.14791,
615.850,935.6234,
612.940,967.18797,
610.029,978.39126,
607.119,934.96158,
604.208,915.00471,
601.297,911.61611,
598.387,924.08386,
595.476,947.03077,
592.566,940.73422,
589.655,938.32922,
586.745,928.07769,
583.834,907.50039,
580.923,878.77191,
578.013,903.09866,
575.102,892.41735,
572.192,878.55315,
569.281,882.67079,
566.371,916.32362,
563.460,925.97421,
560.549,941.29424,
557.639,951.6708,
554.728,945.84221,
551.818,980.95643,
548.907,942.3096,
545.996,951.11517,
543.086,1002.3981,
540.175,959.57254,
537.265,969.66203,
534.354,971.11317,
531.444,972.36219,
528.533,980.32079,
525.622,919.7969,
522.712,952.1315,
519.801,966.34979,
516.891,943.50306,
513.980,952.79461,
511.070,976.86846,
508.159,974.68584,
505.248,972.64095,
502.338,1006.0768,
499.427,1021.5135,
496.517,1031.2816,
493.606,1029.2317,
490.695,1019.8345,
487.785,1042.9283,
484.874,1031.7619,
481.964,1024.0403,
479.053,1022.2348,
476.143,1012.2513,
473.232,1007.3086,
470.321,1001.7324,
467.411,1009.5282,
464.500,1043.345,
461.590,992.80619,
458.679,996.78472,
455.769,1018.2413,
452.858,1031.9092,
449.947,1025.0338,
447.037,1047.2887,
444.126,1026.025,
441.216,971.69459,
438.305,1018.1724,
435.395,1025.9363,
432.484,1019.1235,
429.573,1010.4,
426.663,1018.0014,
423.752,1103.7101,
420.842,1203.191,
417.931,1274.6084,
415.020,1263.9914,
412.110,1175.8314,
409.199,1119.6641,
406.289,1100.5285,
403.378,1118.4918,
400.468,1079.1801,
397.557,1043.4883,
394.646,1007.619,
391.736,966.00327,
388.825,852.86858,
385.915,805.78796,
383.004,803.61902,
380.094,831.50418,
377.183,887.93991,
374.272,935.64905,
371.362,968.21722,
368.451,985.50025,
365.541,1049.2958,
362.630,1057.3389,
359.719,1065.3113,
356.809,1099.2268,
353.898,1043.067,
350.988,1052.5794,
348.077,1064.0415,
345.167,1041.1169,
342.256,1050.8288,
339.345,1071.6937,
336.435,1079.0196,
333.524,1055.8734,
330.614,1032.0284,
327.703,1046.188,
324.793,1068.1717,
321.882,1072.6304,
318.971,1074.8607,
316.061,1085.8796,
313.150,1080.6893,
310.240,1029.4833,
307.329,1073.3618,
304.418,1048.7654,
301.508,987.58189,
298.597,949.82064,
295.687,826.07621,
292.776,794.45847,
289.866,851.02046,
286.955,947.7935,
284.044,1090.0224,
281.134,1177.9554,
278.223,1208.7086,
275.313,1263.9727,
272.402,1272.1396,
269.492,1304.162,
266.581,1379.2031,
263.670,1387.29,
260.760,1413.1322,
257.849,1411.2719,
254.939,1344.4886,
252.028,1355.2065,
249.117,1368.3047,
246.207,1366.8815,
243.296,1321.4952,
240.386,1297.0352,
237.475,1264.3422,
234.565,1231.5009,
231.654,1249.7604,
228.743,1193.2114,
225.833,1164.1747,
222.922,1199.4212,
220.012,1195.0498,
217.101,1166.6356,
214.191,1122.6701,
211.280,1069.5653,
208.369,1039.3853,
205.459,1036.207,
202.548,1048.3687,
199.638,1035.307,
196.727,1050.4877,
193.816,1053.9923,
190.906,1030.9393,
187.995,1011.3907,
185.085,991.38504,
182.174,969.76908,
179.264,944.47227,
176.353,966.61538,
173.442,968.66059,
170.532,948.12904,
167.621,952.4549,
164.711,979.37782,
161.800,983.70113,
158.890,928.2821,
155.979,805.80043,
153.068,720.35449,
150.158,658.15791,
147.247,555.49074,
144.337,445.63327,
141.426,343.91697,
138.516,258.60691,
135.605,202.40549,
132.694,145.71978,
129.784,91.680925,
126.873,50.918524,
123.963,30.674527,
121.052,25.591049,
118.141,35.585677,
115.231,23.545304,
112.320,19.048636,
109.410,17.988737,
106.499,9.4428741,
103.589,8.745509,
100.678,9.3533783,
97.767,8.6424407,
94.857,14.861901,
91.946,9.1596717,
89.036,-1.5686335,
86.125,9.7786509,
83.215,9.4394779,
80.304,6.8644327,
77.393,7.5726026,
74.483,7.625,
71.572,7.625,
68.662,7.625,
65.751,7.625,
62.840,6.179894,
59.930,4.8122862,
57.019,5.5173682,
54.109,6.8193217,
51.198,7.625,
48.288,7.6023502,
45.377,4.788838,
42.466,4.861658,
39.556,6.9703557,
36.645,9.0769264,
33.735,9.1057515,
30.824,8.1832261,
27.914,6.7808756,
25.003,9.7381874,
22.092,11.625,
19.182,12.197072,
16.271,29.684325,
13.361,61.069563,
10.450,140.05673,
7.539,404.01994,
4.629,731.30381,
1.718,919.52928,
-1.192,743.15172,
-4.103,435.02034,
-7.013,173.40332,
-9.924,-3.375,
