,PL5D80~1,
Raman shift [1/cm],Intensity,
1899.415,829.09087,
1896.505,842.09473,
1893.594,833.52748,
1890.684,834.23293,
1887.773,823.78014,
1884.863,834.83001,
1881.952,860.15481,
1879.041,871.65096,
1876.131,831.09168,
1873.220,812.90815,
1870.310,829.26174,
1867.399,813.89689,
1864.489,846.43028,
1861.578,840.59761,
1858.667,832.97229,
1855.757,846.42572,
1852.846,858.18906,
1849.936,881.11451,
1847.025,850.09458,
1844.114,859.0509,
1841.204,870.58654,
1838.293,882.61502,
1835.383,896.82249,
1832.472,875.75196,
1829.562,866.84584,
1826.651,889.03566,
1823.740,904.63268,
1820.830,889.10515,
1817.919,902.35566,
1815.009,888.64409,
1812.098,925.12104,
1809.188,916.49325,
1806.277,933.22663,
1803.366,874.65645,
1800.456,933.92133,
1797.545,904.07184,
1794.635,897.85099,
1791.724,902.03264,
1788.813,954.03066,
1785.903,954.7414,
1782.992,913.03786,
1780.082,949.02248,
1777.171,944.62339,
1774.261,917.45457,
1771.350,903.57851,
1768.439,928.4108,
1765.529,925.99078,
1762.618,950.25377,
1759.708,977.97299,
1756.797,976.95076,
1753.887,975.60022,
1750.976,973.83181,
1748.065,981.60042,
1745.155,963.52197,
1742.244,971.46192,
1739.334,982.25559,
1736.423,966.0811,
1733.512,996.00722,
1730.602,1044.7818,
1727.691,1006.7271,
1724.781,1026.2344,
1721.870,1009.0677,
1718.960,1024.8253,
1716.049,1068.2178,
1713.138,1055.9601,
1710.228,1064.8092,
1707.317,1042.7416,
1704.407,1044.117,
1701.496,1040.0673,
1698.586,1032.2331,
1695.675,1055.0177,
1692.764,1038.6373,
1689.854,1089.2864,
1686.943,1097.4226,
1684.033,1107.3766,
1681.122,1104.676,
1678.211,1149.1967,
1675.301,1161.588,
1672.390,1122.936,
1669.480,1226.3362,
1666.569,1190.9805,
1663.659,1218.576,
1660.748,1216.2613,
1657.837,1249.4123,
1654.927,1283.8518,
1652.016,1253.0343,
1649.106,1310.3839,
1646.195,1339.4981,
1643.285,1294.696,
1640.374,1340.6459,
1637.463,1342.6338,
1634.553,1397.625,
1631.642,1398.1027,
1628.732,1442.1524,
1625.821,1530.6257,
1622.911,1531.6194,
1620.000,1676.773,
1617.089,1768.7941,
1614.179,1854.1997,
1611.268,1924.9854,
1608.358,2026.7554,
1605.447,2092.9112,
1602.536,2139.4918,
1599.626,2157.3439,
1596.715,2155.9022,
1593.805,2158.308,
1590.894,2184.1644,
1587.984,2183.2945,
1585.073,2118.8137,
1582.162,2062.5412,
1579.252,2049.5335,
1576.341,2087.8771,
1573.431,2028.7057,
1570.520,2031.7919,
1567.610,1999.8793,
1564.699,1985.1749,
1561.788,1969.8364,
1558.878,1941.7766,
1555.967,1902.5558,
1553.057,1837.8669,
1550.146,1848.9558,
1547.235,1849.4216,
1544.325,1802.6518,
1541.414,1778.5449,
1538.504,1776.5974,
1535.593,1753.2269,
1532.683,1704.8177,
1529.772,1671.7438,
1526.861,1680.3042,
1523.951,1682.7344,
1521.040,1654.3379,
1518.130,1657.625,
1515.219,1635.5067,
1512.309,1595.7197,
1509.398,1649.3436,
1506.487,1650.7355,
1503.577,1624.5103,
1500.666,1599.6177,
1497.756,1591.5487,
1494.845,1588.6239,
1491.934,1540.5841,
1489.024,1528.0716,
1486.113,1541.5332,
1483.203,1494.6639,
1480.292,1482.6854,
1477.382,1499.4065,
1474.471,1499.0207,
1471.560,1491.094,
1468.650,1476.3261,
1465.739,1444.3649,
1462.829,1424.2536,
1459.918,1460.4043,
1457.008,1467.7478,
1454.097,1458.8762,
1451.186,1454.5844,
1448.276,1416.9836,
1445.365,1410.1258,
1442.455,1421.5382,
1439.544,1435.3744,
1436.633,1457.7601,
1433.723,1423.1175,
1430.812,1438.8518,
1427.902,1416.1289,
1424.991,1395.2781,
1422.081,1404.7172,
1419.170,1432.4109,
1416.259,1375.8703,
1413.349,1386.548,
1410.438,1407.221,
1407.528,1395.8877,
1404.617,1402.4775,
1401.707,1421.0442,
1398.796,1409.688,
1395.885,1376.3965,
1392.975,1357.2708,
1390.064,1356.625,
1387.154,1352.1854,
1384.243,1325.7262,
1381.332,1267.1864,
1378.422,1260.6487,
1375.511,1358.0739,
1372.601,1437.9585,
1369.690,1566.3506,
1366.780,1552.5675,
1363.869,1613.3668,
1360.958,1644.9067,
1358.048,1641.6919,
1355.137,1672.3201,
1352.227,1728.331,
1349.316,1781.7324,
1346.406,1819.3057,
1343.495,1834.3202,
1340.584,1873.5899,
1337.674,1844.6651,
1334.763,1913.5657,
1331.853,1964.5634,
1328.942,1947.9463,
1326.032,1936.6532,
1323.121,2006.4986,
1320.210,2014.3111,
1317.300,2034.5464,
1314.389,2056.1667,
1311.479,2084.2753,
1308.568,2115.0331,
1305.657,2097.3867,
1302.747,2080.9586,
1299.836,2138.4703,
1296.926,2205.4279,
1294.015,2287.2477,
1291.105,2331.1299,
1288.194,2401.3232,
1285.283,2446.2651,
1282.373,2457.625,
1279.462,2500.4477,
1276.552,2567.2157,
1273.641,2604.0046,
1270.731,2608.4474,
1267.820,2615.9631,
1264.909,2605.7565,
1261.999,2579.356,
1259.088,2626.7863,
1256.178,2562.8214,
1253.267,2539.3499,
1250.356,2474.6722,
1247.446,2432.1303,
1244.535,2386.9465,
1241.625,2354.662,
1238.714,2347.8592,
1235.804,2304.1154,
1232.893,2242.0102,
1229.982,2194.4904,
1227.072,2160.9939,
1224.161,2135.0909,
1221.251,2102.3337,
1218.340,2029.7872,
1215.430,1998.3777,
1212.519,2020.0937,
1209.608,2042.2075,
1206.698,2040.391,
1203.787,2042.7808,
1200.877,2046.1324,
1197.966,2086.5946,
1195.055,2141.5264,
1192.145,2146.8683,
1189.234,2181.9574,
1186.324,2251.2661,
1183.413,2283.3509,
1180.503,2276.3466,
1177.592,2278.8875,
1174.681,2256.4983,
1171.771,2255.2129,
1168.860,2237.3511,
1165.950,2150.1583,
1163.039,2135.2122,
1160.129,2163.5786,
1157.218,2162.3956,
1154.307,2136.8017,
1151.397,2128.8857,
1148.486,2124.0803,
1145.576,2093.396,
1142.665,2111.1542,
1139.754,2055.671,
1136.844,2055.2305,
1133.933,2052.4139,
1131.023,2035.2947,
1128.112,2011.5552,
1125.202,1988.4849,
1122.291,1985.8946,
1119.380,2036.6337,
1116.470,2037.5162,
1113.559,2045.3575,
1110.649,2064.651,
1107.738,2074.6966,
1104.828,2079.3699,
1101.917,2083.7374,
1099.006,2083.728,
1096.096,2092.4424,
1093.185,2073.1264,
1090.275,2082.9548,
1087.364,2068.4719,
