,PLA19C~1,
Raman shift [1/cm],Intensity,
1294.015,1079.7076,
1291.105,1066.0363,
1288.194,1137.6094,
1285.283,1163.285,
1282.373,1197.7655,
1279.462,1223.2621,
1276.552,1217.5108,
1273.641,1225.383,
1270.731,1248.9519,
1267.820,1224.2024,
1264.909,1229.2236,
1261.999,1210.4884,
1259.088,1275.249,
1256.178,1232.8764,
1253.267,1218.2202,
1250.356,1168.04,
1247.446,1132.217,
1244.535,1141.4598,
1241.625,1125.0029,
1238.714,1063.1614,
1235.804,1043.7463,
1232.893,1051.1281,
1229.982,1035.8065,
1227.072,996.87803,
1224.161,1005.8921,
1221.251,950.79779,
1218.340,920.76001,
1215.430,890.90145,
1212.519,882.44399,
1209.608,898.25125,
1206.698,910.29541,
1203.787,934.125,
1200.877,934.45933,
1197.966,939.85428,
1195.055,969.13545,
1192.145,1004.9301,
1189.234,1043.0231,
1186.324,1049.9424,
1183.413,1058.5819,
1180.503,1075.7642,
1177.592,1074.8423,
1174.681,1085.8579,
1171.771,1075.3117,
1168.860,996.71985,
1165.950,975.41808,
1163.039,986.79146,
1160.129,960.68297,
1157.218,948.70119,
1154.307,942.68681,
1151.397,918.0779,
1148.486,933.62357,
1145.576,940.27472,
1142.665,897.6549,
1139.754,924.22926,
1136.844,893.30865,
1133.933,879.47102,
1131.023,867.43422,
1128.112,869.26537,
1125.202,890.94629,
1122.291,867.01316,
1119.380,900.88248,
1116.470,876.17169,
1113.559,876.99125,
1110.649,870.26685,
1107.738,891.30845,
1104.828,898.56152,
1101.917,884.33828,
1099.006,905.25886,
1096.096,930.8998,
1093.185,878.21964,
1090.275,918.63486,
1087.364,876.97966,
1084.453,863.24936,
1081.543,872.00144,
1078.632,882.21344,
1075.722,903.81754,
1072.811,911.99373,
1069.901,924.21938,
1066.990,913.00003,
1064.079,929.17939,
1061.169,932.04969,
1058.258,940.25305,
1055.348,957.24312,
1052.437,951.84523,
1049.527,936.33339,
1046.616,967.61125,
1043.705,986.5403,
1040.795,976.43939,
1037.884,973.18238,
1034.974,974.40077,
1032.063,965.74047,
1029.153,962.07177,
1026.242,994.94011,
1023.331,1002.7912,
1020.421,986.69746,
1017.510,993.69217,
1014.600,1011.469,
1011.689,1020.6951,
1008.778,1026.3767,
1005.868,1051.2717,
1002.957,1067.6185,
1000.047,1126.909,
997.136,1162.8081,
994.226,1168.6635,
991.315,1156.1225,
988.404,1140.4493,
985.494,1141.0126,
982.583,1091.3323,
