,PL9DD1~1,
Wavenumbers [1/cm],Intensity,
350.988,1963.0492,
348.077,1987.0151,
345.167,1977.2512,
342.256,1952.598,
339.345,1965.163,
336.435,1989.4398,
333.524,2006.2551,
330.614,1966.7619,
327.703,2001.7333,
324.793,2053.9759,
321.882,2075.4549,
318.971,2056.8689,
316.061,2026.5726,
313.150,2021.5928,
310.240,2086.1569,
307.329,2125.6611,
304.418,2158.2822,
301.508,2189.937,
298.597,2229.179,
295.687,2198.638,
292.776,2220.0002,
289.866,2289.7816,
286.955,2371.7802,
284.044,2423.3475,
281.134,2488.7128,
278.223,2567.7213,
275.313,2617.0906,
272.402,2661.7733,
269.492,2696.3224,
266.581,2711.299,
263.670,2624.5478,
260.760,2669.4994,
257.849,2758.6495,
254.939,2830.57,
252.028,2819.9185,
249.117,2828.748,
246.207,2838.8177,
243.296,2816.8566,
240.386,2809.2761,
237.475,2804.9633,
234.565,2796.6333,
231.654,2759.3837,
228.743,2733.6636,
225.833,2699.1573,
222.922,2647.5783,
220.012,2584.9225,
217.101,2539.4735,
214.191,2508.6917,
211.280,2492.6875,
208.369,2466.6059,
205.459,2436.5337,
202.548,2416.0181,
199.638,2453.7519,
196.727,2414.2503,
193.816,2394.5511,
190.906,2424.9543,
187.995,2295.3539,
185.085,2263.74,
182.174,2282.2218,
179.264,2295.9543,
176.353,2247.5192,
173.442,2253.2179,
170.532,2301.159,
167.621,2203.8273,
164.711,2170.6676,
161.800,2102.0758,
158.890,1919.265,
155.979,1787.2519,
153.068,1660.676,
150.158,1520.4893,
147.247,1302.9498,
144.337,1088.3235,
141.426,866.89648,
138.516,633.18994,
135.605,454.22234,
132.694,320.47061,
129.784,222.3087,
126.873,144.35955,
123.963,97.201143,
121.052,63.018299,
118.141,36.603925,
115.231,27.262585,
112.320,25.194544,
109.410,26.545513,
106.499,21.560427,
103.589,12.656437,
100.678,7.5864868,
97.767,10.430237,
94.857,13.271956,
91.946,16.918665,
89.036,19.596817,
